"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA._T.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.X1._X.N,BBFB1.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.X1._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic investment abroad / Rest of the world,,Financial account / Net domestic investment abroad / Direct investment / Rest of the world,,Financial account / Net domestic investment abroad / Portfolio investment / Rest of the world,,Financial account / Net domestic investment abroad / Financial derivatives and employee stock options / Rest of the world,,Financial account / Net domestic investment abroad / Other investment / Rest of the world,,Financial account / Net domestic investment abroad / Reserve assets / Domestic sector: Central bank / Rest of the world,,Financial account / Net foreign investment in Germany / Rest of the world,,Financial account / Net foreign investment in Germany / Direct investment / Rest of the world,,Financial account / Net foreign investment in Germany / Portfolio investment / Rest of the world,,Financial account / Net foreign investment in Germany / Other investment / Rest of the world,,Financial account / Net / Rest of the world,
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,
last update,2022-03-16 08:29:16,,2022-03-16 08:28:30,,2022-03-16 08:29:11,,2022-03-16 08:28:39,,2022-03-16 08:28:40,,2022-03-16 08:35:48,,2022-03-16 08:35:03,,2022-03-16 08:34:46,,2022-03-16 08:35:00,,2022-03-16 08:34:54,,2022-03-16 08:35:44,
1971-01,1386.917,,506.338,,118.567,,-,Nothing exists,-83.779,,845.791,,-1805.980,,53.249,,210.112,,-2069.341,,3192.897,
1971-02,4726.828,,342.104,,115.661,,-,Nothing exists,1188.844,,3080.219,,2905.815,,266.659,,363.549,,2275.607,,1821.013,
1971-03,5289.657,,847.266,,204.691,,-,Nothing exists,761.939,,3475.761,,3220.158,,285.668,,-263.236,,3197.726,,2069.499,
1971-04,5386.881,,127.604,,-118.303,,-,Nothing exists,1954.404,,3423.176,,4716.398,,490.038,,360.227,,3866.133,,670.483,
1971-05,7248.457,,197.911,,34.405,,-,Nothing exists,-1264.427,,8280.568,,3560.892,,-126.224,,62.858,,3624.258,,3687.565,
1971-06,-6124.322,,415.669,,-177.805,,-,Nothing exists,1664.539,,-8026.725,,-3607.653,,296.012,,-270.012,,-3633.653,,-2516.669,
1971-07,2100.464,,427.897,,-269.632,,-,Nothing exists,506.303,,1435.896,,2134.990,,700.010,,-204.637,,1639.617,,-34.526,
1971-08,-1633.744,,294.845,,-30.454,,-,Nothing exists,-918.961,,-979.174,,-318.038,,197.434,,-14.209,,-501.263,,-1315.706,
1971-09,505.526,,430.622,,-106.669,,-,Nothing exists,-653.778,,835.351,,-1025.476,,406.255,,318.829,,-1750.560,,1531.002,
1971-10,1289.236,,122.838,,-130.402,,-,Nothing exists,352.133,,944.667,,585.624,,218.763,,-25.096,,391.957,,703.612,
1971-11,115.770,,303.702,,-203.426,,-,Nothing exists,-578.650,,594.144,,84.760,,157.853,,486.361,,-559.454,,31.010,
1971-12,3431.540,,589.140,,30.881,,-,Nothing exists,410.083,,2401.436,,5753.411,,881.237,,442.781,,4429.393,,-2321.871,
1972-01,3254.417,,557.705,,-222.417,,-,Nothing exists,1558.076,,1361.053,,-202.455,,321.325,,766.374,,-1290.154,,3456.872,
1972-02,3542.394,,201.097,,-309.324,,-,Nothing exists,1252.478,,2398.143,,3549.692,,614.200,,1380.236,,1555.256,,-7.298,
1972-03,1914.308,,1436.368,,-474.868,,-,Nothing exists,1162.945,,-210.137,,1107.134,,1445.875,,1925.685,,-2264.426,,807.174,
1972-04,-627.043,,210.157,,-321.339,,-,Nothing exists,-707.557,,191.696,,-980.786,,260.657,,1443.095,,-2684.538,,353.743,
1972-05,479.892,,250.097,,-39.635,,-,Nothing exists,71.776,,197.654,,616.976,,278.373,,963.040,,-624.437,,-137.084,
1972-06,8924.322,,367.346,,-434.515,,-,Nothing exists,89.662,,8901.829,,7617.863,,486.900,,1835.040,,5295.923,,1306.459,
1972-07,5512.238,,475.952,,-841.921,,-,Nothing exists,-1316.150,,7194.357,,6107.481,,429.727,,1486.678,,4191.076,,-595.243,
1972-08,-936.825,,485.728,,-550.539,,-,Nothing exists,-193.613,,-678.401,,323.827,,370.295,,248.848,,-295.316,,-1260.652,
1972-09,-1701.474,,359.399,,-257.889,,-,Nothing exists,30.815,,-1833.799,,-1532.946,,425.318,,74.863,,-2033.127,,-168.528,
1972-10,-1728.434,,248.862,,-94.883,,-,Nothing exists,-1538.434,,-343.979,,-2437.796,,210.100,,-86.130,,-2561.766,,709.362,
