"",BBNZ1.Q.DE.S.G.0034.A,BBNZ1.Q.DE.S.G.0034.A_FLAGS,BBNZ1.Q.DE.S.G.0335.A,BBNZ1.Q.DE.S.G.0335.A_FLAGS,BBNZ1.Q.DE.S.G.0036.A,BBNZ1.Q.DE.S.G.0036.A_FLAGS,BBNZ1.Q.DE.S.G.0336.A,BBNZ1.Q.DE.S.G.0336.A_FLAGS,BBNZ1.Q.DE.S.G.0342.A,BBNZ1.Q.DE.S.G.0342.A_FLAGS,BBNZ1.Q.DE.S.G.0303.A,BBNZ1.Q.DE.S.G.0303.A_FLAGS,BBNZ1.Q.DE.S.G.0325.A,BBNZ1.Q.DE.S.G.0325.A_FLAGS,BBNZ1.Q.DE.S.G.0326.A,BBNZ1.Q.DE.S.G.0326.A_FLAGS,BBNZ1.Q.DE.S.G.0327.A,BBNZ1.Q.DE.S.G.0327.A_FLAGS
"",Germany/Households' income / Gross wages and salaries (residence concept)/At current prices/Seasonally adjusted only,,"Germany / National accounts / Households' income / Deductions (Wage tax payable on gross wages and salaries, and employees' social contributions) / Seasonally adjusted only",,Germany/Households' income / Net wages and salaries (residence concept)/At current prices/Seasonally adjusted only,,Germany/Households' income / Monetary social benefits received (net)/At current prices/Seasonally adjusted only,,Germany/Households' income / Mass income/At current prices/Seasonally adjusted only,,"Germany / National accounts / Households' income / Operating surplus, mixed income, property income / Seasonally adjusted only",,Germany/Households' income / Disposable income / Including the increase in claims on company pension funds/At current prices/Seasonally adjusted only,,Germany/Households' income / Saving/At current prices/Seasonally adjusted only,,Germany/Households' income / Saving ratio/At current prices/Seasonally adjusted only,
unit,Euro,,Euro,,Euro,,Euro,,Euro,,Euro,,Euro,,Euro,,Prozent,
unit multiplier,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,one,
last update,2022-02-25 08:08:49,,2022-02-25 08:09:05,,2022-02-25 08:08:49,,2022-02-25 08:09:06,,2022-02-25 08:09:06,,2022-02-25 08:08:50,,2022-02-25 08:08:51,,2022-02-25 08:08:51,,2022-02-25 08:09:05,
1991-01,170.099,,48.369,,121.730,,51.613,,173.343,,80.092,,246.812,,30.668,,12.4,
1991-04,175.645,,51.595,,124.050,,53.127,,177.177,,85.716,,256.064,,34.819,,13.6,
1991-07,177.048,,54.815,,122.233,,54.026,,176.259,,85.222,,254.098,,32.528,,12.8,
1991-10,180.529,,55.768,,124.761,,55.778,,180.539,,87.037,,263.537,,33.841,,12.8,
1992-01,185.772,,57.704,,128.068,,57.450,,185.518,,90.016,,268.354,,34.836,,13.0,
1992-04,188.808,,58.105,,130.703,,58.406,,189.109,,88.667,,270.529,,34.940,,12.9,
1992-07,194.534,,61.018,,133.516,,59.689,,193.205,,86.744,,273.324,,35.609,,13.0,
1992-10,193.075,,59.200,,133.875,,62.925,,196.800,,88.823,,282.097,,35.421,,12.6,
1993-01,193.246,,59.834,,133.412,,62.330,,195.742,,90.050,,277.807,,34.762,,12.5,
1993-04,194.863,,58.906,,135.957,,62.982,,198.939,,91.119,,281.910,,35.991,,12.8,
1993-07,196.386,,60.888,,135.498,,64.781,,200.279,,91.321,,283.482,,33.870,,11.9,
1993-10,197.153,,60.783,,136.370,,66.900,,203.270,,90.776,,288.638,,35.168,,12.2,
1994-01,198.464,,63.188,,135.276,,65.576,,200.852,,95.869,,289.950,,33.665,,11.6,
1994-04,196.620,,61.556,,135.064,,66.300,,201.364,,92.717,,286.808,,33.736,,11.8,
1994-07,198.701,,63.730,,134.971,,67.085,,202.056,,98.035,,292.195,,34.226,,11.7,
1994-10,201.087,,64.966,,136.121,,66.849,,202.970,,99.183,,295.769,,35.034,,11.8,
1995-01,202.916,,66.774,,136.142,,66.862,,203.004,,97.012,,294.879,,34.040,,11.5,
1995-04,204.192,,67.850,,136.342,,67.781,,204.123,,99.452,,298.830,,34.116,,11.4,
1995-07,205.579,,69.639,,135.940,,68.571,,204.511,,100.928,,299.870,,34.129,,11.4,
1995-10,206.897,,69.732,,137.165,,69.840,,207.005,,97.449,,300.302,,33.603,,11.2,
1996-01,207.331,,68.516,,138.815,,71.516,,210.331,,99.383,,303.709,,34.095,,11.2,
1996-04,206.084,,67.852,,138.232,,72.162,,210.394,,98.273,,302.973,,33.816,,11.2,
1996-07,207.406,,69.189,,138.217,,72.083,,210.300,,98.995,,304.081,,32.816,,10.8,
1996-10,207.144,,69.946,,137.198,,71.861,,209.059,,99.163,,304.112,,32.205,,10.6,
1997-01,206.663,,70.322,,136.341,,72.959,,209.300,,99.656,,304.768,,32.493,,10.7,
1997-04,205.877,,69.800,,136.077,,73.043,,209.120,,101.248,,307.234,,32.112,,10.5,
1997-07,206.236,,70.266,,135.970,,73.016,,208.986,,104.537,,308.864,,32.638,,10.6,
1997-10,207.362,,70.853,,136.509,,73.624,,210.133,,106.353,,311.121,,32.740,,10.5,
1998-01,208.412,,70.415,,137.997,,72.843,,210.840,,103.457,,310.715,,33.566,,10.8,
1998-04,210.140,,71.396,,138.744,,75.303,,214.047,,100.200,,309.992,,32.691,,10.5,
1998-07,211.709,,71.428,,140.281,,74.871,,215.152,,104.752,,314.145,,32.217,,10.3,
1998-10,212.986,,72.862,,140.124,,75.103,,215.227,,108.124,,316.413,,31.714,,10.0,
1999-01,213.922,,72.494,,141.428,,76.953,,218.381,,104.513,,317.664,,30.299,,9.5,
1999-04,217.089,,73.272,,143.817,,77.585,,221.402,,104.915,,319.668,,31.106,,9.7,
