"",BBDP1.M.DE.N.VPI.C.A00000.I15.L,BBDP1.M.DE.N.VPI.C.A00000.I15.L_FLAGS,BBDP1.M.DE.Y.VPI.C.A00000.I15.L,BBDP1.M.DE.Y.VPI.C.A00000.I15.L_FLAGS
1961-01,23.7,,23.7,
1961-02,23.8,,23.8,
1961-03,24.2,,23.8,
1961-04,24.0,,23.8,
1961-05,24.0,,23.9,
1961-06,24.0,,24.0,
1961-07,23.9,,24.1,
1961-08,24.2,,24.1,
1961-09,24.1,,24.2,
1961-10,24.0,,24.2,
1961-11,24.3,,24.3,
1961-12,24.3,,24.3,
1962-01,24.4,,24.4,
1962-02,24.5,,24.5,
1962-03,24.9,,24.6,
1962-04,24.9,,24.7,
1962-05,24.8,,24.7,
1962-06,24.8,,24.8,
1962-07,24.7,,24.9,
1962-08,24.9,,24.8,
1962-09,24.8,,24.8,
1962-10,24.7,,24.9,
1962-11,24.9,,24.9,
1962-12,25.0,,25.0,
1963-01,25.1,,25.1,
1963-02,25.4,,25.4,
1963-03,25.7,,25.4,
1963-04,25.7,,25.5,
1963-05,25.5,,25.4,
1963-06,25.4,,25.4,
1963-07,25.2,,25.4,
1963-08,25.5,,25.4,
1963-09,25.5,,25.6,
1963-10,25.5,,25.6,
1963-11,25.7,,25.7,
1963-12,25.8,,25.8,
1964-01,25.8,,25.9,
1964-02,25.9,,25.9,
1964-03,26.2,,25.9,
1964-04,26.2,,25.9,
1964-05,26.0,,26.0,
1964-06,26.0,,26.0,
1964-07,25.9,,26.1,
1964-08,26.2,,26.2,
1964-09,26.1,,26.2,
1964-10,26.1,,26.3,
1964-11,26.3,,26.3,
1964-12,26.3,,26.4,
1965-01,26.3,,26.4,
1965-02,26.4,,26.4,
1965-03,26.7,,26.5,
1965-04,26.9,,26.6,
1965-05,26.8,,26.7,
1965-06,26.9,,26.9,
1965-07,26.9,,27.0,
1965-08,27.1,,27.1,
1965-09,27.1,,27.2,
1965-10,27.1,,27.3,
1965-11,27.3,,27.4,
1965-12,27.4,,27.4,
1966-01,27.4,,27.5,
1966-02,27.5,,27.5,
1966-03,27.8,,27.6,
1966-04,28.1,,27.8,
1966-05,28.0,,27.9,
1966-06,27.9,,27.9,
1966-07,27.8,,27.9,
1966-08,28.0,,28.0,
1966-09,27.9,,28.0,
1966-10,27.9,,28.1,
1966-11,28.1,,28.2,
1966-12,28.2,,28.2,
1967-01,28.1,,28.2,
1967-02,28.2,,28.2,
1967-03,28.4,,28.2,
1967-04,28.5,,28.2,
1967-05,28.4,,28.3,
1967-06,28.4,,28.4,
1967-07,28.3,,28.4,
1967-08,28.4,,28.4,
1967-09,28.3,,28.4,
1967-10,28.3,,28.5,
1967-11,28.4,,28.5,
1967-12,28.4,,28.4,
1968-01,28.6,,28.6,
1968-02,28.7,,28.7,
1968-03,28.8,,28.7,
1968-04,29.0,,28.7,
1968-05,28.8,,28.7,
1968-06,28.8,,28.8,
1968-07,28.7,,28.8,
1968-08,28.8,,28.8,
1968-09,28.7,,28.9,
1968-10,28.8,,28.9,
1968-11,28.9,,29.0,
1968-12,29.0,,29.1,
1969-01,29.0,,29.1,
1969-02,29.2,,29.2,
1969-03,29.3,,29.2,
1969-04,29.5,,29.2,
1969-05,29.4,,29.3,
1969-06,29.4,,29.3,
1969-07,29.3,,29.4,
1969-08,29.3,,29.4,
1969-09,29.3,,29.4,
1969-10,29.3,,29.5,
1969-11,29.5,,29.6,
1969-12,29.6,,29.7,
1970-01,29.8,,29.9,
1970-02,30.0,,29.9,
1970-03,30.2,,30.0,
1970-04,30.4,,30.1,
1970-05,30.3,,30.2,
1970-06,30.4,,30.3,
1970-07,30.3,,30.3,
1970-08,30.4,,30.5,
1970-09,30.4,,30.5,
1970-10,30.4,,30.6,
1970-11,30.7,,30.8,
1970-12,30.8,,30.9,
1971-01,31.1,,31.1,
1971-02,31.3,,31.3,
1971-03,31.6,,31.5,
1971-04,31.9,,31.6,
1971-05,31.8,,31.7,
1971-06,32.0,,31.9,
1971-07,32.0,,32.0,
1971-08,32.1,,32.2,
1971-09,32.2,,32.3,
1971-10,32.2,,32.4,
1971-11,32.5,,32.5,
1971-12,32.5,,32.6,
1972-01,32.8,,32.8,
1972-02,33.0,,32.9,
1972-03,33.2,,33.1,
1972-04,33.5,,33.2,
1972-05,33.4,,33.3,
1972-06,33.6,,33.4,
1972-07,33.7,,33.7,
1972-08,33.8,,33.9,
1972-09,34.1,,34.2,
1972-10,34.2,,34.4,
1972-11,34.5,,34.5,
1972-12,34.5,,34.7,
1973-01,34.9,,34.9,
1973-02,35.1,,35.1,
1973-03,35.4,,35.3,
1973-04,35.8,,35.5,
1973-05,35.9,,35.7,
1973-06,36.2,,36.0,
1973-07,36.2,,36.2,
1973-08,36.2,,36.3,
1973-09,36.2,,36.4,
1973-10,36.5,,36.7,
1973-11,37.1,,37.1,
1973-12,37.2,,37.4,
1974-01,37.5,,37.5,
1974-02,37.8,,37.7,
1974-03,37.9,,37.9,
1974-04,38.3,,38.1,
1974-05,38.5,,38.3,
1974-06,38.7,,38.5,
1974-07,38.7,,38.7,
1974-08,38.7,,38.8,
1974-09,38.8,,39.0,
1974-10,39.1,,39.3,
1974-11,39.5,,39.5,
1974-12,39.4,,39.6,
1975-01,39.8,,39.8,
1975-02,40.0,,39.9,
1975-03,40.1,,40.1,
1975-04,40.6,,40.4,
1975-05,40.9,,40.6,
1975-06,41.2,,40.9,
1975-07,41.1,,41.1,
1975-08,41.0,,41.1,
1975-09,41.2,,41.4,
1975-10,41.4,,41.5,
1975-11,41.6,,41.6,
1975-12,41.5,,41.8,
1976-01,41.9,,41.9,
1976-02,42.1,,42.1,
1976-03,42.1,,42.2,
1976-04,42.6,,42.4,
1976-05,42.7,,42.4,
1976-06,42.8,,42.5,
1976-07,42.6,,42.6,
1976-08,42.7,,42.8,
1976-09,42.7,,42.9,
1976-10,42.9,,43.1,
1976-11,43.1,,43.1,
1976-12,43.0,,43.3,
1977-01,43.5,,43.5,
1977-02,43.6,,43.6,
1977-03,43.7,,43.7,
1977-04,44.1,,43.8,
1977-05,44.3,,44.0,
1977-06,44.5,,44.2,
1977-07,44.3,,44.2,
1977-08,44.3,,44.4,
1977-09,44.3,,44.5,
1977-10,44.4,,44.6,
1977-11,44.6,,44.7,
1977-12,44.5,,44.8,
1978-01,44.8,,44.8,
1978-02,45.0,,45.0,
1978-03,45.1,,45.1,
1978-04,45.4,,45.2,
1978-05,45.5,,45.3,
1978-06,45.7,,45.4,
1978-07,45.5,,45.4,
1978-08,45.4,,45.5,
1978-09,45.3,,45.5,
1978-10,45.4,,45.6,
1978-11,45.7,,45.8,
1978-12,45.6,,45.9,
1979-01,46.1,,46.1,
1979-02,46.3,,46.2,
1979-03,46.5,,46.4,
1979-04,46.9,,46.7,
1979-05,47.0,,46.8,
1979-06,47.3,,47.0,
1979-07,47.5,,47.4,
1979-08,47.5,,47.6,
1979-09,47.6,,47.8,
1979-10,47.8,,48.0,
1979-11,48.1,,48.2,
1979-12,48.1,,48.4,
1980-01,48.4,,48.4,
1980-02,49.0,,48.9,
1980-03,49.2,,49.2,
1980-04,49.6,,49.3,
1980-05,49.8,,49.6,
1980-06,50.0,,49.8,
1980-07,50.0,,49.9,
1980-08,50.0,,50.1,
1980-09,49.9,,50.2,
1980-10,50.1,,50.4,
1980-11,50.6,,50.7,
1980-12,50.7,,51.0,
1981-01,51.3,,51.3,
1981-02,51.6,,51.6,
1981-03,52.0,,52.0,
1981-04,52.5,,52.3,
1981-05,52.7,,52.5,
1981-06,52.9,,52.7,
1981-07,53.2,,53.1,
1981-08,53.3,,53.4,
1981-09,53.5,,53.8,
1981-10,53.8,,54.0,
1981-11,54.2,,54.2,
1981-12,54.2,,54.4,
1982-01,54.6,,54.6,
1982-02,54.8,,54.7,
1982-03,54.8,,54.7,
1982-04,55.0,,54.8,
1982-05,55.4,,55.3,
1982-06,56.0,,55.8,
1982-07,56.1,,56.0,
1982-08,56.0,,56.1,
1982-09,56.1,,56.3,
1982-10,56.4,,56.6,
1982-11,56.7,,56.8,
1982-12,56.7,,56.9,
1983-01,56.9,,56.9,
1983-02,57.0,,56.9,
1983-03,56.9,,56.9,
1983-04,57.1,,57.0,
1983-05,57.3,,57.1,
1983-06,57.5,,57.3,
1983-07,57.7,,57.6,
1983-08,57.8,,58.0,
1983-09,57.9,,58.1,
1983-10,57.9,,58.1,
1983-11,58.2,,58.2,
1983-12,58.2,,58.3,
1984-01,58.4,,58.4,
1984-02,58.7,,58.5,
1984-03,58.7,,58.6,
1984-04,58.8,,58.7,
1984-05,58.9,,58.7,
1984-06,59.1,,58.9,
1984-07,59.0,,58.9,
1984-08,58.8,,59.0,
1984-09,58.8,,59.0,
1984-10,59.1,,59.4,
1984-11,59.4,,59.4,
1984-12,59.4,,59.5,
1985-01,59.7,,59.7,
1985-02,60.0,,59.9,
1985-03,60.2,,60.1,
1985-04,60.3,,60.2,
1985-05,60.4,,60.2,
1985-06,60.3,,60.1,
1985-07,60.2,,60.2,
1985-08,60.0,,60.2,
1985-09,60.0,,60.2,
1985-10,60.0,,60.3,
1985-11,60.4,,60.4,
1985-12,60.4,,60.5,
1986-01,60.5,,60.4,
1986-02,60.5,,60.3,
1986-03,60.3,,60.2,
1986-04,60.2,,60.1,
1986-05,60.3,,60.1,
1986-06,60.3,,60.1,
1986-07,60.0,,60.0,
1986-08,59.8,,60.0,
1986-09,59.8,,60.0,
1986-10,59.6,,59.9,
1986-11,59.8,,59.8,
1986-12,59.8,,59.9,
1987-01,60.0,,60.0,
1987-02,60.1,,60.0,
1987-03,60.1,,60.0,
1987-04,60.2,,60.1,
1987-05,60.4,,60.1,
1987-06,60.4,,60.2,
1987-07,60.3,,60.3,
1987-08,60.2,,60.4,
1987-09,60.0,,60.3,
1987-10,60.1,,60.4,
1987-11,60.4,,60.4,
1987-12,60.4,,60.5,
1988-01,60.5,,60.5,
1988-02,60.7,,60.6,
1988-03,60.7,,60.6,
1988-04,60.9,,60.7,
1988-05,61.1,,60.8,
1988-06,61.1,,60.9,
1988-07,61.0,,61.0,
1988-08,60.9,,61.1,
1988-09,60.9,,61.2,
1988-10,61.0,,61.3,
1988-11,61.4,,61.5,
1988-12,61.5,,61.6,
1989-01,61.9,,61.9,
1989-02,62.2,,62.1,
1989-03,62.3,,62.2,
1989-04,62.7,,62.5,
1989-05,62.9,,62.6,
1989-06,62.9,,62.7,
1989-07,62.7,,62.7,
1989-08,62.6,,62.8,
1989-09,62.7,,63.0,
1989-10,62.9,,63.2,
1989-11,63.2,,63.3,
1989-12,63.3,,63.5,
1990-01,63.6,,63.6,
1990-02,63.9,,63.8,
1990-03,64.0,,63.9,
1990-04,64.1,,63.9,
1990-05,64.3,,64.1,
1990-06,64.3,,64.1,
1990-07,64.2,,64.2,
1990-08,64.4,,64.5,
1990-09,64.6,,64.8,
1990-10,65.0,,65.3,
1990-11,65.1,,65.2,
1990-12,65.1,,65.3,
1991-01,65.4,,65.5,
1991-02,65.8,,65.6,
1991-03,65.9,,65.7,
1991-04,66.0,,65.8,
1991-05,66.3,,66.1,
1991-06,66.5,,66.3,
1991-07,67.3,,67.3,
1991-08,67.3,,67.4,
1991-09,67.2,,67.5,
1991-10,67.3,,67.6,
1991-11,67.8,,67.9,
1991-12,67.8,,68.1,
1992-01,68.1,,68.2,
1992-02,68.6,,68.4,
1992-03,68.9,,68.7,
1992-04,69.2,,69.0,
1992-05,69.4,,69.1,
1992-06,69.5,,69.3,
1992-07,69.7,,69.6,
1992-08,69.7,,69.7,
1992-09,69.6,,69.8,
1992-10,69.7,,70.1,
1992-11,70.1,,70.3,
1992-12,70.1,,70.4,
1993-01,70.7,,70.8,
1993-02,71.3,,71.1,
1993-03,71.6,,71.4,
1993-04,71.7,,71.5,
1993-05,71.9,,71.6,
1993-06,72.0,,71.8,
1993-07,72.2,,72.1,
1993-08,72.3,,72.3,
1993-09,72.1,,72.3,
1993-10,72.1,,72.5,
1993-11,72.3,,72.6,
1993-12,72.4,,72.7,
1994-01,72.8,,72.9,
1994-02,73.4,,73.2,
1994-03,73.5,,73.3,
1994-04,73.6,,73.4,
1994-05,73.8,,73.6,
1994-06,73.9,,73.7,
1994-07,74.0,,73.8,
1994-08,74.2,,74.1,
1994-09,74.0,,74.2,
1994-10,73.9,,74.3,
1994-11,74.0,,74.3,
1994-12,74.2,,74.6,
1995-01,74.5,,74.4,
1995-02,74.9,,74.7,
1995-03,74.9,,74.8,
1995-04,75.0,,74.8,
1995-05,75.0,,75.0,
1995-06,75.1,,75.1,
1995-07,75.3,,75.1,
1995-08,75.3,,75.3,
1995-09,75.3,,75.4,
1995-10,75.1,,75.4,
1995-11,75.1,,75.5,
1995-12,75.3,,75.4,
1996-01,75.5,,75.4,
1996-02,76.0,,75.6,
1996-03,76.0,,75.8,
1996-04,76.0,,76.0,
1996-05,76.1,,76.1,
1996-06,76.2,,76.2,
1996-07,76.3,,76.2,
1996-08,76.3,,76.3,
1996-09,76.3,,76.4,
1996-10,76.3,,76.6,
1996-11,76.2,,76.6,
1996-12,76.5,,76.6,
1997-01,77.1,,77.0,
1997-02,77.2,,77.1,
1997-03,77.2,,77.0,
1997-04,77.1,,77.0,
1997-05,77.3,,77.3,
1997-06,77.4,,77.4,
1997-07,78.1,,77.7,
1997-08,78.1,,77.9,
1997-09,78.0,,78.0,
1997-10,77.9,,78.1,
1997-11,77.9,,78.2,
1997-12,78.1,,78.3,
1998-01,78.1,,77.9,
1998-02,78.2,,77.9,
1998-03,78.1,,77.9,
1998-04,78.2,,78.0,
1998-05,78.3,,78.4,
1998-06,78.4,,78.4,
1998-07,78.7,,78.5,
1998-08,78.5,,78.5,
1998-09,78.3,,78.5,
1998-10,78.2,,78.6,
1998-11,78.2,,78.6,
1998-12,78.3,,78.6,
1999-01,78.2,,78.0,
1999-02,78.3,,78.0,
1999-03,78.3,,78.3,
1999-04,78.7,,78.8,
1999-05,78.7,,78.7,
1999-06,78.8,,78.7,
1999-07,79.2,,78.9,
1999-08,79.1,,78.9,
1999-09,78.9,,78.8,
1999-10,78.8,,79.0,
1999-11,79.0,,79.2,
1999-12,79.3,,79.3,
2000-01,79.5,,79.4,
2000-02,79.5,,79.4,
2000-03,79.5,,79.6,
2000-04,79.5,,79.5,
2000-05,79.5,,79.6,
2000-06,79.8,,79.8,
2000-07,80.2,,79.8,
2000-08,80.0,,79.8,
2000-09,80.2,,80.2,
2000-10,80.1,,80.4,
2000-11,80.2,,80.5,
2000-12,80.8,,80.6,
2001-01,80.6,,80.5,
2001-02,81.0,,80.9,
2001-03,81.0,,80.9,
2001-04,81.4,,81.2,
2001-05,81.7,,81.7,
2001-06,81.8,,81.8,
2001-07,81.9,,81.7,
2001-08,81.7,,81.8,
2001-09,81.7,,81.9,
2001-10,81.6,,81.9,
2001-11,81.4,,81.8,
2001-12,82.2,,82.0,
2002-01,82.2,,82.1,
2002-02,82.5,,82.3,
2002-03,82.7,,82.5,
2002-04,82.6,,82.6,
2002-05,82.7,,82.5,
2002-06,82.7,,82.5,
2002-07,82.8,,82.7,
2002-08,82.7,,82.7,
2002-09,82.7,,82.7,
2002-10,82.6,,82.8,
2002-11,82.3,,82.6,
2002-12,83.1,,82.8,
2003-01,83.1,,83.2,
2003-02,83.6,,83.3,
2003-03,83.6,,83.5,
2003-04,83.4,,83.3,
2003-05,83.2,,83.2,
2003-06,83.5,,83.4,
2003-07,83.6,,83.3,
2003-08,83.6,,83.5,
2003-09,83.6,,83.6,
2003-10,83.6,,83.9,
2003-11,83.4,,83.7,
2003-12,84.0,,83.6,
2004-01,84.0,,84.2,
2004-02,84.2,,84.2,
2004-03,84.5,,84.4,
2004-04,84.8,,84.7,
2004-05,85.0,,84.9,
2004-06,85.0,,84.9,
2004-07,85.1,,84.9,
2004-08,85.2,,85.2,
2004-09,85.0,,85.2,
2004-10,85.1,,85.4,
2004-11,85.0,,85.3,
2004-12,85.9,,85.5,
2005-01,85.3,,85.5,
2005-02,85.6,,85.5,
2005-03,86.0,,85.8,
2005-04,85.8,,85.8,
2005-05,85.9,,85.7,
2005-06,86.1,,86.0,
2005-07,86.4,,86.1,
2005-08,86.5,,86.4,
2005-09,86.6,,86.6,
2005-10,86.7,,86.8,
2005-11,86.4,,86.6,
2005-12,87.1,,86.7,
2006-01,86.8,,86.9,
2006-02,87.2,,87.1,
2006-03,87.2,,87.0,
2006-04,87.5,,87.4,
2006-05,87.5,,87.5,
2006-06,87.7,,87.6,
2006-07,88.0,,87.6,
2006-08,87.9,,87.8,
2006-09,87.6,,87.6,
2006-10,87.6,,87.7,
2006-11,87.6,,87.8,
2006-12,88.3,,88.0,
2007-01,88.3,,88.5,
2007-02,88.7,,88.7,
2007-03,88.9,,88.8,
2007-04,89.3,,89.0,
2007-05,89.3,,89.1,
2007-06,89.4,,89.3,
2007-07,89.8,,89.5,
2007-08,89.7,,89.5,
2007-09,89.9,,89.9,
2007-10,90.1,,90.2,
2007-11,90.6,,90.9,
2007-12,91.1,,90.8,
2008-01,90.8,,91.1,
2008-02,91.2,,91.2,
2008-03,91.7,,91.4,
2008-04,91.5,,91.4,
2008-05,92.0,,91.8,
2008-06,92.3,,92.3,
2008-07,92.8,,92.4,
2008-08,92.5,,92.3,
2008-09,92.4,,92.4,
2008-10,92.2,,92.3,
2008-11,91.8,,92.1,
2008-12,92.1,,91.8,
2009-01,91.7,,92.0,
2009-02,92.2,,92.1,
2009-03,92.0,,91.8,
2009-04,92.1,,91.8,
2009-05,92.0,,91.9,
2009-06,92.3,,92.3,
2009-07,92.3,,92.0,
2009-08,92.5,,92.3,
2009-09,92.2,,92.2,
2009-10,92.3,,92.4,
2009-11,92.1,,92.4,
2009-12,92.9,,92.6,
2010-01,92.3,,92.7,
2010-02,92.7,,92.7,
2010-03,93.2,,93.0,
2010-04,93.2,,93.2,
2010-05,93.2,,93.3,
2010-06,93.2,,93.3,
2010-07,93.3,,93.1,
2010-08,93.4,,93.2,
2010-09,93.3,,93.3,
2010-10,93.4,,93.5,
2010-11,93.6,,93.7,
2010-12,94.1,,93.9,
2011-01,93.9,,94.3,
2011-02,94.5,,94.4,
2011-03,95.0,,94.8,
2011-04,95.1,,95.2,
2011-05,95.0,,95.2,
2011-06,95.1,,95.1,
2011-07,95.3,,95.2,
2011-08,95.4,,95.3,
2011-09,95.6,,95.7,
2011-10,95.6,,95.7,
2011-11,95.7,,95.8,
2011-12,96.0,,95.8,
2012-01,95.8,,96.1,
2012-02,96.5,,96.5,
2012-03,97.1,,96.9,
2012-04,96.9,,96.9,
2012-05,96.8,,96.8,
2012-06,96.7,,96.8,
2012-07,97.1,,97.0,
2012-08,97.4,,97.2,
2012-09,97.5,,97.5,
2012-10,97.5,,97.6,
2012-11,97.6,,97.6,
2012-12,97.9,,97.6,
2013-01,97.4,,97.8,
2013-02,98.0,,98.1,
2013-03,98.4,,98.0,
2013-04,98.0,,98.2,
2013-05,98.4,,98.5,
2013-06,98.5,,98.7,
2013-07,98.9,,98.8,
2013-08,98.9,,98.7,
2013-09,98.9,,98.9,
2013-10,98.7,,98.7,
2013-11,98.9,,98.9,
2013-12,99.3,,99.0,
2014-01,98.8,,99.2,
2014-02,99.2,,99.3,
2014-03,99.5,,99.3,
2014-04,99.4,,99.5,
2014-05,99.2,,99.3,
2014-06,99.5,,99.4,
2014-07,99.7,,99.5,
2014-08,99.8,,99.7,
2014-09,99.8,,99.8,
2014-10,99.5,,99.6,
2014-11,99.5,,99.5,
2014-12,99.5,,99.2,
2015-01,98.5,,99.4,
2015-02,99.2,,99.7,
2015-03,99.7,,100.0,
2015-04,100.2,,100.1,
2015-05,100.4,,100.3,
2015-06,100.4,,100.2,
2015-07,100.6,,100.1,
2015-08,100.6,,100.1,
2015-09,100.4,,100.0,
2015-10,100.4,,100.1,
2015-11,99.7,,100.3,
2015-12,99.7,,100.0,
2016-01,99.0,,99.9,
2016-02,99.3,,99.9,
2016-03,100.0,,100.1,
2016-04,100.1,,100.2,
2016-05,100.6,,100.4,
2016-06,100.7,,100.5,
2016-07,101.1,,100.5,
2016-08,101.0,,100.5,
2016-09,101.0,,100.7,
2016-10,101.2,,100.9,
2016-11,100.5,,101.0,
2016-12,101.2,,101.4,
2017-01,100.6,,101.5,
2017-02,101.2,,101.7,
2017-03,101.4,,101.6,
2017-04,101.8,,101.7,
2017-05,101.8,,101.7,
2017-06,102.1,,101.8,
2017-07,102.5,,101.9,
2017-08,102.6,,102.1,
2017-09,102.7,,102.2,
2017-10,102.5,,102.1,
2017-11,102.1,,102.6,
2017-12,102.6,,102.8,
2018-01,102.0,,102.9,
2018-02,102.3,,102.9,
2018-03,102.9,,103.0,
2018-04,103.1,,103.2,
2018-05,103.9,,103.6,
2018-06,104.0,,103.7,
2018-07,104.4,,103.7,
2018-08,104.5,,104.0,
2018-09,104.7,,104.4,
2018-10,104.9,,104.6,
2018-11,104.2,,104.7,
2018-12,104.2,,104.4,
2019-01,103.4,,104.3,
2019-02,103.8,,104.4,
2019-03,104.2,,104.6,
2019-04,105.2,,105.1,
2019-05,105.4,,105.3,
2019-06,105.7,,105.3,
2019-07,106.2,,105.4,
2019-08,106.0,,105.5,
2019-09,106.0,,105.6,
2019-10,106.1,,105.7,
2019-11,105.3,,105.8,
2019-12,105.8,,106.0,
2020-01,105.2,,106.1,
2020-02,105.6,,106.2,
2020-03,105.7,,106.0,
2020-04,106.1,,106.0,
2020-05,106.0,,105.9,
2020-06,106.6,,106.2,
2020-07,106.1,,105.4,
2020-08,106.0,,105.4,
2020-09,105.8,,105.4,
2020-10,105.9,,105.6,
2020-11,105.0,,105.5,
2020-12,105.5,,105.7,
2021-01,106.3,,107.1,
2021-02,107.0,,107.5,
2021-03,107.5,,107.9,
2021-04,108.2,,108.1,
2021-05,108.7,,108.4,
2021-06,109.1,,108.8,
2021-07,110.1,,109.2,
2021-08,110.1,,109.5,
2021-09,110.1,,109.8,
2021-10,110.7,,110.4,
2021-11,110.5,,111.1,
2021-12,111.1,,111.3,
2022-01,111.5,,112.5,
2022-02,112.5,,113.0,
2022-03,115.3,,115.7,
2022-04,116.2,,116.1,
2022-05,117.3,,117.1,
"","General: Territorial definition: western Germany up to 1994 (without Saarland up to 1959 and without West Berlin up to1961), thereafter Germany (chain-linked via January 1995).  Up to 1961: price index for the standard of living of four-person households of workers and salaried staff with an average income, 1962-99: price index for the standard of living of all households, as of 2000: consumer price index",,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
"","Source: Statistical Federal Office, Wiesbaden",,,
