"",BBDP1.M.DE.N.VPI.C.A00000.I15.L,BBDP1.M.DE.N.VPI.C.A00000.I15.L_FLAGS,BBDP1.M.DE.Y.VPI.C.A00000.I15.L,BBDP1.M.DE.Y.VPI.C.A00000.I15.L_FLAGS
"",Consumer price index / Germany / Unadjusted figure / Overall index,,Consumer price index / Germany / Calendar and seasonally adjusted / Overall index,
unit,2015=100,,2015=100,
unit multiplier,one,,one,
last update,2022-06-14 08:19:46,,2022-06-14 08:22:17,
1948-06,18.9,,19.1,
1948-07,19.7,,19.9,
1948-08,20.4,,20.5,
1948-09,20.8,,20.9,
1948-10,21.6,,21.8,
1948-11,21.8,,21.5,
1948-12,22.0,,21.7,
1949-01,21.3,,21.4,
1949-02,21.4,,21.3,
1949-03,21.4,,21.1,
1949-04,21.0,,20.9,
1949-05,20.7,,20.9,
1949-06,20.8,,21.0,
1949-07,20.5,,20.7,
1949-08,20.4,,20.4,
1949-09,20.4,,20.5,
1949-10,20.3,,20.5,
1949-11,20.8,,20.5,
1949-12,20.6,,20.4,
1950-01,19.7,,19.8,
1950-02,19.8,,19.7,
1950-03,19.8,,19.5,
1950-04,19.5,,19.4,
1950-05,19.2,,19.4,
1950-06,19.2,,19.4,
1950-07,19.0,,19.2,
1950-08,19.3,,19.4,
1950-09,19.4,,19.5,
1950-10,19.3,,19.4,
1950-11,19.7,,19.5,
1950-12,19.8,,19.6,
1951-01,19.8,,19.8,
1951-02,20.2,,20.1,
1951-03,20.9,,20.6,
1951-04,20.9,,20.8,
1951-05,20.7,,21.0,
1951-06,21.0,,21.2,
1951-07,20.8,,21.1,
1951-08,21.1,,21.2,
1951-09,21.2,,21.3,
1951-10,21.5,,21.7,
1951-11,21.9,,21.7,
1951-12,21.9,,21.7,
1952-01,21.7,,21.8,
1952-02,21.8,,21.7,
1952-03,21.9,,21.6,
1952-04,21.6,,21.5,
1952-05,21.1,,21.4,
1952-06,21.1,,21.3,
1952-07,21.0,,21.2,
1952-08,21.3,,21.4,
1952-09,21.3,,21.4,
1952-10,21.2,,21.3,
1952-11,21.5,,21.3,
1952-12,21.5,,21.4,
1953-01,21.2,,21.3,
1953-02,21.3,,21.2,
1953-03,21.5,,21.2,
1953-04,21.3,,21.2,
1953-05,20.9,,21.2,
1953-06,20.9,,21.1,
1953-07,20.9,,21.1,
1953-08,21.0,,21.1,
1953-09,20.8,,20.9,
1953-10,20.7,,20.9,
1953-11,21.0,,20.9,
1953-12,21.0,,20.8,
1954-01,20.7,,20.8,
1954-02,21.0,,21.0,
1954-03,21.3,,21.0,
1954-04,21.2,,21.0,
1954-05,20.8,,21.0,
1954-06,20.9,,21.1,
1954-07,20.9,,21.1,
1954-08,21.1,,21.2,
1954-09,21.1,,21.2,
1954-10,21.1,,21.3,
1954-11,21.4,,21.3,
1954-12,21.4,,21.3,
1955-01,21.2,,21.3,
1955-02,21.3,,21.3,
1955-03,21.6,,21.3,
1955-04,21.5,,21.3,
1955-05,21.1,,21.3,
1955-06,21.2,,21.3,
1955-07,21.3,,21.5,
1955-08,21.4,,21.4,
1955-09,21.4,,21.5,
1955-10,21.5,,21.7,
1955-11,21.8,,21.7,
1955-12,21.9,,21.8,
1956-01,21.6,,21.7,
1956-02,21.8,,21.8,
1956-03,22.4,,22.1,
1956-04,22.2,,22.0,
1956-05,21.9,,22.0,
1956-06,21.9,,22.0,
1956-07,21.8,,22.0,
1956-08,22.0,,22.0,
1956-09,22.0,,22.1,
1956-10,21.9,,22.1,
1956-11,22.2,,22.1,
1956-12,22.3,,22.2,
1957-01,22.1,,22.2,
1957-02,22.2,,22.2,
1957-03,22.5,,22.2,
1957-04,22.4,,22.2,
1957-05,22.3,,22.4,
1957-06,22.4,,22.5,
1957-07,22.4,,22.6,
1957-08,22.7,,22.7,
1957-09,22.6,,22.7,
1957-10,22.5,,22.7,
1957-11,22.7,,22.7,
1957-12,22.8,,22.6,
1958-01,22.7,,22.8,
1958-02,22.9,,22.9,
1958-03,23.2,,22.9,
1958-04,23.2,,23.0,
1958-05,23.1,,23.1,
1958-06,23.1,,23.2,
1958-07,22.8,,23.0,
1958-08,22.9,,22.9,
1958-09,22.8,,22.8,
1958-10,22.7,,22.9,
1958-11,22.9,,22.9,
1958-12,23.1,,23.0,
1959-01,22.9,,23.0,
1959-02,23.0,,23.0,
1959-03,23.3,,23.0,
1959-04,23.1,,22.9,
1959-05,23.0,,23.0,
1959-06,23.0,,23.1,
1959-07,23.0,,23.1,
1959-08,23.4,,23.3,
1959-09,23.3,,23.3,
1959-10,23.2,,23.4,
1959-11,23.5,,23.4,
1959-12,23.5,,23.4,
1960-01,23.3,,23.4,
1960-02,23.4,,23.4,
1960-03,23.7,,23.4,
1960-04,23.6,,23.4,
1960-05,23.6,,23.5,
1960-06,23.4,,23.5,
1960-07,23.3,,23.5,
1960-08,23.6,,23.5,
1960-09,23.5,,23.6,
1960-10,23.4,,23.6,
1960-11,23.7,,23.6,
1960-12,23.7,,23.7,
