"",BBDE1.M.DE.Y.JAA9.P2XF50000.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50000.C.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50500.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.C.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50500.CN.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.CN.V.ABA.A_FLAGS,BBDE1.M.DE.Y.JAA9.P2XF50500.CB.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.CB.V.ABA.A_FLAGS
"","Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - residential and non-residential buildings, total / Calendar and seasonally adjusted",,"Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - residential buildings, total / Calendar and seasonally adjusted",,"Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - non-residential buildings, total / Calendar and seasonally adjusted",,"Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - non-residential buildings, total / Industrial construction / Calendar and seasonally adjusted",,"Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - non-residential buildings, total / Public sector construction / Calendar and seasonally adjusted",
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,billion,,billion,,billion,,billion,,billion,
last update,2022-03-10 08:08:26,,2022-03-10 08:08:26,,2022-03-10 08:08:26,,2022-03-10 08:08:26,,2022-03-10 08:08:26,
1994-01,20.04,,12.27,,7.77,,6.20,,1.57,
1994-02,18.81,,11.82,,6.99,,5.33,,1.66,
1994-03,18.55,,11.92,,6.63,,5.09,,1.54,
1994-04,19.65,,12.83,,6.82,,5.29,,1.53,
1994-05,19.22,,12.19,,7.03,,5.49,,1.54,
1994-06,19.15,,12.70,,6.45,,5.06,,1.39,
1994-07,19.85,,12.60,,7.25,,5.50,,1.75,
1994-08,19.16,,13.47,,5.69,,4.16,,1.53,
1994-09,18.39,,12.46,,5.93,,4.52,,1.41,
1994-10,21.83,,13.89,,7.94,,6.38,,1.56,
1994-11,21.48,,13.00,,8.48,,6.71,,1.77,
1994-12,19.85,,12.57,,7.28,,5.96,,1.32,
1995-01,19.60,,12.73,,6.87,,5.38,,1.49,
1995-02,19.11,,12.35,,6.76,,5.52,,1.24,
1995-03,18.50,,11.85,,6.65,,5.16,,1.49,
1995-04,19.08,,12.04,,7.04,,5.57,,1.47,
1995-05,18.99,,11.35,,7.64,,5.49,,2.15,
1995-06,17.17,,10.95,,6.22,,5.25,,0.97,
1995-07,18.13,,11.52,,6.61,,5.27,,1.34,
1995-08,18.14,,11.20,,6.94,,5.45,,1.49,
1995-09,16.88,,10.92,,5.96,,4.61,,1.35,
1995-10,16.66,,10.70,,5.96,,4.58,,1.38,
1995-11,16.75,,11.09,,5.66,,4.25,,1.41,
1995-12,19.61,,12.36,,7.25,,5.58,,1.67,
1996-01,17.11,,11.21,,5.90,,4.58,,1.32,
1996-02,16.74,,11.38,,5.36,,4.18,,1.18,
1996-03,18.33,,11.82,,6.51,,5.24,,1.27,
1996-04,17.61,,11.45,,6.16,,4.89,,1.27,
1996-05,16.39,,10.53,,5.86,,4.48,,1.38,
1996-06,17.61,,11.69,,5.92,,4.75,,1.17,
1996-07,17.57,,10.95,,6.62,,5.26,,1.36,
1996-08,16.17,,10.81,,5.36,,4.26,,1.10,
1996-09,17.15,,11.12,,6.03,,4.72,,1.31,
1996-10,16.67,,10.29,,6.38,,4.66,,1.72,
1996-11,16.66,,10.77,,5.89,,4.64,,1.25,
1996-12,18.35,,10.98,,7.37,,5.86,,1.51,
1997-01,16.67,,10.50,,6.17,,4.67,,1.50,
1997-02,17.73,,11.38,,6.35,,4.73,,1.62,
1997-03,16.52,,10.93,,5.59,,4.13,,1.46,
1997-04,15.45,,10.21,,5.24,,4.01,,1.23,
1997-05,17.12,,11.42,,5.70,,4.33,,1.37,
1997-06,15.93,,10.21,,5.72,,4.39,,1.33,
1997-07,15.51,,10.48,,5.03,,3.96,,1.07,
1997-08,15.94,,10.28,,5.66,,4.36,,1.30,
1997-09,16.63,,10.80,,5.83,,3.93,,1.90,
1997-10,16.51,,10.51,,6.00,,4.39,,1.61,
1997-11,15.68,,10.53,,5.15,,4.19,,0.96,
1997-12,15.30,,9.88,,5.42,,3.97,,1.45,
1998-01,14.49,,9.46,,5.03,,3.66,,1.37,
1998-02,14.43,,9.02,,5.41,,4.30,,1.11,
1998-03,14.74,,9.84,,4.90,,3.55,,1.35,
1998-04,16.01,,10.22,,5.79,,4.00,,1.79,
1998-05,17.39,,11.48,,5.91,,4.74,,1.17,
1998-06,16.85,,11.03,,5.82,,4.25,,1.57,
1998-07,15.72,,9.71,,6.01,,3.92,,2.09,
1998-08,16.19,,10.48,,5.71,,4.37,,1.34,
1998-09,15.87,,10.41,,5.46,,3.98,,1.48,
1998-10,15.69,,10.00,,5.69,,4.16,,1.53,
1998-11,15.34,,9.62,,5.72,,4.44,,1.28,
1998-12,15.37,,10.00,,5.37,,4.28,,1.09,
1999-01,7.80,,4.97,,2.83,,2.31,,0.52,
1999-02,7.21,,4.46,,2.75,,2.13,,0.62,
1999-03,7.75,,4.74,,3.01,,2.16,,0.85,
1999-04,7.60,,4.90,,2.70,,2.07,,0.63,
1999-05,7.73,,5.14,,2.59,,1.97,,0.62,
