"",BBNZ1.Q.DE.Y.G.0108.A,BBNZ1.Q.DE.Y.G.0108.A_FLAGS,BBNZ1.Q.DE.Y.G.0103.A,BBNZ1.Q.DE.Y.G.0103.A_FLAGS,BBNZ1.Q.DE.S.G.0106.A,BBNZ1.Q.DE.S.G.0106.A_FLAGS,BBNZ1.Q.DE.Y.G.0152.A,BBNZ1.Q.DE.Y.G.0152.A_FLAGS,BBNZ1.Q.DE.Y.G.0155.A,BBNZ1.Q.DE.Y.G.0155.A_FLAGS,BBNZ1.Q.DE.Y.G.0161.A,BBNZ1.Q.DE.Y.G.0161.A_FLAGS,BBNZ1.Q.DE.Y.G.0112.A,BBNZ1.Q.DE.Y.G.0112.A_FLAGS,BBNZ1.Q.DE.Y.G.0110.A,BBNZ1.Q.DE.Y.G.0110.A_FLAGS,BBNZ1.Q.DE.Y.G.0111.A,BBNZ1.Q.DE.Y.G.0111.A_FLAGS,BBNZ1.Q.DE.Y.G.0151.A,BBNZ1.Q.DE.Y.G.0151.A_FLAGS,BBNZ1.Q.DE.Y.G.0156.A,BBNZ1.Q.DE.Y.G.0156.A_FLAGS,BBNZ1.Q.DE.Y.G.0157.A,BBNZ1.Q.DE.Y.G.0157.A_FLAGS,BBNZ1.Q.DE.Y.G.0158.A,BBNZ1.Q.DE.Y.G.0158.A_FLAGS,BBNZ1.Q.DE.Y.G.0165.A,BBNZ1.Q.DE.Y.G.0165.A_FLAGS,BBNZ1.Q.DE.Y.G.0166.A,BBNZ1.Q.DE.Y.G.0166.A_FLAGS,BBNZ1.Q.DE.Y.G.0167.A,BBNZ1.Q.DE.Y.G.0167.A_FLAGS,BBNZ1.Q.DE.Y.G.0168.A,BBNZ1.Q.DE.Y.G.0168.A_FLAGS,BBNZ1.Q.DE.Y.G.0169.A,BBNZ1.Q.DE.Y.G.0169.A_FLAGS,BBNZ1.Q.DE.Y.G.0170.A,BBNZ1.Q.DE.Y.G.0170.A_FLAGS,BBNZ1.Q.DE.Y.G.0172.A,BBNZ1.Q.DE.Y.G.0172.A_FLAGS,BBNZ1.Q.DE.Y.G.0173.A,BBNZ1.Q.DE.Y.G.0173.A_FLAGS,BBNZ1.Q.DE.Y.G.0174.A,BBNZ1.Q.DE.Y.G.0174.A_FLAGS,BBNZ1.Q.DE.Y.G.0175.A,BBNZ1.Q.DE.Y.G.0175.A_FLAGS,BBNZ1.Q.DE.Y.G.0176.A,BBNZ1.Q.DE.Y.G.0176.A_FLAGS,BBNZ1.Q.DE.Y.G.0177.A,BBNZ1.Q.DE.Y.G.0177.A_FLAGS,BBNZ1.Q.DE.Y.G.0178.A,BBNZ1.Q.DE.Y.G.0178.A_FLAGS
2003-04,530.945,,310.997,,105.777,,38.046,,53.147,,6.127,,19.240,,178.181,,158.941,,108.044,,30.527,,22.620,,16.851,,11.937,,2.079,,7.240,,0.162,,7.078,,2.618,,96.107,,35.967,,45.907,,30.365,,15.542,,14.233,,65.742,
2003-07,532.728,,313.096,,108.249,,38.083,,53.160,,3.133,,24.405,,183.036,,158.631,,108.250,,30.756,,22.404,,17.007,,11.849,,1.954,,7.248,,0.162,,7.086,,2.647,,96.401,,36.129,,45.912,,30.594,,15.318,,14.360,,65.807,
2003-10,534.817,,314.017,,107.364,,38.151,,53.140,,5.146,,23.661,,187.185,,163.524,,108.290,,30.704,,22.436,,16.999,,11.601,,1.736,,7.366,,0.162,,7.204,,2.499,,96.689,,36.415,,45.774,,30.542,,15.232,,14.500,,66.147,
2004-01,530.548,,314.969,,106.192,,36.910,,52.369,,3.011,,29.490,,194.379,,164.889,,106.376,,30.314,,22.055,,17.097,,11.490,,1.979,,6.862,,0.117,,6.745,,2.649,,94.886,,34.931,,45.507,,30.197,,15.310,,14.448,,64.689,
2004-04,532.277,,316.333,,106.416,,39.265,,51.316,,1.771,,33.735,,203.734,,169.999,,107.757,,29.837,,21.479,,17.176,,10.956,,1.771,,6.626,,0.115,,6.511,,2.559,,96.801,,37.494,,44.690,,29.722,,14.968,,14.617,,67.079,
2004-07,538.811,,316.304,,107.121,,39.698,,50.582,,7.779,,26.176,,201.048,,174.872,,107.607,,29.285,,21.297,,17.327,,10.906,,1.696,,6.631,,0.113,,6.518,,2.579,,96.701,,38.002,,43.951,,29.172,,14.779,,14.748,,67.529,
2004-10,537.623,,319.395,,106.019,,39.319,,50.454,,5.081,,26.361,,203.090,,176.729,,107.128,,28.999,,21.455,,17.355,,10.373,,1.772,,6.061,,0.111,,5.950,,2.540,,96.755,,37.547,,44.393,,28.888,,15.505,,14.815,,67.867,
2005-01,531.934,,321.568,,106.285,,39.447,,48.894,,-1.571,,33.319,,208.102,,174.783,,105.652,,28.154,,20.740,,17.311,,10.579,,1.658,,6.310,,0.112,,6.198,,2.611,,95.073,,37.789,,42.584,,28.042,,14.542,,14.700,,67.031,
2005-04,540.106,,321.603,,107.705,,40.344,,49.670,,3.318,,28.456,,212.228,,183.772,,107.480,,28.507,,21.163,,17.466,,11.016,,1.844,,6.543,,0.116,,6.427,,2.629,,96.464,,38.500,,43.127,,28.391,,14.736,,14.837,,68.073,
2005-07,543.427,,323.638,,107.863,,41.401,,50.160,,2.805,,30.223,,221.057,,190.834,,109.121,,28.906,,21.254,,17.560,,11.681,,2.835,,6.227,,0.118,,6.109,,2.619,,97.440,,38.566,,43.933,,28.788,,15.145,,14.941,,68.652,
2005-10,551.579,,325.697,,107.798,,43.888,,50.820,,5.838,,25.664,,225.887,,200.223,,112.246,,29.065,,21.755,,17.538,,10.658,,2.405,,5.745,,0.117,,5.628,,2.508,,101.588,,41.483,,45.075,,28.948,,16.127,,15.030,,72.640,
2006-01,555.418,,328.401,,109.080,,43.562,,49.389,,6.793,,26.421,,234.063,,207.642,,111.144,,28.786,,20.603,,18.193,,11.325,,2.551,,5.945,,0.109,,5.836,,2.829,,99.819,,41.011,,43.444,,28.677,,14.767,,15.364,,71.142,
2006-04,564.290,,330.526,,108.892,,47.260,,53.140,,6.190,,30.048,,241.724,,211.676,,118.682,,30.919,,22.221,,18.282,,12.618,,2.722,,7.122,,0.122,,7.000,,2.774,,106.064,,44.538,,46.018,,30.797,,15.221,,15.508,,75.267,
2006-07,566.692,,331.622,,109.155,,45.921,,55.365,,6.282,,32.327,,248.923,,216.596,,119.633,,32.124,,23.241,,18.347,,12.479,,2.442,,7.319,,0.125,,7.194,,2.718,,107.154,,43.479,,48.046,,31.999,,16.047,,15.629,,75.155,
2006-10,569.650,,338.060,,110.006,,47.740,,57.167,,-1.866,,40.711,,264.066,,223.355,,123.450,,33.190,,23.977,,18.543,,12.448,,2.829,,6.808,,0.129,,6.679,,2.811,,111.002,,44.911,,50.359,,33.061,,17.298,,15.732,,77.941,
2007-01,578.088,,331.551,,110.682,,48.295,,58.374,,10.197,,37.921,,263.087,,225.166,,125.658,,33.352,,25.022,,18.989,,12.659,,1.831,,7.952,,0.134,,7.818,,2.876,,112.999,,46.464,,50.422,,33.218,,17.204,,16.113,,79.781,
2007-04,579.735,,336.989,,111.171,,49.614,,55.518,,7.323,,43.535,,270.272,,226.737,,124.252,,31.954,,23.564,,19.120,,12.068,,1.813,,7.346,,0.130,,7.216,,2.909,,112.184,,47.801,,48.172,,31.824,,16.348,,16.211,,80.360,
2007-07,583.835,,339.548,,111.367,,49.597,,56.192,,7.799,,44.664,,275.664,,231.000,,125.121,,32.371,,23.821,,19.332,,12.320,,1.816,,7.527,,0.131,,7.396,,2.977,,112.801,,47.781,,48.665,,32.240,,16.425,,16.355,,80.561,
2007-10,590.351,,342.437,,113.075,,51.176,,57.459,,6.658,,44.603,,277.941,,233.338,,128.181,,32.687,,24.772,,19.546,,12.392,,2.047,,7.341,,0.132,,7.209,,3.004,,115.789,,49.129,,50.118,,32.555,,17.563,,16.542,,83.234,
2008-01,595.007,,341.922,,114.305,,50.326,,59.801,,8.481,,43.580,,283.123,,239.543,,130.299,,33.452,,26.349,,20.172,,13.485,,2.325,,8.224,,0.182,,8.042,,2.936,,116.814,,48.001,,51.577,,33.270,,18.307,,17.236,,83.544,
2008-04,595.331,,344.458,,116.662,,50.867,,57.074,,5.756,,43.718,,282.964,,239.246,,128.455,,31.771,,25.303,,20.514,,13.358,,2.372,,7.831,,0.177,,7.654,,3.155,,115.097,,48.495,,49.243,,31.594,,17.649,,17.359,,83.503,
2008-07,601.626,,347.277,,116.124,,51.027,,57.524,,9.021,,34.667,,282.101,,247.434,,129.204,,31.876,,25.648,,20.653,,13.291,,2.223,,7.949,,0.177,,7.772,,3.119,,115.913,,48.804,,49.575,,31.699,,17.876,,17.534,,84.214,
2008-10,597.673,,345.681,,117.785,,49.032,,57.707,,6.584,,31.189,,264.118,,232.929,,127.623,,32.154,,25.553,,20.884,,13.525,,2.138,,8.184,,0.175,,8.009,,3.203,,114.098,,46.894,,49.523,,31.979,,17.544,,17.681,,82.119,
2009-01,582.024,,346.017,,120.646,,40.857,,56.251,,-2.200,,21.588,,230.170,,208.582,,117.561,,31.567,,24.684,,20.453,,13.650,,2.550,,7.940,,0.162,,7.778,,3.160,,103.911,,38.307,,48.311,,31.405,,16.906,,17.293,,72.506,
2009-04,576.938,,346.227,,121.839,,40.408,,56.181,,-8.454,,29.913,,225.372,,195.459,,117.326,,31.342,,24.839,,20.737,,14.524,,2.975,,8.244,,0.167,,8.077,,3.305,,102.802,,37.433,,47.937,,31.175,,16.762,,17.432,,71.627,
2009-07,581.931,,343.955,,123.519,,40.037,,56.765,,-3.378,,31.519,,233.341,,201.822,,117.835,,31.583,,25.182,,21.033,,14.940,,2.924,,8.540,,0.167,,8.373,,3.476,,102.895,,37.113,,48.225,,31.416,,16.809,,17.557,,71.479,
2009-10,580.942,,344.365,,122.939,,38.648,,57.721,,-3.782,,38.671,,241.017,,202.346,,117.420,,32.241,,25.480,,21.051,,14.928,,2.765,,8.661,,0.165,,8.496,,3.502,,102.492,,35.883,,49.060,,32.076,,16.984,,17.549,,70.416,
2010-01,593.739,,347.113,,125.294,,41.812,,55.680,,3.052,,31.210,,249.630,,218.420,,118.280,,31.796,,23.884,,20.788,,14.344,,3.222,,7.724,,0.130,,7.594,,3.398,,103.936,,38.590,,47.956,,31.666,,16.290,,17.390,,72.270,
2010-04,604.873,,352.355,,124.217,,44.476,,60.806,,2.192,,30.549,,271.538,,240.989,,126.109,,34.227,,26.579,,20.827,,15.512,,3.099,,8.977,,0.144,,8.833,,3.436,,110.597,,41.377,,51.829,,34.083,,17.746,,17.391,,76.514,
2010-07,610.846,,354.578,,125.827,,45.853,,60.713,,2.810,,34.850,,278.847,,243.997,,127.631,,34.017,,26.696,,21.065,,15.739,,3.413,,8.771,,0.142,,8.629,,3.555,,111.892,,42.440,,51.942,,33.875,,18.067,,17.510,,78.017,
2010-10,616.717,,357.642,,126.341,,45.692,,59.280,,6.436,,35.802,,285.107,,249.305,,126.298,,33.451,,25.829,,21.326,,14.659,,2.757,,8.257,,0.136,,8.121,,3.645,,111.639,,42.935,,51.023,,33.315,,17.708,,17.681,,78.324,
2011-01,632.105,,362.259,,127.291,,47.131,,64.809,,8.130,,33.076,,296.816,,263.740,,134.425,,36.937,,27.872,,22.485,,15.569,,3.328,,8.696,,0.186,,8.510,,3.545,,118.856,,43.803,,56.113,,36.751,,19.362,,18.940,,82.105,
2011-04,638.985,,363.412,,128.330,,47.277,,65.965,,11.305,,29.244,,301.344,,272.100,,135.938,,37.738,,28.227,,22.696,,15.698,,3.176,,8.812,,0.191,,8.621,,3.710,,120.240,,44.101,,57.153,,37.547,,19.606,,18.986,,82.693,
2011-07,643.113,,367.569,,128.406,,49.401,,66.016,,8.932,,33.685,,305.496,,271.811,,138.206,,37.906,,28.110,,22.789,,15.850,,3.423,,8.806,,0.189,,8.617,,3.621,,122.356,,45.978,,57.210,,37.717,,19.493,,19.168,,84.639,
2011-10,645.291,,370.232,,129.632,,47.752,,67.350,,7.449,,33.914,,304.727,,270.813,,137.978,,38.687,,28.663,,22.876,,15.270,,2.962,,8.720,,0.189,,8.531,,3.588,,122.708,,44.790,,58.630,,38.498,,20.132,,19.288,,84.210,
2012-01,641.784,,373.692,,130.627,,48.614,,67.938,,-2.060,,38.901,,314.604,,275.703,,139.525,,39.949,,27.989,,22.973,,15.582,,3.643,,8.195,,0.144,,8.051,,3.744,,123.943,,44.971,,59.743,,39.805,,19.938,,19.229,,84.138,
2012-04,641.863,,375.534,,132.092,,47.989,,68.676,,-5.593,,41.792,,318.553,,276.761,,139.830,,40.411,,28.265,,23.165,,14.822,,2.784,,8.170,,0.145,,8.025,,3.868,,125.008,,45.205,,60.506,,40.266,,20.240,,19.297,,84.742,
2012-07,644.365,,377.302,,132.579,,47.221,,69.482,,-5.634,,46.043,,323.303,,277.260,,140.118,,40.998,,28.484,,23.415,,15.141,,2.814,,8.413,,0.144,,8.269,,3.914,,124.977,,44.407,,61.069,,40.854,,20.215,,19.501,,84.123,
2012-10,649.844,,379.916,,133.912,,47.104,,68.916,,-3.712,,41.752,,317.543,,275.791,,139.728,,40.558,,28.358,,23.708,,15.386,,3.116,,8.308,,0.142,,8.166,,3.962,,124.342,,43.988,,60.608,,40.416,,20.192,,19.746,,83.926,
2013-01,652.426,,380.927,,136.374,,45.282,,66.045,,0.347,,39.871,,316.188,,276.317,,134.778,,39.316,,26.729,,23.451,,13.897,,2.426,,7.517,,0.127,,7.390,,3.954,,120.881,,42.856,,58.528,,39.189,,19.339,,19.497,,81.692,
2013-04,662.891,,383.101,,136.830,,46.945,,69.434,,2.901,,38.887,,317.023,,278.136,,140.059,,40.881,,28.553,,23.680,,15.570,,3.072,,8.505,,0.133,,8.372,,3.993,,124.489,,43.873,,60.929,,40.748,,20.181,,19.687,,83.741,
2013-07,669.242,,385.461,,138.993,,45.985,,71.706,,3.246,,39.786,,321.553,,281.767,,141.542,,42.510,,29.196,,23.851,,15.783,,3.021,,8.819,,0.134,,8.685,,3.943,,125.759,,42.964,,62.887,,42.376,,20.511,,19.908,,83.383,
2013-10,667.436,,385.874,,139.698,,48.983,,71.896,,-3.167,,45.267,,327.093,,281.826,,145.031,,42.573,,29.323,,24.152,,16.102,,3.148,,8.955,,0.134,,8.821,,3.999,,128.929,,45.835,,62.941,,42.439,,20.502,,20.153,,86.490,
2014-01,680.260,,388.823,,141.395,,49.101,,73.934,,2.322,,45.015,,327.413,,282.398,,147.720,,44.321,,29.613,,24.685,,15.491,,2.392,,8.981,,0.173,,8.808,,4.118,,132.229,,46.709,,64.953,,44.148,,20.805,,20.567,,88.081,
2014-04,683.509,,388.706,,142.641,,49.372,,71.828,,6.188,,45.555,,329.929,,284.374,,145.974,,42.982,,28.846,,24.774,,15.268,,2.627,,8.643,,0.166,,8.477,,3.998,,130.706,,46.745,,63.185,,42.816,,20.369,,20.776,,87.890,
2014-07,684.213,,392.831,,144.227,,48.945,,72.407,,0.669,,50.561,,337.400,,286.839,,146.486,,43.281,,29.126,,25.134,,15.231,,2.814,,8.354,,0.164,,8.190,,4.063,,131.255,,46.131,,64.053,,43.117,,20.936,,21.071,,88.138,
2014-10,688.637,,395.368,,145.192,,49.747,,73.006,,-0.222,,53.902,,344.484,,290.582,,148.299,,43.511,,29.495,,25.546,,15.517,,2.691,,8.684,,0.164,,8.520,,4.142,,132.782,,47.056,,64.322,,43.347,,20.975,,21.404,,89.435,
2015-01,690.402,,395.840,,146.046,,50.282,,72.137,,-0.242,,54.824,,348.254,,293.430,,148.758,,43.298,,28.839,,26.339,,15.717,,2.879,,8.627,,0.159,,8.468,,4.211,,133.041,,47.403,,63.510,,43.139,,20.371,,22.128,,89.902,
2015-04,694.201,,400.019,,147.993,,50.838,,71.885,,-3.358,,59.502,,357.198,,297.696,,149.547,,43.433,,28.452,,26.824,,15.651,,2.877,,8.445,,0.158,,8.287,,4.329,,133.896,,47.961,,63.440,,43.275,,20.165,,22.495,,90.621,
2015-07,701.546,,402.611,,149.615,,51.570,,72.388,,-1.721,,58.107,,356.966,,298.859,,151.041,,43.694,,28.694,,27.083,,15.983,,3.062,,8.631,,0.159,,8.472,,4.290,,135.058,,48.508,,63.757,,43.535,,20.222,,22.793,,91.523,
2015-10,708.365,,404.700,,152.253,,53.365,,74.091,,-3.447,,56.150,,353.875,,297.725,,154.859,,44.497,,29.594,,27.403,,17.308,,3.917,,9.098,,0.159,,8.939,,4.293,,137.551,,49.448,,64.993,,44.338,,20.655,,23.110,,93.213,
2016-01,718.348,,407.572,,153.916,,53.566,,76.102,,-0.908,,56.008,,354.019,,298.011,,157.768,,46.136,,29.966,,28.100,,17.644,,3.626,,9.359,,0.186,,9.173,,4.659,,140.124,,49.940,,66.743,,45.950,,20.793,,23.441,,94.174,
2016-04,719.362,,410.671,,155.591,,52.545,,75.908,,-3.911,,60.928,,358.810,,297.882,,157.011,,46.619,,29.289,,28.558,,16.713,,3.084,,8.955,,0.186,,8.769,,4.674,,140.298,,49.461,,66.953,,46.433,,20.520,,23.884,,93.865,
2016-07,726.467,,414.248,,156.666,,53.505,,76.748,,-3.489,,57.811,,359.607,,301.796,,159.042,,46.986,,29.762,,28.789,,16.879,,3.168,,9.090,,0.187,,8.903,,4.621,,142.163,,50.337,,67.658,,46.799,,20.859,,24.168,,95.364,
2016-10,736.042,,417.790,,157.678,,53.270,,77.557,,0.941,,53.949,,365.665,,311.716,,159.633,,47.584,,29.973,,28.806,,17.171,,3.657,,9.179,,0.188,,8.991,,4.335,,142.462,,49.613,,68.378,,47.396,,20.982,,24.471,,95.066,
2017-01,746.775,,420.886,,159.657,,54.466,,78.340,,3.865,,54.872,,376.369,,321.497,,162.367,,47.618,,30.722,,29.561,,17.528,,3.472,,9.370,,0.277,,9.093,,4.686,,144.839,,50.994,,68.970,,47.341,,21.629,,24.875,,97.498,
2017-04,756.615,,423.470,,161.136,,56.119,,80.802,,5.150,,56.081,,384.638,,328.557,,166.859,,49.275,,31.527,,29.938,,18.630,,4.020,,9.871,,0.284,,9.587,,4.739,,148.229,,52.099,,70.931,,48.991,,21.940,,25.199,,99.238,
2017-07,762.559,,428.117,,162.412,,56.991,,81.447,,3.333,,61.009,,387.488,,326.479,,168.697,,49.592,,31.855,,30.259,,18.649,,3.980,,9.931,,0.284,,9.647,,4.738,,150.048,,53.011,,71.516,,49.308,,22.208,,25.521,,100.740,
2017-10,772.381,,431.603,,165.015,,57.514,,82.132,,5.159,,60.705,,395.479,,334.774,,170.604,,49.900,,32.232,,30.958,,18.187,,3.428,,9.989,,0.288,,9.701,,4.770,,152.417,,54.086,,72.143,,49.612,,22.531,,26.188,,102.805,
2018-01,774.523,,434.462,,165.373,,58.465,,83.173,,1.836,,58.791,,395.923,,337.132,,172.852,,50.938,,32.235,,31.214,,19.562,,4.743,,9.920,,0.198,,9.722,,4.899,,153.290,,53.722,,73.253,,50.740,,22.513,,26.315,,102.550,
2018-04,784.902,,436.822,,167.326,,58.838,,85.949,,4.077,,57.451,,399.835,,342.384,,176.677,,52.354,,33.595,,31.890,,19.511,,3.922,,10.587,,0.202,,10.385,,5.002,,157.166,,54.916,,75.362,,52.152,,23.210,,26.888,,105.014,
2018-07,796.782,,438.807,,167.609,,59.239,,88.142,,10.704,,46.280,,399.706,,353.426,,179.662,,53.579,,34.563,,32.281,,20.268,,4.088,,11.141,,0.208,,10.933,,5.039,,159.394,,55.151,,77.001,,53.371,,23.630,,27.242,,106.023,
2018-10,806.555,,443.064,,170.058,,59.935,,89.696,,10.984,,47.059,,403.430,,356.371,,182.449,,54.371,,35.325,,32.818,,20.396,,4.145,,11.071,,0.212,,10.859,,5.180,,162.053,,55.790,,78.625,,54.159,,24.466,,27.638,,107.894,
2019-01,813.006,,447.031,,173.371,,60.870,,90.283,,7.962,,49.878,,407.876,,357.998,,184.642,,55.479,,34.804,,33.489,,19.778,,3.686,,11.043,,0.215,,10.828,,5.049,,164.864,,57.184,,79.240,,55.264,,23.976,,28.440,,109.600,
2019-04,818.397,,450.481,,174.450,,61.266,,90.785,,7.383,,45.940,,402.386,,356.446,,186.083,,55.360,,35.425,,34.032,,21.353,,5.206,,11.081,,0.215,,10.866,,5.066,,164.730,,56.060,,79.704,,55.145,,24.559,,28.966,,109.585,
2019-07,820.829,,453.106,,177.786,,60.785,,92.006,,2.594,,52.166,,407.182,,355.016,,187.343,,56.194,,35.812,,34.552,,21.424,,4.642,,11.484,,0.220,,11.264,,5.298,,165.919,,56.143,,80.522,,55.974,,24.548,,29.254,,109.945,
2019-10,828.621,,454.216,,179.588,,59.575,,92.569,,7.709,,50.375,,408.309,,357.934,,187.108,,56.595,,35.974,,34.964,,20.755,,3.920,,11.572,,0.223,,11.349,,5.263,,166.353,,55.655,,80.997,,56.372,,24.625,,29.701,,109.981,
2020-01,824.180,,446.372,,182.664,,55.569,,97.093,,7.548,,42.892,,393.381,,350.489,,187.596,,60.022,,37.071,,34.934,,21.551,,4.023,,12.318,,0.232,,12.086,,5.210,,166.045,,51.546,,84.775,,59.790,,24.985,,29.724,,106.255,
2020-04,754.420,,396.549,,187.710,,47.477,,94.193,,-5.225,,31.046,,311.780,,280.734,,175.386,,57.971,,36.222,,33.716,,23.941,,6.798,,11.969,,0.224,,11.745,,5.174,,151.445,,40.679,,82.224,,57.747,,24.477,,28.542,,93.698,
2020-07,793.937,,436.106,,190.404,,55.649,,91.889,,-14.890,,54.919,,365.678,,310.759,,182.317,,56.467,,35.422,,34.779,,21.615,,4.950,,11.395,,0.222,,11.173,,5.270,,160.702,,50.699,,80.494,,56.245,,24.249,,29.509,,104.457,
2020-10,797.137,,426.759,,193.796,,56.857,,95.230,,-10.979,,61.693,,384.375,,322.682,,187.561,,58.959,,36.271,,35.474,,21.888,,4.696,,11.818,,0.235,,11.583,,5.374,,165.673,,52.161,,83.412,,58.724,,24.688,,30.100,,106.949,
2021-01,805.048,,412.800,,194.469,,56.915,,97.344,,8.874,,53.201,,397.166,,343.965,,188.905,,60.646,,36.698,,34.646,,22.578,,5.248,,11.882,,0.235,,11.647,,5.448,,166.327,,51.667,,85.462,,60.411,,25.051,,29.198,,105.916,
2021-04,826.839,,430.251,,200.813,,57.455,,102.399,,0.800,,48.738,,412.368,,363.630,,194.975,,63.656,,38.743,,35.121,,22.486,,5.187,,11.950,,0.248,,11.702,,5.349,,172.489,,52.268,,90.449,,63.408,,27.041,,29.772,,109.081,
2021-07,864.035,,460.718,,200.998,,55.579,,103.904,,7.269,,46.901,,421.344,,374.443,,195.050,,64.815,,39.089,,35.567,,22.145,,4.404,,12.295,,0.258,,12.037,,5.446,,172.905,,51.175,,91.609,,64.557,,27.052,,30.121,,108.348,
2021-10,877.200,,460.351,,203.989,,56.619,,105.234,,14.860,,40.023,,448.937,,408.914,,198.000,,65.296,,39.938,,36.147,,23.775,,5.239,,12.997,,0.262,,12.735,,5.539,,174.225,,51.380,,92.237,,65.034,,27.203,,30.608,,109.191,
2022-01,902.573,,471.681,,207.824,,58.981,,113.525,,14.772,,22.488,,454.201,,431.713,,208.296,,71.243,,42.282,,35.790,,24.049,,4.435,,14.000,,0.275,,13.725,,5.614,,184.247,,54.546,,99.525,,70.968,,28.557,,30.176,,113.279,
"",Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
