"",BBNZ1.Q.DE.Y.G.0108.A,BBNZ1.Q.DE.Y.G.0108.A_FLAGS,BBNZ1.Q.DE.Y.G.0103.A,BBNZ1.Q.DE.Y.G.0103.A_FLAGS,BBNZ1.Q.DE.S.G.0106.A,BBNZ1.Q.DE.S.G.0106.A_FLAGS,BBNZ1.Q.DE.Y.G.0152.A,BBNZ1.Q.DE.Y.G.0152.A_FLAGS,BBNZ1.Q.DE.Y.G.0155.A,BBNZ1.Q.DE.Y.G.0155.A_FLAGS,BBNZ1.Q.DE.Y.G.0161.A,BBNZ1.Q.DE.Y.G.0161.A_FLAGS,BBNZ1.Q.DE.Y.G.0112.A,BBNZ1.Q.DE.Y.G.0112.A_FLAGS,BBNZ1.Q.DE.Y.G.0110.A,BBNZ1.Q.DE.Y.G.0110.A_FLAGS,BBNZ1.Q.DE.Y.G.0111.A,BBNZ1.Q.DE.Y.G.0111.A_FLAGS,BBNZ1.Q.DE.Y.G.0151.A,BBNZ1.Q.DE.Y.G.0151.A_FLAGS,BBNZ1.Q.DE.Y.G.0156.A,BBNZ1.Q.DE.Y.G.0156.A_FLAGS,BBNZ1.Q.DE.Y.G.0157.A,BBNZ1.Q.DE.Y.G.0157.A_FLAGS,BBNZ1.Q.DE.Y.G.0158.A,BBNZ1.Q.DE.Y.G.0158.A_FLAGS,BBNZ1.Q.DE.Y.G.0165.A,BBNZ1.Q.DE.Y.G.0165.A_FLAGS,BBNZ1.Q.DE.Y.G.0166.A,BBNZ1.Q.DE.Y.G.0166.A_FLAGS,BBNZ1.Q.DE.Y.G.0167.A,BBNZ1.Q.DE.Y.G.0167.A_FLAGS,BBNZ1.Q.DE.Y.G.0168.A,BBNZ1.Q.DE.Y.G.0168.A_FLAGS,BBNZ1.Q.DE.Y.G.0169.A,BBNZ1.Q.DE.Y.G.0169.A_FLAGS,BBNZ1.Q.DE.Y.G.0170.A,BBNZ1.Q.DE.Y.G.0170.A_FLAGS,BBNZ1.Q.DE.Y.G.0172.A,BBNZ1.Q.DE.Y.G.0172.A_FLAGS,BBNZ1.Q.DE.Y.G.0173.A,BBNZ1.Q.DE.Y.G.0173.A_FLAGS,BBNZ1.Q.DE.Y.G.0174.A,BBNZ1.Q.DE.Y.G.0174.A_FLAGS,BBNZ1.Q.DE.Y.G.0175.A,BBNZ1.Q.DE.Y.G.0175.A_FLAGS,BBNZ1.Q.DE.Y.G.0176.A,BBNZ1.Q.DE.Y.G.0176.A_FLAGS,BBNZ1.Q.DE.Y.G.0177.A,BBNZ1.Q.DE.Y.G.0177.A_FLAGS,BBNZ1.Q.DE.Y.G.0178.A,BBNZ1.Q.DE.Y.G.0178.A_FLAGS
1992-07,425.559,,237.450,,83.414,,37.803,,55.944,,-1.302,,0.477,,95.486,,95.009,,105.997,,27.575,,28.369,,12.250,,13.500,,2.300,,9.083,,0.328,,8.755,,2.117,,92.497,,35.503,,46.861,,27.247,,19.614,,10.133,,65.250,
1992-10,434.931,,246.139,,84.329,,36.214,,58.205,,-2.053,,-4.502,,91.410,,95.912,,106.516,,29.409,,28.796,,12.097,,14.011,,2.238,,9.709,,0.336,,9.373,,2.064,,92.505,,33.976,,48.496,,29.073,,19.423,,10.033,,63.432,
1993-01,429.177,,243.799,,83.122,,34.518,,58.523,,-2.775,,1.765,,89.335,,87.570,,105.031,,29.892,,28.631,,11.990,,13.741,,2.260,,9.457,,0.301,,9.156,,2.024,,91.290,,32.258,,49.066,,29.591,,19.475,,9.966,,61.699,
1993-04,436.792,,245.881,,85.176,,33.355,,59.287,,1.122,,-0.452,,87.489,,87.941,,104.613,,30.120,,29.167,,11.971,,13.652,,2.073,,9.466,,0.303,,9.163,,2.113,,90.961,,31.282,,49.821,,29.817,,20.004,,9.858,,61.144,
1993-07,440.542,,248.989,,85.256,,33.247,,60.538,,0.543,,-1.329,,87.964,,89.293,,105.754,,31.010,,29.528,,11.969,,13.450,,2.067,,9.321,,0.311,,9.010,,2.062,,92.304,,31.180,,51.217,,30.699,,20.518,,9.907,,61.605,
1993-10,441.778,,253.340,,85.274,,32.262,,59.983,,-1.256,,0.575,,89.673,,89.098,,104.420,,31.676,,28.307,,12.175,,13.371,,1.981,,9.277,,0.307,,8.970,,2.113,,91.049,,30.281,,50.706,,31.369,,19.337,,10.062,,59.680,
1994-01,449.240,,255.448,,87.367,,32.378,,63.511,,-1.596,,1.758,,92.698,,90.940,,108.021,,33.693,,29.818,,12.132,,13.675,,1.902,,9.702,,0.238,,9.464,,2.071,,94.346,,30.476,,53.809,,33.455,,20.354,,10.061,,60.891,
1994-04,450.830,,253.203,,87.702,,32.390,,64.871,,0.481,,2.342,,97.206,,94.864,,109.444,,35.021,,29.850,,12.183,,13.272,,1.813,,9.372,,0.240,,9.132,,2.087,,96.172,,30.577,,55.499,,34.781,,20.718,,10.096,,61.391,
1994-07,458.786,,257.788,,88.518,,32.985,,65.119,,2.118,,-0.298,,96.899,,97.197,,110.362,,35.043,,30.076,,12.258,,12.942,,1.654,,9.195,,0.239,,8.956,,2.093,,97.420,,31.331,,55.924,,34.804,,21.120,,10.165,,62.616,
1994-10,467.040,,260.617,,89.773,,33.652,,66.887,,3.706,,-1.062,,98.363,,99.425,,112.944,,36.372,,30.515,,12.405,,13.620,,1.833,,9.625,,0.243,,9.382,,2.162,,99.324,,31.819,,57.262,,36.129,,21.133,,10.243,,63.195,
1995-01,464.543,,260.287,,89.712,,33.043,,65.036,,3.908,,2.190,,102.726,,100.536,,110.636,,35.692,,29.344,,12.557,,12.571,,1.700,,8.779,,0.213,,8.566,,2.092,,98.065,,31.343,,56.257,,35.479,,20.778,,10.465,,62.586,
1995-04,472.620,,264.665,,91.465,,32.911,,66.684,,4.278,,1.367,,103.476,,102.109,,112.212,,37.095,,29.589,,12.617,,12.640,,1.702,,8.790,,0.215,,8.575,,2.148,,99.572,,31.209,,57.894,,36.880,,21.014,,10.469,,62.692,
1995-07,475.333,,265.979,,93.270,,33.627,,65.825,,3.811,,1.476,,104.314,,102.838,,112.273,,35.890,,29.935,,12.821,,12.667,,1.774,,8.595,,0.206,,8.389,,2.298,,99.606,,31.853,,57.230,,35.684,,21.546,,10.523,,63.922,
1995-10,474.834,,267.481,,93.565,,33.799,,64.430,,2.645,,2.682,,106.271,,103.589,,111.143,,35.504,,28.926,,12.914,,12.030,,1.940,,7.843,,0.200,,7.643,,2.247,,99.113,,31.859,,56.587,,35.304,,21.283,,10.667,,63.809,
1996-01,470.769,,268.290,,93.703,,33.286,,58.754,,3.633,,2.987,,107.103,,104.116,,105.143,,33.368,,25.386,,13.103,,11.289,,1.663,,7.435,,0.219,,7.216,,2.191,,93.854,,31.623,,51.319,,33.149,,18.170,,10.912,,60.705,
1996-04,477.913,,269.843,,94.413,,34.375,,65.393,,0.687,,2.085,,107.567,,105.482,,112.970,,37.006,,28.387,,13.202,,12.259,,1.688,,8.358,,0.239,,8.119,,2.213,,100.711,,32.687,,57.035,,36.767,,20.268,,10.989,,63.944,
1996-07,478.209,,271.120,,95.418,,34.253,,65.071,,-0.978,,4.240,,109.939,,105.699,,112.649,,36.810,,28.261,,13.325,,12.944,,1.879,,8.801,,0.235,,8.566,,2.264,,99.705,,32.374,,56.270,,36.575,,19.695,,11.061,,63.130,
1996-10,481.715,,272.467,,95.218,,34.820,,64.560,,1.276,,4.478,,115.394,,110.916,,112.754,,36.753,,27.807,,13.374,,12.380,,1.751,,8.445,,0.231,,8.214,,2.184,,100.374,,33.069,,56.115,,36.522,,19.593,,11.190,,63.852,
