"",BBNZ1.Q.DE.S.H.0931.A,BBNZ1.Q.DE.S.H.0931.A_FLAGS,BBNZ1.Q.DE.S.H.0933.A,BBNZ1.Q.DE.S.H.0933.A_FLAGS,BBNZ1.Q.DE.S.H.0934.A,BBNZ1.Q.DE.S.H.0934.A_FLAGS,BBNZ1.Q.DE.S.H.0948.A,BBNZ1.Q.DE.S.H.0948.A_FLAGS,BBNZ1.Q.DE.S.H.0939.A,BBNZ1.Q.DE.S.H.0939.A_FLAGS,BBNZ1.Q.DE.S.H.0940.A,BBNZ1.Q.DE.S.H.0940.A_FLAGS,BBNZ1.Q.DE.S.H.0938.A,BBNZ1.Q.DE.S.H.0938.A_FLAGS,BBNZ1.Q.DE.S.H.0949.A,BBNZ1.Q.DE.S.H.0949.A_FLAGS
"",Germany/Unit labour costs per hour / Production sector (excluding construction)/Chain-linked index/Seasonally adjusted only,,Germany/Unit labour costs per hour / Construction/Chain-linked index/Seasonally adjusted only,,"Germany/Unit labour costs per hour / Wholesale/retail trade, transport and storage, hotel and restaurant services/Chain-linked index/Seasonally adjusted only",,Germany/Unit labour costs per hour / Information and communication/Chain-linked index/Seasonally adjusted only,,Germany/Unit labour costs per hour / Financial and insurance activities/Chain-linked index/Seasonally adjusted only,,Germany/Unit labour costs per hour / Real estate activities/Chain-linked index/Seasonally adjusted only,,Germany/Unit labour costs per hour / Business services/Chain-linked index/Seasonally adjusted only,,Germany / National accounts / Unit labor costs on an hourly basis / Enterprises / Chain-linked index / Seasonally adjusted only,
unit,2015=100,,2015=100,,2015=100,,2015=100,,2015=100,,2015=100,,2015=100,,2015=100,
unit multiplier,one,,one,,one,,one,,one,,one,,one,,one,
last update,2022-05-25 08:12:14,,2022-05-25 08:12:15,,2022-05-25 08:12:16,,2022-05-25 08:12:19,,2022-05-25 08:12:17,,2022-05-25 08:12:18,,2022-05-25 08:12:16,,2022-05-25 08:12:21,
1991-01,83.50,,57.00,,79.77,,119.03,,42.58,,79.52,,35.50,,74.82,
1991-04,86.38,,60.22,,82.75,,127.57,,43.01,,88.64,,36.57,,78.15,
1991-07,87.83,,59.22,,86.38,,133.03,,44.04,,87.57,,37.76,,79.29,
1991-10,89.73,,61.34,,87.49,,130.81,,44.63,,90.17,,38.85,,80.85,
1992-01,88.65,,61.26,,88.59,,126.02,,45.69,,91.29,,37.74,,80.54,
1992-04,93.40,,63.29,,93.08,,128.90,,48.15,,92.42,,38.44,,83.86,
1992-07,96.26,,64.11,,94.24,,132.43,,48.40,,95.53,,40.04,,85.66,
1992-10,98.06,,64.09,,93.81,,133.55,,48.13,,97.68,,40.65,,86.31,
1993-01,96.41,,66.56,,97.63,,127.05,,48.22,,98.94,,40.00,,86.09,
1993-04,97.88,,68.10,,98.79,,127.43,,47.47,,100.47,,40.60,,87.02,
1993-07,98.78,,67.93,,98.90,,128.24,,47.62,,102.19,,41.15,,87.48,
1993-10,98.32,,71.48,,100.27,,130.83,,48.92,,104.78,,42.10,,88.46,
1994-01,96.68,,70.49,,99.43,,134.96,,48.82,,104.70,,43.38,,88.03,
1994-04,95.46,,69.49,,100.49,,133.33,,49.11,,105.27,,43.59,,87.62,
1994-07,96.00,,70.15,,99.47,,132.15,,49.84,,104.92,,43.56,,87.61,
1994-10,95.54,,72.25,,99.32,,134.56,,51.25,,106.16,,44.48,,88.28,
1995-01,95.52,,73.79,,100.25,,135.69,,52.10,,100.91,,44.38,,87.95,
1995-04,98.36,,73.60,,101.80,,134.97,,54.19,,102.53,,45.21,,89.53,
1995-07,99.42,,75.11,,102.08,,135.04,,53.79,,103.36,,45.42,,89.95,
1995-10,99.88,,78.04,,102.29,,133.22,,54.06,,103.23,,45.71,,90.40,
1996-01,100.92,,81.80,,103.48,,136.63,,52.89,,99.62,,47.26,,90.75,
1996-04,100.77,,75.29,,101.89,,133.81,,52.17,,99.57,,47.18,,89.35,
1996-07,99.97,,76.80,,101.89,,130.86,,54.23,,99.62,,47.47,,89.45,
1996-10,99.64,,79.98,,102.04,,127.76,,53.40,,99.61,,47.39,,89.33,
1997-01,101.56,,81.62,,104.24,,124.56,,53.61,,101.70,,50.38,,91.14,
1997-04,95.56,,74.31,,99.99,,121.78,,52.93,,100.11,,49.32,,86.99,
1997-07,96.31,,76.57,,100.85,,120.47,,53.36,,100.01,,49.62,,87.57,
1997-10,96.14,,78.13,,100.35,,120.52,,53.36,,100.36,,49.32,,87.36,
1998-01,96.77,,77.51,,98.24,,113.65,,54.33,,105.20,,50.50,,87.20,
1998-04,99.00,,77.98,,100.84,,114.52,,54.56,,106.85,,51.17,,88.45,
1998-07,98.00,,77.57,,99.63,,113.52,,53.85,,107.37,,51.41,,87.68,
1998-10,101.00,,78.51,,99.78,,113.20,,52.79,,109.14,,51.49,,88.56,
1999-01,101.04,,79.73,,100.63,,110.71,,50.61,,108.60,,51.58,,88.89,
1999-04,100.79,,78.78,,102.46,,111.98,,50.94,,111.83,,53.10,,89.44,
1999-07,99.69,,76.97,,101.52,,110.57,,50.39,,114.08,,52.99,,88.63,
1999-10,98.55,,76.35,,100.05,,109.18,,53.00,,112.49,,53.05,,88.06,
2000-01,97.01,,78.69,,99.03,,112.55,,56.22,,111.04,,53.71,,88.11,
2000-04,98.74,,79.56,,100.44,,112.49,,60.28,,111.83,,54.72,,89.60,
2000-07,98.33,,79.13,,100.94,,112.56,,61.52,,111.44,,55.76,,89.77,
2000-10,98.61,,79.12,,101.74,,112.91,,60.40,,112.86,,56.62,,90.21,
2001-01,95.99,,79.89,,96.49,,109.22,,57.22,,109.02,,55.26,,87.25,
2001-04,99.18,,81.03,,98.08,,109.74,,56.35,,108.97,,56.22,,88.72,
2001-07,99.22,,80.74,,99.04,,111.30,,56.66,,107.10,,56.52,,88.81,
2001-10,99.76,,80.01,,97.92,,109.12,,59.11,,106.29,,56.81,,88.71,
2002-01,101.14,,79.93,,98.00,,108.27,,59.73,,105.21,,57.26,,89.03,
2002-04,98.81,,80.33,,96.47,,107.68,,59.79,,104.96,,57.16,,87.95,
2002-07,98.71,,80.56,,96.65,,109.10,,63.93,,104.89,,57.57,,88.45,
2002-10,98.78,,81.64,,95.84,,106.87,,66.83,,103.36,,58.67,,88.47,
2003-01,99.30,,82.69,,97.06,,120.21,,70.11,,107.53,,59.28,,90.03,
2003-04,99.76,,83.16,,95.98,,120.48,,73.35,,105.98,,59.61,,90.16,
2003-07,98.27,,81.19,,93.44,,119.69,,76.25,,105.43,,58.87,,88.80,
2003-10,97.44,,82.55,,93.80,,118.75,,76.69,,105.40,,60.83,,89.08,
2004-01,96.87,,81.63,,93.54,,113.67,,79.92,,102.68,,63.13,,89.52,
2004-04,94.59,,82.13,,92.49,,112.44,,81.65,,100.92,,62.98,,88.31,
2004-07,94.77,,83.87,,92.66,,113.52,,82.70,,100.19,,63.16,,88.65,
2004-10,95.01,,82.59,,91.28,,112.35,,82.92,,100.39,,62.66,,88.20,
2005-01,96.89,,84.99,,92.70,,121.33,,83.92,,101.36,,66.02,,90.24,
2005-04,91.90,,81.57,,89.73,,116.83,,83.57,,102.12,,64.96,,87.27,
2005-07,93.42,,82.60,,90.06,,117.12,,84.35,,100.45,,64.52,,87.87,
2005-10,92.73,,83.66,,88.96,,116.13,,85.80,,100.69,,63.96,,87.43,
2006-01,90.30,,84.85,,84.97,,112.16,,86.80,,99.58,,65.90,,86.03,
2006-04,90.53,,84.88,,84.95,,110.61,,86.20,,98.18,,65.91,,86.01,
2006-07,91.10,,83.08,,84.70,,110.28,,87.71,,99.35,,66.73,,86.37,
2006-10,88.93,,81.37,,82.46,,108.41,,86.69,,98.59,,65.84,,84.63,
2007-01,88.37,,83.14,,83.94,,101.85,,85.85,,97.81,,66.19,,84.50,
2007-04,89.77,,87.75,,83.98,,103.12,,86.40,,96.35,,66.18,,85.31,
2007-07,89.56,,88.23,,84.16,,102.00,,84.53,,96.40,,67.28,,85.32,
2007-10,89.08,,86.69,,83.64,,101.42,,88.64,,94.78,,67.33,,85.20,
2008-01,91.37,,85.72,,84.29,,102.95,,88.98,,94.04,,69.58,,86.47,
2008-04,88.73,,86.11,,84.04,,103.54,,90.61,,94.53,,69.64,,85.62,
2008-07,93.07,,89.10,,87.21,,103.25,,89.92,,97.55,,71.68,,88.40,
2008-10,100.78,,90.38,,89.25,,101.68,,92.61,,96.91,,72.72,,91.81,
2009-01,110.57,,93.92,,92.41,,108.08,,88.40,,93.46,,78.65,,96.07,
2009-04,107.76,,96.20,,92.60,,104.93,,95.31,,92.93,,79.65,,95.64,
2009-07,104.01,,94.89,,91.74,,103.16,,95.00,,93.82,,80.24,,94.35,
2009-10,102.14,,96.31,,91.52,,101.35,,95.99,,94.85,,81.29,,94.09,
2010-01,96.99,,90.66,,97.01,,106.49,,89.39,,94.77,,81.73,,93.52,
2010-04,93.37,,87.46,,95.63,,105.79,,87.89,,96.80,,82.47,,92.05,
2010-07,93.21,,89.95,,94.43,,105.13,,89.80,,96.19,,82.79,,92.07,
2010-10,91.52,,92.65,,94.59,,105.07,,89.78,,96.32,,83.24,,91.80,
2011-01,92.72,,89.92,,93.10,,98.25,,88.57,,94.18,,84.83,,91.20,
2011-04,93.41,,90.99,,93.76,,98.28,,87.89,,96.12,,87.13,,92.12,
2011-07,92.49,,92.68,,94.22,,97.57,,88.01,,94.97,,87.82,,92.03,
2011-10,94.26,,90.66,,95.17,,98.02,,97.48,,95.77,,88.46,,93.47,
2012-01,93.05,,92.87,,92.56,,100.56,,94.31,,100.19,,90.28,,93.44,
2012-04,96.60,,95.35,,94.84,,100.81,,94.83,,100.38,,91.33,,95.65,
2012-07,96.45,,97.06,,95.94,,100.71,,94.81,,101.03,,92.77,,96.21,
2012-10,98.63,,97.83,,96.74,,101.89,,92.87,,101.10,,93.48,,97.22,
2013-01,101.12,,100.66,,98.19,,97.64,,92.33,,94.93,,92.58,,97.74,
2013-04,99.58,,97.89,,96.95,,96.30,,89.41,,96.31,,92.81,,96.61,
2013-07,99.90,,97.49,,96.58,,96.67,,88.81,,96.15,,92.62,,96.61,
2013-10,99.65,,99.11,,97.88,,97.54,,92.37,,97.46,,93.03,,97.33,
2014-01,98.08,,95.94,,98.68,,99.02,,95.15,,99.43,,93.81,,97.39,
2014-04,99.64,,97.17,,98.96,,96.65,,98.88,,97.91,,95.65,,98.37,
2014-07,98.33,,97.39,,98.31,,96.91,,99.26,,98.51,,95.42,,97.78,
2014-10,98.49,,100.08,,98.15,,97.31,,99.68,,97.90,,96.50,,98.27,
2015-01,100.60,,99.58,,99.18,,100.51,,97.70,,102.40,,98.59,,99.65,
