"",BBK01.DU7503,BBK01.DU7503_FLAGS,BBK01.DU7516,BBK01.DU7516_FLAGS
"","Pay rates, overall economy, on an hourly basis, Germany",,"Pay rates, production sector (incl. construction), on an hourly basis, Germany",
unit,2015=100,,2015=100,
unit multiplier,one,,one,
last update,2022-03-10 09:11:45,,2022-03-10 09:11:47,
1991-01,46.2,,39.8,
1991-02,46.4,,39.9,
1991-03,47.0,,39.9,
1991-04,48.9,,42.5,
1991-05,49.1,,42.7,
1991-06,49.2,,42.2,
1991-07,66.1,,61.6,
1991-08,49.9,,42.6,
1991-09,49.9,,42.6,
1991-10,50.1,,42.8,
1991-11,83.2,,67.6,
1991-12,50.2,,43.0,
1992-01,51.7,,43.4,
1992-02,51.7,,43.5,
1992-03,51.8,,43.5,
1992-04,54.1,,47.5,
1992-05,54.9,,47.8,
1992-06,54.9,,47.8,
1992-07,74.6,,70.5,
1992-08,55.1,,48.1,
1992-09,55.1,,48.1,
1992-10,55.3,,48.3,
1992-11,93.0,,79.4,
1992-12,55.6,,48.5,
1993-01,56.3,,48.8,
1993-02,56.4,,49.0,
1993-03,56.5,,49.0,
1993-04,57.5,,50.8,
1993-05,58.1,,50.9,
1993-06,58.5,,51.8,
1993-07,79.9,,77.0,
1993-08,58.8,,51.9,
1993-09,58.9,,52.0,
1993-10,58.9,,52.1,
1993-11,100.1,,86.9,
1993-12,59.1,,52.3,
1994-01,59.0,,52.5,
1994-02,59.1,,52.6,
1994-03,59.0,,52.5,
1994-04,59.3,,52.9,
1994-05,59.5,,53.0,
1994-06,59.6,,53.3,
1994-07,80.8,,77.8,
1994-08,60.1,,53.8,
1994-09,60.3,,54.0,
1994-10,60.5,,54.0,
1994-11,101.4,,87.6,
1994-12,60.5,,54.1,
1995-01,61.1,,55.0,
1995-02,61.3,,55.3,
1995-03,61.6,,55.8,
1995-04,62.7,,56.4,
1995-05,62.7,,56.4,
1995-06,62.7,,56.3,
1995-07,85.0,,83.3,
1995-08,62.9,,56.5,
1995-09,63.0,,56.5,
1995-10,63.3,,57.3,
1995-11,106.8,,95.4,
1995-12,63.6,,58.1,
1996-01,63.6,,58.1,
1996-02,63.6,,58.1,
1996-03,63.7,,58.2,
1996-04,63.9,,58.4,
1996-05,64.3,,58.6,
1996-06,64.3,,58.7,
1996-07,87.4,,87.5,
1996-08,64.4,,59.0,
1996-09,64.5,,59.0,
1996-10,64.5,,59.3,
1996-11,108.4,,97.5,
1996-12,64.6,,59.3,
1997-01,64.6,,59.5,
1997-02,64.6,,59.5,
1997-03,64.7,,59.6,
1997-04,64.6,,59.4,
1997-05,64.7,,59.5,
1997-06,64.7,,59.4,
1997-07,88.0,,88.8,
1997-08,64.9,,59.4,
1997-09,65.0,,59.4,
1997-10,65.1,,59.5,
1997-11,108.7,,96.7,
1997-12,65.1,,59.6,
1998-01,65.5,,59.6,
1998-02,65.5,,59.6,
1998-03,65.5,,59.7,
1998-04,66.1,,61.1,
1998-05,66.2,,61.4,
1998-06,66.2,,61.2,
1998-07,89.9,,91.4,
1998-08,66.4,,61.2,
1998-09,66.5,,61.3,
1998-10,66.5,,61.3,
1998-11,110.6,,99.4,
1998-12,66.6,,61.4,
1999-01,67.2,,62.1,
1999-02,67.2,,62.2,
1999-03,67.5,,62.2,
1999-04,67.8,,62.6,
1999-05,68.1,,63.1,
1999-06,68.1,,62.9,
1999-07,92.1,,93.4,
1999-08,68.2,,62.9,
1999-09,68.2,,62.9,
1999-10,68.3,,62.9,
1999-11,112.5,,100.5,
1999-12,68.3,,63.0,
2000-01,68.4,,63.0,
2000-02,68.4,,63.0,
2000-03,68.9,,63.9,
2000-04,69.4,,64.2,
2000-05,69.6,,64.4,
2000-06,69.5,,64.1,
2000-07,93.7,,95.7,
2000-08,69.6,,64.2,
2000-09,69.7,,64.3,
2000-10,69.8,,64.4,
2000-11,114.3,,102.9,
2000-12,69.9,,64.6,
2001-01,70.1,,64.5,
2001-02,70.1,,64.5,
2001-03,70.1,,64.5,
2001-04,70.4,,64.7,
2001-05,71.0,,66.0,
2001-06,70.8,,65.5,
2001-07,95.2,,98.0,
2001-08,71.0,,65.7,
2001-09,71.3,,65.7,
2001-10,71.3,,65.8,
2001-11,116.4,,105.6,
2001-12,71.3,,65.8,
2002-01,71.6,,65.9,
