"",BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A15.A_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.C.G1___ERG._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G1___ERG._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.D.G1___ERG._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.G1___ERG._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N_FLAGS
1992-06,48.56,,46.42,,2.14,,51.22,,49.97,,1.25,,,,,,,,-2.74,,-3.55,,0.08,
1992-07,54.29,,51.08,,3.21,,57.13,,55.51,,1.62,,,,,,,,-3.10,,-4.43,,0.26,
1992-08,54.08,,47.05,,7.03,,56.68,,50.79,,5.89,,,,,,,,-2.74,,-3.74,,0.14,
1992-09,52.94,,47.61,,5.33,,55.60,,50.99,,4.61,,,,,,,,-2.71,,-3.38,,0.05,
1992-10,53.45,,47.38,,6.07,,55.94,,51.46,,4.48,,,,,,,,-2.68,,-4.08,,0.19,
1992-11,49.71,,46.87,,2.84,,52.44,,50.70,,1.74,,,,,,,,-2.85,,-3.83,,0.12,
1992-12,50.34,,48.25,,2.09,,53.49,,52.61,,0.88,,,,,,,,-3.42,,-4.36,,0.27,
1993-01,48.09,,43.92,,4.17,,50.15,,47.51,,2.64,,,,,,,,-2.92,,-3.75,,0.86,
1993-02,52.53,,46.01,,6.52,,55.78,,49.48,,6.30,,,,,,,,-2.84,,-3.63,,-0.41,
1993-03,48.87,,42.34,,6.53,,51.28,,45.65,,5.63,,,,,,,,-2.66,,-3.47,,0.07,
1993-04,48.83,,44.61,,4.22,,51.46,,48.21,,3.25,,,,,,,,-3.20,,-3.81,,0.57,
1993-05,48.18,,42.52,,5.66,,51.59,,46.37,,5.22,,,,,,,,-3.11,,-4.06,,-0.30,
1993-06,47.79,,41.89,,5.90,,51.13,,45.96,,5.17,,,,,,,,-3.36,,-4.28,,-0.16,
1993-07,48.10,,43.32,,4.78,,51.14,,46.82,,4.32,,,,,,,,-3.07,,-3.76,,0.03,
1993-08,48.92,,44.05,,4.87,,52.47,,48.41,,4.06,,,,,,,,-3.30,,-4.62,,-0.25,
1993-09,49.66,,43.24,,6.42,,53.06,,47.90,,5.16,,,,,,,,-3.53,,-4.92,,-0.01,
1993-10,49.81,,42.59,,7.22,,53.43,,47.10,,6.33,,,,,,,,-3.72,,-4.67,,0.10,
1993-11,50.37,,45.03,,5.34,,53.24,,48.99,,4.25,,,,,,,,-3.46,,-4.12,,0.59,
1993-12,51.70,,43.62,,8.08,,54.80,,48.04,,6.76,,,,,,,,-3.66,,-4.58,,0.20,
1994-01,50.27,,43.61,,6.66,,53.61,,48.19,,5.42,,,,,,,,-3.78,,-4.74,,0.38,
1994-02,51.78,,44.78,,7.00,,54.69,,49.33,,5.36,,,,,,,,-3.46,,-4.70,,0.50,
1994-03,53.02,,47.21,,5.81,,56.00,,51.36,,4.64,,,,,,,,-3.26,,-4.36,,0.21,
1994-04,53.16,,45.33,,7.83,,56.68,,49.72,,6.96,,,,,,,,-3.51,,-4.53,,-0.08,
1994-05,55.60,,47.89,,7.71,,58.83,,52.65,,6.18,,,,,,,,-3.43,,-4.85,,0.13,
1994-06,55.42,,46.91,,8.51,,58.85,,50.93,,7.92,,,,,,,,-3.22,,-4.24,,-0.31,
1994-07,52.87,,47.25,,5.62,,56.27,,51.85,,4.42,,,,,,,,-3.87,,-4.99,,0.35,
1994-08,56.39,,47.03,,9.36,,59.97,,51.48,,8.49,,,,,,,,-3.58,,-4.64,,-0.29,
1994-09,55.58,,48.31,,7.27,,59.05,,53.18,,5.87,,,,,,,,-3.94,,-5.03,,0.36,
1994-10,55.33,,48.55,,6.78,,59.14,,52.91,,6.23,,,,,,,,-4.12,,-4.49,,0.24,
1994-11,55.97,,48.86,,7.11,,58.79,,53.37,,5.42,,,,,,,,-3.56,,-4.70,,0.65,
1994-12,58.05,,51.37,,6.68,,60.77,,56.03,,4.74,,,,,,,,-3.72,,-4.79,,0.85,
1995-01,57.79,,47.68,,10.11,,61.10,,52.42,,8.68,,,,,,,,-3.57,,-4.88,,0.20,
1995-02,58.65,,50.52,,8.13,,61.90,,55.78,,6.12,,,,,,,,-3.79,,-5.43,,0.44,
1995-03,57.23,,52.38,,4.85,,60.65,,56.58,,4.07,,,,,,,,-3.78,,-4.55,,0.22,
1995-04,58.08,,49.07,,9.01,,61.63,,53.96,,7.67,,,,,,,,-3.94,,-5.05,,0.31,
1995-05,58.46,,50.31,,8.15,,62.04,,54.67,,7.37,,,,,,,,-3.41,,-4.53,,-0.27,
1995-06,59.12,,52.80,,6.32,,63.58,,57.09,,6.49,,,,,,,,-3.80,,-4.36,,-0.73,
1995-07,57.81,,50.48,,7.33,,60.96,,55.00,,5.96,,,,,,,,-3.70,,-4.65,,0.44,
1995-08,56.58,,48.77,,7.81,,61.18,,53.36,,7.82,,,,,,,,-3.78,,-4.73,,-0.93,
1995-09,63.28,,52.68,,10.60,,66.24,,57.60,,8.64,,,,,,,,-3.90,,-5.02,,0.86,
1995-10,59.56,,51.44,,8.12,,63.17,,55.94,,7.23,,,,,,,,-4.19,,-4.77,,0.43,
1995-11,60.53,,50.26,,10.27,,62.43,,54.59,,7.84,,,,,,,,-3.84,,-4.57,,1.86,
1995-12,61.67,,52.56,,9.11,,64.54,,56.90,,7.64,,,,,,,,-3.80,,-4.48,,0.81,
1996-01,61.39,,55.26,,6.13,,64.82,,59.46,,5.36,,,,,,,,-3.88,,-4.32,,0.36,
1996-02,60.73,,50.18,,10.55,,63.64,,55.15,,8.49,,,,,,,,-4.04,,-5.13,,1.04,
1996-03,60.11,,51.85,,8.26,,63.10,,57.15,,5.95,,,,,,,,-4.05,,-5.52,,0.94,
1996-04,60.48,,52.15,,8.33,,64.58,,56.99,,7.59,,,,,,,,-4.00,,-4.98,,-0.19,
1996-05,61.18,,50.31,,10.87,,64.48,,55.43,,9.05,,,,,,,,-3.84,,-5.25,,0.38,
1996-06,59.65,,53.17,,6.48,,63.35,,57.68,,5.67,,,,,,,,-3.88,,-4.62,,0.11,
1996-07,63.39,,51.71,,11.68,,67.40,,57.15,,10.25,,,,,,,,-4.33,,-5.64,,0.19,
1996-08,60.57,,51.01,,9.56,,64.87,,55.76,,9.11,,,,,,,,-4.16,,-4.89,,-0.25,
1996-09,63.17,,52.60,,10.57,,66.93,,57.93,,9.00,,,,,,,,-4.29,,-5.51,,0.43,
1996-10,66.90,,54.31,,12.59,,69.73,,59.54,,10.19,,,,,,,,-4.29,,-5.44,,1.30,
1996-11,64.21,,53.26,,10.95,,67.75,,58.64,,9.11,,,,,,,,-4.50,,-5.65,,0.89,
1996-12,65.68,,56.47,,9.21,,69.65,,60.55,,9.10,,,,,,,,-4.59,,-4.37,,0.47,
1997-01,64.00,,57.83,,6.17,,68.26,,62.94,,5.32,,,,,,,,-4.51,,-5.45,,0.15,
1997-02,66.44,,57.30,,9.14,,70.57,,62.31,,8.26,,,,,,,,-4.13,,-5.09,,-0.08,
1997-03,67.86,,57.49,,10.37,,72.07,,62.43,,9.64,,,,,,,,-4.87,,-5.15,,0.58,
1997-04,65.53,,54.85,,10.68,,68.65,,59.99,,8.66,,,,,,,,-4.22,,-5.29,,1.03,
1997-05,69.68,,58.48,,11.20,,74.07,,64.68,,9.39,,,,,,,,-4.74,,-6.33,,0.29,
1997-06,68.68,,58.68,,10.00,,73.81,,63.64,,10.17,,,,,,,,-4.63,,-5.10,,-0.59,
1997-07,71.31,,60.36,,10.95,,76.02,,66.01,,10.01,,,,,,,,-4.73,,-5.87,,-0.11,
1997-08,70.56,,60.64,,9.92,,75.01,,65.70,,9.31,,,,,,,,-4.71,,-5.19,,0.16,
1997-09,75.36,,60.22,,15.14,,79.68,,65.62,,14.06,,,,,,,,-4.63,,-5.52,,0.25,
1997-10,73.15,,62.22,,10.93,,76.47,,67.71,,8.76,,,,,,,,-4.56,,-5.64,,1.13,
1997-11,72.86,,60.98,,11.88,,77.04,,66.73,,10.31,,,,,,,,-5.07,,-6.04,,0.83,
1997-12,76.59,,60.21,,16.38,,79.86,,66.01,,13.85,,,,,,,,-5.01,,-5.94,,1.69,
1998-01,75.51,,67.93,,7.58,,80.21,,73.66,,6.55,,,,,,,,-4.62,,-6.03,,-0.16,
1998-02,75.28,,63.49,,11.79,,79.90,,68.73,,11.17,,,,,,,,-4.67,,-5.55,,-0.04,
1998-03,73.57,,61.08,,12.49,,78.14,,67.42,,10.72,,,,,,,,-5.35,,-6.49,,0.74,
1998-04,77.54,,67.00,,10.54,,82.79,,72.58,,10.21,,,,,,,,-5.16,,-5.76,,-0.17,
1998-05,74.92,,60.26,,14.66,,79.68,,65.70,,13.98,,,,,,,,-5.24,,-5.55,,0.39,
1998-06,74.73,,64.61,,10.12,,80.52,,71.02,,9.50,,,,,,,,-5.90,,-6.87,,0.04,
1998-07,77.36,,64.42,,12.94,,82.46,,70.43,,12.03,,,,,,,,-5.53,,-6.19,,0.37,
1998-08,73.45,,63.11,,10.34,,78.17,,68.79,,9.38,,,,,,,,-5.38,,-5.83,,0.59,
1998-09,72.35,,60.49,,11.86,,77.86,,66.44,,11.42,,,,,,,,-5.47,,-6.12,,-0.11,
1998-10,74.37,,61.94,,12.43,,78.68,,67.95,,10.73,,,,,,,,-5.16,,-6.31,,0.79,
1998-11,74.00,,58.62,,15.38,,78.17,,64.56,,13.61,,,,,,,,-5.18,,-6.09,,0.92,
1998-12,71.56,,62.49,,9.07,,76.36,,69.35,,7.01,,,,,,,,-5.81,,-7.08,,0.94,
1999-01,37.08,,33.42,,3.66,,39.94,,34.84,,5.10,,,,,,,,-2.68,,-1.50,,-0.20,
1999-02,38.67,,32.77,,5.90,,40.61,,35.21,,5.40,,,,,,,,-2.19,,-2.50,,0.22,
1999-03,36.67,,32.00,,4.67,,39.63,,35.07,,4.56,,,,,,,,-2.79,,-3.15,,-0.20,
1999-04,38.84,,32.91,,5.93,,41.26,,35.69,,5.57,,,,,,,,-2.61,,-2.86,,0.15,
1999-05,38.64,,34.48,,4.16,,41.03,,37.53,,3.50,,,,,,,,-2.62,,-3.09,,0.20,
1999-06,40.06,,33.31,,6.75,,42.38,,36.38,,6.00,,,,,,,,-2.79,,-3.14,,0.42,
1999-07,41.01,,34.33,,6.68,,43.89,,37.34,,6.55,,,,,,,,-2.79,,-3.11,,-0.14,
1999-08,39.92,,36.57,,3.35,,42.15,,38.67,,3.48,,,,,,,,-2.46,,-2.18,,0.18,
1999-09,40.61,,34.24,,6.37,,43.11,,37.34,,5.77,,,,,,,,-2.80,,-3.18,,0.27,
1999-10,41.28,,34.57,,6.71,,42.94,,37.39,,5.55,,,,,,,,-2.80,,-2.91,,1.07,
1999-11,43.22,,35.55,,7.67,,45.86,,38.65,,7.21,,,,,,,,-3.12,,-3.16,,0.45,
1999-12,41.06,,35.25,,5.81,,43.77,,38.07,,5.70,,,,,,,,-2.94,,-2.87,,0.18,
2000-01,42.86,,38.43,,4.43,,45.41,,41.51,,3.90,,,,,,,,-2.91,,-3.11,,0.32,
2000-02,43.38,,36.55,,6.83,,46.17,,39.68,,6.49,,,,,,,,-3.06,,-3.19,,0.24,
2000-03,45.13,,39.55,,5.58,,47.79,,43.06,,4.73,,,,,,,,-3.33,,-3.55,,0.63,
2000-04,44.42,,38.11,,6.31,,47.41,,41.62,,5.79,,,,,,,,-3.35,,-3.56,,0.32,
2000-05,46.43,,41.73,,4.70,,49.16,,45.17,,3.99,,,,,,,,-2.92,,-3.51,,0.15,
2000-06,46.07,,39.81,,6.26,,49.86,,43.59,,6.27,,,,,,,,-3.53,,-3.83,,-0.31,
2000-07,47.89,,41.51,,6.38,,50.49,,45.05,,5.44,,,,,,,,-3.22,,-3.61,,0.59,
2000-08,46.63,,43.33,,3.30,,49.76,,46.66,,3.10,,,,,,,,-3.33,,-3.38,,0.13,
2000-09,47.29,,42.60,,4.69,,50.50,,45.77,,4.73,,,,,,,,-3.18,,-3.27,,-0.08,
2000-10,52.02,,44.62,,7.40,,54.83,,47.95,,6.88,,,,,,,,-3.87,,-3.40,,0.90,
2000-11,49.97,,44.94,,5.03,,53.24,,48.43,,4.81,,,,,,,,-3.29,,-3.57,,-0.02,
2000-12,49.74,,46.55,,3.19,,52.30,,49.23,,3.07,,,,,,,,-3.26,,-2.76,,0.65,
2001-01,50.21,,43.66,,6.55,,53.58,,47.42,,6.16,,,,,,,,-3.36,,-3.86,,-0.06,
2001-02,51.35,,43.61,,7.74,,54.10,,47.15,,6.95,,,,,,,,-3.51,,-3.62,,0.69,
2001-03,49.27,,40.94,,8.33,,52.36,,44.37,,7.99,,,,,,,,-3.17,,-3.52,,0.04,
2001-04,51.05,,44.00,,7.05,,53.94,,47.35,,6.59,,,,,,,,-3.37,,-3.42,,0.45,
2001-05,48.89,,41.30,,7.59,,52.99,,45.10,,7.89,,,,,,,,-3.27,,-3.92,,-0.89,
2001-06,49.74,,42.86,,6.88,,54.05,,46.69,,7.36,,,,,,,,-3.76,,-3.93,,-0.59,
2001-07,50.91,,42.15,,8.76,,54.38,,45.98,,8.40,,,,,,,,-3.74,,-3.90,,0.21,
2001-08,49.96,,40.70,,9.26,,54.28,,44.79,,9.49,,,,,,,,-4.06,,-4.12,,-0.33,
2001-09,49.38,,41.28,,8.10,,52.54,,44.67,,7.87,,,,,,,,-3.56,,-3.44,,0.38,
2001-10,50.48,,40.33,,10.15,,53.69,,44.36,,9.33,,,,,,,,-3.62,,-4.09,,0.35,
2001-11,48.62,,39.92,,8.70,,51.49,,43.90,,7.59,,,,,,,,-3.69,,-4.03,,0.78,
2001-12,51.89,,39.09,,12.80,,53.77,,42.94,,10.83,,,,,,,,-3.54,,-3.88,,1.61,
2002-01,48.19,,37.03,,11.16,,51.49,,40.77,,10.72,,,,,,,,-3.76,,-3.82,,0.40,
2002-02,49.86,,38.44,,11.42,,54.02,,43.42,,10.60,,,,,,,,-4.31,,-5.03,,0.11,
2002-03,50.33,,38.86,,11.47,,54.07,,42.83,,11.24,,,,,,,,-3.71,,-4.02,,-0.13,
2002-04,50.76,,40.35,,10.41,,54.07,,44.30,,9.77,,,,,,,,-3.64,,-3.99,,0.29,
2002-05,49.86,,37.47,,12.39,,51.49,,40.58,,10.91,,,,,,,,-2.38,,-3.16,,0.70,
2002-06,51.92,,40.65,,11.27,,55.95,,45.36,,10.59,,,,,,,,-3.95,,-4.79,,-0.14,
2002-07,50.58,,38.37,,12.21,,53.21,,41.66,,11.55,,,,,,,,-3.14,,-3.34,,0.47,
2002-08,51.59,,39.66,,11.93,,55.99,,44.45,,11.54,,,,,,,,-4.43,,-4.85,,-0.01,
2002-09,52.97,,39.50,,13.47,,56.47,,44.18,,12.29,,,,,,,,-3.61,,-4.74,,0.06,
2002-10,52.21,,39.73,,12.48,,55.28,,44.08,,11.20,,,,,,,,-3.90,,-4.40,,0.76,
2002-11,54.06,,40.46,,13.60,,57.05,,44.03,,13.02,,,,,,,,-3.33,,-3.63,,0.27,
2002-12,52.34,,40.89,,11.45,,55.34,,44.61,,10.73,,,,,,,,-3.58,,-3.77,,0.54,
2003-01,50.82,,41.98,,8.84,,54.70,,45.87,,8.83,,,,,,,,-4.36,,-3.96,,0.39,
2003-02,51.68,,41.29,,10.39,,55.40,,45.00,,10.40,,,,,,,,-3.89,,-3.76,,0.14,
2003-03,50.33,,41.47,,8.86,,54.25,,45.69,,8.56,,,,,,,,-4.17,,-4.28,,0.21,
2003-04,49.93,,40.32,,9.61,,53.41,,44.22,,9.19,,,,,,,,-4.11,,-3.95,,0.60,
2003-05,50.28,,39.58,,10.70,,54.48,,43.82,,10.66,,,,,,,,-4.18,,-4.29,,-0.05,
2003-06,50.83,,41.07,,9.76,,54.73,,44.66,,10.07,,,,,,,,-3.82,,-3.64,,-0.11,
2003-07,51.73,,39.93,,11.80,,55.65,,43.30,,12.35,,,,,,,,-3.86,,-3.40,,-0.10,
2003-08,52.41,,40.21,,12.20,,55.89,,43.97,,11.92,,,,,,,,-3.84,,-3.82,,0.30,
2003-09,53.62,,39.83,,13.79,,57.94,,43.77,,14.17,,,,,,,,-4.30,,-3.98,,-0.07,
2003-10,51.67,,40.62,,11.05,,54.81,,44.18,,10.63,,,,,,,,-3.64,,-3.62,,0.44,
2003-11,54.24,,42.61,,11.63,,57.52,,46.25,,11.27,,,,,,,,-3.88,,-3.68,,0.58,
2003-12,54.56,,42.06,,12.50,,58.22,,45.18,,13.04,,,,,,,,-3.73,,-3.15,,0.02,
2004-01,53.99,,41.85,,12.14,,58.00,,45.67,,12.33,,,,,,,,-4.26,,-3.87,,0.22,
2004-02,54.79,,43.01,,11.78,,58.69,,46.44,,12.25,,,,,,,,-4.08,,-3.49,,0.14,
2004-03,55.52,,41.90,,13.62,,58.78,,45.26,,13.52,,,,,,,,-3.65,,-3.41,,0.36,
2004-04,56.65,,42.39,,14.26,,61.12,,46.56,,14.56,,,,,,,,-4.70,,-4.22,,0.20,
2004-05,59.41,,43.55,,15.86,,62.84,,47.20,,15.64,,,,,,,,-4.23,,-3.69,,0.77,
2004-06,57.05,,44.04,,13.01,,60.10,,46.96,,13.14,,,,,,,,-3.62,,-2.96,,0.54,
2004-07,57.85,,45.63,,12.22,,61.38,,49.02,,12.36,,,,,,,,-4.21,,-3.43,,0.64,
2004-08,56.48,,44.47,,12.01,,60.55,,47.84,,12.71,,,,,,,,-4.26,,-3.43,,0.17,
2004-09,56.81,,45.56,,11.25,,60.39,,49.12,,11.27,,,,,,,,-4.36,,-3.61,,0.74,
2004-10,58.18,,45.85,,12.33,,61.64,,49.17,,12.47,,,,,,,,-4.08,,-3.36,,0.60,
2004-11,58.78,,47.65,,11.13,,62.80,,51.24,,11.56,,,,,,,,-4.20,,-3.66,,0.14,
2004-12,56.16,,44.59,,11.57,,60.41,,48.16,,12.25,,,,,,,,-4.00,,-3.60,,-0.30,
2005-01,59.34,,44.51,,14.83,,63.63,,48.71,,14.92,,,,,,,,-4.62,,-4.25,,0.29,
2005-02,57.45,,44.23,,13.22,,61.05,,47.56,,13.49,,,,,,,,-3.87,,-3.42,,0.24,
2005-03,58.16,,44.28,,13.88,,62.54,,48.29,,14.25,,,,,,,,-4.59,,-4.06,,0.17,
2005-04,58.27,,46.35,,11.92,,62.55,,50.23,,12.32,,,,,,,,-4.42,,-3.90,,0.13,
2005-05,61.78,,49.59,,12.19,,65.80,,53.57,,12.23,,,,,,,,-4.18,,-4.01,,0.15,
2005-06,60.48,,47.26,,13.22,,64.47,,50.77,,13.70,,,,,,,,-4.30,,-3.53,,0.29,
2005-07,61.89,,48.63,,13.26,,65.72,,51.97,,13.75,,,,,,,,-3.94,,-3.43,,0.09,
2005-08,62.52,,48.45,,14.07,,66.71,,52.57,,14.14,,,,,,,,-4.75,,-4.18,,0.52,
2005-09,63.06,,49.44,,13.62,,66.45,,53.25,,13.20,,,,,,,,-4.69,,-3.89,,1.21,
2005-10,63.59,,51.83,,11.76,,67.63,,55.29,,12.34,,,,,,,,-4.69,,-3.56,,0.58,
2005-11,64.58,,52.97,,11.61,,68.03,,56.35,,11.68,,,,,,,,-3.93,,-3.48,,0.44,
2005-12,65.40,,53.42,,11.98,,68.01,,57.11,,10.90,,,,,,,,-3.95,,-3.88,,1.29,
2006-01,66.36,,52.84,,13.52,,69.83,,56.39,,13.44,,,,,,,,-4.22,,-3.67,,0.69,
2006-02,67.58,,54.43,,13.15,,71.51,,58.91,,12.60,,,,,,,,-4.68,,-4.59,,0.68,
2006-03,64.43,,54.93,,9.50,,69.18,,58.92,,10.26,,,,,,,,-5.04,,-4.11,,0.21,
2006-04,69.65,,55.79,,13.86,,73.72,,60.40,,13.32,,,,,,,,-4.88,,-4.69,,0.71,
2006-05,67.08,,56.22,,10.86,,71.19,,60.33,,10.86,,,,,,,,-4.51,,-4.18,,0.33,
