"",BBDA1.M.DE.Y.EX.S.GP09IS02.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS02.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS03.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS03.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS04.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS04.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS09.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS09.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09I028.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09I028.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS10.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS10.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09I029.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09I029.W1.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Intermediate products / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / Capital goods / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / Consumer goods / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / Chemicals and chemical/pharmaceutical products (new: items 20+21) / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / 28 Machinery and equipment / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / Computer, electronic and optical products plus electrical equipment (new: items 26+27) / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / 29 Motor vehicles, trailers and semi-trailers / Rest of the World / Calendar and seasonally adjusted",
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,billion,,billion,,billion,,billion,,billion,,billion,,billion,
last update,2022-06-14 10:00:16,,2022-06-14 10:00:16,,2022-06-14 10:00:16,,2022-06-14 10:00:16,,2022-06-14 10:00:08,,2022-06-14 10:00:16,,2022-06-14 10:00:09,
2008-01,27.18,,39.10,,14.13,,11.81,,14.66,,12.62,,15.27,
2008-02,26.41,,38.15,,13.92,,11.58,,13.45,,12.47,,15.03,
2008-03,26.59,,37.47,,13.87,,11.45,,13.40,,11.94,,15.30,
2008-04,26.48,,37.21,,13.88,,11.26,,13.15,,12.27,,15.13,
2008-05,26.60,,36.09,,13.37,,11.08,,13.08,,11.83,,14.45,
2008-06,25.95,,35.90,,14.58,,11.93,,13.53,,11.81,,14.98,
2008-07,26.02,,35.20,,14.27,,12.14,,13.23,,11.52,,13.92,
2008-08,26.30,,35.88,,15.02,,12.31,,13.43,,12.01,,13.50,
2008-09,25.81,,35.23,,14.27,,11.77,,13.31,,11.69,,13.66,
2008-10,25.67,,35.76,,14.63,,12.08,,13.82,,11.88,,13.47,
2008-11,23.04,,32.73,,14.07,,10.89,,12.81,,10.95,,12.26,
2008-12,21.38,,32.25,,14.07,,10.22,,12.24,,10.78,,11.11,
2009-01,20.65,,30.21,,12.44,,9.51,,12.08,,10.10,,9.18,
2009-02,20.48,,28.31,,12.52,,10.11,,10.97,,9.86,,8.58,
2009-03,19.75,,27.62,,12.04,,10.06,,10.35,,9.34,,8.88,
2009-04,20.03,,27.35,,12.55,,10.56,,10.39,,9.42,,8.75,
2009-05,19.65,,27.21,,11.50,,9.70,,9.69,,8.99,,9.60,
2009-06,20.32,,27.78,,11.39,,10.07,,9.65,,9.25,,10.55,
2009-07,21.29,,28.40,,12.42,,10.57,,10.37,,9.65,,10.39,
2009-08,20.71,,28.20,,11.74,,10.04,,9.90,,9.37,,10.46,
2009-09,21.31,,27.98,,11.88,,10.38,,9.88,,9.91,,11.14,
2009-10,21.46,,28.67,,11.83,,10.52,,10.19,,10.04,,10.76,
2009-11,22.00,,29.78,,12.50,,10.69,,10.18,,10.13,,12.37,
2009-12,22.81,,31.00,,12.56,,10.85,,10.78,,10.82,,11.79,
2010-01,22.56,,30.74,,12.31,,10.78,,10.19,,10.54,,11.88,
2010-02,23.17,,31.50,,12.52,,10.98,,10.32,,10.69,,11.93,
2010-03,24.11,,32.96,,12.91,,11.38,,11.07,,11.22,,12.45,
2010-04,24.36,,32.79,,12.74,,11.71,,11.03,,11.02,,12.54,
2010-05,25.45,,34.58,,13.13,,12.05,,11.40,,11.52,,13.90,
2010-06,25.78,,34.83,,12.97,,11.90,,11.73,,12.03,,14.06,
2010-07,26.19,,35.17,,13.27,,12.13,,12.10,,12.11,,13.46,
2010-08,25.95,,33.97,,13.41,,12.29,,12.03,,12.17,,12.67,
2010-09,26.21,,35.32,,13.24,,12.05,,12.36,,12.32,,13.94,
2010-10,26.80,,36.23,,13.41,,11.98,,12.69,,12.79,,14.29,
2010-11,27.57,,36.14,,13.12,,11.78,,12.60,,12.88,,14.03,
2010-12,27.35,,35.49,,13.89,,12.70,,12.85,,12.64,,14.15,
2011-01,27.83,,37.91,,13.27,,12.18,,12.96,,12.57,,14.71,
2011-02,28.45,,37.49,,13.80,,12.80,,12.91,,12.61,,14.85,
2011-03,28.82,,38.65,,14.07,,12.77,,13.37,,12.95,,14.95,
2011-04,28.67,,38.24,,14.25,,12.96,,13.45,,12.76,,14.98,
2011-05,27.86,,38.52,,13.65,,12.49,,13.43,,12.53,,15.43,
2011-06,28.75,,38.34,,14.37,,13.04,,13.37,,12.78,,15.24,
2011-07,28.69,,38.60,,13.75,,12.47,,13.73,,12.72,,15.80,
2011-08,28.97,,38.82,,14.32,,12.81,,13.71,,12.75,,15.78,
2011-09,29.05,,38.96,,14.35,,12.97,,13.87,,12.62,,15.39,
