"",BBDA1.M.DE.Y.EX.S.GP09IS02.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS02.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS03.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS03.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS04.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS04.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS09.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS09.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09I028.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09I028.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS10.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS10.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09I029.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09I029.W1.A.V.ABA.A_FLAGS
2011-10,27.96,,39.47,,14.24,,12.68,,13.86,,12.38,,16.06,
2011-11,28.21,,39.98,,14.69,,12.65,,14.00,,12.68,,15.59,
2011-12,27.73,,38.79,,14.06,,12.64,,13.33,,12.42,,15.50,
2012-01,27.93,,40.65,,14.42,,13.11,,13.91,,12.36,,15.61,
2012-02,28.58,,41.24,,14.36,,12.88,,14.23,,12.89,,15.91,
2012-03,28.67,,40.06,,14.30,,13.09,,13.83,,12.79,,15.71,
2012-04,28.22,,40.41,,14.23,,13.24,,13.85,,12.76,,15.85,
2012-05,29.13,,41.52,,15.10,,13.78,,13.99,,13.23,,16.03,
2012-06,28.72,,41.15,,14.71,,13.43,,14.21,,13.07,,16.13,
2012-07,28.57,,41.90,,14.99,,13.46,,13.98,,13.09,,17.17,
2012-08,28.98,,41.99,,15.13,,13.86,,13.98,,13.02,,16.52,
2012-09,28.41,,40.79,,15.31,,14.30,,13.57,,12.61,,15.81,
2012-10,28.80,,40.01,,15.33,,13.93,,13.42,,12.49,,15.81,
2012-11,28.06,,39.33,,14.93,,13.46,,13.43,,12.43,,15.21,
2012-12,28.90,,41.06,,15.19,,13.99,,13.81,,12.76,,16.12,
2013-01,28.69,,39.79,,15.43,,13.71,,13.85,,12.57,,15.16,
2013-02,28.21,,40.34,,15.30,,13.73,,13.67,,12.50,,15.48,
2013-03,28.59,,40.91,,15.22,,13.39,,13.67,,12.85,,15.62,
2013-04,28.16,,40.62,,15.45,,13.74,,13.86,,12.80,,15.91,
2013-05,28.77,,39.55,,15.21,,13.59,,13.94,,13.05,,15.31,
2013-06,27.97,,40.54,,15.13,,13.30,,13.79,,12.94,,15.89,
2013-07,27.72,,39.55,,15.12,,13.39,,13.56,,12.61,,15.68,
2013-08,27.91,,40.83,,15.23,,13.43,,13.58,,12.66,,16.82,
2013-09,27.82,,41.45,,15.59,,13.64,,13.69,,12.75,,16.56,
2013-10,28.68,,40.55,,15.99,,14.41,,13.47,,12.72,,16.09,
2013-11,28.37,,41.80,,15.76,,14.12,,13.80,,12.60,,16.57,
2013-12,28.36,,41.54,,15.57,,13.78,,14.13,,12.68,,16.55,
2014-01,28.97,,41.59,,16.21,,14.21,,13.92,,13.05,,16.85,
2014-02,28.62,,41.97,,15.79,,13.76,,13.94,,13.07,,16.58,
2014-03,28.19,,40.58,,15.57,,13.80,,13.56,,12.84,,16.22,
2014-04,28.89,,41.46,,15.88,,13.94,,13.86,,13.18,,16.93,
2014-05,27.81,,40.72,,15.82,,14.11,,13.60,,12.66,,16.52,
2014-06,28.84,,41.87,,15.71,,13.79,,14.05,,13.17,,17.20,
2014-07,28.88,,43.47,,15.80,,13.82,,13.91,,13.22,,18.08,
2014-08,28.67,,40.22,,16.67,,14.79,,13.83,,13.24,,15.41,
2014-09,29.21,,42.79,,16.04,,14.22,,13.86,,13.45,,17.16,
2014-10,29.28,,43.63,,16.13,,14.31,,14.23,,13.46,,17.56,
2014-11,28.59,,42.59,,16.14,,14.19,,13.94,,13.18,,17.59,
2014-12,29.57,,44.33,,16.83,,14.78,,14.21,,13.98,,18.13,
2015-01,29.23,,43.90,,16.36,,14.35,,13.89,,13.81,,17.80,
2015-02,29.56,,45.42,,16.57,,14.11,,13.93,,14.17,,18.47,
2015-03,29.29,,45.07,,16.87,,14.59,,14.08,,14.10,,18.71,
2015-04,29.75,,46.19,,16.85,,14.92,,14.01,,14.07,,18.55,
2015-05,29.78,,47.38,,17.02,,14.76,,15.02,,14.37,,19.37,
2015-06,29.51,,44.88,,17.47,,15.33,,14.18,,14.21,,18.89,
2015-07,29.88,,47.70,,17.40,,15.07,,14.30,,14.52,,20.10,
2015-08,28.62,,44.13,,17.21,,14.88,,13.97,,13.69,,18.27,
2015-09,29.08,,45.33,,17.43,,14.90,,14.08,,13.89,,19.05,
2015-10,28.91,,45.63,,16.87,,14.84,,14.07,,14.12,,18.94,
2015-11,28.92,,44.71,,17.54,,14.84,,14.18,,14.21,,18.93,
2015-12,29.11,,43.63,,17.43,,15.05,,13.88,,14.23,,18.28,
2016-01,29.54,,45.43,,17.39,,14.72,,13.98,,14.51,,18.71,
2016-02,29.04,,44.80,,17.43,,14.60,,13.88,,14.25,,18.62,
2016-03,29.37,,46.13,,17.73,,14.90,,14.27,,14.58,,18.59,
2016-04,29.14,,47.13,,17.35,,14.47,,14.55,,14.55,,19.43,
2016-05,29.31,,45.56,,17.44,,14.79,,13.93,,14.48,,18.50,
2016-06,28.72,,45.20,,17.39,,14.43,,13.82,,14.42,,19.13,
2016-07,29.10,,44.63,,17.65,,14.74,,13.64,,14.17,,18.87,
2016-08,29.62,,46.89,,17.33,,14.47,,14.23,,14.64,,19.52,
2016-09,29.86,,45.55,,17.47,,14.82,,14.36,,14.90,,19.15,
2016-10,29.59,,46.64,,17.82,,14.98,,14.21,,15.29,,18.98,
2016-11,30.58,,46.93,,18.03,,15.16,,14.46,,15.21,,19.51,
2016-12,30.28,,44.91,,17.71,,14.97,,14.01,,15.00,,17.68,
2017-01,30.64,,47.03,,18.71,,15.51,,14.52,,15.63,,18.52,
2017-02,31.49,,48.10,,18.62,,15.75,,15.26,,16.33,,19.12,
2017-03,31.44,,47.65,,18.48,,15.82,,14.98,,15.86,,19.22,
2017-04,32.73,,47.99,,19.21,,16.19,,15.38,,16.53,,19.17,
2017-05,32.00,,49.23,,19.08,,16.04,,15.62,,16.00,,19.85,
2017-06,32.14,,47.89,,18.77,,15.42,,15.40,,16.80,,19.28,
2017-07,32.10,,48.59,,19.11,,16.09,,15.46,,16.39,,19.69,
2017-08,32.26,,50.59,,19.26,,16.15,,15.64,,16.47,,20.99,
2017-09,32.65,,49.78,,19.08,,15.81,,15.87,,16.59,,19.75,
2017-10,33.00,,48.72,,19.11,,15.90,,15.68,,16.43,,19.98,
2017-11,33.74,,50.21,,19.74,,16.49,,16.15,,17.03,,20.43,
2017-12,33.83,,49.81,,20.14,,17.11,,16.31,,16.78,,20.19,
2018-01,33.44,,50.48,,19.36,,16.40,,16.18,,16.94,,20.26,
2018-02,33.26,,47.15,,20.06,,17.05,,16.07,,16.59,,19.13,
2018-03,33.08,,49.46,,20.10,,17.04,,15.98,,16.77,,19.77,
2018-04,33.04,,50.57,,19.87,,16.79,,16.19,,16.86,,20.03,
2018-05,33.67,,51.03,,20.11,,16.88,,16.41,,17.12,,20.06,
2018-06,33.34,,50.13,,20.29,,17.17,,16.28,,17.19,,19.53,
2018-07,33.47,,49.36,,20.40,,17.12,,16.20,,17.14,,19.17,
2018-08,34.05,,49.28,,20.48,,17.52,,16.52,,17.10,,18.43,
2018-09,33.57,,49.49,,20.22,,17.17,,16.41,,17.74,,18.72,
2018-10,34.40,,48.81,,19.96,,16.89,,16.67,,17.64,,18.50,
2018-11,33.79,,49.72,,19.68,,16.37,,16.33,,17.24,,18.75,
2018-12,33.91,,51.63,,19.75,,16.53,,17.03,,17.58,,19.67,
2019-01,34.04,,50.82,,20.21,,16.80,,16.81,,17.61,,19.24,
2019-02,33.58,,49.62,,19.44,,16.53,,16.40,,17.37,,18.97,
2019-03,34.50,,51.18,,20.04,,16.77,,16.63,,17.75,,18.88,
2019-04,33.25,,49.61,,20.00,,16.52,,16.35,,17.29,,18.60,
2019-05,32.85,,50.03,,20.04,,16.62,,16.38,,17.26,,19.19,
2019-06,33.62,,50.06,,20.94,,17.30,,16.47,,17.41,,19.15,
2019-07,33.33,,49.97,,20.35,,16.92,,16.39,,17.56,,18.74,
2019-08,33.26,,49.50,,20.52,,16.52,,16.55,,17.59,,18.68,
2019-09,34.23,,49.20,,20.90,,17.53,,16.35,,17.45,,18.86,
2019-10,33.57,,50.47,,21.31,,17.63,,16.51,,17.53,,18.60,
2019-11,33.06,,49.50,,21.01,,16.91,,16.24,,17.48,,18.47,
2019-12,32.64,,50.47,,20.95,,16.71,,16.51,,17.22,,18.60,
2020-01,33.68,,49.29,,20.96,,16.86,,16.55,,17.61,,18.69,
2020-02,34.17,,48.99,,21.44,,17.47,,16.16,,17.31,,18.58,
2020-03,31.72,,41.33,,20.19,,17.80,,14.42,,16.17,,14.01,
2020-04,26.79,,25.71,,18.27,,16.18,,11.65,,13.87,,4.58,
2020-05,26.35,,32.61,,19.60,,15.46,,12.53,,14.10,,9.37,
2020-06,28.70,,40.96,,19.69,,15.34,,13.86,,15.34,,15.32,
2020-07,29.68,,43.57,,20.23,,15.96,,14.59,,16.18,,16.35,
2020-08,31.61,,43.87,,20.38,,15.99,,14.61,,16.40,,16.27,
2020-09,32.58,,45.32,,20.56,,16.84,,15.04,,16.85,,17.62,
2020-10,32.36,,45.78,,20.57,,16.91,,15.16,,16.47,,18.93,
2020-11,34.02,,46.20,,20.89,,17.67,,15.58,,17.50,,18.21,
2020-12,33.88,,46.80,,20.54,,17.25,,15.35,,17.26,,18.90,
2021-01,34.84,,46.39,,21.39,,18.34,,15.93,,17.69,,17.91,
2021-02,34.81,,47.02,,20.69,,17.41,,15.91,,17.83,,17.88,
2021-03,36.02,,47.23,,21.82,,18.91,,16.23,,17.98,,18.80,
2021-04,36.17,,46.48,,22.54,,19.72,,16.00,,18.11,,18.14,
2021-05,37.09,,46.16,,22.88,,19.85,,16.44,,18.11,,17.07,
2021-06,37.07,,46.46,,22.80,,19.92,,16.16,,17.96,,17.15,
2021-07,37.53,,46.53,,22.65,,20.02,,16.42,,18.18,,16.86,
2021-08,37.89,,44.32,,22.84,,20.66,,16.46,,18.38,,13.85,
2021-09,37.91,,43.82,,22.85,,20.69,,16.36,,18.18,,15.38,
2021-10,38.40,,47.60,,23.25,,20.46,,16.37,,18.21,,17.98,
2021-11,39.44,,47.91,,23.82,,20.95,,16.37,,18.52,,18.50,
2021-12,40.31,,46.50,,24.35,,22.07,,16.00,,18.80,,18.24,
2022-01,38.56,,46.78,,23.23,,20.72,,16.16,,17.92,,18.89,
2022-02,40.96,,48.63,,26.26,,22.88,,16.90,,19.20,,19.37,
2022-03,41.20,,44.46,,26.32,,22.91,,15.66,,19.02,,16.27,
2022-04,42.14,,46.73,,27.61,,23.78,,16.31,,19.28,,17.94,
