"",BBDG1.M.HWWI.N.EURO.ENERGY00.I20.EUR.A,BBDG1.M.HWWI.N.EURO.ENERGY00.I20.EUR.A_FLAGS,BBDG1.M.HWWI.N.EURO.TOTNXNGY.I20.EUR.A,BBDG1.M.HWWI.N.EURO.TOTNXNGY.I20.EUR.A_FLAGS
1998-07,32.5,,59.9,
1998-08,30.9,,58.1,
1998-09,32.1,,55.0,
1998-10,30.2,,52.5,
1998-11,27.9,,54.3,
1998-12,24.4,,52.7,
1999-01,26.3,,52.0,
1999-02,26.2,,52.1,
1999-03,32.3,,52.7,
1999-04,38.7,,54.2,
1999-05,39.6,,54.7,
1999-06,41.6,,55.4,
1999-07,47.6,,54.7,
1999-08,50.3,,55.0,
1999-09,56.6,,56.8,
1999-10,53.9,,55.8,
1999-11,60.7,,58.4,
1999-12,63.9,,60.8,
2000-01,64.2,,62.3,
2000-02,70.9,,63.5,
2000-03,73.0,,64.3,
2000-04,63.8,,64.3,
2000-05,78.4,,67.7,
2000-06,80.6,,63.2,
2000-07,78.7,,63.2,
2000-08,85.9,,64.6,
2000-09,95.7,,68.7,
2000-10,94.9,,68.6,
2000-11,97.5,,67.6,
2000-12,76.4,,66.2,
2001-01,71.9,,63.8,
2001-02,78.2,,63.7,
2001-03,73.8,,62.8,
2001-04,77.7,,62.9,
2001-05,84.9,,64.6,
2001-06,85.3,,64.3,
2001-07,77.0,,63.5,
2001-08,75.0,,59.8,
2001-09,75.2,,57.3,
2001-10,63.0,,56.2,
2001-11,57.2,,59.2,
2001-12,56.6,,59.3,
2002-01,59.4,,60.6,
2002-02,61.3,,61.8,
2002-03,71.6,,63.3,
2002-04,76.0,,62.6,
2002-05,72.2,,60.8,
2002-06,66.6,,60.3,
2002-07,66.6,,60.1,
2002-08,69.1,,61.2,
2002-09,74.0,,62.7,
2002-10,71.8,,62.5,
2002-11,63.2,,61.5,
2002-12,69.3,,60.6,
2003-01,72.8,,58.9,
2003-02,76.6,,59.7,
2003-03,70.6,,58.2,
2003-04,58.9,,57.5,
2003-05,56.8,,55.1,
2003-06,60.1,,53.4,
2003-07,64.2,,54.0,
2003-08,68.3,,55.9,
2003-09,62.3,,57.0,
2003-10,64.3,,57.5,
2003-11,64.1,,59.1,
2003-12,63.1,,58.3,
2004-01,63.9,,59.7,
2004-02,63.1,,62.0,
2004-03,70.5,,66.4,
2004-04,73.0,,68.1,
2004-05,81.4,,65.5,
2004-06,78.5,,63.9,
2004-07,81.6,,62.2,
2004-08,90.1,,60.5,
2004-09,91.9,,60.1,
2004-10,102.3,,59.2,
2004-11,89.8,,58.7,
2004-12,78.5,,57.6,
2005-01,87.2,,59.8,
2005-02,91.1,,62.0,
2005-03,103.8,,64.8,
2005-04,106.5,,64.1,
2005-05,102.0,,63.3,
2005-06,117.6,,66.1,
2005-07,123.9,,67.0,
2005-08,133.0,,66.0,
2005-09,130.7,,65.8,
2005-10,123.8,,67.4,
2005-11,119.2,,69.8,
2005-12,122.2,,72.8,
2006-01,132.3,,75.0,
2006-02,129.1,,78.0,
2006-03,132.6,,77.5,
2006-04,146.3,,81.0,
2006-05,139.2,,84.1,
2006-06,138.7,,80.3,
2006-07,148.0,,83.6,
2006-08,145.4,,82.4,
2006-09,123.9,,82.5,
2006-10,117.4,,87.2,
2006-11,116.8,,87.4,
2006-12,120.9,,87.1,
2007-01,106.3,,88.5,
2007-02,113.0,,90.5,
2007-03,120.4,,91.5,
2007-04,127.5,,92.8,
2007-05,126.9,,94.0,
2007-06,136.1,,93.3,
2007-07,143.6,,91.4,
2007-08,133.6,,88.5,
2007-09,141.8,,89.6,
2007-10,149.2,,90.1,
2007-11,162.5,,87.3,
2007-12,161.0,,88.4,
2008-01,161.7,,95.9,
2008-02,168.8,,103.6,
2008-03,173.8,,102.9,
2008-04,179.5,,100.6,
2008-05,206.0,,101.6,
2008-06,221.5,,104.8,
2008-07,221.1,,102.6,
2008-08,198.9,,98.2,
2008-09,180.4,,94.3,
2008-10,141.0,,81.9,
2008-11,110.3,,78.3,
2008-12,82.7,,69.4,
2009-01,88.7,,71.8,
2009-02,89.8,,72.2,
2009-03,93.2,,70.7,
2009-04,99.7,,74.6,
2009-05,109.2,,76.9,
2009-06,126.3,,78.0,
2009-07,118.8,,75.6,
2009-08,131.0,,80.4,
2009-09,119.4,,76.8,
2009-10,126.6,,78.2,
2009-11,132.4,,80.2,
2009-12,131.3,,85.5,
2010-01,139.8,,88.8,
2010-02,140.8,,88.7,
2010-03,145.0,,92.5,
2010-04,156.9,,99.5,
2010-05,156.3,,101.3,
2010-06,162.6,,102.8,
2010-07,162.6,,103.5,
2010-08,158.8,,107.6,
2010-09,159.5,,109.9,
2010-10,161.3,,107.9,
2010-11,169.6,,112.6,
2010-12,192.0,,121.4,
2011-01,198.3,,127.1,
2011-02,202.7,,129.5,
2011-03,216.8,,123.8,
2011-04,225.4,,123.8,
2011-05,211.4,,121.4,
2011-06,209.3,,119.1,
2011-07,213.6,,119.6,
2011-08,201.4,,117.7,
2011-09,222.2,,119.0,
2011-10,217.9,,109.9,
2011-11,221.0,,107.5,
2011-12,217.2,,107.8,
2012-01,222.4,,113.9,
2012-02,234.9,,113.7,
2012-03,244.1,,114.4,
2012-04,236.9,,113.4,
2012-05,225.5,,113.1,
2012-06,203.3,,111.5,
2012-07,220.7,,120.6,
2012-08,236.6,,118.1,
2012-09,232.1,,115.8,
2012-10,230.5,,112.4,
2012-11,231.1,,110.9,
2012-12,228.9,,109.9,
2013-01,229.5,,109.6,
2013-02,231.4,,109.7,
2013-03,226.3,,110.3,
2013-04,215.3,,106.2,
2013-05,214.5,,105.8,
2013-06,211.5,,102.8,
2013-07,220.8,,100.9,
2013-08,222.7,,98.7,
2013-09,225.0,,97.7,
2013-10,219.5,,95.9,
2013-11,221.8,,96.5,
2013-12,224.3,,96.4,
2014-01,218.9,,95.7,
2014-02,213.1,,97.7,
2014-03,206.7,,98.7,
2014-04,201.2,,101.1,
2014-05,201.9,,100.6,
2014-06,203.7,,98.9,
2014-07,194.3,,97.2,
2014-08,192.2,,98.1,
2014-09,198.7,,97.1,
2014-10,188.9,,98.0,
2014-11,177.2,,99.9,
2014-12,154.2,,98.5,
2015-01,131.5,,100.4,
2015-02,152.6,,100.2,
2015-03,153.9,,102.0,
2015-04,161.7,,101.4,
2015-05,162.1,,99.2,
2015-06,157.8,,97.8,
2015-07,149.0,,98.0,
2015-08,129.8,,91.4,
2015-09,128.6,,89.7,
2015-10,129.6,,89.5,
2015-11,126.7,,90.2,
2015-12,110.6,,88.4,
2016-01,92.3,,86.2,
2016-02,90.2,,85.5,
2016-03,100.6,,88.6,
2016-04,103.5,,89.7,
2016-05,113.8,,91.9,
2016-06,121.6,,94.5,
2016-07,117.1,,94.7,
2016-08,116.0,,92.6,
2016-09,115.6,,91.3,
2016-10,134.0,,94.4,
2016-11,135.3,,100.2,
2016-12,148.5,,103.5,
2017-01,152.9,,105.2,
2017-02,155.1,,107.0,
2017-03,138.2,,104.9,
2017-04,138.7,,102.1,
2017-05,128.7,,98.4,
2017-06,118.8,,95.8,
2017-07,119.7,,96.8,
2017-08,125.2,,95.9,
2017-09,134.5,,96.0,
2017-10,142.3,,97.6,
2017-11,154.2,,98.3,
2017-12,160.4,,96.8,
2018-01,161.7,,98.0,
2018-02,151.7,,98.9,
2018-03,152.3,,98.5,
2018-04,161.4,,101.1,
2018-05,179.4,,106.7,
2018-06,180.6,,105.1,
2018-07,180.4,,99.9,
2018-08,181.8,,99.3,
2018-09,198.1,,96.5,
2018-10,203.4,,99.1,
2018-11,175.5,,98.4,
2018-12,159.1,,97.2,
2019-01,159.0,,97.4,
2019-02,158.6,,100.2,
2019-03,157.7,,99.4,
2019-04,161.2,,99.3,
2019-05,156.8,,97.0,
2019-06,138.0,,98.5,
2019-07,141.7,,101.0,
2019-08,135.5,,96.2,
2019-09,143.4,,97.7,
2019-10,145.7,,98.0,
2019-11,152.0,,98.8,
2019-12,153.8,,101.1,
2020-01,144.8,,102.5,
2020-02,126.0,,100.1,
2020-03,83.9,,95.8,
2020-04,67.5,,92.6,
2020-05,74.0,,92.9,
2020-06,85.9,,94.1,
2020-07,90.6,,95.8,
2020-08,95.8,,98.4,
2020-09,97.1,,103.5,
2020-10,103.3,,104.9,
2020-11,109.5,,107.1,
2020-12,121.8,,112.3,
2021-01,141.6,,120.6,
2021-02,146.0,,124.7,
2021-03,150.3,,130.4,
2021-04,154.1,,134.3,
2021-05,168.3,,144.9,
2021-06,183.0,,142.3,
2021-07,204.8,,141.9,
2021-08,217.6,,138.9,
2021-09,256.1,,136.3,
2021-10,352.7,,143.0,
2021-11,304.4,,143.0,
2021-12,352.9,,148.3,
2022-01,327.8,,157.0,
2022-02,336.0,,166.5,
2022-03,504.2,,185.4,
2022-04,407.8,,184.8,
2022-05,366.8,,178.9,
