"",BBDG1.M.HWWI.N.EURO.ENERGY00.I20.EUR.A,BBDG1.M.HWWI.N.EURO.ENERGY00.I20.EUR.A_FLAGS,BBDG1.M.HWWI.N.EURO.TOTNXNGY.I20.EUR.A,BBDG1.M.HWWI.N.EURO.TOTNXNGY.I20.EUR.A_FLAGS
"",HWWI Commodity Price Index / Euro area / Energy raw materials / Euro denominated,,HWWI Commodity Price Index / Euro area / Total excluding energy / Euro denominated,
unit,2020=100,,2020=100,
unit multiplier,one,,one,
last update,2022-06-02 15:26:17,,2022-06-02 15:26:17,
1978-09,28.2,,54.2,
1978-10,27.2,,53.7,
1978-11,31.0,,55.5,
1978-12,31.6,,54.1,
1979-01,36.2,,53.6,
1979-02,47.1,,56.0,
1979-03,45.8,,58.0,
1979-04,43.9,,59.5,
1979-05,60.2,,61.0,
1979-06,70.6,,64.9,
1979-07,64.6,,62.7,
1979-08,66.3,,61.0,
1979-09,67.8,,60.9,
1979-10,73.7,,61.3,
1979-11,79.3,,61.3,
1979-12,77.2,,60.9,
1980-01,70.3,,61.7,
1980-02,67.0,,65.1,
1980-03,71.1,,65.2,
1980-04,72.9,,63.5,
1980-05,70.0,,61.2,
1980-06,68.2,,58.7,
1980-07,65.6,,59.0,
1980-08,61.0,,60.7,
1980-09,64.5,,61.3,
1980-10,72.3,,62.1,
1980-11,81.6,,64.2,
1980-12,82.6,,63.4,
1981-01,81.8,,64.0,
1981-02,82.9,,66.9,
1981-03,82.0,,66.6,
1981-04,83.2,,67.8,
1981-05,81.9,,67.3,
1981-06,80.4,,67.0,
1981-07,87.7,,69.3,
1981-08,91.3,,71.0,
1981-09,86.9,,65.9,
1981-10,86.5,,64.0,
1981-11,88.0,,62.4,
1981-12,88.6,,63.2,
1982-01,88.5,,64.6,
1982-02,78.9,,66.8,
1982-03,76.3,,65.7,
1982-04,88.0,,65.8,
1982-05,89.3,,62.9,
1982-06,93.1,,63.8,
1982-07,91.7,,64.4,
1982-08,90.4,,63.1,
1982-09,96.3,,64.0,
1982-10,97.9,,63.6,
1982-11,94.4,,64.9,
1982-12,86.1,,62.9,
1983-01,83.3,,63.8,
1983-02,80.5,,67.2,
1983-03,78.9,,69.6,
1983-04,84.2,,73.4,
1983-05,84.2,,75.4,
1983-06,89.0,,78.3,
1983-07,90.7,,80.8,
1983-08,94.4,,88.7,
1983-09,92.2,,91.5,
1983-10,88.9,,89.4,
1983-11,88.6,,91.0,
1983-12,90.0,,93.6,
1984-01,94.4,,97.6,
1984-02,92.0,,94.3,
1984-03,89.7,,92.9,
1984-04,91.2,,94.0,
1984-05,94.0,,98.3,
1984-06,91.3,,94.8,
1984-07,91.6,,91.8,
1984-08,94.1,,90.8,
1984-09,98.9,,93.5,
1984-10,97.9,,93.5,
1984-11,96.2,,92.1,
1984-12,97.6,,91.8,
1985-01,99.8,,93.4,
1985-02,108.1,,96.1,
1985-03,108.3,,96.3,
1985-04,99.1,,91.5,
1985-05,96.3,,90.2,
1985-06,93.9,,86.4,
1985-07,90.1,,80.3,
1985-08,89.2,,75.9,
1985-09,91.3,,75.8,
1985-10,88.7,,71.8,
1985-11,91.0,,72.0,
1985-12,78.6,,80.7,
1986-01,62.7,,76.7,
1986-02,49.3,,72.4,
1986-03,40.9,,74.0,
1986-04,35.4,,70.6,
1986-05,39.3,,68.1,
1986-06,33.9,,65.6,
1986-07,27.3,,62.5,
1986-08,36.9,,60.3,
1986-09,37.3,,63.1,
1986-10,36.2,,60.9,
1986-11,38.4,,60.1,
1986-12,41.0,,57.4,
1987-01,43.7,,53.9,
1987-02,40.5,,53.9,
1987-03,42.2,,53.5,
1987-04,41.2,,54.5,
1987-05,41.9,,56.6,
1987-06,43.0,,57.5,
1987-07,46.3,,58.5,
1987-08,44.6,,59.5,
1987-09,42.2,,59.2,
1987-10,42.9,,62.0,
1987-11,38.4,,58.6,
1987-12,37.1,,59.7,
1988-01,36.0,,62.5,
1988-02,34.5,,63.9,
1988-03,32.7,,66.5,
1988-04,35.9,,68.3,
1988-05,35.8,,73.0,
1988-06,35.1,,85.9,
1988-07,36.8,,81.8,
1988-08,36.4,,81.3,
1988-09,32.8,,78.3,
1988-10,30.4,,75.8,
1988-11,30.7,,74.6,
1988-12,35.5,,76.7,
1989-01,40.3,,80.0,
1989-02,40.2,,77.5,
1989-03,44.7,,77.6,
1989-04,47.5,,76.5,
1989-05,46.0,,79.1,
1989-06,45.1,,75.8,
1989-07,43.8,,70.0,
1989-08,42.9,,69.7,
1989-09,45.2,,69.4,
1989-10,46.1,,66.6,
1989-11,44.8,,64.2,
1989-12,44.8,,60.0,
1990-01,44.9,,57.0,
1990-02,43.1,,55.6,
1990-03,41.9,,59.3,
1990-04,38.7,,59.4,
1990-05,38.0,,59.3,
1990-06,36.0,,58.4,
1990-07,38.3,,56.5,
1990-08,52.1,,55.9,
1990-09,65.2,,58.0,
1990-10,66.9,,54.4,
1990-11,60.2,,50.1,
1990-12,52.1,,49.5,
1991-01,45.4,,49.2,
1991-02,36.3,,48.1,
1991-03,39.4,,51.8,
1991-04,42.6,,53.9,
1991-05,43.7,,52.5,
1991-06,43.2,,53.7,
1991-07,45.4,,53.5,
1991-08,45.2,,52.4,
1991-09,45.2,,51.6,
1991-10,48.1,,50.6,
1991-11,44.8,,48.8,
1991-12,38.4,,47.0,
1992-01,37.4,,47.7,
1992-02,38.5,,49.4,
1992-03,39.0,,50.8,
1992-04,40.9,,50.2,
1992-05,41.9,,49.3,
1992-06,43.1,,48.0,
1992-07,39.6,,45.9,
1992-08,37.9,,44.4,
1992-09,39.1,,44.7,
1992-10,40.8,,45.0,
1992-11,41.3,,47.5,
1992-12,39.4,,48.2,
1993-01,39.0,,48.3,
1993-02,41.3,,47.7,
1993-03,42.4,,48.1,
1993-04,41.0,,46.5,
1993-05,40.8,,46.5,
1993-06,40.2,,47.4,
1993-07,39.5,,52.0,
1993-08,39.8,,52.0,
1993-09,37.1,,49.6,
1993-10,38.9,,49.4,
1993-11,37.1,,52.3,
1993-12,33.1,,54.4,
1994-01,34.1,,56.1,
1994-02,33.5,,56.8,
1994-03,32.1,,56.2,
1994-04,35.2,,56.8,
1994-05,37.2,,59.0,
1994-06,38.2,,61.2,
1994-07,38.8,,63.3,
1994-08,37.7,,62.6,
1994-09,35.6,,65.7,
1994-10,35.4,,64.8,
1994-11,36.9,,66.9,
1994-12,36.2,,67.9,
1995-01,36.3,,68.6,
1995-02,36.6,,66.5,
1995-03,35.0,,64.3,
1995-04,37.0,,63.1,
1995-05,37.6,,62.8,
1995-06,35.2,,62.7,
1995-07,32.8,,62.8,
1995-08,34.2,,64.6,
1995-09,35.2,,64.0,
1995-10,33.4,,62.7,
1995-11,34.5,,63.4,
1995-12,37.0,,63.1,
1996-01,36.8,,62.1,
1996-02,36.7,,62.3,
1996-03,39.5,,61.8,
1996-04,42.9,,65.0,
1996-05,40.6,,66.7,
1996-06,39.3,,62.2,
1996-07,40.9,,60.4,
1996-08,42.2,,59.7,
1996-09,47.1,,59.2,
1996-10,50.5,,57.4,
1996-11,47.5,,57.3,
1996-12,49.8,,58.3,
1997-01,50.8,,61.5,
1997-02,47.5,,66.2,
1997-03,46.0,,70.5,
1997-04,43.0,,70.6,
1997-05,45.0,,73.3,
1997-06,42.8,,70.9,
1997-07,44.6,,69.5,
1997-08,46.9,,72.3,
1997-09,45.6,,69.7,
1997-10,48.0,,67.7,
1997-11,45.4,,66.3,
1997-12,42.5,,66.7,
1998-01,38.9,,66.4,
1998-02,36.7,,66.5,
1998-03,34.8,,65.6,
1998-04,35.6,,64.1,
1998-05,35.6,,62.5,
1998-06,33.6,,60.5,
