"",BBDA1.M.DE.N.EX.S.A.FR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.FR.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.GB.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.GB.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.NO.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.NO.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.US.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.US.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.CN.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.CN.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.KR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.KR.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.IM.S.A.NO.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.NO.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.IM.S.A.KR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.KR.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.U2.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.U2.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.IM.S.A.U2.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.U2.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Aggregate / all goods / France / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / United Kingdom / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / Norway / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / United States / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / China / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / Korea, Republic of / Unadjusted figure",,"German foreign trade: imports / At current prices, flows / Aggregate / all goods / Norway / Unadjusted figure",,"German foreign trade: imports / At current prices, flows / Aggregate / all goods / Korea, Republic of / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / Euro area (Member States and Institutions of the Euro area) changing composition / Unadjusted figure",,"German foreign trade: imports / At current prices, flows / Aggregate / all goods / Euro area (Member States and Institutions of the Euro area) changing composition / Unadjusted figure",
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,
last update,2022-06-13 13:18:58,,2022-06-13 13:18:58,,2022-06-13 13:18:59,,2022-06-13 13:19:09,,2022-06-13 13:18:52,,2022-06-13 13:18:59,,2022-06-13 13:19:20,,2022-06-13 13:19:19,,2022-06-13 13:19:08,,2022-06-13 13:19:29,
1994-10,7395078,,4675254,,586820,,4585640,,710373,,573420,,885218,,547172,,28663150,,25102255,
1994-11,6987706,,4699647,,498758,,5307150,,864516,,788971,,934829,,560860,,27363704,,24475957,
1994-12,7325248,,4673944,,543662,,4802652,,957899,,900925,,1014708,,659611,,28318182,,26690200,
1995-01,7530929,,4594224,,414580,,4230175,,702735,,626942,,859916,,445464,,28674742,,23932695,
1995-02,7378069,,4911913,,464288,,4338265,,740126,,678470,,836643,,513861,,28813141,,25584871,
1995-03,7881743,,5389845,,549221,,5036274,,915796,,751042,,957412,,698076,,31465869,,29338237,
1995-04,7156499,,5911695,,506347,,4229239,,618887,,618605,,881236,,498719,,27894582,,25561975,
1995-05,7310392,,5262340,,517183,,4986009,,1005017,,736936,,880755,,514288,,29855744,,26799155,
1995-06,8144271,,5580335,,508898,,4555500,,720294,,742267,,805761,,660343,,32040153,,28162270,
1995-07,6775072,,5273142,,446412,,4359251,,883476,,751927,,870006,,534599,,26942447,,25900894,
1995-08,6397034,,4814657,,490637,,3990089,,914875,,822914,,796559,,620297,,25253674,,22216142,
1995-09,7707050,,5166793,,562980,,4395681,,981874,,642631,,817954,,706655,,31145704,,26315112,
1995-10,8057530,,5186924,,542481,,4777406,,1045389,,710524,,955331,,749157,,31166352,,26987808,
1995-11,7621402,,4961552,,608052,,5172368,,1285680,,812662,,1042747,,758384,,30013941,,25771881,
1995-12,6851380,,4858684,,512638,,4540321,,969491,,856417,,1102856,,857053,,28284625,,26968211,
1996-01,8009777,,5297226,,449987,,4147983,,647590,,817519,,848388,,613742,,31261714,,28111397,
1996-02,7147215,,5188465,,536682,,4723854,,791656,,876928,,1029847,,574038,,29786068,,25088959,
1996-03,7351523,,5379489,,598460,,4810162,,710787,,797913,,1160423,,629054,,31126529,,28130363,
1996-04,7599628,,5190874,,492985,,4843611,,965560,,807206,,1001728,,584507,,31374398,,27800033,
1996-05,7036254,,5060473,,539489,,5102161,,699967,,883055,,977467,,610818,,29925551,,25792844,
1996-06,7563872,,5382427,,551393,,4554124,,678849,,783837,,1133091,,578775,,30055740,,27294523,
1996-07,7628637,,5865652,,563898,,5330367,,836308,,892913,,1046259,,483018,,31387046,,27556886,
1996-08,6193407,,4723325,,502034,,4771570,,909832,,755842,,914756,,420498,,25976499,,22461837,
1996-09,6971139,,4888362,,555788,,5165249,,827958,,745443,,1248160,,536244,,29523941,,25307996,
1996-10,7847377,,5597533,,650590,,6247708,,1199629,,861445,,1603236,,473313,,34195573,,29441538,
1996-11,7161738,,5776435,,665257,,5565886,,1505516,,774197,,1181384,,563500,,31190021,,27447011,
1996-12,7400182,,5316985,,549104,,4851074,,1113706,,872028,,1470249,,418404,,30553391,,28121973,
1997-01,7257068,,5502503,,545932,,5176319,,644515,,756996,,1454014,,648150,,29754850,,26327745,
1997-02,7863976,,5730547,,601549,,5634539,,776940,,656368,,1184554,,516550,,31895449,,28603486,
