"",BBDA1.M.DE.N.EX.S.A.FR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.FR.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.GB.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.GB.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.NO.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.NO.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.US.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.US.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.CN.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.CN.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.KR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.KR.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.IM.S.A.NO.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.NO.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.IM.S.A.KR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.KR.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.EX.S.A.U2.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.U2.A.V.ABA.A_FLAGS,BBDA1.M.DE.N.IM.S.A.U2.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.U2.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Aggregate / all goods / France / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / United Kingdom / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / Norway / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / United States / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / China / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / Korea, Republic of / Unadjusted figure",,"German foreign trade: imports / At current prices, flows / Aggregate / all goods / Norway / Unadjusted figure",,"German foreign trade: imports / At current prices, flows / Aggregate / all goods / Korea, Republic of / Unadjusted figure",,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / Euro area (Member States and Institutions of the Euro area) changing composition / Unadjusted figure",,"German foreign trade: imports / At current prices, flows / Aggregate / all goods / Euro area (Member States and Institutions of the Euro area) changing composition / Unadjusted figure",
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,,thousand,
last update,2022-06-13 13:18:58,,2022-06-13 13:18:58,,2022-06-13 13:18:59,,2022-06-13 13:19:09,,2022-06-13 13:18:52,,2022-06-13 13:18:59,,2022-06-13 13:19:20,,2022-06-13 13:19:19,,2022-06-13 13:19:08,,2022-06-13 13:19:29,
2003-07,5776302,,4950458,,415059,,5565830,,1812162,,461846,,842355,,408225,,25157971,,19261121,
2003-08,4578111,,4183767,,345843,,4467895,,1553580,,474390,,1143554,,426371,,21167706,,16297325,
2003-09,5875981,,4878767,,405434,,5426257,,1738176,,474129,,939404,,444713,,26324957,,19035480,
2003-10,6399451,,4978538,,375371,,5409686,,1499135,,451416,,1064802,,579196,,27138754,,19989532,
2003-11,6239145,,4760696,,388001,,5023535,,1528424,,523256,,1308809,,683941,,27870497,,21056597,
2003-12,5552355,,4459823,,377610,,4667587,,1552995,,457994,,1374244,,553106,,24988339,,18580209,
2004-01,5628319,,4435499,,362935,,4918037,,1682218,,519045,,1087339,,590909,,25118857,,18289690,
2004-02,5801887,,5040105,,370913,,5108804,,1522483,,542754,,937811,,539783,,25650217,,19226411,
2004-03,6716933,,5357861,,480069,,5635488,,1837918,,564510,,1015709,,542601,,29386137,,20641414,
2004-04,6305801,,4941583,,403388,,5695645,,2004436,,518056,,1016645,,605608,,27441746,,19531954,
2004-05,6044464,,4833510,,394499,,5310102,,1890990,,567275,,912176,,560226,,27131815,,20317724,
2004-06,6453955,,5148663,,564712,,5585438,,1926382,,530023,,1275777,,559516,,28413507,,20394581,
2004-07,6183303,,5448661,,412249,,5888971,,1843391,,593865,,1063921,,715638,,27065291,,20988557,
2004-08,5435207,,4566327,,378798,,4840320,,1501159,,528310,,980479,,636950,,24544938,,18498907,
2004-09,6334683,,4911909,,431327,,5390493,,1679339,,527893,,999141,,674421,,28202865,,20404051,
2004-10,6640592,,5087032,,461637,,5567005,,1713400,,484001,,756257,,781609,,29715170,,21098548,
2004-11,6936955,,5685721,,457290,,5539801,,1681995,,489540,,1144212,,836267,,31283809,,22576660,
2004-12,5877452,,4528884,,449758,,5380274,,1707978,,531317,,1080660,,684375,,25941080,,20456113,
2005-01,6335761,,4851157,,455632,,5081526,,1589630,,565477,,1235385,,735922,,27347459,,19169725,
2005-02,6154246,,5058184,,437688,,5158294,,1412224,,459509,,904196,,637207,,27549488,,19432101,
2005-03,7022856,,5169035,,442893,,5544622,,1581457,,566209,,1079300,,607656,,30077925,,21123371,
2005-04,6857127,,5056773,,422963,,5561136,,1595508,,539302,,1312093,,742261,,29772929,,21480006,
2005-05,6582762,,4837300,,459973,,5416983,,1623983,,548282,,1042760,,847359,,29085329,,21721709,
2005-06,7005177,,5168585,,586911,,6273715,,1682818,,611824,,961884,,799241,,31316863,,21732217,
2005-07,6148280,,5259925,,448319,,5745960,,1937565,,582079,,676369,,712622,,28144252,,21089089,
2005-08,5646276,,4791707,,426606,,5819781,,2077710,,691354,,1707627,,689108,,26302998,,19941542,
2005-09,6863463,,5226832,,503974,,6129484,,2153201,,630691,,1415485,,706001,,30659778,,21991140,
2005-10,6923080,,5032721,,508711,,6221889,,1782629,,577950,,1513276,,925602,,30984144,,22967432,
2005-11,7211501,,5351705,,523377,,6255140,,1849862,,617184,,1531245,,1004864,,32823815,,23914558,
2005-12,6288366,,4589686,,507109,,6090613,,1948197,,705507,,1722278,,1192335,,29222546,,22855777,
2006-01,7029591,,5311086,,452786,,5808156,,1881417,,629766,,1414278,,767663,,30787554,,21727229,
2006-02,6832700,,5232462,,515375,,6391447,,2022931,,670199,,1601372,,721826,,31160774,,22775783,
2006-03,7682651,,5872700,,511172,,7114614,,2009558,,707648,,1624194,,905605,,34591138,,25295825,
2006-04,6833087,,5226994,,469396,,5695938,,2059441,,671499,,1873342,,807959,,31292956,,23854994,
2006-05,7040330,,5365917,,506786,,6137532,,1991254,,642769,,1837504,,1078453,,32534818,,24083415,
2006-06,7285603,,5448856,,513179,,6178488,,2107389,,643624,,1685940,,1116811,,33293521,,25230691,
2006-07,6739334,,5510876,,566230,,6499022,,2349483,,675467,,1680932,,914352,,31781025,,23954673,
2006-08,5920655,,5358564,,493506,,5890309,,2444097,,719475,,1677696,,891539,,28561143,,22058123,
2006-09,7177333,,5459090,,627361,,6997666,,2485800,,829906,,1844004,,1046380,,33212818,,25709581,
2006-10,7734064,,5475212,,722347,,7216472,,2680365,,720609,,1253359,,1009800,,35944032,,27532148,
2006-11,7922613,,5502680,,701178,,7679930,,2971833,,819523,,1436811,,1290039,,35590701,,27628383,
2006-12,6807832,,4961923,,573383,,6381760,,2474898,,748480,,1717037,,898456,,31262619,,24976217,
2007-01,7557259,,5626181,,558455,,5971916,,2143593,,765479,,1579150,,921577,,34727031,,24008878,
2007-02,7616559,,5939650,,605828,,6179081,,2144782,,732652,,1476197,,1064766,,35221961,,24973108,
2007-03,8222665,,6137407,,634670,,6221458,,2316371,,774956,,1349571,,928135,,38158985,,26659647,
2007-04,7500107,,5657230,,588098,,5699066,,2346190,,710862,,1401584,,1009668,,35717452,,25783320,
2007-05,7565290,,5619590,,621783,,5793223,,2481950,,663984,,1441797,,964204,,35333661,,25242168,
2007-06,7759417,,5856566,,633329,,6046038,,2516736,,684482,,1412159,,835786,,36437910,,26882206,
2007-07,7730042,,6190863,,680073,,6538691,,2570846,,715473,,1449492,,878749,,35465389,,25781236,
2007-08,6295062,,5776676,,634291,,6078582,,2702120,,734509,,1406320,,821362,,31347497,,24470853,
2007-09,7735836,,5831162,,643270,,6279060,,2710422,,660316,,1282423,,771479,,35469475,,25237443,
2007-10,8434181,,6126012,,701192,,6676832,,2709696,,784783,,974141,,1031815,,39011226,,28404924,
2007-11,8293241,,6141534,,718897,,6563679,,2752609,,834032,,2066129,,823457,,38343244,,27447374,
2007-12,6955048,,4857222,,559596,,5279485,,2506681,,660914,,1896541,,734877,,32103236,,24427556,
2008-01,8016559,,5687813,,631971,,6306142,,2725804,,812785,,1879664,,738508,,36464944,,26008872,
2008-02,8295643,,5732811,,649436,,6439086,,2571970,,763328,,1865040,,740366,,36672301,,26937361,
2008-03,7920745,,5615624,,623037,,5974036,,2564860,,764328,,1826564,,1123385,,36513955,,26529575,
2008-04,8699663,,5750289,,678566,,6216422,,2998451,,793814,,1851631,,621972,,39022272,,27958112,
2008-05,7352412,,5021436,,643616,,5196520,,2833606,,646768,,1777526,,861310,,35062577,,26459176,
2008-06,8410926,,5789049,,703332,,6663221,,3128441,,740378,,2005383,,614866,,37877991,,27094030,
2008-07,7826479,,6068549,,787261,,5895531,,3211311,,974853,,2327928,,601335,,36573618,,28565255,
2008-08,6346015,,4947935,,554826,,5475762,,2557858,,643204,,1730466,,834636,,30593291,,24128935,
2008-09,8216789,,5687259,,666301,,6329914,,2815551,,756835,,1682399,,603851,,37006788,,28014537,
2008-10,8603135,,5564274,,708872,,6309930,,3095802,,713922,,1494128,,638737,,38321660,,28618807,
2008-11,7302373,,4516580,,539222,,5813390,,2781952,,621230,,2064025,,731630,,32747250,,24545740,
2008-12,6727206,,3793822,,458127,,4808275,,2779658,,580928,,1818589,,1069425,,28055691,,22264566,
2009-01,6817856,,4150359,,450761,,4328022,,2273110,,531993,,1686772,,561478,,28725274,,21633225,
2009-02,6650937,,4058198,,557210,,4636289,,2405163,,528782,,1628227,,768873,,28134669,,21724497,
2009-03,7098551,,4616830,,520206,,4858800,,2947539,,565983,,1996827,,588687,,31142548,,23619406,
2009-04,6675360,,4146997,,464949,,4673232,,2861398,,573423,,1523114,,707454,,28260348,,21860115,
2009-05,6448629,,3991928,,466058,,3891970,,2790113,,538063,,1436556,,488746,,26635987,,19935938,
2009-06,7073543,,4436742,,518501,,4933728,,3259348,,718259,,1530772,,572421,,28871622,,21137115,
2009-07,6429967,,4987428,,505045,,4974114,,3648079,,827769,,1320927,,714690,,28711051,,21534084,
2009-08,5740006,,4109642,,541443,,3603424,,3189787,,627298,,1472733,,687611,,24500624,,19394672,
2009-09,7025395,,5070693,,549544,,4344537,,3357523,,708304,,1302704,,993124,,30923924,,22461421,
2009-10,7641831,,4908921,,523060,,4641955,,3356592,,703120,,1191280,,632412,,31727010,,23964125,
2009-11,7045280,,4498502,,652038,,5199438,,3614214,,782551,,757811,,611430,,30180581,,21776710,
2009-12,6656718,,4263629,,478682,,4270854,,3569652,,867606,,1312991,,474884,,28107775,,21174245,
2010-01,6700294,,4323983,,485240,,3761362,,3146158,,651572,,1388750,,836679,,27989579,,20981125,
2010-02,7098688,,4534549,,514993,,4478529,,3853405,,710459,,1401383,,600204,,30059524,,22700077,
2010-03,8009905,,5319932,,602409,,6397863,,4775996,,880176,,1529924,,1140275,,35479479,,26309577,
2010-04,7307340,,4504686,,786957,,5145017,,4125888,,780190,,1530759,,967082,,31196266,,24056174,
2010-05,7194267,,4492834,,565109,,5191929,,4393298,,782240,,1312216,,1012479,,31819806,,25165834,
2010-06,8374377,,5175582,,642827,,5867013,,4707410,,889709,,1613200,,1215542,,35344680,,27085462,
2010-07,7531145,,5026478,,544980,,5974484,,4767006,,1038611,,1249652,,1102440,,32361052,,26558544,
2010-08,6055391,,4741345,,549369,,5088497,,4229527,,869118,,1412172,,970332,,28441974,,23052451,
2010-09,7675733,,5488620,,646146,,6031459,,4814796,,870581,,1172239,,814093,,34388842,,25886061,
2010-10,8117773,,5357590,,628895,,5856361,,4736916,,889916,,1374084,,705993,,35212629,,27132955,
2010-11,8111801,,5171954,,846061,,6474163,,5179839,,943423,,1634876,,1307092,,35301459,,27100097,
2010-12,7405111,,4528294,,552785,,5307487,,5060640,,952998,,1547682,,598360,,33213153,,26138382,
2011-01,8217944,,5125255,,599425,,5225320,,4625790,,805362,,1869293,,1040875,,33393213,,25205944,
2011-02,8128548,,5406266,,574755,,5871942,,5066959,,969636,,1952050,,981876,,34761425,,27607662,
2011-03,9441186,,6309448,,679389,,6528393,,6102523,,1047220,,1622175,,665646,,40050302,,31265565,
2011-04,8112213,,5056309,,578632,,5487143,,4893825,,966698,,1920819,,826792,,34737296,,28052642,
2011-05,8811659,,5529522,,665601,,6217305,,5844663,,1066882,,1736522,,868814,,37056018,,29804865,
2011-06,8830069,,5212786,,608410,,5952291,,5153919,,870654,,1589076,,648127,,36797911,,30332268,
2011-07,7615614,,5405253,,651312,,6165825,,5410030,,957631,,1511983,,1047470,,33259111,,27846524,
2011-08,7233457,,5228000,,648645,,6081071,,5466626,,981237,,1817574,,641267,,31667742,,26173402,
2011-09,9503964,,5854545,,737312,,6507827,,5590248,,1016124,,1714846,,789534,,38221314,,29432274,
2011-10,8140974,,5621224,,720292,,6521325,,5413191,,913789,,1314824,,640823,,34921640,,28839060,
2011-11,9521820,,5790616,,812836,,6764499,,5859479,,1053851,,1661315,,830889,,37375428,,29049426,
2011-12,7886823,,5030438,,579896,,6452698,,5435889,,1049118,,1923565,,640568,,31810605,,27072100,
2012-01,8645912,,5710013,,616031,,7064423,,5036145,,914828,,1598273,,799866,,34085318,,26623970,
2012-02,9004630,,6079742,,676295,,6922563,,5546349,,1158699,,1991318,,959675,,35355747,,28615824,
2012-03,9404079,,6183795,,752876,,7398190,,6149916,,1231510,,1999023,,638465,,37860366,,31256346,
2012-04,7709081,,5782519,,709741,,6493477,,5320253,,992137,,1994233,,653263,,33046744,,27754522,
2012-05,8849667,,5993296,,809730,,6804672,,5969180,,1016573,,1845048,,759362,,35452555,,29575250,
2012-06,9116275,,5798752,,736651,,7042675,,6335531,,1124722,,1748033,,672240,,35113501,,29118852,
2012-07,8970370,,6271053,,688132,,8000939,,5967858,,1162980,,1535889,,568353,,33779907,,29061206,
2012-08,7028666,,6212380,,729340,,7676445,,5514023,,1139679,,1685613,,799720,,30445368,,26447892,
2012-09,8721627,,5995053,,722005,,7999129,,5177997,,1120189,,1841006,,603970,,34063001,,27549809,
2012-10,9417928,,6029115,,804583,,8067974,,5619442,,1193057,,2618057,,818386,,36887319,,30136396,
2012-11,8715389,,5884949,,737204,,7569865,,5467543,,1254743,,1543150,,730090,,34468336,,29341138,
2012-12,6855855,,4906563,,533162,,5931005,,4641899,,1089895,,1267886,,453655,,28797680,,24833274,
2013-01,8419460,,5961832,,679350,,6890473,,5073520,,1066147,,1652865,,967171,,34239174,,27379434,
2013-02,8614277,,6013455,,665046,,6911187,,4959346,,1084367,,1580525,,448391,,33788921,,27205747,
2013-03,8556988,,5880238,,721701,,7953864,,5504486,,1267006,,1346321,,631898,,35293197,,30028411,
2013-04,8259539,,5901489,,776096,,7678840,,5997443,,1225430,,1534044,,766305,,34335304,,29203866,
2013-05,7381747,,5555533,,687660,,6830596,,5252691,,1174228,,1451920,,737138,,32506172,,29380340,
2013-06,8870080,,6000516,,694040,,6992596,,5474922,,1204866,,1592403,,651651,,34899571,,29599768,
2013-07,8376580,,6382928,,645435,,7530335,,6101095,,1330933,,1431709,,740585,,33622398,,29687765,
2013-08,6687369,,5508963,,678284,,7265650,,5662664,,1113089,,1726483,,633444,,29254767,,25752241,
2013-09,8943144,,6223817,,684126,,7929566,,5697569,,1317393,,1283091,,669880,,35487163,,27746935,
2013-10,9340486,,6459137,,762890,,8406760,,5975445,,1153339,,1337839,,598216,,36994965,,31620864,
2013-11,8513765,,5996320,,675688,,8547335,,5864850,,1220172,,1835235,,649124,,34494875,,29112414,
2013-12,7286996,,5396058,,531969,,6410631,,5347565,,1290305,,1296090,,554509,,30303124,,26769647,
2014-01,8566063,,6333489,,607902,,7202763,,5602122,,1161635,,1464673,,654760,,34941654,,28360039,
2014-02,8775052,,6774440,,635349,,7607663,,5367144,,1147145,,1775167,,567265,,34785770,,29621991,
2014-03,8345354,,6591796,,706318,,7848316,,6027027,,1222808,,1481924,,820243,,35147645,,30840581,
2014-04,8528595,,6284791,,641425,,7663871,,6237959,,1235984,,1549117,,683327,,34974094,,29420572,
2014-05,8042380,,6422869,,668670,,7532462,,6183918,,1173427,,1604492,,806209,,33614930,,28515221,
2014-06,8662474,,6340650,,922594,,7271510,,6267636,,1290888,,1337482,,562385,,34783981,,30492432,
2014-07,9024662,,7383212,,688935,,8754865,,7105280,,1452117,,1341102,,637280,,35512761,,29789564,
2014-08,6452352,,5804250,,627741,,7160506,,5727191,,1141508,,1431392,,602857,,29165555,,25133737,
2014-09,8814475,,7269090,,769907,,9639862,,6671988,,1390497,,1382736,,783276,,36515321,,30534268,
2014-10,9099723,,6984375,,772386,,9014422,,6836985,,1588274,,1354086,,695044,,37398132,,31065585,
2014-11,8481174,,6848043,,698985,,8284169,,6099741,,1309480,,1541328,,589598,,35021100,,29969503,
2014-12,7787536,,6126098,,724572,,7947357,,6241821,,1501855,,1517357,,611086,,31892002,,26806370,
2015-01,8522636,,6820810,,607984,,7727732,,5480880,,1235211,,1566724,,619252,,34192572,,26941480,
2015-02,9171176,,7391223,,626373,,8793970,,5697333,,1425820,,1235345,,520944,,35549219,,28998693,
2015-03,8955764,,8298632,,820433,,10704406,,6649979,,1617059,,1381367,,689772,,38683327,,31777882,
2015-04,8929953,,7284726,,703343,,9811713,,6316360,,1421666,,1545457,,601553,,36217005,,30231930,
2015-05,8456533,,6984435,,645454,,8607968,,5511599,,1320841,,1155087,,611711,,35372555,,29375011,
2015-06,9049211,,7704167,,802575,,9905637,,6185584,,1583999,,1476298,,664347,,38737015,,30924712,
2015-07,8532129,,8116230,,643269,,10505409,,6506174,,1642786,,1349776,,634259,,37723992,,31029606,
2015-08,6245600,,6503072,,582830,,8513505,,5390684,,1325454,,1358812,,673634,,29960109,,26033971,
2015-09,9157048,,8060820,,706539,,10679489,,5922019,,1560969,,1329638,,732850,,38607936,,31961071,
2015-10,9433602,,7753549,,717547,,10194672,,5728865,,1699371,,1472985,,760342,,39038549,,31538375,
2015-11,8797051,,7735551,,672615,,9502428,,5911769,,1537415,,1231256,,643733,,37757916,,30681540,
2015-12,7511538,,6364636,,555100,,8786512,,5982498,,1504696,,1124695,,530785,,32234925,,27148463,
2016-01,8451864,,6935071,,578187,,7427915,,5149871,,1151804,,1166886,,613322,,34521449,,27478303,
2016-02,8583313,,7874041,,695888,,8913703,,5832848,,1315292,,1010551,,608086,,36609844,,30221078,
2016-03,8964753,,8011150,,664720,,10528300,,6077938,,1455824,,1018765,,608532,,38826062,,30922843,
2016-04,8860629,,7318540,,736041,,9055917,,6541677,,1505619,,931221,,611345,,38271199,,30355596,
2016-05,8034105,,6716182,,813599,,7850421,,5861141,,1361513,,889630,,669915,,35896150,,29306574,
2016-06,8836738,,7820158,,836961,,9495052,,6783909,,1569057,,1019525,,625284,,38748242,,32016618,
2016-07,7946995,,6869266,,618179,,8811786,,6383920,,1362947,,1011327,,635386,,35429480,,29755220,
2016-08,7055170,,6873263,,703144,,8497819,,6257049,,1454473,,1485474,,636370,,32604849,,26920155,
2016-09,9000754,,7779155,,748876,,9078777,,6570326,,1347248,,898053,,577675,,39194354,,30892170,
2016-10,8459328,,6506113,,736371,,8771569,,6282454,,1580091,,1165526,,632333,,37288198,,30344327,
2016-11,9175144,,7221355,,751809,,9762258,,7053894,,1386131,,1041330,,750753,,39488723,,31490530,
2016-12,7737053,,6014399,,772941,,8628946,,7250809,,1741660,,1056617,,782083,,34213380,,29144409,
2017-01,8612400,,6795458,,662749,,8942446,,6277454,,1261726,,956098,,832624,,37032374,,29907820,
2017-02,8651969,,7466621,,683327,,9124932,,6296244,,1326653,,846271,,887155,,38121241,,30876113,
2017-03,9282944,,8251176,,860946,,11251515,,7886896,,1584976,,1048020,,861123,,42386122,,34142286,
2017-04,8641779,,6696240,,732499,,8246878,,6089995,,1411298,,939018,,1229179,,38225034,,30673494,
2017-05,9395915,,7240389,,803080,,9492964,,7473722,,1567064,,875973,,922610,,40699501,,32416754,
2017-06,9019110,,7297440,,761862,,8803596,,7077629,,1451890,,859312,,1005504,,39953190,,31584027,
2017-07,8458818,,7034619,,622198,,9162597,,7336775,,1456757,,821123,,944983,,37866539,,31453583,
2017-08,7841797,,6660214,,720229,,8995070,,7690499,,1473045,,881619,,946543,,35926123,,29033367,
2017-09,9148456,,7381214,,730942,,9193517,,7183382,,1401295,,791806,,1037676,,40781285,,31225376,
2017-10,9011328,,7061954,,766023,,9174468,,7034904,,1510606,,1045890,,1191967,,40487539,,33007461,
2017-11,9700843,,7449624,,778784,,10346873,,8065836,,1619844,,910331,,740656,,42922170,,33866016,
2017-12,7922068,,6105188,,638838,,9070334,,7727835,,1396052,,1055052,,761418,,36811419,,30513451,
2018-01,9282572,,7277121,,705254,,8562596,,7328940,,1520794,,1068052,,883075,,41015651,,32216761,
2018-02,8427029,,7010118,,712079,,8657029,,6914644,,1387079,,1044342,,766057,,40151765,,32476449,
2018-03,9628695,,7365345,,799676,,10900815,,7864495,,1543658,,968665,,812771,,44300781,,35210381,
2018-04,9177565,,7127991,,814194,,9323984,,7429059,,1560815,,915215,,1021340,,41834933,,34104201,
2018-05,8335621,,6977666,,783595,,8496464,,7544214,,1379424,,985212,,1024562,,40775165,,33051433,
2018-06,9435853,,7005076,,951262,,9933727,,8241500,,1420403,,1128244,,1108299,,42994663,,35101204,
2018-07,8993491,,6739695,,709692,,10086075,,7961840,,1374864,,1069731,,1040440,,41430599,,36171097,
2018-08,7176858,,6334174,,696804,,9421219,,7840681,,1515238,,1042183,,1132228,,36474365,,31525160,
2018-09,8931627,,6550163,,710235,,9262323,,7944831,,1414647,,934937,,1012818,,41069049,,33952806,
2018-10,9011275,,7083482,,777156,,10057387,,8477696,,1496738,,1160183,,1220787,,44197928,,35517838,
2018-11,9106430,,7139100,,804490,,10162697,,8357248,,1462920,,1187167,,1009798,,42861671,,35004844,
2018-12,7851817,,5553805,,622684,,8476255,,7098734,,1183054,,919166,,1123527,,35362770,,31478203,
2019-01,9062082,,7129433,,748391,,9479264,,7795966,,1387588,,1201056,,958360,,41569733,,33689134,
2019-02,9222796,,7570198,,806203,,9066708,,7402597,,1343704,,1109231,,1000567,,41521167,,34935091,
2019-03,9610464,,8169697,,857108,,10615841,,8261053,,1386116,,1020585,,1029403,,44556422,,36851083,
2019-04,9254277,,5602068,,776086,,9784022,,8275278,,1466047,,1066612,,1148671,,41775243,,34883658,
2019-05,8912186,,6543360,,901492,,10194868,,8168976,,1736449,,1002465,,976489,,42252930,,36133762,
2019-06,8685150,,5967797,,744174,,9237201,,7201496,,1299495,,1028994,,1013095,,40498600,,34890786,
2019-07,9038113,,6280943,,703606,,11257724,,8726262,,1546245,,1012127,,961431,,41167855,,34724177,
2019-08,7333294,,6028714,,690166,,9742503,,7381875,,1227464,,814530,,937597,,35341463,,29940196,
2019-09,9319089,,7258866,,793154,,9911278,,7671913,,1510495,,855132,,1201393,,43027024,,34059537,
2019-10,9603470,,7385163,,795024,,11069674,,8623219,,1423788,,742103,,1019333,,43917595,,35544769,
2019-11,9325961,,6065310,,697409,,9873650,,8165545,,1503573,,1003008,,1237738,,41955605,,34103059,
2019-12,7196641,,5164620,,623537,,8447407,,8309769,,1421903,,1074376,,812237,,34724662,,30108097,
2020-01,8766707,,6023001,,751142,,9021744,,7293039,,1561608,,965131,,1171319,,40787095,,32087960,
2020-02,9039027,,6132962,,767798,,9532310,,6738488,,1834001,,900096,,1027571,,40904218,,33859557,
2020-03,7839301,,7443798,,679976,,10225529,,7471108,,1820644,,775103,,1150617,,38666187,,33885417,
2020-04,4792483,,3251559,,498037,,6289001,,7217225,,1105535,,557124,,940543,,26550166,,24596726,
2020-05,6119709,,3433920,,575321,,6464527,,7171704,,1187748,,578207,,834640,,30190857,,26437189,
2020-06,7748782,,4987698,,855199,,7292050,,8218294,,1521771,,573496,,856752,,36089103,,30894447,
2020-07,7730237,,5504647,,695102,,9223675,,8721351,,1660697,,555789,,836459,,37088427,,29942336,
2020-08,6452334,,5639600,,640514,,7608844,,7306658,,1223004,,574749,,781173,,32319236,,28434968,
2020-09,8384507,,6377808,,903050,,9251524,,8470667,,1433344,,588927,,830550,,41191234,,32557635,
2020-10,8451112,,6462561,,728700,,9847263,,8645292,,1493628,,608418,,854341,,41163529,,33553310,
2020-11,8352809,,6467849,,716573,,9573903,,9342167,,1452922,,707647,,1043430,,41206222,,34372882,
2020-12,7233067,,5360656,,589715,,9145651,,9244094,,1479451,,718705,,980910,,35697152,,30588161,
2021-01,7850031,,4328744,,620847,,8454033,,7551628,,1421682,,773885,,1058094,,38152369,,29558937,
2021-02,8122789,,5417591,,759028,,9488134,,8326089,,1518941,,783271,,906645,,40347412,,33511592,
2021-03,9503351,,6523523,,924069,,11148887,,10319808,,1728625,,1284745,,1221438,,47276199,,39572958,
2021-04,8412761,,5330482,,817759,,10060593,,8379369,,1583961,,988980,,1101292,,42292060,,34641907,
2021-05,8331474,,5006418,,778275,,9090356,,8384202,,1483517,,1071437,,1135047,,42002262,,36237213,
2021-06,9137209,,5544274,,775443,,10259754,,9515891,,1515511,,1190435,,1154223,,45114439,,38330178,
2021-07,8430041,,5932824,,855954,,10836556,,8343941,,1553814,,1090969,,916080,,43270518,,36742140,
2021-08,7112355,,4781881,,671127,,9395675,,7626009,,1251888,,1349413,,1032767,,37746465,,32425171,
2021-09,8678194,,5685389,,867192,,10711355,,8443503,,1468987,,1680719,,921049,,45031989,,36456945,
2021-10,8759284,,5721294,,801975,,10897012,,9385346,,1764165,,2393572,,1100691,,46485542,,39987757,
2021-11,9421562,,6121702,,885460,,11000525,,8971991,,1693545,,2895627,,1074181,,47123695,,41773805,
2021-12,8420816,,4957252,,786370,,10695008,,8442162,,1738899,,4148353,,998900,,44022450,,39427486,
2022-01,8217142,,5405075,,819595,,9963416,,7902387,,1535070,,3775939,,1090126,,41443396,,35523055,
2022-02,9151653,,5837824,,883885,,10938625,,9066284,,1823769,,3624184,,963787,,47325135,,41176697,
2022-03,10206315,,6525546,,901929,,13769154,,10455957,,1642640,,4414481,,1100335,,51657792,,44974964,
2022-04,9247295,,5617676,,885701,,11922149,,8253618,,1520718,,4603400,,1058101,,47607620,,41059603,
