"",BBDL1.M.DE.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A,BBDL1.M.DE.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A_FLAGS
"","Reported vacancies, total / Germany / Total / Absolute value / Calendar and seasonally adjusted",
unit,Anzahl,
unit multiplier,thousand,
last update,2022-05-31 10:05:01,
2000-01,426,
2000-02,432,
2000-03,433,
2000-04,442,
2000-05,454,
2000-06,455,
2000-07,459,
2000-08,457,
2000-09,459,
2000-10,463,
2000-11,471,
2000-12,476,
2001-01,468,
2001-02,460,
2001-03,454,
2001-04,444,
2001-05,436,
2001-06,433,
2001-07,426,
2001-08,422,
2001-09,418,
2001-10,410,
2001-11,399,
2001-12,393,
2002-01,395,
2002-02,400,
2002-03,401,
2002-04,396,
2002-05,392,
2002-06,386,
2002-07,370,
2002-08,364,
2002-09,351,
2002-10,343,
2002-11,333,
2002-12,324,
2003-01,315,
2003-02,303,
2003-03,293,
2003-04,286,
2003-05,270,
2003-06,262,
2003-07,258,
2003-08,259,
2003-09,244,
2003-10,238,
2003-11,234,
2003-12,227,
2004-01,220,
2004-02,214,
2004-03,205,
2004-04,201,
2004-05,205,
2004-06,209,
2004-07,204,
2004-08,205,
2004-09,201,
2004-10,202,
2004-11,201,
2004-12,204,
2005-01,214,
2005-02,219,
2005-03,228,
2005-04,236,
2005-05,246,
2005-06,253,
2005-07,261,
2005-08,269,
2005-09,277,
2005-10,285,
2005-11,285,
2005-12,288,
2006-01,293,
2006-02,301,
2006-03,309,
2006-04,322,
2006-05,339,
2006-06,349,
2006-07,362,
2006-08,373,
2006-09,381,
2006-10,392,
2006-11,402,
2006-12,417,
2007-01,424,
2007-02,432,
2007-03,434,
2007-04,436,
2007-05,433,
2007-06,431,
2007-07,424,
2007-08,421,
2007-09,414,
2007-10,412,
2007-11,408,
2007-12,405,
2008-01,400,
2008-02,396,
2008-03,396,
2008-04,393,
2008-05,390,
2008-06,399,
2008-07,396,
2008-08,392,
2008-09,389,
2008-10,383,
2008-11,374,
2008-12,356,
2009-01,342,
2009-02,333,
2009-03,319,
2009-04,304,
2009-05,294,
2009-06,285,
2009-07,281,
2009-08,284,
2009-09,288,
2009-10,290,
2009-11,294,
2009-12,303,
2010-01,306,
2010-02,312,
2010-03,322,
2010-04,333,
2010-05,348,
2010-06,357,
2010-07,371,
2010-08,377,
2010-09,382,
2010-10,392,
2010-11,399,
2010-12,409,
2011-01,420,
2011-02,435,
2011-03,444,
2011-04,455,
2011-05,460,
2011-06,465,
2011-07,470,
2011-08,476,
2011-09,483,
2011-10,490,
2011-11,497,
2011-12,499,
2012-01,501,
2012-02,491,
2012-03,491,
2012-04,491,
2012-05,490,
2012-06,486,
2012-07,480,
2012-08,474,
2012-09,468,
2012-10,460,
2012-11,454,
2012-12,447,
2013-01,462,
2013-02,462,
2013-03,460,
2013-04,453,
2013-05,451,
2013-06,449,
2013-07,453,
2013-08,454,
2013-09,458,
2013-10,458,
2013-11,460,
2013-12,464,
2014-01,464,
2014-02,469,
2014-03,473,
2014-04,479,
2014-05,478,
2014-06,486,
2014-07,488,
2014-08,498,
2014-09,504,
2014-10,507,
2014-11,514,
2014-12,521,
2015-01,525,
2015-02,533,
2015-03,542,
2015-04,548,
2015-05,554,
2015-06,563,
2015-07,573,
2015-08,577,
2015-09,582,
2015-10,599,
2015-11,609,
2015-12,615,
2016-01,625,
2016-02,630,
2016-03,636,
2016-04,639,
2016-05,653,
2016-06,656,
2016-07,657,
2016-08,664,
2016-09,667,
2016-10,675,
2016-11,678,
2016-12,682,
2017-01,692,
2017-02,693,
2017-03,697,
2017-04,708,
2017-05,714,
2017-06,722,
2017-07,732,
2017-08,741,
2017-09,749,
2017-10,759,
2017-11,767,
2017-12,786,
2018-01,784,
2018-02,786,
2018-03,786,
2018-04,790,
2018-05,795,
2018-06,797,
2018-07,803,
2018-08,801,
2018-09,806,
2018-10,800,
2018-11,800,
2018-12,805,
2019-01,805,
2019-02,807,
2019-03,808,
2019-04,804,
2019-05,797,
2019-06,791,
2019-07,779,
2019-08,769,
2019-09,758,
2019-10,740,
2019-11,728,
2019-12,707,
2020-01,708,
2020-02,711,
2020-03,703,
2020-04,635,
2020-05,589,
2020-06,566,
2020-07,558,
2020-08,564,
2020-09,567,
2020-10,582,
2020-11,592,
2020-12,599,
2021-01,600,
2021-02,602,
2021-03,620,
2021-04,639,
2021-05,661,
2021-06,689,
2021-07,725,
2021-08,751,
2021-09,767,
2021-10,781,
2021-11,796,
2021-12,817,
2022-01,838,
2022-02,850,
2022-03,855,
2022-04,866,
2022-05,876,
"",Source: Seasonal adjustment based on data provided by the Federal Employment Agency.,
