IUMALNPY,"Monthly average yield from British Government Securities, 20 year Nominal Par Yield"
IUMAMNPY,"Monthly average yield from British Government Securities, 10 year Nominal Par Yield"
IUMASNPY,"Monthly average yield from British Government Securities, 5 year Nominal Par Yield"
IUMLNPY,"End month level of yield from British Government Stock, 20 year Nominal Par Yield"
IUMMNPY,"End month level of yield from British Government Stock, 10 year Nominal Par Yield"
IUMSNPY,"End month level of yield from British Government Securities, 5 year Nominal Par Yield"
