実質原系列,,,,,,,,,,,,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円)
"Real, Original Series",,,,,,,,,,,,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,家計最終消費支出（再掲）,,,,,,,,,形態別総固定資本形成,,,,,総資本形成,,,財貨・サービス,,,,,,
,,居住者家計の海外での直接購入,（控除）非居住者家計の国内での直接購入,国内家計最終消費支出,,,,,,住宅,その他の建物・構築物,輸送用機械,その他の機械設備等,知的財産生産物,,うち在庫変動,,純輸出（再掲）,輸出（再掲）,,,輸入（再掲）,,
,,,,,耐久財,半耐久財,非耐久財,サービス,,,,,,,,,,,,財貨,サービス（含む非居住者家計の国内での直接購入）,,財貨,サービス（含む居住者家計の海外での直接購入）
,"Consumptionof Households(id, at §Ｉ)",DirectPurchasesAbroad byResidentHouseholds,(Less) DirectPurchases inthe DomesticMarket byNon-ResidentHouseholds ,Domestic FinalConsumptionExpenditure ofHouseholds,DurableGoods,Semi-DurableGoods,Non-DurableGoods,Services,,Gross Fixed Capital Formation by Type,,,,,Gross CapitalFormation,Of WhichChange inInventories,,Goods & Services,,,,,,
,,,,,,,,,,ResidentialInvestment,Other Buildingsand Structures,TransportEquipment,OtherMachinery andEquipment etc.,IntellectualPropertyProducts,,,,"Net Exports(id, at §Ｉ)","Exports(id, at §Ｉ)",,,"Imports(id, at §Ｉ)",,
,,,,,,,,,,,,,,,,,,,,Goods,Services（Including DirectPurchases in theDomestic Marketby Non-ResidentHouseholds),,Goods,Services（Including DirectPurchasesAbroad byResidentHouseholds)
1994/ 1- 3.,"60,337.8 ","1,389.0 ",64.9 ,"59,406.4 ","1,781.2 ","5,372.4 ","19,107.1 ","35,642.5 ",,"7,539.9 ","16,656.2 ","1,979.1 ","6,504.3 ","5,128.9 ","34,394.4 ","-2,295.4 ",,"-1,923.5 ","9,315.8 ","7,793.6 ","1,552.8 ","11,239.4 ","7,599.2 ","3,446.2 "
4- 6.,"59,839.2 ","1,341.6 ",65.4 ,"58,931.0 ","1,631.4 ","5,043.8 ","20,087.7 ","35,053.9 ",,"7,874.7 ","13,754.2 ","1,520.9 ","5,742.4 ","4,285.0 ","32,877.3 ",800.1 ,,"-2,153.8 ","9,298.0 ","7,838.5 ","1,475.5 ","11,451.8 ","7,893.3 ","3,368.4 "
7- 9.,"62,286.7 ","1,650.4 ",61.1 ,"61,232.5 ","1,872.3 ","5,241.9 ","20,852.5 ","35,886.4 ",,"9,073.3 ","14,985.4 ","1,670.9 ","6,234.4 ","4,695.7 ","35,086.6 ",-355.0 ,,"-2,339.5 ","9,671.4 ","8,230.8 ","1,438.8 ","12,011.0 ","8,209.9 ","3,598.2 "
10-12.,"62,974.0 ","1,433.1 ",58.9 ,"62,000.9 ","1,957.1 ","5,378.0 ","21,604.1 ","35,620.5 ",,"8,678.8 ","18,291.1 ","1,612.1 ","5,987.7 ","4,551.6 ","39,399.1 ","2,125.7 ",,"-2,202.7 ","10,027.9 ","8,540.8 ","1,483.4 ","12,230.7 ","8,601.0 ","3,435.1 "
1995/ 1- 3.,"61,676.8 ","1,430.0 ",45.0 ,"60,701.6 ","2,077.6 ","5,525.7 ","19,586.2 ","35,515.6 ",,"7,855.4 ","15,613.7 ","2,080.0 ","6,998.2 ","5,157.7 ","34,122.2 ","-2,771.6 ",,"-2,639.9 ","9,688.1 ","8,222.2 ","1,468.9 ","12,328.0 ","8,546.8 ","3,579.0 "
4- 6.,"61,214.6 ","1,517.1 ",42.9 ,"60,205.6 ","1,935.4 ","5,051.5 ","20,578.9 ","35,028.5 ",,"7,762.0 ","12,922.7 ","1,684.7 ","6,525.0 ","4,456.7 ","34,431.1 ","1,773.2 ",,"-2,898.0 ","9,776.8 ","8,405.5 ","1,348.7 ","12,674.8 ","9,069.3 ","3,411.7 "
7- 9.,"63,676.5 ","1,923.1 ",58.8 ,"62,500.1 ","2,114.4 ","5,448.2 ","21,326.3 ","35,851.2 ",,"8,119.2 ","15,981.1 ","1,691.6 ","7,139.1 ","4,847.8 ","36,987.5 ",106.8 ,,"-3,565.0 ","10,076.0 ","8,506.3 ","1,584.2 ","13,641.0 ","9,562.2 ","3,860.3 "
10-12.,"64,796.9 ","1,703.7 ",65.4 ,"63,707.1 ","2,190.8 ","5,635.0 ","22,298.4 ","35,838.3 ",,"8,240.7 ","19,729.6 ","1,597.5 ","6,847.0 ","4,779.4 ","42,246.4 ","2,722.5 ",,"-4,010.9 ","10,375.0 ","8,687.0 ","1,721.0 ","14,385.9 ","10,183.6 ","3,976.8 "
