Ⅲ.雇用者報酬,,,,,,,,,,,,,,,,,,
Compensation of Employees,,,,,,,,,,,,,,,,,,(単位:10億円、%)
名　　　　　目,,,,,,,,,,実　　　　　質(2015暦年連鎖価格),,,,,,,,
Nominal,,,,,,,,,,Real (Chained (2015) Yen),,,,,,,,
,,四半期・原系列,,四半期・季節調整系列,,年度 、 暦年,,,,,,四半期・原系列,,四半期・季節調整系列,,年度 、 暦年,,
,,Original series,,Seasonally adjusted series,,"Fiscal Year, Calendar Year",,,,,,Original series,,Seasonally adjusted series,,"Fiscal Year, Calendar Year",,
,,実数,(**),実数,(***),,実数,(**),,,,実数,(**),実数,(***),,実数,(**)
,,billion yen,(**),billion yen,(***),,billion yen,(**),,,,billion yen,(**),billion yen,(***),,billion yen,(**)
,7-9.,"60,495.6 ",-2.6 ,"252,406.8 ",-1.1 ,1996/4-3.,"272,962.4 ",2.2 ,,,7-9.,"59,691.8 ",-1.5 ,"248,750.1 ",-1.0 ,1996/4-3.,"255,141.3 ",2.4 
,10-12.,"73,996.5 ",-0.4 ,"253,617.4 ",0.5 ,1997/4-3.,"279,054.2 ",2.2 ,,,10-12.,"72,850.4 ",0.7 ,"250,722.3 ",0.8 ,1997/4-3.,"257,327.6 ",0.9 
2004/,1-3.,"53,702.1 ",-2.8 ,"253,986.7 ",0.1 ,1998/4-3.,"273,370.2 ",-2.0 ,,2004/,1-3.,"53,382.9 ",-2.0 ,"250,882.9 ",0.1 ,1998/4-3.,"253,453.6 ",-1.5 
,4-6.,"66,047.8 ",1.0 ,"256,082.9 ",0.8 ,1999/4-3.,"269,177.0 ",-1.5 ,,,4-6.,"65,253.3 ",1.7 ,"253,861.1 ",1.2 ,1999/4-3.,"251,453.2 ",-0.8 
,7-9.,"61,161.3 ",1.1 ,"256,595.1 ",0.2 ,2000/4-3.,"270,736.4 ",0.6 ,,,7-9.,"60,766.2 ",1.8 ,"254,714.3 ",0.3 ,2000/4-3.,"255,824.8 ",1.7 
,10-12.,"75,052.1 ",1.4 ,"256,488.9 ",-0.0 ,2001/4-3.,"264,606.8 ",-2.3 ,,,10-12.,"74,073.4 ",1.7 ,"254,209.5 ",-0.2 ,2001/4-3.,"254,306.5 ",-0.6 
2005/,1-3.,"54,175.8 ",0.9 ,"257,423.3 ",0.4 ,2002/4-3.,"256,723.4 ",-3.0 ,,2005/,1-3.,"54,171.7 ",1.5 ,"255,907.5 ",0.7 ,2002/4-3.,"250,365.3 ",-1.5 
,4-6.,"67,286.8 ",1.9 ,"259,504.0 ",0.8 ,2003/4-3.,"253,616.6 ",-1.2 ,,,4-6.,"66,905.6 ",2.5 ,"258,754.9 ",1.1 ,2003/4-3.,"250,087.2 ",-0.1 
,7-9.,"61,950.9 ",1.3 ,"261,190.4 ",0.6 ,2004/4-3.,"256,437.0 ",1.1 ,,,7-9.,"61,931.8 ",1.9 ,"261,056.9 ",0.9 ,2004/4-3.,"254,264.6 ",1.7 
,10-12.,"77,180.8 ",2.8 ,"263,139.6 ",0.7 ,2005/4-3.,"261,644.3 ",2.0 ,,,10-12.,"76,821.2 ",3.7 ,"263,014.3 ",0.7 ,2005/4-3.,"261,060.0 ",2.7 
2006/,1-3.,"55,225.7 ",1.9 ,"263,189.4 ",0.0 ,2006/4-3.,"265,771.5 ",1.6 ,,2006/,1-3.,"55,401.4 ",2.3 ,"262,313.6 ",-0.3 ,2006/4-3.,"265,759.4 ",1.8 
,4-6.,"68,860.7 ",2.3 ,"264,611.0 ",0.5 ,2007/4-3.,"267,280.1 ",0.6 ,,,4-6.,"68,653.5 ",2.6 ,"264,567.6 ",0.9 ,2007/4-3.,"267,492.1 ",0.7 
,7-9.,"62,744.3 ",1.3 ,"265,455.0 ",0.3 ,2008/4-3.,"265,523.7 ",-0.7 ,,,7-9.,"62,573.4 ",1.0 ,"264,838.7 ",0.1 ,2008/4-3.,"264,486.7 ",-1.1 
,10-12.,"78,360.8 ",1.5 ,"267,070.3 ",0.6 ,2009/4-3.,"252,674.2 ",-4.8 ,,,10-12.,"78,105.3 ",1.7 ,"267,254.0 ",0.9 ,2009/4-3.,"258,099.1 ",-2.4 
2007/,1-3.,"55,805.6 ",1.1 ,"265,718.6 ",-0.5 ,2010/4-3.,"251,154.8 ",-0.6 ,,2007/,1-3.,"56,427.2 ",1.9 ,"266,867.1 ",-0.1 ,2010/4-3.,"259,481.0 ",0.5 
,4-6.,"69,586.8 ",1.1 ,"267,120.4 ",0.5 ,2011/4-3.,"251,977.0 ",0.3 ,,,4-6.,"69,686.9 ",1.5 ,"268,282.6 ",0.5 ,2011/4-3.,"260,627.9 ",0.4 
,7-9.,"62,850.5 ",0.2 ,"266,226.1 ",-0.3 ,2012/4-3.,"251,431.0 ",-0.2 ,,,7-9.,"63,085.6 ",0.8 ,"267,509.1 ",-0.3 ,2012/4-3.,"261,519.0 ",0.3 
,10-12.,"78,373.3 ",0.0 ,"267,654.9 ",0.5 ,2013/4-3.,"253,705.1 ",0.9 ,,,10-12.,"78,084.1 ",-0.0 ,"267,545.1 ",0.0 ,2013/4-3.,"262,147.9 ",0.2 
2008/,1-3.,"56,469.5 ",1.2 ,"267,670.3 ",0.0 ,2014/4-3.,"258,435.2 ",1.9 ,,2008/,1-3.,"56,635.5 ",0.4 ,"266,369.2 ",-0.4 ,2014/4-3.,"258,939.5 ",-1.2 
,4-6.,"70,117.5 ",0.8 ,"269,467.1 ",0.7 ,2015/4-3.,"262,003.5 ",1.4 ,,,4-6.,"69,454.7 ",-0.3 ,"267,960.9 ",0.6 ,2015/4-3.,"261,988.8 ",1.2 
,7-9.,"62,996.9 ",0.2 ,"266,517.7 ",-1.1 ,2016/4-3.,"268,251.3 ",2.4 ,,,7-9.,"62,187.6 ",-1.4 ,"263,423.8 ",-1.7 ,2016/4-3.,"268,673.2 ",2.6 
,10-12.,"77,222.0 ",-1.5 ,"264,885.8 ",-0.6 ,2017/4-3.,"273,710.4 ",2.0 ,,,10-12.,"76,831.1 ",-1.6 ,"264,140.6 ",0.3 ,2017/4-3.,"272,360.7 ",1.4 
2009/,1-3.,"55,187.3 ",-2.3 ,"259,769.5 ",-1.9 ,2018/4-3.,"282,460.7 ",3.2 ,,2009/,1-3.,"56,013.3 ",-1.1 ,"261,938.9 ",-0.8 ,2018/4-3.,"279,278.5 ",2.5 
,4-6.,"65,615.2 ",-6.4 ,"252,759.3 ",-2.7 ,2019/4-3.,"287,971.3 ",2.0 ,,,4-6.,"66,233.0 ",-4.6 ,"256,199.6 ",-2.2 ,2019/4-3.,"282,429.1 ",1.1 
,7-9.,"59,943.6 ",-4.8 ,"252,961.7 ",0.1 ,,,,,,7-9.,"61,172.9 ",-1.6 ,"258,422.0 ",0.9 ,,,
,10-12.,"73,051.7 ",-5.4 ,"251,912.9 ",-0.4 ,,,,,,10-12.,"74,844.2 ",-2.6 ,"258,311.8 ",-0.0 ,,,
2010/,1-3.,"54,063.7 ",-2.0 ,"252,820.6 ",0.4 ,1994/1-12.,"261,624.5 ",,,2010/,1-3.,"55,849.0 ",-0.3 ,"259,568.4 ",0.5 ,1994/1-12.,"241,398.3 ",
,4-6.,"65,223.5 ",-0.6 ,"251,561.1 ",-0.5 ,1995/1-12.,"266,002.9 ",1.7 ,,,4-6.,"66,771.1 ",0.8 ,"258,817.1 ",-0.3 ,1995/1-12.,"247,595.8 ",2.6 
,7-9.,"59,671.3 ",-0.5 ,"251,374.1 ",-0.1 ,1996/1-12.,"270,690.3 ",1.8 ,,,7-9.,"61,904.9 ",1.2 ,"260,963.4 ",0.8 ,1996/1-12.,"252,973.1 ",2.2 
,10-12.,"72,216.5 ",-1.1 ,"250,142.5 ",-0.5 ,1997/1-12.,"278,751.3 ",3.0 ,,,10-12.,"74,693.5 ",-0.2 ,"258,773.4 ",-0.8 ,1997/1-12.,"257,634.2 ",1.8 
2011/,1-3.,"54,043.4 ",-0.0 ,"251,653.1 ",0.6 ,1998/1-12.,"274,572.1 ",-1.5 ,,2011/,1-3.,"56,111.5 ",0.5 ,"259,950.0 ",0.5 ,1998/1-12.,"254,274.4 ",-1.3 
