Year;Value;Region;Chapter;Table;Indicator;Energy Source
2010;811635.0;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2011;881466.0;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2006;639008.0;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2013;974436.0;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2014;1054354.92;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2016;1163290.2191602;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2017;1232505.29786395;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2019;1311175.61502285;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2020;;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2005;;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2009;763519.0;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2007;689780.0;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2008;707945.0;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2012;921229.0;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2015;1104228.3316495;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
2018;1307684.57121994;India;Availability of Energy Sources;5.4: Trends in Availability of Electricity;Net Electricity Available for Supply;Electricity
