[a],Calculated using the Variable Roughness Penalty (VRP) model.
[b],The monthly average figure is calculated using the available daily observations within each month.
[c],"There have been small revisions to the UK government VRP curves (nominal, real and inflation) going back to the beginning of November 1998. (30 Nov 1998)"
