Date;433 - Broad National Consumer Price Index (IPCA) - Monthly % var.;4449 - Broad National Consumer Price Index (IPCA) - Administred prices - Monthly % var.;11428 - Broad national consumer price index (IPCA) - non monitored prices - Monthly % var.;13522 - National consumer price index (IPCA) - in 12 months - %
06/1984;10.08 ;-;-;189.55
07/1984;9.72 ;-;-;188.62
08/1984;9.35 ;-;-;189.25
09/1984;11.75 ;-;-;193.05
10/1984;10.44 ;-;-;197.27
11/1984;10.53 ;-;-;205.97
12/1984;11.98 ;-;-;215.26
01/1985;11.76 ;-;-;221.27
02/1985;10.87 ;-;-;225.28
03/1985;10.16 ;-;-;228.93
04/1985;8.20 ;-;-;224.88
05/1985;7.20 ;-;-;219.36
06/1985;8.49 ;-;-;214.76
07/1985;10.31 ;-;-;216.44
08/1985;12.05 ;-;-;224.26
09/1985;11.12 ;-;-;222.43
10/1985;10.62 ;-;-;222.95
11/1985;13.97 ;-;-;233.02
12/1985;15.07 ;-;-;242.23
01/1986;14.37 ;-;-;250.23
02/1986;12.72 ;-;-;256.08
03/1986;4.77 ;-;-;238.65
04/1986;0.78 ;-;-;215.44
05/1986;1.40 ;-;-;198.38
06/1986;1.27 ;-;-;178.52
07/1986;1.71 ;-;-;156.80
08/1986;3.55 ;-;-;137.33
09/1986;1.72 ;-;-;117.25
10/1986;1.90 ;-;-;100.13
11/1986;5.45 ;-;-;85.17
12/1986;11.65 ;-;-;79.66
01/1987;13.21 ;-;-;77.84
02/1987;12.64 ;-;-;77.71
03/1987;16.37 ;-;-;97.39
04/1987;19.10 ;-;-;133.27
05/1987;21.45 ;-;-;179.40
06/1987;19.71 ;-;-;230.27
07/1987;9.21 ;-;-;254.63
08/1987;4.87 ;-;-;259.14
09/1987;7.78 ;-;-;280.55
10/1987;11.22 ;-;-;315.35
11/1987;15.08 ;-;-;353.27
12/1987;14.15 ;-;-;363.41
01/1988;18.89 ;-;-;386.67
02/1988;15.70 ;-;-;399.90
03/1988;17.60 ;-;-;405.18
04/1988;19.29 ;-;-;405.99
05/1988;17.42 ;-;-;389.19
06/1988;22.00 ;-;-;398.54
07/1988;21.91 ;-;-;456.52
08/1988;21.59 ;-;-;545.24
09/1988;27.45 ;-;-;662.99
10/1988;25.62 ;-;-;761.78
11/1988;27.94 ;-;-;858.09
12/1988;28.70 ;-;-;980.21
01/1989;37.49 ;-;-;1,149.22
02/1989;16.78 ;-;-;1,160.88
03/1989;6.82 ;-;-;1,045.29
04/1989;8.33 ;-;-;940.07
05/1989;17.92 ;-;-;944.50
06/1989;28.65 ;-;-;1,001.44
07/1989;27.74 ;-;-;1,054.11
08/1989;33.71 ;-;-;1,169.15
09/1989;37.56 ;-;-;1,269.82
10/1989;39.77 ;-;-;1,424.12
11/1989;47.82 ;-;-;1,660.95
12/1989;51.50 ;-;-;1,972.91
01/1990;67.55 ;-;-;2,426.12
02/1990;75.73 ;-;-;3,701.29
03/1990;82.39 ;-;-;6,390.53
04/1990;15.52 ;-;-;6,821.31
05/1990;7.59 ;-;-;6,214.99
06/1990;11.75 ;-;-;5,385.43
07/1990;12.92 ;-;-;4,749.03
08/1990;12.88 ;-;-;3,993.62
09/1990;14.41 ;-;-;3,304.71
10/1990;14.36 ;-;-;2,685.74
11/1990;16.81 ;-;-;2,101.34
12/1990;18.44 ;-;-;1,620.97
01/1991;20.75 ;-;-;1,140.27
02/1991;20.72 ;-;-;752.02
03/1991;11.92 ;-;-;422.84
04/1991;4.99 ;-;-;375.18
05/1991;7.43 ;-;-;374.48
06/1991;11.19 ;-;-;372.10
07/1991;12.41 ;-;-;369.96
08/1991;15.63 ;-;-;381.41
09/1991;15.63 ;-;-;386.55
10/1991;20.23 ;-;-;411.52
11/1991;25.21 ;-;-;448.31
12/1991;23.71 ;-;-;472.70
01/1992;25.94 ;28.50 ;25.49 ;497.32
02/1992;24.32 ;29.94 ;23.31 ;515.13
03/1992;21.40 ;22.48 ;21.20 ;567.21
04/1992;19.93 ;19.35 ;20.04 ;662.16
05/1992;24.86 ;19.88 ;25.81 ;785.81
06/1992;20.21 ;19.46 ;20.35 ;857.68
07/1992;21.83 ;24.11 ;21.42 ;937.94
08/1992;22.14 ;26.60 ;21.32 ;996.37
09/1992;24.63 ;21.26 ;25.28 ;1,081.70
10/1992;25.24 ;21.46 ;25.94 ;1,130.94
11/1992;22.49 ;17.31 ;23.42 ;1,104.20
12/1992;25.24 ;24.51 ;25.36 ;1,119.10
01/1993;30.35 ;32.93 ;29.91 ;1,161.79
02/1993;24.98 ;29.24 ;24.24 ;1,168.49
03/1993;27.26 ;24.51 ;27.76 ;1,229.71
04/1993;27.75 ;29.15 ;27.50 ;1,316.42
05/1993;27.69 ;29.48 ;27.37 ;1,348.52
06/1993;30.07 ;30.16 ;30.05 ;1,467.33
07/1993;30.72 ;35.26 ;29.90 ;1,581.70
08/1993;32.96 ;35.30 ;32.52 ;1,730.67
09/1993;35.69 ;36.14 ;35.60 ;1,893.13
10/1993;33.92 ;34.63 ;33.78 ;2,031.27
11/1993;35.56 ;35.47 ;35.58 ;2,258.68
12/1993;36.84 ;36.16 ;36.97 ;2,477.15
01/1994;41.31 ;37.74 ;41.96 ;2,693.84
02/1994;40.27 ;42.49 ;39.88 ;3,035.71
03/1994;42.75 ;41.27 ;43.01 ;3,417.39
04/1994;42.68 ;42.14 ;42.78 ;3,828.49
05/1994;44.03 ;45.22 ;43.82 ;4,331.19
06/1994;47.43 ;42.41 ;48.32 ;4,922.60
07/1994;6.84 ;4.64 ;7.22 ;4,005.08
08/1994;1.86 ;-0.12 ;2.19 ;3,044.89
09/1994;1.53 ;-0.16 ;1.81 ;2,253.15
10/1994;2.62 ;-0.72 ;3.15 ;1,703.17
11/1994;2.81 ;-0.79 ;3.36 ;1,267.54
12/1994;1.71 ;0.04 ;1.96 ;916.46
01/1995;1.70 ;-0.25 ;1.98 ;631.54
02/1995;1.02 ;0.48 ;1.10 ;426.83
03/1995;1.55 ;0.36 ;1.72 ;274.78
04/1995;2.43 ;0.28 ;2.73 ;169.05
05/1995;2.67 ;0.30 ;2.99 ;91.79
06/1995;2.26 ;5.86 ;1.78 ;33.03
07/1995;2.36 ;5.55 ;1.92 ;27.45
08/1995;0.99 ;1.29 ;0.95 ;26.36
09/1995;0.99 ;1.42 ;0.93 ;25.69
10/1995;1.41 ;3.18 ;1.16 ;24.21
11/1995;1.47 ;2.46 ;1.33 ;22.59
12/1995;1.56 ;4.40 ;1.14 ;22.41
01/1996;1.34 ;0.60 ;1.45 ;21.97
02/1996;1.03 ;4.23 ;0.55 ;21.99
03/1996;0.35 ;0.25 ;0.37 ;20.55
04/1996;1.26 ;3.87 ;0.85 ;19.17
05/1996;1.22 ;0.44 ;1.35 ;17.49
06/1996;1.19 ;3.02 ;0.90 ;16.26
07/1996;1.11 ;2.58 ;0.87 ;14.84
08/1996;0.44 ;1.25 ;0.31 ;14.21
09/1996;0.15 ;0.24 ;0.13 ;13.26
10/1996;0.30 ;0.19 ;0.32 ;12.02
11/1996;0.32 ;0.53 ;0.28 ;10.75
12/1996;0.47 ;1.49 ;0.30 ;9.56
01/1997;1.18 ;3.01 ;0.87 ;9.39
02/1997;0.50 ;0.26 ;0.54 ;8.82
03/1997;0.51 ;0.62 ;0.49 ;8.99
04/1997;0.88 ;4.27 ;0.29 ;8.58
