File or Sheet,base year,last updated
Industrial Production Index,2015,2022-05-04
Producer Price Index,2015,2022-05-04
Merchandise Trade Index Numbers - Imports,2020,2022-05-04
Merchandise Trade Index Numbers - Exports,2020,2022-05-04
Merchandise Trade Index Numbers - Terms of Trade,2020,2022-05-04
Index of Retail Sales,2019.10-2020.09,2022-05-04
