File or Sheet,base year
Consumer Price Index,2015.0
Consumer Price Index of Blue- and White-Collar Families,2015.0
Industrial Producer Price Index,2015.0
Industrial Production Index SA,2015.0
Industrial Production Index CA,2015.0
Industrial Production Index NSA1,2015.0
Industrial Production Index NSA2,2015.0
Industrial Production Index NSA3,2015.0
Industrial Production Index NSA4,2015.0
Industrial Turnover Index total market,2015.0
Industrial Turnover Index domestic market,2015.0
Industrial Turnover Index foreign market,2015.0
Industrial Turnover Index SA,2015.0
Index of Hours worked per employee,2015.0
Hourly Gross Earnings Index,2015.0
Index of Gross Earning per Employee,2015.0
Index of Labour Cost per Employee,2015.0
Business confidence Index in the manufacturing sector,2010.0
Business confidence Index in the construction sector,2010.0
Consumer confidence Index NSA,2010.0
Consumer confidence Index SA,2010.0
Business confidence Index in the retail trade sector,2010.0
Business confidence Index in the market services sector total,2010.0
Business confidence Index in the market services sector local,2010.0
Index of Wages according to collective labour agreements by economic sector,2015.12
Construction costs Index,2015
Index of retail trade sales by type of product and type of sales,2015.0
Index of retail trade sales by type of product and enterprises size class,2015.0
