"",BBFB1.Q.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance / Rest of the World / Calendar and seasonally adjusted,,Current account / Goods / Balance / Rest of the World / Calendar and seasonally adjusted,,Current Account / Services / Balance / Rest of World / Calendar and seasonally adjusted,,Current account / Primary income / Balance / Rest of the World / Calendar and seasonally adjusted,,Current account / Secondary income / Balance / Rest of the World / Calendar and seasonally adjusted,
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,billion,,billion,,billion,,billion,,billion,
last update,2021-12-22 08:00:04,,2021-12-22 08:00:14,,2021-12-22 08:00:05,,2021-12-22 08:00:05,,2021-12-22 08:00:05,
1991-01,-13.56,,12.09,,-13.34,,9.48,,-21.79,
1991-04,-15.77,,2.63,,-12.39,,6.29,,-12.30,
1991-07,-9.45,,7.52,,-12.31,,7.84,,-12.50,
1991-10,-5.07,,14.46,,-13.50,,6.37,,-12.40,
1992-01,-10.63,,12.03,,-16.34,,7.46,,-13.78,
1992-04,-12.68,,9.01,,-15.67,,6.94,,-12.96,
1992-07,-6.06,,15.60,,-16.47,,7.67,,-12.86,
1992-10,-10.85,,11.00,,-16.59,,6.65,,-11.91,
1993-01,-7.01,,17.13,,-16.94,,4.92,,-12.12,
1993-04,-11.43,,15.81,,-17.75,,5.28,,-14.77,
1993-07,-11.50,,16.09,,-17.37,,4.17,,-14.39,
1993-10,-7.99,,20.70,,-17.99,,4.72,,-15.42,
1994-01,-13.84,,19.41,,-18.94,,0.19,,-14.50,
1994-04,-11.49,,24.06,,-20.47,,0.63,,-15.71,
