"",BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
1971-07,129.513,,705.853,,-576.340,,98.156,,85.373,,307.151,,93.106,,26.817,,-208.996,,31.357,,398.702,,332.340,,332.340,,9.729,,-367.345,
1971-08,79.685,,611.250,,-531.565,,50.462,,37.169,,242.973,,28.632,,33.596,,-192.510,,29.222,,368.277,,306.775,,306.775,,12.707,,-339.055,
1971-09,79.017,,529.984,,-450.967,,48.250,,35.467,,215.190,,-,Nothing exists,68.662,,-166.941,,30.768,,314.794,,255.646,,255.646,,10.697,,-284.026,
1971-10,90.216,,503.749,,-413.533,,55.974,,43.191,,164.132,,19.071,,25.736,,-108.158,,34.243,,339.617,,281.211,,281.211,,11.915,,-305.375,
1971-11,136.371,,621.536,,-485.165,,100.915,,38.231,,302.397,,82.113,,67.636,,-201.482,,35.456,,319.139,,255.646,,255.646,,9.746,,-283.683,
1971-12,398.056,,663.955,,-265.899,,363.582,,181.613,,305.760,,127.158,,29.378,,57.823,,34.473,,358.195,,281.211,,281.211,,20.133,,-323.722,
1972-01,134.668,,588.684,,-454.016,,106.790,,57.144,,295.293,,63.042,,31.386,,-188.503,,27.878,,293.391,,230.081,,230.081,,3.737,,-265.513,
1972-02,87.830,,533.126,,-445.296,,54.522,,40.205,,253.296,,65.445,,27.884,,-198.774,,33.308,,279.831,,230.081,,230.081,,4.297,,-246.522,
1972-03,82.729,,670.335,,-587.606,,49.304,,35.499,,330.571,,74.291,,80.074,,-281.267,,33.425,,339.764,,281.211,,281.211,,3.752,,-306.339,
1972-04,105.067,,538.727,,-433.660,,70.629,,56.824,,227.365,,-,Nothing exists,34.288,,-156.736,,34.438,,311.361,,255.646,,255.646,,4.185,,-276.924,
1972-05,82.124,,619.737,,-537.614,,45.608,,31.803,,261.536,,80.375,,47.609,,-215.927,,36.515,,358.202,,281.211,,281.211,,4.069,,-321.686,
1972-06,133.681,,611.949,,-478.268,,98.840,,84.524,,270.656,,42.897,,81.913,,-171.816,,34.841,,341.293,,281.211,,281.211,,6.008,,-306.452,
1972-07,144.991,,748.802,,-603.811,,107.748,,90.875,,347.226,,79.608,,35.646,,-239.478,,37.244,,401.576,,332.340,,332.340,,4.391,,-364.333,
1972-08,124.575,,673.529,,-548.954,,89.905,,73.032,,264.601,,65.599,,34.115,,-174.696,,34.670,,408.928,,357.904,,357.904,,3.795,,-374.258,
1972-09,105.113,,580.869,,-475.756,,68.958,,52.085,,186.771,,-,Nothing exists,79.428,,-117.813,,36.155,,394.098,,332.340,,332.340,,4.332,,-357.943,
1972-10,112.796,,600.414,,-487.618,,79.496,,63.134,,257.839,,-,Nothing exists,37.383,,-178.344,,33.300,,342.574,,281.211,,281.211,,3.933,,-309.274,
1972-11,231.461,,646.703,,-415.242,,202.296,,72.530,,305.644,,109.979,,47.501,,-103.348,,29.165,,341.059,,281.211,,281.211,,3.750,,-311.894,
1972-12,215.983,,717.606,,-501.622,,177.797,,136.944,,348.273,,40.954,,81.094,,-170.476,,38.187,,369.333,,306.775,,306.775,,4.541,,-331.146,
1973-01,142.778,,621.334,,-478.556,,114.319,,80.686,,292.788,,15.236,,51.018,,-178.469,,28.459,,328.546,,255.646,,255.646,,3.721,,-300.087,
1973-02,107.724,,724.809,,-617.085,,67.882,,51.151,,376.938,,169.800,,31.374,,-309.056,,39.842,,347.872,,281.211,,281.211,,4.469,,-308.029,
1973-03,107.703,,589.841,,-482.138,,76.951,,60.220,,249.761,,20.298,,98.186,,-172.809,,30.752,,340.080,,281.211,,281.211,,4.327,,-309.328,
1973-04,115.537,,574.402,,-458.865,,86.038,,69.307,,253.885,,84.210,,32.507,,-167.847,,29.499,,320.517,,255.646,,255.646,,4.495,,-291.018,
1973-05,112.023,,798.381,,-686.359,,75.038,,58.308,,404.896,,188.053,,51.031,,-329.858,,36.984,,393.485,,332.340,,332.340,,3.875,,-356.501,
1973-06,151.978,,866.431,,-714.453,,125.690,,108.448,,471.485,,135.901,,92.445,,-345.794,,26.288,,394.946,,332.340,,332.340,,3.946,,-368.658,
1973-07,163.591,,879.185,,-715.593,,135.622,,116.634,,445.466,,224.866,,40.985,,-309.843,,27.969,,433.719,,357.904,,357.904,,4.364,,-405.750,
1973-08,83.181,,808.726,,-725.545,,52.811,,33.631,,339.731,,81.142,,36.936,,-286.920,,30.370,,468.994,,409.034,,409.034,,4.090,,-438.625,
1973-09,102.802,,687.964,,-585.162,,70.537,,51.356,,272.132,,-,Nothing exists,96.792,,-201.595,,32.265,,415.832,,357.904,,357.904,,4.220,,-383.567,
1973-10,138.198,,763.846,,-625.648,,103.052,,83.873,,400.782,,98.117,,36.641,,-297.729,,35.145,,363.064,,306.775,,306.775,,4.109,,-327.919,
1973-11,109.632,,627.391,,-517.759,,70.428,,50.737,,255.993,,4.499,,49.739,,-185.564,,39.204,,371.399,,306.775,,306.775,,3.927,,-332.195,
1973-12,232.693,,834.445,,-601.752,,173.297,,154.117,,413.070,,100.367,,104.258,,-239.773,,59.396,,421.375,,357.904,,357.904,,4.510,,-361.978,
1974-01,167.973,,773.988,,-606.015,,134.486,,98.100,,429.988,,76.796,,43.975,,-295.503,,33.488,,344.000,,281.211,,281.211,,4.209,,-310.512,
1974-02,135.059,,668.858,,-533.798,,101.086,,83.618,,311.397,,37.273,,40.699,,-210.310,,33.973,,357.461,,281.211,,281.211,,4.512,,-323.488,
1974-03,150.634,,718.132,,-567.499,,105.851,,45.639,,322.967,,48.215,,115.646,,-217.116,,44.783,,395.165,,306.775,,306.775,,4.531,,-350.383,
1974-04,198.582,,651.529,,-452.947,,159.822,,142.354,,252.408,,48.113,,35.290,,-92.586,,38.760,,399.120,,332.340,,332.340,,3.743,,-360.361,
1974-05,204.159,,717.629,,-513.470,,163.582,,146.113,,319.508,,56.191,,61.560,,-155.927,,40.577,,398.120,,332.340,,332.340,,4.158,,-357.543,
1974-06,160.323,,795.221,,-634.898,,115.734,,74.696,,364.208,,-,Nothing exists,105.389,,-248.474,,44.589,,431.013,,357.904,,357.904,,4.553,,-386.424,
1974-07,272.918,,790.770,,-517.852,,218.335,,198.100,,309.012,,-,Nothing exists,51.057,,-90.677,,54.583,,481.758,,409.034,,409.034,,4.760,,-427.175,
1974-08,207.339,,893.517,,-686.179,,171.310,,151.075,,355.611,,102.105,,52.005,,-184.301,,36.029,,537.906,,434.598,,434.598,,4.395,,-501.877,
1974-09,112.592,,853.513,,-740.922,,71.719,,42.127,,400.219,,64.781,,118.545,,-328.500,,40.873,,453.295,,383.469,,383.469,,4.253,,-412.422,
1974-10,147.073,,795.428,,-648.355,,105.113,,85.067,,365.478,,93.669,,47.773,,-260.365,,41.960,,429.950,,332.340,,332.340,,4.487,,-387.990,
1974-11,116.217,,979.761,,-863.544,,67.436,,46.690,,542.815,,198.177,,131.302,,-475.379,,48.780,,436.945,,357.904,,357.904,,4.542,,-388.165,
1974-12,137.616,,896.579,,-758.963,,91.443,,70.696,,428.323,,63.400,,119.805,,-336.880,,46.173,,468.256,,383.469,,383.469,,5.109,,-422.083,
1975-01,147.977,,760.026,,-612.049,,114.839,,75.757,,399.872,,59.105,,48.897,,-285.033,,33.138,,360.155,,255.646,,255.646,,5.200,,-327.016,
1975-02,117.651,,712.080,,-594.429,,75.054,,56.787,,350.924,,57.980,,48.526,,-275.870,,42.597,,361.157,,281.211,,281.211,,4.717,,-318.559,
1975-03,173.925,,691.718,,-517.793,,127.895,,68.442,,333.094,,57.111,,127.427,,-205.199,,46.030,,358.623,,281.211,,281.211,,4.361,,-312.594,
1975-04,152.584,,793.732,,-641.147,,109.089,,90.919,,388.750,,146.332,,56.304,,-279.661,,43.496,,404.982,,332.340,,332.340,,4.897,,-361.486,
1975-05,140.029,,796.112,,-656.083,,103.988,,85.641,,417.686,,151.445,,77.397,,-313.699,,36.041,,378.426,,306.775,,306.775,,6.079,,-342.385,
1975-06,183.113,,834.091,,-650.979,,138.068,,119.722,,427.823,,103.485,,129.016,,-289.755,,45.045,,406.268,,332.340,,332.340,,6.434,,-361.224,
1975-07,166.647,,933.079,,-766.432,,125.870,,104.671,,424.711,,105.122,,58.790,,-298.840,,40.777,,508.368,,409.034,,409.034,,4.344,,-467.591,
1975-08,136.330,,905.519,,-769.189,,96.824,,75.881,,362.049,,111.922,,63.602,,-265.225,,39.505,,543.470,,434.598,,434.598,,4.879,,-503.964,
1975-09,110.008,,953.775,,-843.767,,56.823,,35.349,,486.079,,139.276,,137.573,,-429.256,,53.185,,467.696,,383.469,,383.469,,5.372,,-414.511,
1975-10,131.292,,908.019,,-776.727,,91.150,,69.696,,477.886,,186.570,,75.834,,-386.736,,40.142,,430.133,,332.340,,332.340,,5.361,,-389.991,
1975-11,107.974,,844.984,,-737.010,,69.207,,48.336,,415.790,,121.841,,95.402,,-346.583,,38.767,,429.194,,332.340,,332.340,,4.847,,-390.427,
1975-12,182.769,,1013.771,,-831.002,,130.546,,108.888,,575.030,,168.829,,123.844,,-444.484,,52.223,,438.741,,357.904,,357.904,,5.510,,-386.518,
1976-01,156.654,,890.400,,-733.746,,113.983,,80.089,,503.763,,38.296,,79.225,,-389.779,,42.670,,386.637,,281.211,,281.211,,5.678,,-343.967,
1976-02,106.110,,710.408,,-604.297,,62.032,,43.001,,322.552,,67.439,,86.581,,-260.520,,44.078,,387.856,,281.211,,281.211,,5.208,,-343.778,
1976-03,133.727,,768.307,,-634.580,,83.793,,64.639,,378.704,,85.744,,137.768,,-294.911,,49.934,,389.603,,306.775,,306.775,,5.173,,-339.669,
1976-04,142.174,,860.367,,-718.192,,99.934,,80.991,,427.784,,89.987,,79.609,,-327.850,,42.241,,432.583,,332.340,,332.340,,5.154,,-390.342,
1976-05,127.360,,1092.071,,-964.711,,86.453,,67.298,,659.720,,119.284,,346.079,,-573.267,,40.906,,432.350,,332.340,,332.340,,5.705,,-391.444,
1976-06,214.699,,933.212,,-718.513,,164.895,,108.110,,497.920,,188.053,,109.301,,-333.024,,49.803,,435.292,,357.904,,357.904,,5.644,,-385.489,
1976-07,200.814,,1059.894,,-859.080,,152.439,,129.891,,571.850,,96.123,,115.632,,-419.411,,48.375,,488.044,,383.469,,383.469,,6.077,,-439.669,
1976-08,119.343,,993.516,,-874.174,,77.064,,54.130,,468.379,,210.908,,104.419,,-391.315,,42.278,,525.137,,434.598,,434.598,,5.881,,-482.859,
1976-09,128.146,,921.170,,-793.024,,82.440,,58.564,,429.472,,159.472,,127.960,,-347.032,,45.705,,491.697,,409.034,,409.034,,6.161,,-445.992,
1976-10,138.402,,925.574,,-787.173,,91.703,,68.858,,479.280,,138.100,,117.692,,-387.578,,46.699,,446.294,,357.904,,357.904,,5.993,,-399.595,
1976-11,144.996,,861.723,,-716.727,,101.783,,79.236,,407.510,,108.496,,134.453,,-305.727,,43.213,,454.213,,332.340,,332.340,,5.914,,-411.000,
1976-12,296.818,,997.968,,-701.149,,250.978,,228.009,,522.664,,164.534,,122.319,,-271.686,,45.840,,475.304,,383.469,,383.469,,6.638,,-429.464,
1977-01,251.473,,1087.098,,-835.625,,191.687,,100.451,,701.462,,205.130,,135.436,,-509.775,,59.786,,385.636,,255.646,,255.646,,5.299,,-325.850,
1977-02,174.120,,892.728,,-718.608,,127.272,,106.842,,539.573,,127.261,,112.368,,-412.302,,46.848,,353.155,,255.646,,255.646,,4.584,,-306.307,
1977-03,169.945,,845.235,,-675.290,,102.007,,81.475,,474.595,,157.682,,121.773,,-372.589,,67.938,,370.640,,255.646,,255.646,,5.301,,-302.701,
1977-04,160.990,,1001.185,,-840.195,,115.313,,94.269,,568.477,,209.323,,112.229,,-453.164,,45.677,,432.708,,306.775,,306.775,,5.054,,-387.031,
1977-05,175.846,,1092.851,,-917.006,,128.242,,107.198,,652.766,,136.617,,349.001,,-524.524,,47.603,,440.085,,306.775,,306.775,,5.113,,-392.481,
1977-06,246.851,,827.377,,-580.526,,191.478,,170.947,,422.777,,119.591,,106.436,,-231.299,,55.372,,404.600,,306.775,,306.775,,5.082,,-349.227,
1977-07,219.127,,1212.873,,-993.745,,164.290,,141.158,,696.078,,201.449,,141.047,,-531.789,,54.838,,516.794,,383.469,,383.469,,5.924,,-461.957,
1977-08,139.063,,1194.763,,-1055.701,,90.185,,62.851,,612.751,,299.822,,114.324,,-522.565,,48.877,,582.013,,434.598,,434.598,,5.181,,-533.135,
1977-09,412.367,,991.284,,-578.917,,350.273,,320.793,,536.052,,190.968,,128.025,,-185.779,,62.094,,455.232,,357.904,,357.904,,5.248,,-393.138,
1977-10,177.780,,996.869,,-819.089,,121.795,,96.405,,557.926,,173.175,,132.604,,-436.131,,55.985,,438.943,,306.775,,306.775,,5.712,,-382.957,
1977-11,153.616,,992.367,,-838.751,,94.635,,68.067,,575.459,,245.216,,155.042,,-480.824,,58.982,,416.908,,306.775,,306.775,,5.499,,-357.927,
1977-12,239.470,,980.284,,-740.814,,183.291,,159.793,,518.821,,89.476,,129.240,,-335.530,,56.179,,461.462,,332.340,,332.340,,5.878,,-405.284,
1978-01,257.176,,1384.065,,-1126.889,,186.693,,118.826,,974.103,,443.852,,145.711,,-787.410,,70.483,,409.963,,281.211,,281.211,,5.406,,-339.479,
1978-02,134.676,,894.681,,-760.005,,80.259,,53.190,,502.144,,178.697,,114.636,,-421.885,,54.417,,392.537,,255.646,,255.646,,6.732,,-338.119,
1978-03,140.837,,971.932,,-831.095,,89.334,,67.636,,566.768,,208.556,,114.478,,-477.434,,51.503,,405.164,,281.211,,281.211,,6.105,,-353.661,
1978-04,172.558,,1088.979,,-916.421,,105.092,,83.393,,651.692,,186.110,,127.077,,-546.599,,67.465,,437.287,,306.775,,306.775,,5.494,,-369.822,
1978-05,168.664,,1242.966,,-1074.302,,102.718,,80.149,,782.280,,245.676,,370.294,,-679.562,,65.946,,460.686,,306.775,,306.775,,5.494,,-394.740,
1978-06,195.771,,1029.311,,-833.540,,125.929,,104.231,,566.413,,187.951,,132.027,,-440.485,,69.842,,462.898,,332.340,,332.340,,6.361,,-393.056,
1978-07,291.074,,1071.595,,-780.521,,220.710,,196.099,,517.493,,187.951,,149.298,,-296.783,,70.364,,554.102,,409.034,,409.034,,5.845,,-483.738,
1978-08,155.347,,1160.772,,-1005.425,,98.985,,53.153,,575.783,,226.860,,124.873,,-476.798,,56.363,,584.989,,460.163,,460.163,,6.004,,-528.627,
1978-09,126.640,,973.301,,-846.661,,68.933,,44.730,,494.718,,187.337,,150.773,,-425.784,,57.706,,478.583,,357.904,,357.904,,5.895,,-420.877,
1978-10,487.665,,1169.336,,-681.672,,418.351,,88.139,,713.411,,370.789,,121.720,,-295.060,,69.313,,455.925,,306.775,,306.775,,6.218,,-386.612,
1978-11,210.838,,894.884,,-684.046,,149.272,,123.087,,437.171,,75.671,,137.727,,-287.899,,61.566,,457.713,,332.340,,332.340,,6.345,,-396.147,
1978-12,199.847,,1211.994,,-1012.147,,143.277,,96.834,,685.447,,183.963,,182.592,,-542.170,,56.570,,526.547,,357.904,,357.904,,6.752,,-469.977,
1979-01,220.342,,1163.258,,-942.915,,160.530,,134.142,,780.087,,211.828,,150.114,,-619.557,,59.812,,383.170,,255.646,,255.646,,7.508,,-323.358,
1979-02,169.396,,1118.709,,-949.313,,100.959,,64.703,,720.544,,324.977,,124.902,,-619.586,,68.437,,398.164,,255.646,,255.646,,7.307,,-329.727,
1979-03,155.293,,1021.601,,-866.308,,87.423,,57.814,,598.796,,218.628,,142.855,,-511.374,,67.870,,422.805,,281.211,,281.211,,7.771,,-354.934,
1979-04,247.583,,1079.775,,-832.192,,188.780,,162.210,,636.233,,219.395,,128.619,,-447.452,,58.803,,443.543,,306.775,,306.775,,8.980,,-384.739,
1979-05,181.229,,1142.856,,-961.628,,123.187,,92.782,,680.458,,285.403,,139.813,,-557.271,,58.042,,462.398,,306.775,,306.775,,9.071,,-404.356,
1979-06,212.001,,1116.516,,-904.515,,163.370,,124.477,,666.261,,232.689,,137.701,,-502.891,,48.631,,450.255,,306.775,,306.775,,9.299,,-401.624,
1979-07,309.190,,1241.034,,-931.844,,243.382,,216.830,,632.311,,227.423,,147.654,,-388.930,,65.808,,608.723,,409.034,,409.034,,9.458,,-542.915,
1979-08,218.719,,1293.192,,-1074.473,,163.036,,136.842,,679.541,,275.586,,134.059,,-516.505,,55.683,,613.651,,460.163,,460.163,,8.514,,-557.968,
1979-09,120.292,,1071.341,,-951.049,,68.923,,43.497,,580.787,,227.985,,156.430,,-511.864,,51.369,,490.554,,332.340,,332.340,,10.880,,-439.185,
1979-10,235.121,,1094.310,,-859.189,,169.705,,127.134,,619.038,,225.889,,119.779,,-449.333,,65.416,,475.272,,332.340,,332.340,,8.629,,-409.857,
1979-11,182.328,,1161.594,,-979.266,,118.900,,79.346,,680.071,,297.674,,160.117,,-561.171,,63.428,,481.522,,306.775,,306.775,,9.236,,-418.095,
1979-12,219.323,,1421.633,,-1202.310,,152.755,,115.895,,898.474,,384.798,,134.457,,-745.719,,66.568,,523.159,,357.904,,357.904,,9.378,,-456.591,
1980-01,227.265,,1589.908,,-1362.642,,160.711,,123.424,,1117.920,,475.399,,146.385,,-957.209,,66.554,,471.987,,281.211,,281.211,,8.967,,-405.433,
1980-02,252.954,,1142.861,,-889.907,,185.176,,160.671,,680.695,,298.594,,139.399,,-495.519,,67.778,,462.166,,281.211,,281.211,,8.463,,-394.388,
1980-03,174.523,,881.579,,-707.055,,90.501,,63.440,,419.888,,-,Nothing exists,149.430,,-329.387,,84.022,,461.691,,281.211,,281.211,,8.745,,-377.669,
1980-04,245.878,,1120.912,,-875.034,,170.786,,128.716,,694.088,,239.336,,137.796,,-523.302,,75.092,,426.824,,281.211,,281.211,,9.441,,-351.732,
1980-05,167.403,,1120.229,,-952.826,,97.325,,58.323,,634.259,,241.074,,145.232,,-536.934,,70.078,,485.970,,332.340,,332.340,,10.474,,-415.892,
1980-06,220.349,,1097.047,,-876.698,,147.683,,111.085,,569.282,,239.898,,137.640,,-421.599,,72.666,,527.765,,332.340,,332.340,,10.168,,-455.099,
1980-07,352.142,,1503.902,,-1151.760,,281.480,,254.732,,869.152,,316.336,,147.498,,-587.671,,70.662,,634.750,,460.163,,460.163,,10.308,,-564.088,
1980-08,217.310,,1390.920,,-1173.610,,138.916,,101.584,,675.988,,358.569,,147.397,,-537.072,,78.393,,714.932,,511.292,,511.292,,9.902,,-636.538,
1980-09,159.047,,1146.802,,-987.755,,91.233,,61.366,,663.931,,253.243,,174.043,,-572.698,,67.814,,482.871,,332.340,,332.340,,10.390,,-415.057,
1980-10,229.972,,1168.096,,-938.123,,145.860,,95.112,,702.544,,252.527,,145.859,,-556.684,,84.113,,465.552,,306.775,,306.775,,11.162,,-381.439,
