"",BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Rest of the world,,Current account / Secondary income / Expenditure / Rest of the world,,Current account / Secondary income / Balance / Rest of the world,,Current account / Secondary income / Receipts / Domestic sector: General government / Rest of the world,,"Current account / Secondary income / Current taxes on income, wealth etc. / Receipts / Domestic sector: General government / Rest of the world",,Current account / Secondary income / Expenditure / Domestic sector: General government / Rest of the world,,Current account / Secondary income / Value added tax and gross national income-based Union own resourcest / Expenditure / Domestic sector: General government / Rest of the world,,Current account / Secondary income / Social benefits / Expenditure / Domestic sector: General government / Rest of the world,,Current account / Secondary income / Balance / Domestic sector: General government / Rest of the world,,Current account / Secondary income / Receipts / Domestic sector: All sectors excl. general government / Rest of the world,,Current account / Secondary income / Expenditure / Domestic sector: All sectors excl. general government / Rest of the world,,Current account / Secondary income / Miscellaneous current transfers / Personal transfers (between households) / Expenditure / Domestic sector: All sectors excl. general government / Rest of the world,,Current account / Secondary income / Miscellaneous current transfers / Personal transfers (between households) / Workers' remittances / Expenditure / Domestic sector: All sectors excl. general government / Rest of the world,,Current account / Secondary income / Social contributions / Expenditure / Domestic sector: All sectors excl. general government / Rest of the world,,Current account / Secondary income / Balance / Domestic sector: All sectors excl. general government / Rest of the world,
unit,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),,DM/EURO (hypothetically euro-based),
unit multiplier,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,
last update,2021-12-13 15:39:30,,2021-12-13 15:39:59,,2021-12-13 15:39:01,,2021-12-13 15:41:18,,2021-12-13 15:41:18,,2021-12-13 15:41:18,,2021-12-13 15:41:18,,2021-12-13 15:41:18,,2021-12-13 15:41:18,,2021-12-13 15:41:33,,2021-12-13 15:41:34,,2021-12-13 15:41:34,,2021-12-13 15:41:34,,2021-12-13 15:41:34,,2021-12-13 15:41:33,
1971-01,101.410,,516.218,,-414.808,,67.898,,58.183,,244.127,,-,Nothing exists,29.066,,-176.229,,33.513,,272.092,,204.517,,204.517,,13.218,,-238.579,
1971-02,79.438,,630.459,,-551.021,,54.067,,43.841,,379.227,,203.187,,56.073,,-325.161,,25.371,,251.231,,204.517,,204.517,,7.121,,-225.860,
1971-03,78.826,,540.864,,-462.039,,43.348,,32.611,,223.157,,-,Nothing exists,31.316,,-179.810,,35.478,,317.707,,255.646,,255.646,,10.319,,-282.229,
1971-04,89.649,,524.445,,-434.796,,52.649,,42.423,,212.128,,48.777,,27.002,,-159.479,,37.001,,312.318,,230.081,,230.081,,7.637,,-275.317,
1971-05,90.522,,505.346,,-414.824,,54.987,,44.761,,189.740,,-,Nothing exists,66.887,,-134.754,,35.535,,315.606,,255.646,,255.646,,11.105,,-280.070,
1971-06,98.016,,537.840,,-439.824,,65.068,,54.842,,197.229,,6.545,,27.051,,-132.162,,32.949,,340.610,,281.211,,281.211,,14.579,,-307.662,
