"",BBDA1.M.DE.Y.EX.S.GP09IS02.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS02.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS03.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS03.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS04.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS04.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS09.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS09.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09I028.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09I028.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09IS10.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS10.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.GP09I029.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09I029.W1.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Intermediate products / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / Capital goods / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / Consumer goods / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / Chemicals and chemical/pharmaceutical products (new: items 20+21) / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / 28 Machinery and equipment / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / Computer, electronic and optical products plus electrical equipment (new: items 26+27) / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: exports / At current prices, flows / 29 Motor vehicles, trailers and semi-trailers / Rest of the World / Calendar and seasonally adjusted",
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,billion,,billion,,billion,,billion,,billion,,billion,,billion,
last update,2021-12-22 08:00:21,,2021-12-22 08:00:22,,2021-12-22 08:00:22,,2021-12-22 08:00:22,,2021-12-22 07:59:59,,2021-12-22 08:00:23,,2021-12-22 07:59:59,
2008-01,27.20,,39.04,,14.13,,11.84,,14.64,,12.63,,15.29,
2008-02,26.42,,38.15,,13.92,,11.56,,13.44,,12.50,,15.03,
2008-03,26.54,,37.49,,13.94,,11.41,,13.41,,11.90,,15.32,
2008-04,26.49,,37.21,,13.88,,11.28,,13.15,,12.30,,15.14,
2008-05,26.58,,36.09,,13.35,,11.08,,13.08,,11.84,,14.45,
2008-06,25.94,,35.89,,14.58,,11.93,,13.53,,11.82,,14.93,
2008-07,26.02,,35.19,,14.27,,12.14,,13.23,,11.53,,13.91,
2008-08,26.27,,35.87,,15.00,,12.30,,13.43,,11.97,,13.48,
2008-09,25.89,,35.21,,14.26,,11.77,,13.30,,11.70,,13.66,
2008-10,25.66,,35.80,,14.63,,12.06,,13.81,,11.88,,13.46,
2008-11,23.00,,32.71,,14.06,,10.89,,12.81,,10.93,,12.24,
2008-12,21.38,,32.25,,14.06,,10.23,,12.24,,10.74,,11.12,
2009-01,20.64,,30.17,,12.43,,9.53,,12.07,,10.10,,9.20,
2009-02,20.48,,28.32,,12.51,,10.08,,10.97,,9.90,,8.58,
2009-03,19.76,,27.62,,12.11,,10.03,,10.35,,9.31,,8.89,
2009-04,20.02,,27.35,,12.54,,10.56,,10.39,,9.43,,8.75,
2009-05,19.64,,27.21,,11.49,,9.69,,9.69,,8.99,,9.59,
2009-06,20.30,,27.77,,11.38,,10.07,,9.65,,9.26,,10.51,
2009-07,21.29,,28.36,,12.42,,10.57,,10.37,,9.66,,10.39,
2009-08,20.69,,28.19,,11.71,,10.04,,9.90,,9.34,,10.44,
2009-09,21.37,,27.97,,11.88,,10.39,,9.87,,9.92,,11.14,
2009-10,21.45,,28.70,,11.83,,10.51,,10.19,,10.04,,10.76,
2009-11,21.98,,29.74,,12.49,,10.69,,10.18,,10.12,,12.36,
2009-12,22.82,,31.00,,12.56,,10.86,,10.77,,10.78,,11.80,
2010-01,22.54,,30.69,,12.29,,10.79,,10.18,,10.54,,11.91,
2010-02,23.16,,31.51,,12.51,,10.96,,10.31,,10.72,,11.92,
2010-03,24.13,,32.96,,12.98,,11.34,,11.07,,11.21,,12.48,
2010-04,24.35,,32.80,,12.73,,11.72,,11.04,,11.01,,12.54,
2010-05,25.43,,34.58,,13.11,,12.06,,11.39,,11.53,,13.89,
2010-06,25.78,,34.82,,12.98,,11.90,,11.73,,12.05,,14.01,
2010-07,26.18,,35.07,,13.26,,12.14,,12.09,,12.12,,13.45,
2010-08,25.94,,33.95,,13.38,,12.29,,12.02,,12.15,,12.65,
2010-09,26.28,,35.33,,13.23,,12.05,,12.35,,12.33,,13.93,
2010-10,26.78,,36.28,,13.40,,11.97,,12.69,,12.79,,14.28,
2010-11,27.55,,36.08,,13.11,,11.78,,12.59,,12.87,,14.02,
2010-12,27.37,,35.48,,13.89,,12.70,,12.84,,12.61,,14.16,
2011-01,27.82,,37.85,,13.26,,12.20,,12.95,,12.57,,14.74,
2011-02,28.44,,37.51,,13.80,,12.78,,12.91,,12.65,,14.85,
2011-03,28.83,,38.69,,14.13,,12.74,,13.36,,12.93,,14.99,
2011-04,28.64,,38.27,,14.23,,12.96,,13.45,,12.76,,14.98,
2011-05,27.89,,38.51,,13.66,,12.49,,13.42,,12.55,,15.42,
2011-06,28.73,,38.35,,14.35,,13.03,,13.38,,12.78,,15.18,
2011-07,28.66,,38.42,,13.74,,12.46,,13.73,,12.71,,15.79,
2011-08,28.97,,38.81,,14.30,,12.81,,13.71,,12.74,,15.76,
2011-09,29.12,,38.99,,14.35,,12.98,,13.87,,12.62,,15.39,
