名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,"510,173.9 ","266,657.4 ","262,094.0 ","227,650.6 ","28,673.8 ","80,433.4 ","3,822.2 ","73,546.9 ","46,403.3 ",-417.7 ,"11,054.6 ","44,988.0 ","33,933.4 ",,"4,518.8 ","15,779.9 ","11,261.1 ","514,692.7 ",,"499,119.3 ","379,586.7 ","119,532.6 ",,"155,510.5 ",,"506,769.4 ",,,,,,
4- 6.,"509,033.1 ","269,171.0 ","264,534.5 ","229,719.3 ","29,969.8 ","79,979.9 ","-3,045.2 ","75,112.5 ","47,380.2 ",489.0 ,"9,975.9 ","45,500.1 ","35,524.1 ",,"4,173.9 ","15,675.7 ","11,501.8 ","513,207.0 ",,"499,057.2 ","376,075.4 ","122,981.7 ",,"157,329.9 ",,"511,589.4 ",,,,,,
7- 9.,"512,977.0 ","270,659.0 ","265,992.8 ","230,770.2 ","32,363.1 ","79,430.6 ",-138.1 ,"75,898.3 ","45,540.6 ",656.8 ,"8,566.6 ","45,053.8 ","36,487.2 ",,"4,124.7 ","15,952.1 ","11,827.5 ","517,101.6 ",,"504,410.3 ","382,314.6 ","122,095.7 ",,"157,334.3 ",,"512,458.3 ",,,,,,
10-12.,"511,524.0 ","271,188.9 ","266,469.7 ","230,765.7 ","30,940.0 ","80,298.5 ","-1,605.1 ","76,696.6 ","44,714.2 ",706.3 ,"8,584.6 ","45,109.8 ","36,525.2 ",,"4,165.3 ","16,520.0 ","12,354.7 ","515,689.3 ",,"502,939.4 ","380,822.4 ","122,117.1 ",,"155,952.7 ",,"512,422.8 ",,,,,,
1995/ 1- 3.,"514,964.6 ","272,787.3 ","267,999.4 ","231,927.6 ","29,884.3 ","82,049.8 ","2,064.8 ","77,678.5 ","42,839.6 ",-147.4 ,"7,807.7 ","45,054.0 ","37,246.3 ",,"4,333.7 ","16,933.8 ","12,600.1 ","519,298.4 ",,"507,156.9 ","386,786.2 ","120,370.7 ",,"154,773.7 ",,"513,047.3 ",,,,,,
4- 6.,"518,785.4 ","274,201.5 ","269,338.2 ","232,926.6 ","28,982.9 ","84,418.3 ",956.1 ,"78,137.1 ","44,466.7 ",220.5 ,"7,402.3 ","44,073.6 ","36,671.3 ",,"3,484.4 ","15,932.7 ","12,448.4 ","522,269.8 ",,"511,383.1 ","388,558.8 ","122,824.3 ",,"157,868.0 ",,"517,608.8 ",,,,,,
