"",BBSIS.M.I.UMR.RD.EUR.A.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.A.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S122.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S122.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X100.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X100.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.A150.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.A150.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISP.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISP.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X401.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X401.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.X2000.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.X2000.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S13.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S13.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S1311.B.A604.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S1311.B.A604.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S1312.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S1312.B.A.A.R.A.A._Z._Z.A_FLAGS
"",,,,,,,,,,,,,,,,,,,,
unit,percent,,percent,,percent,,percent,,percent,,percent,,percent,,percent,,percent,,percent,
unit multiplier,one,,one,,one,,one,,one,,one,,one,,one,,one,,one,
last update,2021-09-02 16:37:19,,2021-09-02 16:37:50,,2021-09-02 16:37:41,,2021-09-02 16:37:40,,2021-09-02 16:37:40,,2021-09-02 16:37:42,,2021-09-02 16:38:00,,2021-09-02 16:37:51,,2021-09-01 10:19:42,,2021-09-01 10:19:42,
1955-01,,,-,Nothing exists,,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-02,,,-,Nothing exists,,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-03,,,-,Nothing exists,,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-04,,,-,Nothing exists,,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-05,,,-,Nothing exists,,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-06,,,-,Nothing exists,,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-07,,,-,Nothing exists,,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-08,6.1,,-,Nothing exists,6.1,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-09,6.1,,-,Nothing exists,6.1,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-10,6.1,,-,Nothing exists,6.1,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-11,6.1,,-,Nothing exists,6.1,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1955-12,6.1,,-,Nothing exists,6.1,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1956-01,6.0,,6.0,,6.0,,,,-,Nothing exists,-,Nothing exists,,,-,Nothing exists,,,,
1956-02,6.2,,6.2,,6.0,,5.8,,7.2,,-,Nothing exists,,,-,Nothing exists,,,,
