"",BBK01.DU7504,BBK01.DU7504_FLAGS,BBK01.DU7517,BBK01.DU7517_FLAGS
"","Pay rates, overall economy, on a monthly basis, Germany",,"Pay rates, production sector (incl. construction), on a monthly basis, Germany",
unit,2015=100,,2015=100,
unit multiplier,one,,one,
last update,2021-09-20 10:13:02,,2021-09-20 10:13:02,
1991-01,47.6,,42.3,
1991-02,47.8,,42.4,
1991-03,48.4,,42.4,
1991-04,49.9,,45.0,
1991-05,50.1,,45.1,
1991-06,50.1,,44.7,
1991-07,67.4,,65.2,
1991-08,50.8,,45.0,
1991-09,50.9,,45.1,
1991-10,51.1,,45.3,
1991-11,84.8,,71.5,
1991-12,51.2,,45.5,
1992-01,52.4,,45.7,
1992-02,52.4,,45.8,
1992-03,52.5,,45.8,
1992-04,54.7,,49.8,
1992-05,55.6,,50.0,
1992-06,55.5,,50.0,
1992-07,75.4,,73.8,
1992-08,55.7,,50.3,
1992-09,55.7,,50.4,
1992-10,55.8,,50.5,
1992-11,94.0,,83.0,
1992-12,56.2,,50.6,
1993-01,56.7,,50.7,
1993-02,56.8,,50.9,
1993-03,56.9,,50.9,
1993-04,57.6,,52.0,
1993-05,58.1,,52.2,
1993-06,58.5,,53.0,
1993-07,80.0,,78.7,
1993-08,58.8,,53.0,
1993-09,58.9,,53.1,
1993-10,58.9,,53.2,
1993-11,100.1,,88.7,
1993-12,59.1,,53.3,
1994-01,58.9,,53.4,
1994-02,59.0,,53.5,
1994-03,59.0,,53.4,
1994-04,59.2,,53.7,
1994-05,59.4,,53.8,
1994-06,59.5,,54.2,
1994-07,80.7,,79.1,
1994-08,60.0,,54.7,
1994-09,60.2,,54.8,
1994-10,60.4,,54.8,
1994-11,101.2,,88.9,
1994-12,60.4,,54.9,
1995-01,61.0,,55.8,
1995-02,61.2,,56.1,
1995-03,61.4,,56.5,
1995-04,62.5,,56.9,
1995-05,62.5,,57.0,
1995-06,62.5,,56.9,
1995-07,84.7,,84.1,
1995-08,62.7,,57.1,
1995-09,62.7,,57.2,
1995-10,62.8,,57.2,
1995-11,106.1,,95.5,
1995-12,63.2,,58.1,
1996-01,63.2,,58.1,
1996-02,63.2,,58.1,
1996-03,63.3,,58.2,
1996-04,63.5,,58.4,
1996-05,63.9,,58.6,
1996-06,64.0,,58.7,
1996-07,86.9,,87.4,
1996-08,64.1,,58.9,
1996-09,64.1,,59.0,
1996-10,64.2,,59.1,
1996-11,107.8,,97.2,
1996-12,64.2,,59.1,
1997-01,64.3,,59.5,
1997-02,64.3,,59.5,
1997-03,64.4,,59.5,
1997-04,64.3,,59.2,
1997-05,64.4,,59.3,
1997-06,64.3,,59.2,
1997-07,87.6,,88.6,
1997-08,64.6,,59.3,
1997-09,64.7,,59.3,
1997-10,64.7,,59.4,
1997-11,108.2,,96.4,
1997-12,64.8,,59.4,
1998-01,65.1,,59.4,
1998-02,65.1,,59.4,
1998-03,65.2,,59.6,
1998-04,65.7,,60.9,
1998-05,65.9,,61.2,
1998-06,65.8,,60.9,
1998-07,89.4,,91.0,
1998-08,66.0,,61.0,
1998-09,66.1,,61.0,
1998-10,66.1,,61.1,
1998-11,110.0,,99.0,
1998-12,66.2,,61.2,
1999-01,66.9,,62.0,
1999-02,66.9,,62.1,
1999-03,67.1,,62.1,
1999-04,67.4,,62.5,
1999-05,67.7,,63.1,
1999-06,67.7,,62.8,
1999-07,91.6,,93.2,
1999-08,67.9,,62.8,
1999-09,67.9,,62.8,
1999-10,67.9,,62.8,
1999-11,111.9,,100.4,
1999-12,68.0,,62.9,
2000-01,68.0,,62.9,
2000-02,68.0,,62.9,
2000-03,68.5,,63.7,
2000-04,69.0,,64.0,
2000-05,69.2,,64.2,
2000-06,69.2,,64.0,
2000-07,93.2,,95.5,
2000-08,69.2,,64.1,
2000-09,69.3,,64.2,
2000-10,69.4,,64.2,
2000-11,113.7,,102.7,
2000-12,69.5,,64.4,
2001-01,69.7,,64.3,
2001-02,69.7,,64.3,
2001-03,69.7,,64.3,
2001-04,70.0,,64.5,
2001-05,70.6,,65.7,
2001-06,70.4,,65.3,
2001-07,94.7,,97.6,
2001-08,70.6,,65.4,
2001-09,70.9,,65.5,
2001-10,70.9,,65.6,
2001-11,115.7,,105.2,
2001-12,70.9,,65.6,
2002-01,71.2,,65.6,
2002-02,71.3,,65.6,
2002-03,71.4,,65.9,
2002-04,71.6,,66.0,
2002-05,72.6,,68.4,
2002-06,72.4,,67.3,
2002-07,97.5,,102.0,
2002-08,72.4,,67.1,
2002-09,72.4,,67.1,
2002-10,72.5,,67.3,
2002-11,118.6,,108.3,
2002-12,73.1,,67.4,
2003-01,72.9,,67.4,
2003-02,72.9,,67.4,
2003-03,73.8,,67.4,
2003-04,73.8,,68.9,
2003-05,73.7,,68.6,
2003-06,74.0,,69.3,
2003-07,98.9,,103.0,
2003-08,74.0,,69.0,
2003-09,74.3,,70.2,
2003-10,74.0,,69.1,
2003-11,118.9,,111.0,
2003-12,74.2,,69.2,
2004-01,74.1,,69.2,
2004-02,74.2,,69.3,
2004-03,74.7,,71.0,
2004-04,74.8,,69.8,
2004-05,74.9,,70.7,
2004-06,74.6,,69.9,
2004-07,98.8,,104.9,
2004-08,74.9,,70.1,
2004-09,75.0,,70.1,
2004-10,75.6,,72.0,
2004-11,117.4,,112.7,
2004-12,75.2,,70.1,
2005-01,75.0,,70.1,
2005-02,75.1,,70.2,
2005-03,76.1,,73.1,
2005-04,76.2,,71.4,
2005-05,75.6,,71.5,
2005-06,75.6,,71.6,
2005-07,99.7,,106.8,
2005-08,75.9,,71.8,
2005-09,76.0,,71.7,
2005-10,76.8,,73.1,
2005-11,117.8,,115.0,
2005-12,76.2,,71.9,
2006-01,76.0,,71.8,
2006-02,76.7,,74.0,
2006-03,76.5,,73.3,
2006-04,78.0,,73.3,
2006-05,76.8,,73.9,
2006-06,76.2,,72.1,
2006-07,98.9,,107.3,
2006-08,76.4,,72.2,
2006-09,76.4,,72.0,
2006-10,76.6,,72.4,
2006-11,119.0,,116.1,
2006-12,78.5,,74.7,
2007-01,77.1,,72.5,
2007-02,76.6,,72.3,
2007-03,76.6,,72.4,
2007-04,78.6,,72.5,
2007-05,79.2,,79.0,
2007-06,77.7,,75.2,
2007-07,100.4,,111.0,
2007-08,77.8,,74.4,
2007-09,78.3,,74.5,
2007-10,77.7,,74.5,
2007-11,120.2,,119.5,
2007-12,79.5,,74.6,
2008-01,78.6,,74.6,
2008-02,78.7,,74.9,
2008-03,78.8,,74.9,
2008-04,80.1,,75.3,
2008-05,79.9,,76.8,
2008-06,79.8,,76.3,
2008-07,102.9,,113.3,
2008-08,81.2,,77.5,
2008-09,80.4,,76.3,
2008-10,80.1,,76.3,
2008-11,123.4,,122.6,
2008-12,83.9,,83.6,
2009-01,81.4,,76.5,
2009-02,80.6,,77.2,
2009-03,81.0,,77.2,
2009-04,82.1,,77.3,
2009-05,82.0,,80.0,
2009-06,81.8,,78.7,
2009-07,104.7,,116.3,
2009-08,81.7,,78.7,
2009-09,82.6,,80.9,
2009-10,82.0,,79.0,
2009-11,125.5,,126.5,
2009-12,83.3,,78.8,
2010-01,82.5,,79.1,
2010-02,82.6,,79.3,
2010-03,82.8,,79.0,
2010-04,84.0,,79.3,
2010-05,83.7,,82.1,
2010-06,83.8,,82.0,
2010-07,105.7,,116.9,
2010-08,83.1,,79.3,
2010-09,83.1,,79.4,
2010-10,83.3,,79.4,
2010-11,126.9,,127.6,
2010-12,85.1,,81.7,
2011-01,84.6,,79.7,
2011-02,83.4,,79.8,
2011-03,84.0,,79.8,
2011-04,85.6,,80.8,
2011-05,84.9,,82.8,
2011-06,84.4,,81.4,
2011-07,107.5,,120.0,
2011-08,85.0,,81.5,
2011-09,84.9,,81.8,
2011-10,84.8,,81.6,
2011-11,129.3,,130.8,
2011-12,86.4,,81.8,
2012-01,85.5,,81.9,
2012-02,85.4,,81.9,
2012-03,85.8,,81.9,
2012-04,86.8,,82.0,
2012-05,87.8,,87.3,
2012-06,86.8,,83.9,
2012-07,110.6,,123.7,
2012-08,87.1,,84.6,
2012-09,87.2,,84.6,
2012-10,87.3,,84.6,
2012-11,133.0,,135.6,
2012-12,89.0,,84.9,
2013-01,88.0,,84.8,
2013-02,88.0,,84.8,
2013-03,88.0,,84.9,
2013-04,88.9,,85.0,
2013-05,89.3,,88.9,
2013-06,88.5,,85.5,
2013-07,113.3,,128.0,
2013-08,89.8,,87.2,
2013-09,89.4,,87.1,
2013-10,89.4,,87.1,
2013-11,136.0,,139.2,
2013-12,91.1,,87.3,
2014-01,91.3,,87.2,
2014-02,90.0,,87.4,
2014-03,90.5,,87.7,
2014-04,91.3,,87.7,
2014-05,92.2,,91.8,
2014-06,91.5,,89.2,
2014-07,116.2,,131.1,
2014-08,92.1,,89.4,
2014-09,91.8,,89.5,
2014-10,92.3,,89.5,
2014-11,140.1,,143.2,
2014-12,93.9,,89.5,
2015-01,92.3,,89.6,
2015-02,92.4,,89.6,
2015-03,93.3,,91.7,
2015-04,93.7,,91.4,
2015-05,94.1,,94.4,
2015-06,93.5,,92.0,
2015-07,119.0,,134.7,
2015-08,94.0,,92.1,
2015-09,94.1,,92.2,
2015-10,94.6,,92.2,
2015-11,143.4,,147.9,
2015-12,95.7,,92.3,
2016-01,94.3,,92.4,
2016-02,94.3,,92.2,
2016-03,94.7,,92.3,
2016-04,95.5,,92.3,
2016-05,95.8,,94.3,
2016-06,96.0,,94.8,
2016-07,121.3,,137.1,
2016-08,96.0,,94.3,
2016-09,96.1,,94.5,
2016-10,96.6,,94.5,
2016-11,146.5,,151.3,
2016-12,98.0,,94.5,
2017-01,96.7,,94.6,
2017-02,96.7,,94.6,
2017-03,96.9,,94.6,
2017-04,97.8,,95.6,
2017-05,97.7,,96.8,
2017-06,97.5,,95.9,
2017-07,123.4,,139.3,
2017-08,97.9,,96.1,
2017-09,98.0,,96.3,
2017-10,98.5,,96.5,
2017-11,148.9,,155.2,
2017-12,99.9,,96.6,
2018-01,98.6,,96.7,
2018-02,98.7,,96.8,
2018-03,99.5,,98.0,
2018-04,100.5,,98.8,
2018-05,101.6,,101.2,
2018-06,100.5,,99.8,
2018-07,127.2,,145.4,
2018-08,100.6,,99.8,
2018-09,100.6,,99.9,
2018-10,100.8,,100.2,
2018-11,153.6,,163.2,
2018-12,102.7,,100.5,
2019-01,101.7,,100.5,
2019-02,102.0,,100.5,
2019-03,101.8,,100.7,
2019-04,102.8,,100.7,
2019-05,102.9,,102.8,
2019-06,103.2,,103.1,
2019-07,135.9,,166.3,
2019-08,103.3,,101.8,
2019-09,103.1,,101.1,
2019-10,103.2,,101.1,
2019-11,157.0,,163.5,
2019-12,105.1,,101.2,
2020-01,104.2,,101.6,
2020-02,104.2,,101.6,
2020-03,104.3,,101.3,
2020-04,104.9,,101.3,
2020-05,105.2,,103.4,
2020-06,104.7,,101.3,
2020-07,138.5,,167.8,
2020-08,105.1,,102.3,
2020-09,104.9,,101.6,
2020-10,105.1,,101.8,
2020-11,160.4,,166.6,
2020-12,109.6,,102.0,
2021-01,105.7,,102.2,
2021-02,105.7,,102.2,
2021-03,105.8,,102.2,
2021-04,106.8,,102.6,
2021-05,106.4,,103.0,
2021-06,108.9,,110.6,
2021-07,138.3,,163.7,
