"",BBDP1.M.DE.Y.EPG.G.GP09SA000000.I15.A,BBDP1.M.DE.Y.EPG.G.GP09SA000000.I15.A_FLAGS,BBDP1.M.DE.Y.EPG.G.GP09SA001500.I15.A,BBDP1.M.DE.Y.EPG.G.GP09SA001500.I15.A_FLAGS,BBDP1.M.DE.Y.EPL.L.L1A00000000.I15.A,BBDP1.M.DE.Y.EPL.L.L1A00000000.I15.A_FLAGS
"",Index of producer prices of industrial products sold on the domestic market / Germany / Calendar and seasonally adjusted / Total,,Index of producer prices of industrial products sold on the domestic market / Germany / Calendar and seasonally adjusted / Total excluding energy sources (energy excluding 36 natural water; water treatment and supply services),,Index of producer prices of agricultural products / Germany / Calendar and seasonally adjusted / Total,
unit,2015=100,,2015=100,,2015=100,
unit multiplier,one,,one,,one,
last update,2021-12-17 08:07:42,,2021-12-17 08:07:42,,2021-12-13 12:26:02,
1968-01,,,,,70.5,
1968-02,,,,,69.9,
1968-03,,,,,69.7,
1968-04,,,,,69.1,
1968-05,,,,,70.2,
1968-06,,,,,69.8,
1968-07,,,,,70.4,
1968-08,,,,,72.3,
1968-09,,,,,72.5,
1968-10,,,,,73.0,
1968-11,,,,,74.7,
1968-12,,,,,74.8,
1969-01,,,,,74.7,
1969-02,,,,,74.3,
1969-03,,,,,74.8,
1969-04,,,,,75.0,
1969-05,,,,,74.0,
1969-06,,,,,74.6,
1969-07,,,,,74.8,
1969-08,,,,,76.3,
1969-09,,,,,76.4,
1969-10,,,,,75.8,
1969-11,,,,,76.0,
1969-12,,,,,75.7,
1970-01,,,,,74.2,
1970-02,,,,,74.6,
1970-03,,,,,74.8,
1970-04,,,,,73.2,
1970-05,,,,,72.6,
1970-06,,,,,71.5,
1970-07,,,,,72.9,
1970-08,,,,,71.8,
1970-09,,,,,70.0,
1970-10,,,,,67.8,
1970-11,,,,,67.1,
1970-12,,,,,66.0,
1971-01,,,,,68.3,
1971-02,,,,,68.3,
1971-03,,,,,68.5,
1971-04,,,,,69.2,
1971-05,,,,,68.7,
1971-06,,,,,70.7,
1971-07,,,,,70.7,
1971-08,,,,,71.9,
1971-09,,,,,73.3,
1971-10,,,,,74.3,
1971-11,,,,,74.8,
1971-12,,,,,75.4,
1972-01,,,,,75.3,
1972-02,,,,,76.5,
1972-03,,,,,76.3,
1972-04,,,,,76.8,
1972-05,,,,,78.6,
1972-06,,,,,79.2,
1972-07,,,,,79.6,
1972-08,,,,,81.4,
1972-09,,,,,82.4,
1972-10,,,,,82.8,
1972-11,,,,,82.2,
1972-12,,,,,82.3,
1973-01,,,,,83.2,
1973-02,,,,,83.6,
1973-03,,,,,84.7,
1973-04,,,,,86.2,
1973-05,,,,,87.5,
1973-06,,,,,86.9,
1973-07,,,,,85.7,
1973-08,,,,,85.2,
1973-09,,,,,86.0,
1973-10,,,,,86.5,
1973-11,,,,,87.1,
1973-12,,,,,86.9,
1974-01,,,,,85.2,
1974-02,,,,,84.2,
1974-03,,,,,83.5,
1974-04,,,,,81.3,
1974-05,,,,,81.4,
