"",BBK01.SUD021,BBK01.SUD021_FLAGS,BBK01.SUD022,BBK01.SUD022_FLAGS,BBK01.SUD023,BBK01.SUD023_FLAGS,BBK01.SUD024,BBK01.SUD024_FLAGS,BBK01.SUD026,BBK01.SUD026_FLAGS,BBK01.SUD027,BBK01.SUD027_FLAGS,BBK01.SUD028,BBK01.SUD028_FLAGS,BBK01.SUD029,BBK01.SUD029_FLAGS,BBK01.SUD030,BBK01.SUD030_FLAGS,BBK01.SUD031,BBK01.SUD031_FLAGS,BBK01.SUD032,BBK01.SUD032_FLAGS,BBK01.SUD033,BBK01.SUD033_FLAGS,BBK01.SUD034,BBK01.SUD034_FLAGS,BBK01.SUD201,BBK01.SUD201_FLAGS,BBK01.SUD202,BBK01.SUD202_FLAGS,BBK01.SUD203,BBK01.SUD203_FLAGS,BBK01.SUD204,BBK01.SUD204_FLAGS,BBK01.SUD205,BBK01.SUD205_FLAGS,BBK01.SUD206,BBK01.SUD206_FLAGS,BBK01.SUD207,BBK01.SUD207_FLAGS,BBK01.SUD208,BBK01.SUD208_FLAGS,BBK01.SUD209,BBK01.SUD209_FLAGS,BBK01.SUD210,BBK01.SUD210_FLAGS,BBK01.SUD212,BBK01.SUD212_FLAGS,BBK01.SUD213,BBK01.SUD213_FLAGS,BBK01.SUD214,BBK01.SUD214_FLAGS,BBK01.SUD215,BBK01.SUD215_FLAGS,BBK01.SUD216,BBK01.SUD216_FLAGS,BBK01.SUD217,BBK01.SUD217_FLAGS,BBK01.SUD218,BBK01.SUD218_FLAGS,BBK01.SUD219,BBK01.SUD219_FLAGS,BBK01.SUD220,BBK01.SUD220_FLAGS,BBK01.SUD221,BBK01.SUD221_FLAGS,BBK01.SUD222,BBK01.SUD222_FLAGS,BBK01.SUD223,BBK01.SUD223_FLAGS,BBK01.SUD224,BBK01.SUD224_FLAGS,BBK01.SUD225,BBK01.SUD225_FLAGS,BBK01.SUD226,BBK01.SUD226_FLAGS,BBK01.SUD227,BBK01.SUD227_FLAGS,BBK01.SUD228,BBK01.SUD228_FLAGS,BBK01.SUD229,BBK01.SUD229_FLAGS
"",Outstanding amounts (volumes) of German banks / Households' deposits with an agreed maturity of up to 2 years,,Outstanding amounts (volumes) of German banks / Households' deposits with an agreed maturity of over 2 years,,Outstanding amounts (volumes) of German banks / Non-financial corporations' deposits with an agreed maturity of up to 2 years,,Outstanding amounts (volumes) of German banks / Non-financial corporations' deposits with an agreed maturity of over 2 years,,Outstanding amounts (volumes) of German banks / Housing loans to households with maturity of up to 1 year,,Outstanding amounts (volumes) of German banks / Housing loans to households with maturity of over 1 year and up to 5 years,,Outstanding amounts (volumes) of German banks / Housing loans to households with maturity of over 5 years,,Outstanding amounts (volumes) of German banks / Loans for consumption and other purposes to households with a maturity of up to 1 year,,Outstanding amounts (volumes) of German banks / Loans for consumption and other purposes to households with a maturity of over 1 year and up to 5 years,,Outstanding amounts (volumes) of German banks / Loans for consumption and other purposes to households with a maturity of over 5 years,,Outstanding amounts (volumes) of German banks / Loans to non-financial corporations with a maturity of up to 1 year,,Outstanding amounts (volumes) of German banks / Loans to non-financial corporations with a maturity of over 1 year and up to 5 years,,Outstanding amounts (volumes) of German banks / Loans to non-financial corporations with a maturity of over 5 years,,"New business (volumes) of German banks / Households' deposits, overnight",,New business (volumes) of German banks / Households' deposits with an agreed maturity of up to 1 year,,New business (volumes) of German banks / Households' deposits with an agreed maturity of over 1 and up to 2 years,,New business (volumes) of German banks / Households' deposits with an agreed maturity of over 2 years,,New business (volumes) of German banks / Households' deposits redeemable at notice of up to 3 months,,New business (volumes) of German banks / Households' deposits redeemable at notice of over 3 months,,"New business (volumes) of German banks / Non-financial corporations' deposits, overnight",,New business (volumes) of German banks / Non-financial corporations' deposits with an agreed maturity of up to 1 year,,New business (volumes) of German banks / Non-financial corporations' deposits with an agreed maturity of over 1 and up to 2 years,,New business (volumes) of German banks / Non-financial corporations' deposits with an agreed maturity of over 2 years,,New business (volumes) of German banks / Revolving loans and overdrafts to households,,New business (volumes) of German banks / Loans for consumption to households with a floating rate or an initial rate fixation up to 1 year,,New business (volumes) of German banks / Loans for consumption to households with an initial rate fixation of over 1 year and up to 5 years,,New business (volumes) of German banks / Loans for consumption to households with an initial rate fixation of over 5 years,,New business (volumes) of German banks / Housing loans to households with a  floating rate or an initial rate fixation up to 1 year,,New business (volumes) of German banks / Housing loans to households with an initial rate fixation of over 1 year and up to 5 years,,New business (volumes) of German banks / Housing loans to households with an initial rate fixation of over 5 years and up to 10 years,,New business (volumes) of German banks / Housing loans to households with an initial rate fixation of over 10 years,,New business (volumes) of German banks / Loans for other purposes to households with a floating rate or an initial rate fixation up to 1 year,,New business (volumes) of German banks / Loans for other purposes to households with an initial rate fixation of over 1 year and up to 5 years,,New business (volumes) of German banks / Loans for other purposes to households with an initial rate fixation of over 5 years,,New business (volumes) of German banks / Revolving loans and overdrafts to non-financial corporations,,New business (volumes) of German banks / Loans to non-financial corporations up to EUR 1 million with floating rate or an initial rate fixation up to 1 year,,New business (volumes) of German banks / Loans to non-financial corporations up to EUR 1 million with an initial rate fixation of over 1 year and up to 5 years,,New business (volumes) of German banks / Loans to non-financial corporations up to EUR 1 million with an initial rate fixation of over 5 years,,New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million with floating rate or an initial rate fixation up to 1 year,,New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million with an initial rate fixation of over 1 year and up to 5 years,,New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million with an initial rate fixation of over 5 years,
unit,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),,EURO (hypothetically euro-based),
unit multiplier,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,
last update,2021-12-02 07:31:31,,2021-12-02 07:31:31,,2021-12-02 07:31:31,,2021-12-02 07:31:31,,2021-12-02 07:31:31,,2021-12-02 07:31:32,,2021-12-02 07:31:32,,2021-12-02 07:31:32,,2021-12-02 07:31:32,,2021-12-02 07:31:32,,2021-12-02 07:31:32,,2021-12-02 07:31:32,,2021-12-02 07:31:32,,2021-12-02 07:32:46,,2021-12-02 07:32:46,,2021-12-02 07:32:46,,2021-12-02 07:32:46,,2021-12-02 07:32:46,,2021-12-02 07:32:46,,2021-12-02 07:32:46,,2021-12-02 07:32:46,,2021-12-02 07:32:46,,2021-12-02 07:32:46,,2021-12-02 07:32:47,,2021-12-02 07:32:47,,2021-12-02 07:32:47,,2021-12-02 07:32:47,,2021-12-02 07:32:47,,2021-12-02 07:32:47,,2021-12-02 07:32:59,,2021-12-02 07:33:00,,2021-12-02 07:33:00,,2021-12-02 07:33:00,,2021-12-02 07:33:00,,2021-12-02 07:33:00,,2021-12-02 07:33:00,,2021-12-02 07:33:00,,2021-12-02 07:33:00,,2021-12-02 07:33:00,,2021-12-02 07:33:00,,2021-12-02 07:33:01,
2003-01,151997,,184483,,78517,,30799,,7555,,31280,,864334,,93010,,71201,,333977,,205949,,87673,,491368,,367117,,38283,,2532,,3568,,478755,,100457,,114861,,45720,,307,,1133,,66323,,3776,,4415,,2912,,3113,,2871,,6402,,3161,,16141,,1686,,2290,,96563,,8671,,1410,,1636,,42168,,3681,,4988,
2003-02,149588,,188293,,79509,,30693,,7391,,31136,,865808,,92196,,71147,,334173,,204142,,87132,,491413,,373381,,30394,,1263,,3649,,481714,,99280,,115231,,39388,,196,,843,,65329,,2160,,5214,,3136,,2151,,2260,,4859,,3228,,9944,,1485,,2437,,96831,,8189,,1134,,1469,,33419,,4027,,4321,
2003-03,147530,,188390,,77837,,29937,,7444,,31077,,872522,,92555,,71519,,327030,,201417,,86890,,488799,,378520,,34735,,1061,,2430,,483370,,97731,,112327,,31973,,259,,1664,,66616,,2441,,5053,,3966,,2057,,2559,,6252,,3342,,13036,,1619,,3140,,94106,,8664,,1530,,2577,,37816,,3283,,4631,
2003-04,144900,,188257,,78278,,29035,,7374,,31064,,872870,,91064,,71614,,328593,,197754,,87062,,490648,,380747,,34394,,1009,,2876,,484486,,95207,,115850,,33955,,196,,1681,,64751,,2303,,4880,,4109,,2321,,3135,,7423,,3661,,8388,,1834,,2764,,91535,,8346,,1489,,1645,,35932,,2944,,5828,
2003-05,144074,,188011,,79303,,28165,,7481,,31255,,874950,,89459,,71774,,328935,,195039,,86908,,490925,,385009,,30733,,886,,4288,,485156,,93946,,118034,,33417,,56,,502,,62766,,1520,,4796,,3489,,1697,,2676,,4755,,3151,,8472,,1546,,2637,,90296,,7566,,1235,,1699,,31599,,3613,,6152,
2003-06,139931,,187960,,76477,,28180,,7869,,32343,,874496,,91787,,70545,,330201,,200594,,87012,,487650,,389213,,31655,,767,,3585,,486111,,92548,,121685,,41507,,322,,887,,64982,,2443,,4936,,3773,,2253,,2685,,5062,,3149,,10157,,1603,,2973,,93175,,7813,,1008,,1483,,38751,,3627,,6164,
