"",BBEE1.M.I8.AAA.XZE012.A.AABAN.M00,BBEE1.M.I8.AAA.XZE012.A.AABAN.M00_FLAGS,BBEE1.M.I8.AAA.XZE012.S.AACPE.M00,BBEE1.M.I8.AAA.XZE012.S.AACPE.M00_FLAGS,BBEE1.M.I8.AAA.XZE022.A.AABAN.M00,BBEE1.M.I8.AAA.XZE022.A.AABAN.M00_FLAGS,BBEE1.M.I8.AAA.XZE022.S.AACPE.M00,BBEE1.M.I8.AAA.XZE022.S.AACPE.M00_FLAGS
"",Nominal effective exchange rate of the euro vis-à-vis the currencies of the EER-19 group,,"Real effective exchange rate of the Euro vis-à-vis the currencies of the EER-19 group, based on consumer price indices",,Nominal effective exchange rate of the euro vis-à-vis the currencies of the EER-42 group,,"Real effective exchange rate of the euro vis-à-vis the currencies of the EER-42 group, based on consumer price indices",
unit,1Q99=100,,1Q99=100,,1Q99=100,,1Q99=100,
unit multiplier,one,,one,,one,,one,
last update,2021-10-06 16:24:59,,2021-10-06 16:24:59,,2021-10-06 16:24:59,,2021-10-06 16:24:59,
1993-01,98.7957,,112.2945,,74.0632,,113.1458,
1993-02,98.2868,,111.3817,,74.3211,,112.1874,
1993-03,97.3032,,109.7658,,74.2548,,110.6249,
1993-04,98.2387,,110.3540,,75.9067,,111.6773,
1993-05,98.0951,,109.7161,,76.4562,,111.1394,
1993-06,96.6262,,107.8292,,75.9626,,109.2684,
1993-07,94.0562,,104.6872,,74.1536,,105.3235,
1993-08,93.7655,,103.9304,,74.1762,,103.7992,
1993-09,96.7415,,106.8302,,76.9766,,106.1744,
1993-10,96.5414,,106.2888,,77.3972,,105.3700,
1993-11,94.7206,,104.0603,,76.3230,,102.7081,
1993-12,94.5241,,103.4250,,76.7982,,102.1235,
1994-01,95.0985,,104.1026,,77.5852,,102.1914,
1994-02,95.2686,,104.0708,,78.6459,,102.4825,
1994-03,96.7706,,105.3909,,80.6864,,104.0137,
1994-04,96.9467,,105.4110,,82.0883,,104.4646,
1994-05,98.3057,,106.8195,,83.9253,,105.8023,
1994-06,99.0159,,107.2562,,84.8951,,105.9774,
1994-07,100.8778,,109.1071,,87.2475,,108.3716,
1994-08,101.1745,,109.1038,,87.5591,,108.0366,
1994-09,101.3607,,109.0837,,88.0778,,107.9409,
1994-10,102.1426,,109.8528,,89.6049,,109.0687,
1994-11,101.3302,,108.7076,,89.2561,,107.7540,
1994-12,100.2902,,107.3916,,88.5502,,106.1617,
1995-01,101.6185,,108.4838,,90.4426,,107.4290,
1995-02,102.6780,,109.4670,,91.7354,,108.3549,
1995-03,104.3425,,111.0819,,94.0120,,110.4690,
1995-04,104.7123,,111.3069,,94.6116,,110.5194,
1995-05,104.3453,,110.6242,,94.2112,,109.3601,
1995-06,104.8216,,111.0823,,94.6453,,109.5147,
1995-07,106.1944,,112.4037,,95.8814,,110.5245,
1995-08,105.2150,,111.3709,,94.9501,,109.1679,
1995-09,104.8363,,110.8580,,94.6517,,108.3923,
1995-10,106.2175,,112.2757,,96.1785,,109.7799,
1995-11,106.7336,,112.7731,,96.8492,,110.1913,
1995-12,106.1550,,112.0430,,96.3996,,109.3389,
1996-01,106.1136,,111.8362,,96.4065,,108.8306,
1996-02,105.9987,,111.6338,,96.4312,,108.5254,
1996-03,105.7001,,111.1927,,96.3544,,108.1082,
1996-04,104.9773,,110.2320,,95.8138,,107.0535,
1996-05,104.1670,,109.2690,,95.2423,,106.1038,
1996-06,104.5604,,109.4164,,95.7794,,106.3240,
1996-07,105.6902,,110.3412,,96.9723,,107.3411,
1996-08,106.5236,,111.0167,,97.9231,,108.0110,
1996-09,105.7782,,110.0531,,97.3440,,107.0935,
1996-10,104.9029,,109.0443,,96.7314,,106.1580,
1996-11,104.9889,,108.9271,,97.1412,,106.2373,
1996-12,103.8857,,107.5879,,96.1187,,104.8111,
1997-01,102.3963,,105.8766,,94.6617,,102.9017,
1997-02,100.5558,,103.2651,,92.6640,,99.9482,
1997-03,99.8925,,102.3184,,92.0402,,98.8832,
1997-04,99.3907,,101.4023,,91.7117,,98.0091,
1997-05,99.0124,,101.0190,,91.5781,,97.7478,
1997-06,97.6890,,99.4070,,90.4496,,96.1980,
1997-07,95.0302,,96.5481,,88.3739,,93.6875,
1997-08,94.2438,,95.7575,,87.7364,,92.8989,
1997-09,96.6163,,98.0753,,90.3826,,95.4853,
1997-10,97.5636,,98.9318,,91.8218,,96.7204,
1997-11,98.6501,,100.0049,,93.3160,,98.1019,
1997-12,98.6322,,99.8430,,93.6097,,98.0822,
1998-01,97.8211,,98.5913,,93.5794,,97.3399,
1998-02,97.2393,,97.8139,,92.9183,,96.3173,
1998-03,96.3650,,96.8298,,92.1937,,95.2775,
1998-04,96.8669,,97.3865,,92.7268,,95.7384,
1998-05,99.3098,,99.7852,,95.2582,,98.1461,
1998-06,99.1052,,99.6519,,95.5230,,98.3432,
1998-07,98.8280,,99.2423,,95.5066,,98.0497,
1998-08,100.0602,,100.5383,,96.8845,,99.2980,
1998-09,102.7120,,103.1057,,101.0504,,102.6503,
1998-10,104.3093,,104.5629,,103.1716,,104.3770,
1998-11,102.5102,,102.7094,,101.2215,,102.1070,
1998-12,102.7170,,102.8543,,101.9159,,102.4572,
1999-01,101.7851,,101.7075,,101.6029,,101.6598,
1999-02,99.9700,,99.8868,,100.0424,,99.9529,
1999-03,98.4738,,98.4057,,98.5694,,98.3873,
1999-04,97.3277,,97.3490,,97.3446,,97.1439,
1999-05,96.7731,,96.7087,,96.7431,,96.3330,
1999-06,95.0001,,94.9176,,94.9847,,94.4553,
1999-07,95.0137,,94.9226,,95.0189,,94.3704,
1999-08,95.9668,,95.8467,,96.4546,,95.6545,
1999-09,94.5962,,94.2940,,95.3989,,94.3028,
1999-10,95.5586,,95.2400,,96.6053,,95.3067,
1999-11,93.3914,,93.1254,,94.2997,,92.9603,
1999-12,91.5813,,91.4038,,92.5550,,91.1697,
2000-01,91.6070,,91.3419,,92.6728,,91.0375,
2000-02,90.3627,,89.9895,,91.2767,,89.4780,
2000-03,88.9854,,88.6450,,89.8374,,88.0402,
2000-04,87.6055,,87.3019,,88.5381,,86.6981,
2000-05,86.0435,,85.7501,,86.8568,,84.9772,
2000-06,88.9315,,88.6415,,90.0118,,88.0562,
2000-07,88.3323,,87.8793,,89.4132,,87.2423,
2000-08,86.0349,,85.7360,,86.9689,,84.9219,
2000-09,84.3788,,84.1191,,85.2212,,83.1936,
2000-10,83.1913,,82.8922,,84.1848,,82.0330,
2000-11,83.7589,,83.4794,,84.8307,,82.5911,
2000-12,86.4864,,86.0239,,87.8107,,85.2341,
2001-01,89.7959,,88.9477,,91.2914,,88.1777,
2001-02,88.9211,,88.2761,,90.5266,,87.5537,
2001-03,88.6798,,88.0874,,90.7148,,87.6527,
2001-04,87.7114,,87.2276,,90.2041,,87.0497,
2001-05,86.1557,,85.6630,,88.5228,,85.3194,
2001-06,84.7746,,84.2873,,87.2233,,83.9730,
2001-07,85.4871,,85.0460,,88.2186,,84.8999,
2001-08,88.0315,,87.6115,,91.0767,,87.6059,
2001-09,88.4628,,88.1324,,91.9033,,88.3694,
2001-10,88.2474,,88.0093,,91.9397,,88.3236,
2001-11,86.9783,,86.7467,,90.3995,,86.7171,
2001-12,87.4314,,87.3321,,90.8210,,87.1417,
2002-01,87.0981,,87.3266,,90.4955,,86.9772,
2002-02,86.3163,,86.5409,,89.6839,,86.1136,
2002-03,86.4417,,86.7366,,89.8945,,86.3245,
2002-04,86.7207,,87.0427,,90.2686,,86.6290,
2002-05,88.3813,,88.7201,,92.3711,,88.5913,
2002-06,90.5005,,90.8446,,95.1515,,91.1981,
2002-07,91.8872,,92.3304,,97.1597,,93.1530,
2002-08,91.3520,,91.8235,,96.6016,,92.5999,
2002-09,91.3366,,91.9021,,96.8268,,92.8090,
2002-10,91.6046,,92.1691,,97.2681,,93.1232,
2002-11,92.4405,,92.8944,,98.0976,,93.6640,
2002-12,93.4364,,93.9033,,99.1806,,94.6258,
2003-01,95.7699,,96.3909,,101.9803,,97.3247,
2003-02,97.0773,,97.7465,,103.3869,,98.6649,
2003-03,97.8986,,98.6162,,104.0948,,99.3032,
2003-04,98.4477,,99.2338,,104.2953,,99.4525,
2003-05,102.1656,,103.0930,,108.2803,,103.2860,
2003-06,102.6038,,103.7529,,108.6324,,103.8214,
2003-07,101.4541,,102.5985,,107.0552,,102.3409,
2003-08,100.3377,,101.4535,,105.8248,,101.1656,
2003-09,100.2693,,101.3795,,105.7818,,101.1037,
2003-10,101.9482,,103.0468,,107.9378,,103.0855,
2003-11,101.9398,,102.9365,,107.9556,,102.9547,
2003-12,104.7460,,105.6282,,111.1644,,105.8338,
2004-01,105.9194,,106.7780,,112.4013,,106.9287,
2004-02,105.7958,,106.7984,,112.2932,,106.8944,
2004-03,103.9560,,104.9853,,110.0604,,104.7702,
2004-04,102.3124,,103.4148,,108.2679,,103.1133,
2004-05,102.8767,,103.9560,,109.4150,,104.1581,
2004-06,102.7334,,103.7643,,109.4852,,104.1464,
2004-07,103.1600,,104.1710,,109.9070,,104.4553,
2004-08,102.9664,,104.0756,,109.7412,,104.3512,
2004-09,103.3169,,104.3143,,110.0828,,104.5043,
2004-10,104.3929,,105.3521,,111.3257,,105.5630,
2004-11,105.6703,,106.4682,,112.8883,,106.8045,
2004-12,106.8741,,107.7879,,114.1570,,108.0244,
2005-01,105.7784,,106.6925,,112.6695,,106.4819,
2005-02,104.9629,,105.7846,,111.6097,,105.3734,
2005-03,105.6539,,106.6655,,112.4993,,106.3036,
2005-04,104.8365,,105.8783,,111.5172,,105.3570,
2005-05,103.9027,,104.9770,,110.2652,,104.1457,
2005-06,101.2516,,102.4592,,107.2760,,101.4494,
2005-07,101.7156,,102.8314,,107.4590,,101.5169,
2005-08,102.0890,,103.2224,,108.1099,,102.1221,
2005-09,101.5177,,102.5697,,107.5658,,101.5390,
2005-10,101.1671,,102.1904,,107.0177,,100.8706,
2005-11,100.4488,,101.4195,,106.0607,,99.7957,
2005-12,100.4344,,101.4551,,106.0819,,99.7973,
2006-01,101.1310,,102.1131,,106.7793,,100.3243,
2006-02,100.3936,,101.4621,,105.7745,,99.4110,
2006-03,101.1947,,102.3606,,106.6369,,100.2253,
2006-04,102.2269,,103.4339,,107.8289,,101.3370,
2006-05,103.1840,,104.3536,,109.6610,,102.9392,
2006-06,103.3727,,104.5639,,110.2739,,103.5069,
2006-07,103.6647,,104.8929,,110.4092,,103.6429,
2006-08,103.6906,,104.6955,,110.3619,,103.4335,
2006-09,103.5339,,104.4115,,110.1726,,103.0433,
2006-10,102.9590,,103.8960,,109.4704,,102.3250,
2006-11,103.5063,,104.4057,,110.1593,,102.8574,
2006-12,104.4835,,105.1822,,111.2866,,103.6675,
2007-01,103.8630,,104.7557,,110.4285,,102.9341,
2007-02,104.3301,,105.1560,,110.7771,,103.1429,
2007-03,105.0331,,105.6717,,111.6310,,103.7619,
2007-04,105.9071,,106.7806,,112.3983,,104.6389,
2007-05,105.9226,,106.6754,,112.1454,,104.2722,
2007-06,105.5073,,106.1205,,111.6181,,103.6081,
2007-07,106.0573,,106.5948,,112.2650,,104.0966,
2007-08,105.7729,,106.0710,,112.2376,,103.8215,
2007-09,106.7610,,107.0399,,113.2220,,104.6181,
2007-10,107.7600,,107.9651,,114.0196,,105.1613,
2007-11,109.2409,,109.4168,,115.8206,,106.7474,
2007-12,109.2793,,109.2819,,115.6433,,106.3429,
2008-01,109.8423,,109.8230,,116.2599,,106.7932,
2008-02,109.5216,,109.0728,,116.0554,,106.1090,
2008-03,112.1398,,111.9313,,119.4145,,109.2569,
2008-04,113.2170,,112.9069,,120.6975,,110.1767,
2008-05,112.6176,,112.4184,,119.9104,,109.4629,
2008-06,112.3399,,112.0148,,119.6967,,109.0950,
2008-07,112.4416,,111.9196,,119.9371,,109.0653,
2008-08,110.3154,,109.5619,,117.1361,,106.2368,
2008-09,108.7211,,107.9843,,115.7624,,104.9138,
2008-10,105.4630,,104.7559,,113.1992,,102.3903,
2008-11,104.7870,,104.2799,,112.5606,,101.8218,
2008-12,110.0283,,109.5365,,118.5274,,107.1430,
2009-01,109.8519,,109.3195,,118.5565,,107.0396,
2009-02,108.7961,,108.2906,,117.6441,,106.1896,
2009-03,111.0540,,110.2623,,120.1756,,108.0836,
2009-04,110.1944,,109.5277,,118.9323,,107.0084,
2009-05,110.7612,,109.9260,,119.4279,,107.2836,
2009-06,111.8360,,110.9426,,120.6125,,108.3027,
2009-07,111.5293,,110.2842,,120.4652,,107.6901,
2009-08,111.4915,,110.3003,,120.5591,,107.8001,
2009-09,112.7676,,111.4380,,121.9482,,108.8508,
2009-10,114.0502,,112.5693,,122.9439,,109.5264,
2009-11,113.8712,,112.2765,,122.8819,,109.2929,
2009-12,112.8165,,111.1477,,121.6397,,108.0358,
2010-01,110.6367,,108.9012,,119.0020,,105.4562,
2010-02,107.8984,,106.0785,,116.0095,,102.5983,
2010-03,107.1572,,105.5506,,114.8497,,101.7078,
2010-04,105.8368,,104.3695,,113.0812,,100.2611,
2010-05,102.5945,,101.1045,,109.4478,,96.9456,
2010-06,100.4603,,99.0938,,107.2353,,95.0483,
2010-07,102.2805,,100.8576,,109.5705,,97.0421,
2010-08,101.9656,,100.3894,,109.2824,,96.6242,
2010-09,102.2848,,100.6790,,109.6882,,96.8591,
2010-10,105.8850,,103.9981,,113.6288,,100.0721,
2010-11,104.6111,,102.5094,,112.3271,,98.6730,
2010-12,102.3992,,100.3496,,109.8134,,96.4227,
2011-01,102.1991,,100.1709,,109.8315,,96.3507,
2011-02,103.2872,,101.1642,,111.2096,,97.4872,
2011-03,104.9877,,102.8034,,112.9965,,99.0264,
2011-04,106.7283,,104.5418,,114.7618,,100.5803,
2011-05,105.6981,,103.2958,,113.8950,,99.5183,
2011-06,105.7560,,103.2838,,114.0556,,99.5849,
2011-07,104.7809,,102.3383,,113.0023,,98.6849,
2011-08,104.5267,,102.0876,,113.4350,,99.0200,
2011-09,103.5257,,101.1545,,112.5581,,98.2718,
2011-10,103.7649,,101.4474,,113.1063,,98.6952,
2011-11,103.3161,,101.0624,,112.5644,,98.1856,
2011-12,101.5162,,99.2580,,110.7405,,96.5129,
2012-01,99.6550,,97.4301,,108.4054,,94.4619,
2012-02,100.3861,,98.3902,,108.8516,,95.0355,
2012-03,100.5233,,98.4571,,109.0876,,95.1579,
2012-04,100.1200,,98.1797,,108.8841,,95.0093,
2012-05,98.6878,,96.6802,,107.6535,,93.7946,
2012-06,97.8223,,95.9392,,106.9691,,93.2343,
2012-07,96.0020,,94.3104,,104.8330,,91.4423,
2012-08,95.8850,,94.2167,,104.8241,,91.4302,
2012-09,97.8981,,96.1801,,107.1644,,93.4165,
2012-10,98.4979,,96.7069,,107.7644,,93.8084,
2012-11,97.9152,,96.0346,,107.2028,,93.1786,
2012-12,99.3407,,97.3697,,108.7722,,94.4223,
2013-01,100.9632,,98.9148,,110.2811,,95.6074,
2013-02,102.1560,,99.8911,,111.4065,,96.3773,
2013-03,100.6639,,98.5861,,109.6154,,94.9107,
2013-04,100.7986,,98.6398,,109.7958,,94.9378,
2013-05,100.8609,,98.7299,,109.9777,,95.0714,
