"",BBDG1.M.HWWI.N.EURO.ENERGY00.I15.EUR.A,BBDG1.M.HWWI.N.EURO.ENERGY00.I15.EUR.A_FLAGS,BBDG1.M.HWWI.N.EURO.TOTNXNGY.I15.EUR.A,BBDG1.M.HWWI.N.EURO.TOTNXNGY.I15.EUR.A_FLAGS
"",HWWI Commodity Price Index / Euro area / Energy raw materials / Euro denominated,,HWWI Commodity Price Index / Euro area / Total excluding energy / Euro denominated,
unit,2015=100,,2015=100,
unit multiplier,one,,one,
last update,2021-12-02 15:56:40,,2021-12-02 15:56:40,
1978-09,22.4,,52.3,
1978-10,21.7,,51.8,
1978-11,24.7,,53.2,
1978-12,25.2,,52.0,
1979-01,28.9,,51.8,
1979-02,37.6,,54.4,
1979-03,36.5,,56.2,
1979-04,35.0,,57.5,
1979-05,48.0,,58.7,
1979-06,56.4,,62.2,
1979-07,51.6,,60.3,
1979-08,52.9,,58.8,
1979-09,54.1,,58.7,
1979-10,58.8,,59.2,
1979-11,63.3,,59.4,
1979-12,61.6,,59.1,
1980-01,56.1,,60.4,
1980-02,53.5,,63.9,
1980-03,56.7,,63.6,
1980-04,58.1,,62.2,
1980-05,55.8,,60.7,
1980-06,54.4,,58.5,
1980-07,52.3,,58.7,
1980-08,48.6,,60.4,
1980-09,51.4,,61.0,
1980-10,57.7,,62.3,
1980-11,65.0,,64.6,
1980-12,65.9,,63.3,
1981-01,65.3,,63.9,
1981-02,66.1,,66.7,
1981-03,65.4,,66.2,
1981-04,66.3,,67.4,
1981-05,65.2,,67.4,
1981-06,64.0,,67.5,
1981-07,69.9,,69.5,
1981-08,72.7,,70.8,
1981-09,69.2,,65.3,
1981-10,68.9,,63.5,
1981-11,70.1,,62.1,
1981-12,70.6,,63.0,
1982-01,70.5,,64.9,
1982-02,62.8,,67.3,
1982-03,60.7,,66.3,
1982-04,70.1,,66.7,
1982-05,71.1,,63.8,
1982-06,74.2,,64.9,
1982-07,73.0,,65.4,
1982-08,72.0,,64.1,
1982-09,76.7,,64.6,
1982-10,78.0,,64.1,
1982-11,75.2,,65.4,
1982-12,68.6,,63.2,
1983-01,66.4,,63.3,
1983-02,64.2,,66.2,
1983-03,62.8,,68.5,
1983-04,67.1,,72.2,
1983-05,67.1,,74.2,
1983-06,70.9,,76.4,
1983-07,72.3,,78.8,
1983-08,75.3,,86.6,
1983-09,73.5,,89.4,
1983-10,70.9,,87.5,
1983-11,70.7,,88.9,
1983-12,71.8,,91.1,
1984-01,75.3,,94.3,
1984-02,73.4,,91.7,
1984-03,71.6,,90.3,
1984-04,72.7,,91.1,
1984-05,75.0,,95.4,
1984-06,72.8,,91.6,
1984-07,73.1,,88.6,
1984-08,75.0,,87.7,
1984-09,78.8,,90.5,
1984-10,78.1,,90.8,
1984-11,76.7,,89.2,
1984-12,77.8,,89.5,
1985-01,79.5,,91.1,
1985-02,86.2,,93.7,
1985-03,86.3,,94.2,
1985-04,79.0,,89.4,
1985-05,76.8,,88.2,
1985-06,74.9,,84.6,
1985-07,71.8,,78.6,
1985-08,71.1,,74.3,
1985-09,72.8,,74.0,
1985-10,70.7,,70.1,
1985-11,72.5,,70.1,
1985-12,62.7,,77.3,
1986-01,50.0,,73.6,
1986-02,39.2,,69.7,
1986-03,32.5,,71.3,
1986-04,28.2,,68.1,
1986-05,31.2,,65.7,
1986-06,26.9,,63.6,
1986-07,21.7,,60.6,
1986-08,29.3,,58.5,
1986-09,29.7,,60.7,
1986-10,28.8,,59.0,
1986-11,30.6,,58.5,
1986-12,32.7,,56.1,
1987-01,34.8,,52.8,
1987-02,32.2,,52.7,
1987-03,33.6,,52.2,
1987-04,32.9,,52.9,
1987-05,33.4,,54.8,
1987-06,34.3,,55.8,
1987-07,36.9,,56.6,
1987-08,35.6,,57.6,
1987-09,33.6,,57.5,
1987-10,34.2,,60.1,
1987-11,30.6,,57.6,
1987-12,29.5,,58.9,
1988-01,28.7,,61.2,
1988-02,27.5,,62.1,
1988-03,26.0,,64.6,
1988-04,28.6,,66.7,
1988-05,28.5,,70.9,
1988-06,27.9,,82.7,
1988-07,29.2,,79.8,
1988-08,28.9,,79.1,
1988-09,26.1,,76.8,
1988-10,24.1,,74.5,
1988-11,24.4,,73.5,
1988-12,28.2,,75.5,
1989-01,32.1,,79.3,
1989-02,32.0,,77.2,
1989-03,35.5,,77.5,
1989-04,37.8,,76.1,
1989-05,36.6,,78.3,
1989-06,35.9,,75.5,
1989-07,34.9,,70.2,
1989-08,34.1,,70.1,
1989-09,36.0,,69.9,
1989-10,36.7,,66.7,
1989-11,35.7,,64.4,
1989-12,35.6,,60.3,
1990-01,35.8,,57.7,
1990-02,34.3,,56.3,
1990-03,33.4,,59.9,
1990-04,30.8,,59.8,
1990-05,30.2,,59.6,
