"",BBNZ1.Q.DE.N.G.0034.A,BBNZ1.Q.DE.N.G.0034.A_FLAGS,BBNZ1.Q.DE.N.G.0036.A,BBNZ1.Q.DE.N.G.0036.A_FLAGS,BBNZ1.Q.DE.N.G.0336.A,BBNZ1.Q.DE.N.G.0336.A_FLAGS,BBNZ1.Q.DE.N.G.0342.A,BBNZ1.Q.DE.N.G.0342.A_FLAGS,BBNZ1.Q.DE.N.G.0325.A,BBNZ1.Q.DE.N.G.0325.A_FLAGS,BBNZ1.Q.DE.N.G.0326.A,BBNZ1.Q.DE.N.G.0326.A_FLAGS,BBNZ1.Q.DE.N.G.0327.A,BBNZ1.Q.DE.N.G.0327.A_FLAGS
"",Germany / National accounts / Households' income / Gross wages and salaries (residence concept),,Germany / National accounts / Households' income / Net wages and salaries (residence concept),,Germany / National accounts / Households' income / Monetary social benefits received (net),,Germany / National accounts / Households' income / Mass income,,Germany / National accounts / Households' income / Disposable income / Including the increase in claims on company pension funds,,Germany / National accounts / Households' income / Saving,,Germany / National accounts / Households' income / Saving ratio,
unit,Euro,,Euro,,Euro,,Euro,,Euro,,Euro,,Prozent,
unit multiplier,billion,,billion,,billion,,billion,,billion,,billion,,one,
last update,2021-08-24 10:37:43,,2021-08-24 10:37:44,,2021-08-24 10:38:35,,2021-08-24 10:38:36,,2021-08-24 10:38:34,,2021-08-24 10:38:34,,2021-08-24 10:38:35,
1991-01,156.499,,113.912,,52.979,,166.891,,250.561,,40.917,,16.3,
1991-04,168.577,,117.409,,51.636,,169.045,,251.781,,33.011,,13.1,
1991-07,175.117,,123.509,,54.301,,177.810,,248.409,,27.317,,11.0,
1991-10,203.128,,137.945,,55.627,,193.572,,269.761,,30.612,,11.3,
1992-01,171.067,,119.812,,58.809,,178.621,,271.565,,45.121,,16.6,
1992-04,181.285,,123.643,,56.964,,180.607,,266.058,,33.086,,12.4,
1992-07,192.507,,134.828,,59.967,,194.795,,267.623,,30.381,,11.4,
1992-10,217.331,,147.878,,62.730,,210.608,,289.058,,32.217,,11.1,
1993-01,178.124,,124.955,,63.718,,188.673,,280.849,,45.155,,16.1,
1993-04,187.142,,128.693,,61.617,,190.310,,277.333,,34.083,,12.3,
1993-07,194.438,,136.965,,65.055,,202.020,,277.802,,28.643,,10.3,
1993-10,221.944,,150.624,,66.603,,217.227,,295.852,,31.909,,10.8,
1994-01,183.105,,126.787,,67.029,,193.816,,292.674,,44.113,,15.1,
1994-04,188.762,,127.900,,65.043,,192.943,,282.102,,31.749,,11.3,
1994-07,196.780,,136.552,,67.301,,203.853,,286.606,,28.967,,10.1,
1994-10,226.225,,150.194,,66.437,,216.631,,303.338,,31.831,,10.5,
1995-01,187.419,,127.676,,68.389,,196.065,,297.524,,44.534,,15.0,
1995-04,195.988,,129.127,,66.650,,195.777,,293.887,,32.049,,10.9,
1995-07,203.648,,137.716,,68.691,,206.407,,294.358,,28.816,,9.8,
1995-10,232.529,,151.070,,69.324,,220.394,,308.112,,30.489,,9.9,
1996-01,191.824,,130.315,,73.123,,203.438,,306.134,,44.682,,14.6,
1996-04,197.907,,131.010,,71.152,,202.162,,297.998,,31.717,,10.6,
1996-07,205.648,,140.290,,72.045,,212.335,,298.703,,27.458,,9.2,
1996-10,232.587,,150.847,,71.303,,222.150,,312.040,,29.075,,9.3,
1997-01,191.428,,128.035,,74.628,,202.663,,307.050,,43.166,,14.1,
1997-04,197.765,,128.942,,72.129,,201.071,,302.155,,29.948,,9.9,
1997-07,204.555,,138.194,,72.797,,210.991,,303.555,,27.233,,9.0,
1997-10,232.391,,149.726,,73.087,,222.813,,319.228,,29.637,,9.3,
1998-01,193.234,,129.617,,74.552,,204.169,,312.746,,44.346,,14.2,
