"",BBK01.WU3140,BBK01.WU3140_FLAGS,BBK01.WU3141,BBK01.WU3141_FLAGS,BBK01.WU001A,BBK01.WU001A_FLAGS,BBK01.WU018A,BBK01.WU018A_FLAGS,BBK01.WU035A,BBK01.WU035A_FLAGS,BBK01.WU046A,BBK01.WU046A_FLAGS,BBK01.WX3041,BBK01.WX3041_FLAGS,BBK01.WX9141,BBK01.WX9141_FLAGS
"",DAX price index / End 1987 = 1000 / End of month,,DAX performance index / End 1987 = 1000 / End of month,,CDAX price index / End 1987 = 100 / End of month,,CDAX performance index / End 1987 = 100 / End of month,,REX price index / End of month,,REX performance index / End 1987 = 100 / End of month,,iBoxx EUR Germany price index / End 1998 = 100 / End of month,,iBoxx EUR Germany performance index / End 1998 = 100 / End of month,
unit,87 =1000,,87 =1000,,1987=100,,,,Prozent,,1987=100,,,,,
unit multiplier,one,,one,,one,,one,,one,,one,,one,,one,
last update,2021-10-01 08:38:11,,2021-10-01 08:38:11,,2021-10-01 08:38:11,,2021-10-01 08:38:11,,2021-10-01 08:38:11,,2021-10-01 08:38:11,,2021-10-01 08:38:11,,2021-10-01 08:38:11,
1967-01,,,,,,,,,102.09,,21.24,,,,,
1967-02,,,,,,,,,102.52,,21.45,,,,,
1967-03,,,,,,,,,104.39,,21.97,,,,,
1967-04,,,,,,,,,104.25,,22.07,,,,,
1967-05,,,,,,,,,105.01,,22.35,,,,,
1967-06,,,,,,,,,104.56,,22.39,,,,,
1967-07,,,,,,,,,105.27,,22.67,,,,,
1967-08,,,,,,,,,105.44,,22.83,,,,,
1967-09,,,,,,,,,105.88,,23.06,,,,,
1967-10,,,,,,,,,105.78,,23.17,,,,,
1967-11,,,,,,,,,105.90,,23.32,,,,,
1967-12,,,,,,,,,105.78,,23.43,,,,,
1968-01,,,,,,,,,105.87,,23.58,,,,,
1968-02,,,,,,,,,105.84,,23.71,,,,,
1968-03,,,,,,,,,105.74,,23.82,,,,,
1968-04,,,,,,,,,106.80,,24.20,,,,,
1968-05,,,,,,,,,107.40,,24.47,,,,,
1968-06,,,,,,,,,107.43,,24.61,,,,,
1968-07,,,,,,,,,107.52,,24.77,,,,,
1968-08,,,,,,,,,107.77,,24.96,,,,,
1968-09,,,,,,,,,107.86,,25.12,,,,,
1968-10,,,,,,,,,107.69,,25.22,,,,,
1968-11,,,,,,,,,107.70,,25.37,,,,,
1968-12,,,,,,,,,107.73,,25.52,,,,,
1969-01,,,,,,,,,107.91,,25.70,,,,,
1969-02,,,,,,,,,107.80,,25.82,,,,,
1969-03,,,,,,,,,107.24,,25.83,,,,,
1969-04,,,,,,,,,106.68,,25.84,,,,,
1969-05,,,,,,,,,106.69,,25.98,,,,,
1969-06,,,,,,,,,104.98,,25.71,,,,,
1969-07,,,,,,,,,104.44,,25.73,,,,,
1969-08,,,,,,,,,104.31,,25.84,,,,,
1969-09,,,,,,,,,102.27,,25.49,,,,,
1969-10,,,,,,,,,102.78,,25.76,,,,,
1969-11,,,,,,,,,101.82,,25.68,,,,,
1969-12,,,,,,,,,101.56,,25.76,,,,,
1970-01,,,,,,,,,100.62,,25.67,,,,,
1970-02,,,,,,,,,100.25,,25.73,,,,,
1970-03,,,,,,,,,98.54,,25.45,,,,,
1970-04,,,,,,,,,98.69,,25.64,,,,,
1970-05,,,,,,,,,97.38,,25.46,,,,,
1970-06,,,,,,,,,95.83,,25.21,,,,,
1970-07,,,,,,,,,97.59,,25.83,,,,,
1970-08,,,,,,,,,97.72,,26.02,,,,,
1970-09,,,,,,,,,97.11,,26.02,,,,,
1970-10,,,,,,,,,96.75,,26.08,,,,,
1970-11,,,,,,,,,97.59,,26.47,,,,,
1970-12,,,,,,,,,99.55,,27.17,,,,,
1971-01,,,,,,,,,101.08,,27.75,,,,,
1971-02,,,,,,,,,100.37,,27.72,,,,,
1971-03,,,,,,,,,100.17,,27.83,,,,,
1971-04,,,,,,,,,100.10,,27.97,,,,,
1971-05,,,,,,,,,99.67,,28.02,,,,,
1971-06,,,,,,,,,98.14,,27.76,,,,,
1971-07,,,,,,,,,98.31,,27.98,,,,,
1971-08,,,,,,,,,99.01,,28.35,,,,,
1971-09,,,,,,,,,99.54,,28.67,,,,,
1971-10,,,,,,,,,100.05,,28.99,,,,,
1971-11,,,,,,,,,100.05,,29.17,,,,,
1971-12,,,,,,,,,100.56,,29.49,,,,,
1972-01,,,,,,,,,102.43,,30.21,,,,,
1972-02,,,,,,,,,103.35,,30.66,,,,,
1972-03,,,,,,,,,102.32,,30.53,,,,,
1972-04,,,,,,,,,100.62,,30.21,,,,,
1972-05,,,,,,,,,101.22,,30.57,,,,,
1972-06,,,,,,,,,100.04,,30.39,,,,,
1972-07,,,,,,,,,100.25,,30.64,,,,,
1972-08,,,,,,,,,100.54,,30.91,,,,,
1972-09,,,,,,,,,100.64,,31.12,,,,,
1972-10,,,,,,,,,98.63,,30.69,,,,,
1972-11,,,,,,,,,97.74,,30.60,,,,,
1972-12,,,,,,,,,97.43,,30.69,,,,,
1973-01,,,,,,,,,97.55,,30.92,,,,,
1973-02,,,,,,,,,98.03,,31.26,,,,,
1973-03,,,,,,,,,97.18,,31.18,,,,,
1973-04,,,,,,,,,95.98,,30.99,,,,,
1973-05,,,,,,,,,93.95,,30.52,,,,,
1973-06,,,,,,,,,92.69,,30.31,,,,,
1973-07,,,,,,,,,91.83,,30.22,,,,,
1973-08,,,,,,,,,93.67,,31.03,,,,,
1973-09,,,,,,,,,93.08,,31.03,,,,,
1973-10,,,,,,,,,93.70,,31.44,,,,,
1973-11,,,,,,,,,93.60,,31.61,,,,,
1973-12,,,,,,,,,93.28,,31.70,,,,,
1974-01,,,,,,,,,93.46,,31.97,,,,,
1974-02,,,,,,,,,90.86,,31.28,,,,,
1974-03,,,,,,,,,90.59,,31.40,,,,,
