"",BBNZ1.Q.DE.S.H.0931.A,BBNZ1.Q.DE.S.H.0931.A_FLAGS,BBNZ1.Q.DE.S.H.0933.A,BBNZ1.Q.DE.S.H.0933.A_FLAGS,BBNZ1.Q.DE.S.H.0934.A,BBNZ1.Q.DE.S.H.0934.A_FLAGS,BBNZ1.Q.DE.S.H.0948.A,BBNZ1.Q.DE.S.H.0948.A_FLAGS,BBNZ1.Q.DE.S.H.0939.A,BBNZ1.Q.DE.S.H.0939.A_FLAGS,BBNZ1.Q.DE.S.H.0940.A,BBNZ1.Q.DE.S.H.0940.A_FLAGS,BBNZ1.Q.DE.S.H.0938.A,BBNZ1.Q.DE.S.H.0938.A_FLAGS,BBNZ1.Q.DE.S.H.0949.A,BBNZ1.Q.DE.S.H.0949.A_FLAGS
2015-04,100.97,,100.37,,100.65,,99.88,,100.07,,97.93,,99.37,,100.38,
2015-07,99.30,,100.39,,99.58,,100.27,,100.69,,100.69,,100.69,,99.86,
2015-10,99.13,,99.66,,100.65,,99.39,,101.56,,99.03,,101.35,,100.11,
2016-01,99.41,,101.67,,102.04,,101.35,,104.72,,105.11,,100.94,,101.13,
2016-04,95.63,,97.35,,100.76,,100.33,,106.56,,102.14,,99.34,,98.96,
2016-07,98.32,,101.52,,101.90,,99.56,,106.40,,103.64,,100.36,,100.61,
2016-10,98.94,,102.97,,102.89,,102.25,,103.85,,105.80,,102.45,,101.67,
2017-01,96.53,,102.22,,101.59,,99.98,,97.75,,105.73,,103.78,,100.22,
2017-04,97.51,,103.88,,102.96,,101.40,,96.60,,111.22,,105.14,,101.38,
2017-07,96.70,,104.29,,102.81,,101.43,,95.52,,108.17,,105.44,,101.07,
2017-10,96.48,,105.34,,103.67,,101.29,,99.86,,110.95,,105.80,,101.65,
2018-01,97.63,,105.14,,104.00,,99.28,,102.62,,111.53,,105.93,,102.19,
2018-04,97.84,,105.20,,104.59,,100.35,,104.25,,112.53,,106.13,,102.67,
2018-07,100.81,,106.91,,106.99,,102.46,,106.16,,117.27,,109.08,,105.27,
2018-10,101.32,,107.32,,106.43,,101.98,,104.42,,118.89,,108.80,,105.22,
2019-01,100.89,,108.21,,105.32,,104.57,,104.93,,117.74,,109.63,,105.28,
2019-04,102.95,,111.78,,106.57,,105.48,,105.24,,119.36,,112.87,,107.16,
2019-07,105.30,,109.85,,106.28,,106.23,,104.72,,118.06,,112.52,,107.84,
2019-10,104.03,,113.66,,107.99,,105.94,,104.52,,118.01,,113.52,,108.01,
2020-01,105.76,,105.86,,105.31,,108.21,,105.45,,120.07,,114.64,,107.75,
2020-04,119.69,,109.41,,113.48,,109.42,,103.19,,116.13,,121.86,,113.90,
2020-07,109.60,,114.76,,104.52,,108.06,,103.38,,120.38,,118.29,,109.46,
2020-10,102.42,,103.27,,106.06,,108.19,,105.76,,121.17,,119.53,,106.97,
2021-01,105.48,,113.62,,105.93,,111.59,,106.79,,126.89,,120.38,,109.22,
2021-04,103.56,,114.66,,108.19,,113.61,,104.86,,123.77,,118.87,,108.96,
"",Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
