"",BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Rest of the world,,Current account / Secondary income / Expenditure / Rest of the world,,Current account / Secondary income / Balance / Rest of the world,,Current account / Secondary income / Receipts / Domestic sector: General government / Rest of the world,,"Current account / Secondary income / Current taxes on income, wealth etc. / Receipts / Domestic sector: General government / Rest of the world",,Current account / Secondary income / Expenditure / Domestic sector: General government / Rest of the world,,Current account / Secondary income / Value added tax and gross national income-based Union own resourcest / Expenditure / Domestic sector: General government / Rest of the world,,Current account / Secondary income / Social benefits / Expenditure / Domestic sector: General government / Rest of the world,,Current account / Secondary income / Balance / Domestic sector: General government / Rest of the world,,Current account / Secondary income / Receipts / Domestic sector: All sectors excl. general government / Rest of the world,,Current account / Secondary income / Expenditure / Domestic sector: All sectors excl. general government / Rest of the world,,Current account / Secondary income / Miscellaneous current transfers / Personal transfers (between households) / Expenditure / Domestic sector: All sectors excl. general government / Rest of the world,,Current account / Secondary income / Miscellaneous current transfers / Personal transfers (between households) / Workers' remittances / Expenditure / Domestic sector: All sectors excl. general government / Rest of the world,,Current account / Secondary income / Social contributions / Expenditure / Domestic sector: All sectors excl. general government / Rest of the world,,Current account / Secondary income / Balance / Domestic sector: All sectors excl. general government / Rest of the world,
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,,million,
last update,2021-09-10 12:22:00,,2021-09-10 12:22:24,,2021-09-10 12:21:37,,2021-09-10 12:23:21,,2021-09-10 12:23:21,,2021-09-10 12:23:21,,2021-09-10 12:23:21,,2021-09-10 12:23:21,,2021-09-10 12:23:21,,2021-09-10 12:23:33,,2021-09-10 12:23:34,,2021-09-10 12:23:34,,2021-09-10 12:23:34,,2021-09-10 12:23:34,,2021-09-10 12:23:33,
1971-01,198.341,,1009.635,,-811.294,,132.796,,113.796,,477.470,,-,Nothing exists,56.849,,-344.674,,65.545,,532.165,,400.000,,400.000,,25.852,,-466.620,
1971-02,155.367,,1233.070,,-1077.703,,105.745,,85.745,,741.704,,397.400,,109.670,,-635.959,,49.622,,491.366,,400.000,,400.000,,13.927,,-441.744,
1971-03,154.170,,1057.839,,-903.669,,84.781,,63.781,,436.458,,-,Nothing exists,61.248,,-351.677,,69.389,,621.381,,500.000,,500.000,,20.182,,-551.992,
1971-04,175.339,,1025.726,,-850.387,,102.972,,82.972,,414.886,,95.400,,52.811,,-311.914,,72.367,,610.840,,450.000,,450.000,,14.937,,-538.473,
1971-05,177.046,,988.371,,-811.325,,107.545,,87.545,,371.100,,-,Nothing exists,130.820,,-263.555,,69.501,,617.271,,500.000,,500.000,,21.720,,-547.770,
1971-06,191.703,,1051.923,,-860.220,,127.261,,107.261,,385.747,,12.800,,52.907,,-258.486,,64.442,,666.176,,550.000,,550.000,,28.514,,-601.734,
1971-07,253.305,,1380.529,,-1127.224,,191.976,,166.976,,600.736,,182.100,,52.450,,-408.760,,61.329,,779.793,,650.000,,650.000,,19.029,,-718.464,
1971-08,155.850,,1195.501,,-1039.651,,98.696,,72.696,,475.213,,56.000,,65.708,,-376.517,,57.154,,720.288,,600.000,,600.000,,24.853,,-663.134,
1971-09,154.544,,1036.559,,-882.015,,94.368,,69.368,,420.876,,-,Nothing exists,134.291,,-326.508,,60.176,,615.683,,500.000,,500.000,,20.921,,-555.507,
1971-10,176.448,,985.248,,-808.800,,109.475,,84.475,,321.014,,37.300,,50.336,,-211.539,,66.973,,664.234,,550.000,,550.000,,23.304,,-597.261,
1971-11,266.718,,1215.618,,-948.900,,197.373,,74.773,,591.437,,160.600,,132.284,,-394.064,,69.345,,624.181,,500.000,,500.000,,19.061,,-554.836,
1971-12,778.529,,1298.583,,-520.054,,711.105,,355.205,,598.014,,248.700,,57.458,,113.091,,67.424,,700.569,,550.000,,550.000,,39.377,,-633.145,
1972-01,263.387,,1151.365,,-887.978,,208.863,,111.763,,577.542,,123.300,,61.385,,-368.679,,54.524,,573.823,,450.000,,450.000,,7.308,,-519.299,
1972-02,171.780,,1042.704,,-870.924,,106.635,,78.635,,495.403,,128.000,,54.536,,-388.768,,65.145,,547.301,,450.000,,450.000,,8.404,,-482.156,
1972-03,161.804,,1311.062,,-1149.258,,96.430,,69.430,,646.541,,145.300,,156.612,,-550.111,,65.374,,664.521,,550.000,,550.000,,7.338,,-599.147,
1972-04,205.493,,1053.658,,-848.165,,138.139,,111.139,,444.688,,-,Nothing exists,67.061,,-306.549,,67.354,,608.970,,500.000,,500.000,,8.186,,-541.616,
1972-05,160.620,,1212.101,,-1051.481,,89.202,,62.202,,511.519,,157.200,,93.116,,-422.317,,71.418,,700.582,,550.000,,550.000,,7.958,,-629.164,
1972-06,261.458,,1196.869,,-935.411,,193.315,,165.315,,529.358,,83.900,,160.207,,-336.043,,68.143,,667.511,,550.000,,550.000,,11.751,,-599.368,
1972-07,283.578,,1464.530,,-1180.952,,210.736,,177.736,,679.115,,155.700,,69.718,,-468.379,,72.842,,785.415,,650.000,,650.000,,8.588,,-712.573,
1972-08,243.647,,1317.308,,-1073.661,,175.839,,142.839,,517.514,,128.300,,66.724,,-341.675,,67.808,,799.794,,700.000,,700.000,,7.423,,-731.986,
1972-09,205.584,,1136.081,,-930.497,,134.870,,101.870,,365.292,,-,Nothing exists,155.348,,-230.422,,70.714,,770.789,,650.000,,650.000,,8.472,,-700.075,
1972-10,220.609,,1174.307,,-953.698,,155.480,,123.480,,504.290,,-,Nothing exists,73.114,,-348.810,,65.129,,670.017,,550.000,,550.000,,7.692,,-604.888,
1972-11,452.699,,1264.841,,-812.142,,395.657,,141.857,,597.788,,215.100,,92.904,,-202.131,,57.042,,667.053,,550.000,,550.000,,7.335,,-610.011,
1972-12,422.427,,1403.515,,-981.088,,347.740,,267.840,,681.163,,80.100,,158.606,,-333.423,,74.687,,722.352,,600.000,,600.000,,8.882,,-647.665,
1973-01,279.249,,1215.223,,-935.974,,223.588,,157.809,,572.643,,29.800,,99.783,,-349.055,,55.661,,642.580,,500.000,,500.000,,7.277,,-586.919,
1973-02,210.690,,1417.604,,-1206.914,,132.765,,100.043,,737.226,,332.100,,61.362,,-604.461,,77.925,,680.378,,550.000,,550.000,,8.740,,-602.453,
1973-03,210.649,,1153.628,,-942.979,,150.504,,117.781,,488.490,,39.700,,192.035,,-337.986,,60.145,,665.138,,550.000,,550.000,,8.463,,-604.993,
1973-04,225.971,,1123.433,,-897.462,,168.276,,135.553,,496.556,,164.700,,63.579,,-328.280,,57.695,,626.877,,500.000,,500.000,,8.792,,-569.182,
1973-05,219.097,,1561.498,,-1342.401,,146.762,,114.040,,791.908,,367.800,,99.807,,-645.146,,72.335,,769.590,,650.000,,650.000,,7.578,,-697.255,
1973-06,297.243,,1694.591,,-1397.348,,245.829,,212.106,,922.144,,265.800,,180.807,,-676.315,,51.414,,772.447,,650.000,,650.000,,7.717,,-721.033,
1973-07,319.957,,1719.536,,-1399.579,,265.254,,228.117,,871.255,,439.800,,80.160,,-606.001,,54.703,,848.281,,700.000,,700.000,,8.536,,-793.578,
1973-08,162.688,,1581.730,,-1419.042,,103.290,,65.777,,664.457,,158.700,,72.241,,-561.167,,59.398,,917.273,,800.000,,800.000,,8.000,,-857.875,
1973-09,201.063,,1345.541,,-1144.478,,137.958,,100.443,,532.244,,-,Nothing exists,189.309,,-394.286,,63.105,,813.297,,700.000,,700.000,,8.253,,-750.192,
1973-10,270.291,,1493.953,,-1223.662,,201.553,,164.041,,783.861,,191.900,,71.664,,-582.308,,68.738,,710.092,,600.000,,600.000,,8.036,,-641.354,
1973-11,214.422,,1227.071,,-1012.649,,137.746,,99.232,,500.678,,8.800,,97.281,,-362.932,,76.676,,726.393,,600.000,,600.000,,7.681,,-649.717,
1973-12,455.108,,1632.032,,-1176.924,,338.939,,301.426,,807.895,,196.300,,203.910,,-468.956,,116.169,,824.137,,700.000,,700.000,,8.820,,-707.968,
1974-01,328.527,,1513.789,,-1185.262,,263.031,,191.867,,840.984,,150.200,,86.008,,-577.953,,65.496,,672.805,,550.000,,550.000,,8.232,,-607.309,
1974-02,264.153,,1308.172,,-1044.019,,197.708,,163.543,,609.039,,72.900,,79.601,,-411.331,,66.445,,699.133,,550.000,,550.000,,8.824,,-632.688,
1974-03,294.614,,1404.545,,-1109.931,,207.027,,89.263,,631.669,,94.300,,226.183,,-424.642,,87.587,,772.876,,600.000,,600.000,,8.861,,-685.289,
1974-04,388.392,,1274.279,,-885.887,,312.585,,278.421,,493.668,,94.100,,69.022,,-181.083,,75.807,,780.611,,650.000,,650.000,,7.320,,-704.804,
1974-05,399.300,,1403.560,,-1004.260,,319.938,,285.773,,624.904,,109.900,,120.400,,-304.966,,79.362,,778.656,,650.000,,650.000,,8.133,,-699.294,
1974-06,313.565,,1555.317,,-1241.752,,226.356,,146.092,,712.329,,-,Nothing exists,206.122,,-485.973,,87.209,,842.988,,700.000,,700.000,,8.904,,-755.779,
1974-07,533.781,,1546.612,,-1012.831,,427.026,,387.449,,604.375,,-,Nothing exists,99.858,,-177.349,,106.755,,942.237,,800.000,,800.000,,9.309,,-835.482,
1974-08,405.519,,1747.568,,-1342.049,,335.053,,295.477,,695.515,,199.700,,101.712,,-360.462,,70.466,,1052.053,,850.000,,850.000,,8.596,,-981.587,
