"",BBFB1.Q.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
1994-07,-14.61,,22.25,,-20.81,,-0.12,,-15.93,
1994-10,-14.45,,20.64,,-20.84,,1.44,,-15.69,
1995-01,-12.25,,23.06,,-21.53,,-0.59,,-13.19,
1995-04,-12.72,,23.44,,-21.32,,-0.06,,-14.78,
1995-07,-10.38,,25.75,,-21.26,,-0.89,,-13.98,
1995-10,-11.42,,27.55,,-20.55,,-2.08,,-16.34,
1996-01,-7.32,,24.93,,-21.69,,3.25,,-13.81,
1996-04,-12.33,,25.58,,-21.85,,0.44,,-16.50,
1996-07,-4.88,,31.82,,-22.39,,-3.04,,-11.27,
1996-10,-1.83,,32.82,,-22.38,,1.82,,-14.09,
1997-01,-13.91,,25.61,,-23.06,,-0.92,,-15.54,
1997-04,-7.51,,31.80,,-23.24,,-2.21,,-13.86,
1997-07,-1.80,,36.07,,-21.82,,-1.05,,-15.00,
1997-10,3.51,,39.28,,-22.05,,-1.50,,-12.22,
1998-01,-9.84,,31.77,,-20.97,,-2.54,,-18.10,
1998-04,-5.76,,35.16,,-23.26,,-6.65,,-11.01,
1998-07,-7.30,,35.22,,-23.17,,-5.51,,-13.84,
1998-10,-7.89,,37.09,,-24.33,,-6.26,,-14.39,
1999-01,-10.16,,14.17,,-13.28,,-4.51,,-6.54,
1999-04,-5.10,,16.74,,-14.09,,-1.75,,-6.00,
1999-07,-8.23,,16.46,,-13.76,,-3.79,,-7.14,
1999-10,-6.89,,20.37,,-15.36,,-4.98,,-6.92,
2000-01,-6.81,,16.69,,-14.23,,-1.79,,-7.48,
2000-04,-7.83,,17.12,,-14.65,,-2.70,,-7.60,
2000-07,-13.10,,14.41,,-15.11,,-5.73,,-6.67,
2000-10,-11.62,,15.88,,-16.20,,-3.16,,-8.14,
2001-01,-7.33,,22.39,,-17.46,,-4.67,,-7.59,
2001-04,-7.36,,21.30,,-16.82,,-3.50,,-8.34,
2001-07,-0.43,,26.22,,-16.91,,-3.96,,-5.78,
2001-10,6.75,,32.01,,-14.17,,-3.74,,-7.35,
2002-01,6.70,,33.89,,-13.95,,-5.87,,-7.37,
2002-04,6.55,,33.93,,-12.77,,-5.20,,-9.41,
2002-07,13.99,,37.64,,-11.79,,-6.01,,-5.85,
2002-10,14.33,,37.79,,-10.28,,-6.60,,-6.58,
2003-01,1.67,,27.92,,-13.30,,-5.95,,-7.00,
2003-04,4.00,,29.98,,-11.36,,-5.91,,-8.71,
2003-07,12.01,,37.84,,-11.62,,-5.26,,-8.95,
2003-10,13.17,,35.42,,-10.90,,-4.74,,-6.61,
2004-01,20.98,,37.29,,-10.27,,1.25,,-7.29,
2004-04,28.53,,43.02,,-9.70,,3.42,,-8.21,
2004-07,24.25,,35.54,,-7.51,,4.75,,-8.53,
2004-10,25.97,,35.25,,-8.46,,4.85,,-5.67,
2005-01,27.21,,41.72,,-8.86,,3.12,,-8.77,
2005-04,24.45,,37.10,,-10.23,,5.52,,-7.94,
2005-07,29.03,,41.01,,-8.96,,5.00,,-8.02,
2005-10,24.92,,35.66,,-9.94,,5.22,,-6.02,
2006-01,27.75,,35.89,,-9.81,,8.27,,-6.60,
2006-04,32.02,,35.14,,-6.88,,11.00,,-7.24,
2006-07,34.61,,40.61,,-7.47,,10.67,,-9.20,
2006-10,43.25,,49.33,,-8.12,,9.68,,-7.64,
2007-01,39.86,,46.41,,-8.48,,10.50,,-8.57,
2007-04,44.43,,49.47,,-7.14,,9.83,,-7.73,
2007-07,44.48,,53.03,,-7.96,,8.12,,-8.71,
2007-10,44.08,,54.19,,-9.02,,7.92,,-9.01,
2008-01,41.83,,50.89,,-6.93,,5.85,,-7.98,
2008-04,39.54,,51.03,,-8.62,,5.34,,-8.21,
2008-07,32.63,,41.97,,-7.40,,6.70,,-8.64,
2008-10,29.11,,38.49,,-5.84,,7.49,,-11.03,
2009-01,26.51,,25.94,,-4.09,,12.42,,-7.76,
2009-04,33.00,,33.68,,-4.14,,11.96,,-8.50,
2009-07,38.38,,35.69,,-4.42,,15.48,,-8.37,
2009-10,42.60,,44.13,,-4.34,,14.91,,-12.10,
2010-01,34.04,,36.58,,-5.17,,12.06,,-9.43,
2010-04,33.54,,37.20,,-7.04,,12.28,,-8.90,
2010-07,34.50,,39.91,,-6.08,,11.58,,-10.91,
2010-10,39.06,,43.79,,-7.21,,13.05,,-10.57,
2011-01,39.65,,40.10,,-6.68,,15.33,,-9.10,
2011-04,38.52,,37.96,,-8.05,,17.06,,-8.45,
2011-07,42.21,,40.70,,-8.00,,18.92,,-9.41,
2011-10,43.82,,41.33,,-6.72,,17.80,,-8.59,
2012-01,45.48,,47.82,,-7.83,,15.80,,-10.31,
2012-04,49.39,,50.11,,-7.13,,15.92,,-9.51,
2012-07,52.18,,53.13,,-8.03,,16.01,,-8.93,
2012-10,48.66,,49.38,,-6.64,,16.23,,-10.31,
2013-01,42.79,,52.36,,-11.08,,12.60,,-11.09,
2013-04,45.37,,50.89,,-10.20,,16.07,,-11.39,
2013-07,43.62,,47.77,,-8.57,,14.38,,-9.96,
2013-10,52.99,,54.74,,-8.82,,16.18,,-9.11,
2014-01,48.98,,51.99,,-6.13,,13.36,,-10.24,
2014-04,48.39,,52.45,,-5.71,,13.82,,-12.17,
2014-07,56.01,,56.06,,-6.77,,14.96,,-8.24,
2014-10,59.63,,60.85,,-6.63,,15.05,,-9.64,
2015-01,61.07,,59.74,,-4.22,,17.19,,-11.64,
2015-04,63.19,,63.97,,-4.06,,13.40,,-10.12,
2015-07,68.89,,61.00,,-4.75,,20.07,,-7.43,
2015-10,68.28,,61.45,,-5.70,,19.56,,-7.03,
2016-01,67.56,,61.86,,-4.81,,19.88,,-9.37,
2016-04,69.43,,67.24,,-6.11,,17.03,,-8.73,
2016-07,62.92,,62.13,,-5.15,,18.33,,-12.39,
2016-10,62.65,,58.33,,-4.01,,19.30,,-10.97,
2017-01,63.25,,61.43,,-5.11,,17.63,,-10.70,
2017-04,55.31,,63.38,,-7.41,,16.95,,-17.61,
2017-07,68.09,,66.31,,-5.52,,19.15,,-11.85,
2017-10,67.80,,65.17,,-6.09,,20.28,,-11.56,
2018-01,72.67,,64.73,,-4.19,,23.20,,-11.07,
2018-04,72.44,,61.87,,-4.40,,25.57,,-10.60,
2018-07,62.08,,51.23,,-4.59,,28.37,,-12.93,
2018-10,60.42,,49.42,,-4.34,,29.58,,-14.24,
2019-01,68.83,,56.25,,-4.00,,28.88,,-12.30,
2019-04,63.78,,51.02,,-4.58,,29.28,,-11.94,
2019-07,67.88,,56.83,,-4.53,,28.55,,-12.97,
2019-10,64.56,,54.78,,-6.52,,26.94,,-10.64,
2020-01,59.40,,52.05,,-6.00,,24.22,,-10.87,
2020-04,40.12,,26.52,,4.82,,22.40,,-13.62,
2020-07,62.17,,54.28,,-1.36,,20.24,,-10.99,
2020-10,67.14,,54.57,,5.15,,22.97,,-15.55,
2021-01,69.05,,55.60,,4.35,,24.99,,-15.89,
2021-04,58.86,,43.13,,3.64,,25.45,,-13.36,
