2015=100
Exp or Imp,Year,Indexes Area,Commodity,,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Summary Indexes,,,,,,,,,,,,,,,,,
1,2016,WORLD,"Total",Value Index,92.62,84.91,90.49,102.47,93.46,80.81,95.62,90.91,84.37,94.72,93.16,94.52,105.99
1,2016,WORLD,"Total",Unit Index,92.17,98.04,94.5,94,92.44,89.94,91.63,89.38,90.57,89.09,90.03,91.14,95.54
1,2016,WORLD,"Total",Quantum Index,100.48,86.6,95.75,109,101.1,89.84,104.35,101.7,93.15,106.32,103.47,103.71,110.94
1,2016,WORLD,"*Raw Materials",Value Index,83.26,73.99,77.83,90.23,94.78,87.36,91.4,78.21,72.77,72.74,73.55,80.68,105.62
1,2016,WORLD,"*Raw Materials",Unit Index,86.29,89.99,85.8,82.99,89.24,86.26,90.4,88.03,83.8,82.12,82.9,83.07,90.32
1,2016,WORLD,"*Raw Materials",Quantum Index,96.49,82.22,90.71,108.72,106.2,101.27,101.1,88.85,86.83,88.58,88.72,97.11,116.94
1,2016,WORLD,"*Manufs",Value Index,93.07,85.27,90.85,103.21,93.87,80.65,95.92,91.89,84.48,95.51,93.62,95.03,106.58
1,2016,WORLD,"*Manufs",Unit Index,92.53,98.5,95.09,94.65,92.9,90.3,91.86,89.58,90.97,89.43,90.32,91.36,95.69
1,2016,WORLD,"*Manufs",Quantum Index,100.59,86.57,95.54,109.04,101.04,89.3,104.41,102.58,92.86,106.8,103.65,104.01,111.38
1,2016,WORLD,"Food-stuff",Value Index,101.44,88.79,83.12,102.78,105.64,90.18,104.38,95.04,91.48,103.74,108.34,106.9,136.88
1,2016,WORLD,"Food-stuff",Unit Index,104.26,118.58,101.31,97.55,99.11,97.03,97.44,98.71,102.15,106.69,104.78,111.81,115.21
1,2016,WORLD,"Food-stuff",Quantum Index,97.29,74.88,82.04,105.36,106.59,92.94,107.12,96.28,89.55,97.23,103.4,95.61,118.8
1,2016,WORLD," Fish & Shellfish",Value Index,95.66,78.43,73.25,96.53,99.22,87.87,98.62,86.51,90.11,99.94,97.65,100.05,139.72
1,2016,WORLD," Fish & Shellfish",Unit Index,105.99,139.58,100.59,87.41,94.37,91.11,89.97,92.76,102.94,114.07,109.75,123.25,128.95
1,2016,WORLD," Fish & Shellfish",Quantum Index,90.24,56.19,72.82,110.43,105.13,96.44,109.62,93.26,87.53,87.61,88.97,81.17,108.35
1,2016,WORLD,"Textiles",Value Index,87.61,75.6,84.36,98.7,97.33,83.05,92.02,87.83,77.4,81.85,88.15,85.04,99.94
1,2016,WORLD,"Textiles",Unit Index,93.44,100.62,96.19,97.15,93.33,93.36,94.1,90.73,90.3,88.41,89.98,92.07,95.45
1,2016,WORLD,"Textiles",Quantum Index,93.75,75.13,87.7,101.6,104.27,88.95,97.78,96.8,85.72,92.57,97.96,92.36,104.7
1,2016,WORLD," Textile Materials",Value Index,59.96,69.86,53.93,80.14,77.96,64.63,62.61,50.95,46.62,53.45,48.39,51.87,59.17
1,2016,WORLD," Textile Materials",Unit Index,86.77,99.53,88.83,87.44,89.66,86.09,85.53,81.68,82.73,82,82.73,84.74,88.86
1,2016,WORLD," Textile Materials",Quantum Index,69.1,70.19,60.71,91.65,86.95,75.07,73.19,62.37,56.34,65.18,58.49,61.21,66.58
1,2016,WORLD," Textile Yarn & Fabrics",Value Index,93.21,74.73,89.64,102.37,103.36,87.97,99.27,94.82,81.42,86.43,96.59,92.54,109.35
1,2016,WORLD," Textile Yarn & Fabrics",Unit Index,94.31,100.2,96.62,98.69,94.15,94.27,95.16,91.58,91.25,89.28,91.29,93.39,96.37
1,2016,WORLD," Textile Yarn & Fabrics",Quantum Index,98.82,74.58,92.77,103.73,109.78,93.32,104.31,103.53,89.22,96.8,105.8,99.08,113.46
1,2016,WORLD," Textile Yarn",Value Index,89.9,87.06,88.09,101.12,102.95,84.87,88.23,87.79,82.24,88.08,85.07,87.5,95.86
1,2016,WORLD," Textile Yarn",Unit Index,91.48,95.8,94.79,91.64,90.78,90.56,91.78,88.96,89.84,87.83,90.24,91.05,94.54
1,2016,WORLD," Textile Yarn",Quantum Index,98.28,90.88,92.93,110.34,113.4,93.71,96.12,98.68,91.53,100.28,94.26,96.1,101.39
1,2016,WORLD," Fabric Woolen",Value Index,91.33,68.2,87.83,98.19,102.08,87.32,100.81,96.22,76.01,80.16,95.69,92.69,110.73
1,2016,WORLD," Fabric Woolen",Unit Index,95.31,101.99,97.49,99.22,94.34,94.66,96.09,92.74,92.59,89.63,91.77,95.91,97.93
1,2016,WORLD," Fabric Woolen",Quantum Index,95.82,66.87,90.08,98.96,108.2,92.24,104.9,103.75,82.09,89.43,104.26,96.63,113.07
1,2016,WORLD," Synthetic Fabrics",Value Index,93.48,69.91,92.14,103.58,104.3,89.97,101.87,92.46,70.73,78.82,95.9,96.18,125.86
1,2016,WORLD," Synthetic Fabrics",Unit Index,94.5,100.83,96.08,100,92.75,93.32,93.12,91.91,90.38,87.64,92.18,97.96,97.66
1,2016,WORLD," Synthetic Fabrics",Quantum Index,98.91,69.33,95.9,103.57,112.45,96.4,109.39,100.6,78.26,89.92,104.03,98.17,128.87
1,2016,WORLD," Clothing",Value Index,108.32,104.61,117.95,113.68,86.15,82.33,98.35,121.48,127.48,117.4,113.33,100.5,116.54
1,2016,WORLD," Clothing",Unit Index,101.07,108.35,109.31,107.63,94.08,104.26,105.03,103.22,97.93,94.93,92.96,95.61,101.73
1,2016,WORLD," Clothing",Quantum Index,107.16,96.55,107.9,105.61,91.56,78.96,93.63,117.69,130.16,123.66,121.9,105.11,114.55
1,2016,WORLD,"Chemicals",Value Index,91.79,90.55,89.27,98.42,96.66,84.36,90.99,89.83,85.37,86.77,90.74,92.15,106.38
1,2016,WORLD,"Chemicals",Unit Index,90.53,99.26,91.35,90.43,92.46,88.16,90.29,88.02,90.02,86.33,88.9,88.68,92.68
1,2016,WORLD,"Chemicals",Quantum Index,101.39,91.23,97.72,108.84,104.54,95.69,100.78,102.06,94.83,100.51,102.06,103.91,114.78
1,2016,WORLD," Organic Chemicals",Value Index,79.45,89.72,81.67,88.18,87.54,77.79,77.02,72.91,70.2,68.22,72.38,78.41,89.38
1,2016,WORLD," Organic Chemicals",Unit Index,84.22,94.72,84.57,85.31,87.43,83.29,84.59,81.72,80.1,78.68,80.95,83.41,84.96
1,2016,WORLD," Organic Chemicals",Quantum Index,94.33,94.71,96.57,103.35,100.12,93.39,91.04,89.21,87.64,86.7,89.41,94,105.21
1,2016,WORLD," Inorganic Chemicals",Value Index,96.61,98.99,99.24,104.67,95.97,85.89,91.25,91.55,93.24,95.91,94.78,96.38,111.47
1,2016,WORLD," Inorganic Chemicals",Unit Index,95.71,102.12,97.63,96.2,91.6,92.81,93.01,90.83,92.17,95.92,97.2,95.16,103.55
1,2016,WORLD," Inorganic Chemicals",Quantum Index,100.94,96.93,101.64,108.8,104.76,92.54,98.1,100.79,101.16,99.98,97.51,101.27,107.65
1,2016,WORLD," Dyeing Tanning,Colouring",Value Index,97.72,87.21,91.07,99.32,103.17,83.71,95.9,101.48,95.07,99.06,100.43,99.88,116.4
1,2016,WORLD," Dyeing Tanning,Colouring",Unit Index,92.75,100.92,91.51,88.02,94.18,90.42,90.58,92.45,96.85,91.44,90.75,93.48,93.21
1,2016,WORLD," Dyeing Tanning,Colouring",Quantum Index,105.36,86.41,99.52,112.83,109.54,92.58,105.87,109.77,98.15,108.34,110.66,106.83,124.87
1,2016,WORLD," Medical Products",Value Index,106.01,101.5,101.69,131.8,113.37,93.41,113.77,113.11,99.6,83.62,99.61,103.98,116.66
1,2016,WORLD," Medical Products",Unit Index,100.61,100.7,104.13,111.96,107.01,102.55,103.88,95.31,106.49,77.7,99.84,85.32,113.88
1,2016,WORLD," Medical Products",Quantum Index,105.36,100.79,97.64,117.72,105.94,91.09,109.51,118.68,93.53,107.62,99.77,121.86,102.43
1,2016,WORLD," Plastic Materials",Value Index,92.94,85.27,87.62,95.6,95.68,84.91,92.96,93.4,87.92,92.92,94.9,93.8,110.24
1,2016,WORLD," Plastic Materials",Unit Index,91.84,99.12,92.32,91.33,91.99,90.9,91.7,89.93,91.57,89.86,89.34,89.21,95.25
1,2016,WORLD," Plastic Materials",Quantum Index,101.19,86.02,94.9,104.67,104.01,93.4,101.36,103.85,96.02,103.4,106.21,105.14,115.73
1,2016,WORLD,"Non-Mtl.Min.Manufs",Value Index,92.6,85.02,97.06,95.34,94.62,83.41,102.35,90.83,83.86,96.49,89.52,92.48,100.27
1,2016,WORLD,"Non-Mtl.Min.Manufs",Unit Index,93.55,100.39,96.74,93.58,96.35,93.51,93.16,91.45,92.72,90.59,100.72,84.77,91.26
1,2016,WORLD,"Non-Mtl.Min.Manufs",Quantum Index,98.99,84.69,100.33,101.88,98.2,89.2,109.86,99.32,90.44,106.5,88.88,109.09,109.86
1,2016,WORLD," Glass & Glassware",Value Index,95.73,89.78,92.39,98.7,103.05,88.57,99.41,96.73,88.93,94,97.4,94.91,104.87
1,2016,WORLD," Glass & Glassware",Unit Index,92.44,97.63,98.45,103.16,99.55,96.7,97.72,93.06,94.31,93.5,92.63,72.41,81.44
1,2016,WORLD," Glass & Glassware",Quantum Index,103.55,91.95,93.83,95.67,103.52,91.59,101.73,103.93,94.28,100.53,105.14,131.07,128.77
1,2016,WORLD,"Metals",Value Index,82.65,78.27,83.62,90.6,80.68,77.9,84.99,83.07,80.83,80.1,80.13,79.42,92.18
1,2016,WORLD,"Metals",Unit Index,84.33,88.52,85.89,84.78,83.81,84.14,84.64,82.37,83.62,80.06,81.04,84.3,89.01
1,2016,WORLD,"Metals",Quantum Index,98,88.42,97.36,106.87,96.27,92.58,100.4,100.84,96.66,100.05,98.87,94.21,103.55
1,2016,WORLD," Iron & Steel & Products",Value Index,77.51,75.61,78.81,86.19,71.71,75.25,75.99,79.73,76.29,74.75,75.58,74.28,85.87
1,2016,WORLD," Iron & Steel & Products",Unit Index,80.38,85.45,83.02,80.79,80.66,78.58,79.43,79.02,79.65,75.78,77.3,80.52,84.64
1,2016,WORLD," Iron & Steel & Products",Quantum Index,96.42,88.48,94.93,106.68,88.9,95.77,95.67,100.9,95.78,98.64,97.77,92.25,101.45
1,2016,WORLD," Iron & Steel wire bars,rods,shapes & sections",Value Index,80.75,76.83,83.83,91.94,84.13,78.67,84.03,85.11,74.42,73.9,80.09,73.08,82.97
1,2016,WORLD," Iron & Steel wire bars,rods,shapes & sections",Unit Index,85.11,92.31,89.09,86.62,85.02,84.39,84.66,83.45,82.7,82.09,81.01,83.23,87.04
1,2016,WORLD," Iron & Steel wire bars,rods,shapes & sections",Quantum Index,94.88,83.23,94.1,106.14,98.95,93.22,99.25,101.98,89.99,90.03,98.86,87.81,95.33
1,2016,WORLD," Flat-rolled products of iron on steel",Value Index,80,77.06,77.92,87.5,73.33,77.36,78.99,83.26,84.46,78.43,78.48,76.1,87.14
1,2016,WORLD," Flat-rolled products of iron on steel",Unit Index,79.22,83.51,81.34,78.49,78.35,76.25,78.02,77.52,78.39,76.23,76.54,79.28,87.24
1,2016,WORLD," Flat-rolled products of iron on steel",Quantum Index,100.98,92.26,95.79,111.48,93.58,101.45,101.24,107.41,107.74,102.89,102.53,95.99,99.88
1,2016,WORLD," Those of other Alloy Steel",Value Index,85,84.53,87.55,97.41,77.36,80.67,84.12,84.86,90.33,85.4,81.6,80.1,86.1
