Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value
2,2010,60764956840,0,5199419836,2250378,1260182267,210308,181259628,2358775,966252027,26614831,721507530,2654098,368261993,2656430,350712660,0,4765880172,0,326779400,13975,1470412661,134317,1356576512,3455633,160581615,0,17397958076,214618,9405875538,0,1592852394,27950,1244332964,70008,3471846720,12144,779654285,184560,2110698929,101614,955635755,0,5379439398,0,1349574309,86949575,1522579493,0,5378596487,6925617,761758928,3254009,1606178963,0,761354171,0,623375349,0,540261001,0,579731142,0,4825707888,0,653339163,119724,1548034406,0,569821633,0,8101043018,0,2136035121,16649,1773224900,0,1626979036,29168,342879830,0,435701031,0,1252876528,0,415936392,0,1681355181,245857,595754569,0,487859182,0,367081541,0,8035556784,0,1281600596,0,2328311267,0,487464605,0,404235079
2,2011,68111187178,0,5854222060,2254535,1349681364,209949,185401152,2535947,1067205812,26216228,885026602,2919847,395121918,2703687,375590205,0,5270347292,0,347053373,11724,1338015067,128399,1707935796,2830773,144318024,0,21816149808,208872,11414740691,0,2226140582,28641,1533044007,78532,4787162723,12474,891531692,175239,2459154834,101184,1111052000,0,6097637754,0,1429507067,92262336,1725018841,0,6069199809,7975517,944570333,3387844,1812672539,0,819029421,0,727399482,0,572445335,0,642963769,0,4969742215,0,626703768,108149,1611602855,0,444538160,0,7988833365,0,1762236132,16162,1419189064,0,1452747972,28715,310965549,0,494433503,0,1575949151,0,431325772,0,1737576596,291306,735183094,0,471703294,0,289542063,0,8307478279,0,1279889373,0,2597568990,0,504742917,0,410282681
2,2012,70688631840,0,5852258718,2282761,1400214120,205315,180806912,2521845,1059887148,25622319,819894493,3054700,421607194,2780638,401926752,0,4768019558,0,323446299,13474,1292962684,131097,1526250979,2727341,144549876,0,24088213847,213018,12247216292,0,2461758127,27520,1487246574,87314,6003679569,13200,1021699902,185152,2320585633,107658,1147627242,0,5926316078,0,1397671522,95977753,1940705081,0,5507608243,7706984,806554885,3265042,1369541907,0,845117648,0,714389908,0,573804207,0,620639630,0,5003890618,0,674420671,105003,1648484092,0,430948075,0,8437813917,0,1779208929,16878,1379895143,0,1108761912,27139,251243239,0,461530049,0,2148743081,0,461175681,0,2311814541,352073,908210599,0,554910660,0,573814965,0,8792696320,0,1345718706,0,2680422551,0,560114451,0,458537000
2,(Ratio to PY),103.8,-,100.0,101.3,103.7,97.8,97.5,99.4,99.3,97.7,92.6,104.6,106.7,102.8,107.0,-,90.5,-,93.2,114.9,96.6,102.1,89.4,96.3,100.2,-,110.4,102.0,107.3,-,110.6,96.1,97.0,111.2,125.4,105.8,114.6,105.7,94.4,106.4,103.3,-,97.2,-,97.8,104.0,112.5,-,90.7,96.6,85.4,96.4,75.6,-,103.2,-,98.2,-,100.2,-,96.5,-,100.7,-,107.6,97.1,102.3,-,96.9,-,105.6,-,101.0,104.4,97.2,-,76.3,94.5,80.8,-,93.3,-,136.3,-,106.9,-,133.0,120.9,123.5,-,117.6,-,198.2,-,105.8,-,105.1,-,103.2,-,111.0,-,111.8
2,2009 (FY),53820851871,0,4973817711,2166606,1197598626,203990,171826430,2140213,876080721,26542161,734626556,2427390,345309543,2669356,346905363,0,3588866194,0,269692590,12560,1180645311,115194,812476389,3362097,163420045,0,15259513207,212698,8587446574,0,1337014965,26850,1064784166,66354,2855171701,11805,643803660,164775,1815794255,90946,828172953,0,4826022407,0,1280301428,84762391,1419444402,0,4521496572,4839940,500362206,2518151,1146086470,0,721798497,0,630990800,0,502482861,0,528552774,0,4316726104,0,667668310,114519,1352767485,0,514022385,0,7003653213,0,1919182012,14124,1638060006,0,1267016404,25966,303391383,0,388133924,0,1050267736,0,370111610,0,1502349441,163904,467136907,0,413379625,0,402468170,0,7828407022,0,1191729090,0,2296158533,0,466883161,0,390626424
2,2010 (FY),62456703759,0,5313864494,2239785,1285871396,211585,183827619,2419522,997697428,26182879,731996637,2779796,377586136,2686396,357299400,0,5053078792,0,339226486,13588,1488040160,133626,1513215451,3344420,158249075,0,18143792414,215013,9755883197,0,1707225502,28197,1290023399,70562,3549215813,12525,828348421,186637,2261523292,105012,1030958520,0,5465305021,0,1339825429,87617718,1523954309,0,5555382943,7271703,811382877,3289886,1673583523,0,773258259,0,647565554,0,551146475,0,595703820,0,4897092171,0,659182760,116758,1570347863,0,551873522,0,8208597048,0,2093028113,16797,1723166850,0,1676939434,29423,337126693,0,446936872,0,1344163999,0,411275856,0,1724317270,272658,642609576,0,487331676,0,359667401,0,8095273606,0,1273349278,0,2397536032,0,492300378,0,409229288
2,2011 (FY),69710574402,0,5948993108,2315747,1393504372,209178,186111376,2562550,1080264543,26453132,891608947,2940743,396427364,2723823,382141810,0,5208431356,0,346995254,12009,1293959952,128232,1745957333,2795171,138718573,0,23132072959,209839,11893779541,0,2347305043,27767,1504109303,83183,5404383719,12695,928013561,175379,2525025987,101723,1152934077,0,6117303288,0,1445726487,93455934,1769875074,0,6011432801,8093786,951644621,3401225,1708616745,0,821526781,0,730150765,0,568904248,0,654701277,0,4998046707,0,632724657,107258,1631956645,0,429378536,0,8033588782,0,1721605286,16059,1382484742,0,1338838531,27778,291847034,0,495117945,0,1716607364,0,443441862,0,1890111873,301357,781937136,0,488873861,0,372333447,0,8370593528,0,1275372181,0,2628895859,0,516662875,0,419375933
2,(Ratio to PY(FY)),111.6,-,112.0,103.4,108.4,98.9,101.2,105.9,108.3,101.0,121.8,105.8,105.0,101.4,107.0,-,103.1,-,102.3,88.4,87.0,96.0,115.4,83.6,87.7,-,127.5,97.6,121.9,-,137.5,98.5,116.6,117.9,152.3,101.4,112.0,94.0,111.7,96.9,111.8,-,111.9,-,107.9,106.7,116.1,-,108.2,111.3,117.3,103.4,102.1,-,106.2,-,112.8,-,103.2,-,109.9,-,102.1,-,96.0,91.9,103.9,-,77.8,-,97.9,-,82.3,95.6,80.2,-,79.8,94.4,86.6,-,110.8,-,127.7,-,107.8,-,109.6,110.5,121.7,-,100.3,-,103.5,-,103.4,-,100.2,-,109.6,-,104.9,-,102.5
2,2011 Oct.-Dec.,17509542396,0,1515389347,661894,396712087,66736,60667483,669114,281388947,6261899,207594643,736675,98421808,593862,85570364,0,1262145039,0,81416912,3357,296682443,31848,441295658,721201,34539580,0,5706916655,53746,2913427183,0,581509426,6995,354486895,20306,1354643103,3184,205821338,44177,641298702,25280,285103314,0,1499146066,0,335343899,22649012,446058220,0,1499100629,2274676,267620430,888242,391398505,0,206100275,0,186394502,0,146289210,0,154265964,0,1236938973,0,163058412,26590,403534571,0,106583568,0,2105946852,0,440245054,4567,350977302,0,346448644,7209,68981527,0,110209814,0,488174124,0,120255674,0,503015083,78126,216077491,0,138533518,0,95708296,0,2180943752,0,317949700,0,662573376,0,136718431,0,108764744
