Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value
2,2014,85909112733,0,6731849321,2095188,1524383061,167065,226202069,2614872,1335234301,24773463,883327725,2824476,504901570,2440125,476323623,0,5589611739,0,430345564,12855,1536166661,136379,1683642016,2827681,193865484,0,27692447035,200137,13873424961,0,2707456263,28522,1949852344,88506,7850895605,11669,1086471635,188409,2085513089,108949,1121257898,0,6864204432,0,1549030851,96414560,2213970611,0,6993690758,8914576,985949206,3418233,1692176630,0,1181411469,0,932335347,0,739821055,0,790764489,0,6760989093,0,970566829,102540,2121912528,0,496258135,0,11532497602,0,2871036808,18687,1764610363,0,1232362428,23880,284642537,0,629051949,0,2865193336,0,645447326,0,3056272966,356429,1162333056,0,814781029,0,726453377,0,10687549787,0,1569250742,0,3260232535,0,741395578,0,551614450
2,2015,78405535793,0,7002103079,2130814,1575287076,157368,207051224,2585254,1380786800,24009659,871060809,2727331,546739800,2405788,534245431,0,4853074995,0,395731041,12304,1380933086,130955,1124317166,3242619,206220864,0,18218145636,195499,8184754689,0,1821589137,30239,1346491033,85044,5514120576,10986,650655255,190645,1974299625,113841,1095659284,0,7747872741,0,1649859656,95377189,2924115850,0,7039003837,7681849,843638656,3085909,1682679747,0,1280547781,0,977520840,0,766609581,0,800490914,0,7068460484,0,1133952929,84544,1972705397,0,498152672,0,12014478632,0,2996219878,20544,2038879007,0,1220806572,24057,278063380,0,646100443,0,2932768944,0,711977971,0,3126260712,339547,1139760882,0,877038367,0,740346264,0,11336135677,0,1680791829,0,3415378073,0,777522249,0,589895389
2,2016,66041973885,0,6362881719,2086980,1480018842,167374,198719943,2702123,1290124113,24422113,713543616,2778998,503199483,2450828,493687720,0,4012118680,0,367281761,11678,1183202146,130018,801385838,3131329,166041815,0,12052006637,194610,5531893663,0,1074397583,26296,824693959,83340,3281622171,10900,447490756,189732,1665165947,109792,880068162,0,7110823082,0,1505164925,99608362,2780237767,0,6067798383,7774841,706191245,3078308,1344036009,0,1125790485,0,874728102,0,683980110,0,717682504,0,6357392678,0,1161100477,83430,1723671934,0,454690954,0,10791942078,0,2514630221,18805,1834269879,0,1088975561,25016,246323318,0,568256278,0,2722392346,0,651697725,0,3094044741,351384,1178053412,0,832938080,0,728327140,0,10192965887,0,1556253182,0,2997806809,0,708907483,0,557367364
2,(Ratio to PY),84.2,-,90.9,97.9,94.0,106.4,96.0,104.5,93.4,101.7,81.9,101.9,92.0,101.9,92.4,-,82.7,-,92.8,94.9,85.7,99.3,71.3,96.6,80.5,-,66.2,99.5,67.6,-,59.0,87.0,61.2,98.0,59.5,99.2,68.8,99.5,84.3,96.4,80.3,-,91.8,-,91.2,104.4,95.1,-,86.2,101.2,83.7,99.8,79.9,-,87.9,-,89.5,-,89.2,-,89.7,-,89.9,-,102.4,98.7,87.4,-,91.3,-,89.8,-,83.9,91.5,90.0,-,89.2,104.0,88.6,-,88.0,-,92.8,-,91.5,-,99.0,103.5,103.4,-,95.0,-,98.4,-,89.9,-,92.6,-,87.8,-,91.2,-,94.5
2,2013 (FY),84612856114,0,6514051784,2104881,1486086717,190023,232853023,2502935,1185509425,25012820,930959511,2929175,499852788,2557831,462388739,0,5531141728,0,482077050,13198,1413159898,136542,1775045278,2851221,192304099,0,28413078810,214182,14826428941,0,2712320469,28157,1866689594,87731,7342443798,12004,1118504971,195589,2343458648,111451,1202299529,0,6613621548,0,1511028543,97573916,2155817821,0,6576823746,8186673,887430852,3122550,1590726606,0,1068044983,0,888932184,0,719022434,0,776729939,0,6399177664,0,899113286,112163,2067934028,0,525243082,0,10971371310,0,2684711916,17017,1710974549,0,1245245894,24394,293883621,0,576287139,0,2771234020,0,589433405,0,3019375384,375815,1165752287,0,761747741,0,743273042,0,10574214140,0,1529960268,0,3317522546,0,716271097,0,539044391
2,2014 (FY),83794784329,0,6856615801,2110144,1541112521,158007,217128518,2606547,1373055177,24547008,900476473,2739978,508285716,2433024,487840260,0,5531502795,0,413015094,12458,1559534437,136784,1584851664,2967633,202365982,0,25098826232,193548,11860470123,0,2416097513,28504,1767470044,89071,7754668183,11673,940574004,187692,2040355526,110238,1115017945,0,6982770071,0,1572386008,96676868,2278260180,0,7087353381,8372514,954648026,3459141,1753921908,0,1222665185,0,948066107,0,743234844,0,788686097,0,6785934820,0,1020435921,92772,2025936226,0,481809205,0,11608300688,0,2911042685,19121,1811017946,0,1216669444,23324,284026974,0,644448823,0,2861614284,0,659146374,0,3025798501,342825,1129050089,0,831986536,0,712433929,0,10817682040,0,1589894006,0,3324505982,0,746074937,0,556160992
2,2015 (FY),75220367985,0,6894751562,2135738,1569601528,162077,208161523,2643035,1370411301,24232388,835418921,2696572,541079419,2443459,539116053,0,4566599331,0,393998365,12307,1303128652,129476,992201037,3155714,191429711,0,16060736051,198993,7367855652,0,1643517715,30433,1261979444,83571,4544781695,10913,577912057,191550,1864465413,112022,1018977572,0,7782581637,0,1629985741,96174509,3052529713,0,6820109189,7727632,805473053,2974485,1562580259,0,1251556729,0,965142205,0,764475217,0,796375743,0,6971408877,0,1152093766,83679,1931185082,0,489271598,0,11798467846,0,2880923942,20220,2025234452,0,1192271290,24208,267986050,0,630102491,0,2911108409,0,707186788,0,3090620155,336926,1127764532,0,869348883,0,726334671,0,11235093337,0,1663091817,0,3382289895,0,773952930,0,593671235
2,(Ratio to PY(FY)),89.8,-,100.6,101.2,101.8,102.6,95.9,101.4,99.8,98.7,92.8,98.4,106.5,100.4,110.5,-,82.6,-,95.4,98.8,83.6,94.7,62.6,106.3,94.6,-,64.0,102.8,62.1,-,68.0,106.8,71.4,93.8,58.6,93.5,61.4,102.1,91.4,101.6,91.4,-,111.5,-,103.7,99.5,134.0,-,96.2,92.3,84.4,86.0,89.1,-,102.4,-,101.8,-,102.9,-,101.0,-,102.7,-,112.9,90.2,95.3,-,101.5,-,101.6,-,99.0,105.7,111.8,-,98.0,103.8,94.4,-,97.8,-,101.7,-,107.3,-,102.1,98.3,99.9,-,104.5,-,102.0,-,103.9,-,104.6,-,101.7,-,103.7,-,106.7
2,2015 Oct.-Dec.,19001614363,0,1786489066,592335,436163719,50067,63226597,678112,353802350,6077035,209688682,644603,134374162,538712,121070551,0,1051461271,0,96518328,2904,252371105,34228,246036997,794381,45544160,0,3900472936,48614,1713609590,0,397317991,7814,308182575,20828,1170231302,2788,147311750,48100,453217587,29325,260031829,0,2029724582,0,379249666,24456209,889863713,0,1686767141,1986528,198014401,721173,377124044,0,308673387,0,251663924,0,188046627,0,198263715,0,1719328249,0,298542368,20849,477830129,0,122117952,0,3119751094,0,744515113,5064,523583734,0,317759708,6580,72230134,0,157365528,0,810111041,0,181371142,0,803303724,89350,302967644,0,227939558,0,182735686,0,2904316300,0,443732366,0,851975704,0,202308450,0,153162248
