Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value
2,2008,78954749926,0,6211827043,2298121,1452725992,202305,197513443,2309649,1073607235,26489736,1204943246,2427373,366119669,2631833,397727827,0,5538446888,0,426696693,14438,1659171171,140351,1368294910,3711043,244763605,0,27658249531,241766,16262038518,0,2378766000,25198,1692386934,69263,4652495060,13657,1207616625,191671,3050504010,97184,1257001219,0,5737358413,0,1528198424,84399887,1142371602,0,7336283725,7726580,1188809116,3681511,2531307906,0,959388343,0,711833100,0,684129533,0,722186943,0,6073878589,0,905706817,125869,1795504799,0,634800213,0,8628427004,0,2479057762,16374,2129821723,0,1379789937,24562,322738590,0,560585085,0,1119227242,0,512095516,0,2316078602,248893,749850921,0,666173890,0,586973325,0,9454200131,0,1467618679,0,2643130438,0,577530297,0,481258146
2,2009,51499377779,0,4999394466,2169250,1207670665,202646,172007272,2150402,893856836,26014085,734673557,2357730,334620488,2702441,350729917,0,3395106904,0,282461127,12001,1051455575,105471,810964172,3390080,163314533,0,14201601552,213000,7563768382,0,1145132945,24959,880853813,64552,2827247628,12248,591568076,161811,2056908542,91796,931196532,0,4582629904,0,1230233759,84296453,1328600717,0,4344552474,4393415,497117540,2324195,1012683960,0,725431496,0,624454430,0,489300519,0,519655130,0,4224793128,0,672191496,107886,1307236285,0,483522682,0,6508730957,0,1758219033,12658,1509813671,0,1127965907,23651,269216740,0,380091586,0,1006598269,0,345772334,0,1500661921,158603,454948288,0,369594567,0,447682243,0,7741906473,0,1115701933,0,2358346702,0,461939346,0,401658719
2,2010,60764956840,0,5199419836,2250378,1260182267,210308,181259628,2358775,966252027,26614831,721507530,2654098,368261993,2656430,350712660,0,4765880172,0,326779400,13975,1470412661,134317,1356576512,3455633,160581615,0,17397958076,214618,9405875538,0,1592852394,27950,1244332964,70008,3471846720,12144,779654285,184560,2110698929,101614,955635755,0,5379439398,0,1349574309,86949575,1522579493,0,5378596487,6925617,761758928,3254009,1606178963,0,761354171,0,623375349,0,540261001,0,579731142,0,4825707888,0,653339163,119724,1548034406,0,569821633,0,8101043018,0,2136035121,16649,1773224900,0,1626979036,29168,342879830,0,435701031,0,1252876528,0,415936392,0,1681355181,245857,595754569,0,487859182,0,367081541,0,8035556784,0,1281600596,0,2328311267,0,487464605,0,404235079
2,(Ratio to PY),118.0,-,104.0,103.7,104.3,103.8,105.4,109.7,108.1,102.3,98.2,112.6,110.1,98.3,100.0,-,140.4,-,115.7,116.5,139.8,127.4,167.3,101.9,98.3,-,122.5,100.8,124.4,-,139.1,112.0,141.3,108.5,122.8,99.1,131.8,114.1,102.6,110.7,102.6,-,117.4,-,109.7,103.1,114.6,-,123.8,157.6,153.2,140.0,158.6,-,105.0,-,99.8,-,110.4,-,111.6,-,114.2,-,97.2,111.0,118.4,-,117.8,-,124.5,-,121.5,131.5,117.4,-,144.2,123.3,127.4,-,114.6,-,124.5,-,120.3,-,112.0,155.0,130.9,-,132.0,-,82.0,-,103.8,-,114.9,-,98.7,-,105.5,-,100.6
2,2007 (FY),74958073268,0,6038211792,2342011,1479818030,215240,221466861,2236266,1017444679,26492347,968627071,2607948,403444358,2619733,413413607,0,5621275715,0,503110010,14702,2062516738,140694,1069515141,4045268,208477342,0,22244065922,243068,13693224328,0,2120360829,27579,1644621141,68306,3474897716,13736,1094470100,187588,1783509995,95983,840053839,0,5517689015,0,1478092316,79799404,1091451660,0,7332458426,7868824,964723704,3697821,2618637421,0,990787967,0,731081693,0,715367546,0,768353161,0,6461220944,0,957637751,126793,1851658461,0,757496291,0,9306002038,0,2814723926,17328,2455900073,0,1488511666,25153,370228226,0,579044258,0,1132276708,0,576612691,0,2580339767,296492,919878805,0,665396546,0,698445855,0,9856809649,0,1584575474,0,2747828724,0,615556039,0,512316966
2,2008 (FY),71910441654,0,5991819718,2255445,1386299124,202688,193339329,2320810,1070579963,26001869,1113155017,2397188,357088712,2691323,390815222,0,5037255012,0,415153386,13527,1421958401,128445,1327799894,3628635,226309054,0,24482197857,232989,13639520230,0,2001379495,23331,1383660468,68135,4498022756,13243,994144771,185514,3255192871,96509,1324199090,0,5408045697,0,1424337662,85491574,1177162711,0,6688242527,7017592,1121766914,3312485,2147252362,0,914467048,0,682983887,0,625597325,0,680134506,0,5540237033,0,832122120,117495,1636595577,0,574017865,0,7738278811,0,2132821528,14415,1828175404,0,1236243420,23168,285345502,0,518704628,0,1044433410,0,458089808,0,2038691027,227810,658571155,0,558727588,0,534772188,0,8985673972,0,1354657755,0,2624401117,0,540159361,0,463811748
2,2009 (FY),53820851871,0,4973817711,2166606,1197598626,203990,171826430,2140213,876080721,26542161,734626556,2427390,345309543,2669356,346905363,0,3588866194,0,269692590,12560,1180645311,115194,812476389,3362097,163420045,0,15259513207,212698,8587446574,0,1337014965,26850,1064784166,66354,2855171701,11805,643803660,164775,1815794255,90946,828172953,0,4826022407,0,1280301428,84762391,1419444402,0,4521496572,4839940,500362206,2518151,1146086470,0,721798497,0,630990800,0,502482861,0,528552774,0,4316726104,0,667668310,114519,1352767485,0,514022385,0,7003653213,0,1919182012,14124,1638060006,0,1267016404,25966,303391383,0,388133924,0,1050267736,0,370111610,0,1502349441,163904,467136907,0,413379625,0,402468170,0,7828407022,0,1191729090,0,2296158533,0,466883161,0,390626424
2,(Ratio to PY(FY)),74.8,-,83.0,96.1,86.4,100.6,88.9,92.2,81.8,102.1,66.0,101.3,96.7,99.2,88.8,-,71.2,-,65.0,92.8,83.0,89.7,61.2,92.7,72.2,-,62.3,91.3,63.0,-,66.8,115.1,77.0,97.4,63.5,89.1,64.8,88.8,55.8,94.2,62.5,-,89.2,-,89.9,99.1,120.6,-,67.6,69.0,44.6,76.0,53.4,-,78.9,-,92.4,-,80.3,-,77.7,-,77.9,-,80.2,97.5,82.7,-,89.5,-,90.5,-,90.0,98.0,89.6,-,102.5,112.1,106.3,-,74.8,-,100.6,-,80.8,-,73.7,71.9,70.9,-,74.0,-,75.3,-,87.1,-,88.0,-,87.5,-,86.4,-,84.2
2,2009 Oct.-Dec.,14000313794,0,1248944064,584273,314755670,59103,49522795,549775,219077867,6688540,175336433,596119,84002611,575079,74270475,0,909898157,0,64806665,3203,287669365,33123,216956618,763286,35675312,0,4005422101,54774,2319052486,0,349716896,7140,291326387,16464,729724164,3127,178316452,43988,423122180,24616,205764265,0,1226753068,0,314526775,21274856,378853990,0,1208189091,1551863,145030673,730247,301085209,0,181726590,0,189460375,0,134115861,0,132245183,0,1069694167,0,161658486,29694,342359893,0,134829451,0,1853287497,0,478757104,3638,402553505,0,361473499,7507,85182920,0,101675643,0,275877633,0,97555433,0,456683349,50883,144487212,0,114391065,0,149193739,0,2021442300,0,293842628,0,566985167,0,121339723,0,99078268
