Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, INSULATED WIRE AND CABLE,, AUDIO AND VISUAL APPARATUS,, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, (TELEPHONE SETS),, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,TNO  ,Value, MT  ,Value,     ,Value,     ,Value,MNO  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value
2,2021 Apr.-Jun.,20281387365,0,1898778486,490411,366615453,777598,399282391,6018699,245700272,726639,136332539,773326,172746600,0,1766650854,0,89504998,2626,493980967,29691,493018257,939222,65321866,0,3438953451,32443,1493814285,0,516636812,9043,425187272,15634,752636891,2353,150151811,39994,490760006,23077,271303365,0,2458280514,0,467621692,24673705,1077754164,0,2104403006,1778199,246137461,835513,768314003,0,331790571,0,247096146,0,175150989,0,178921014,0,1906449133,91028,251097902,25513,567119767,23296,106552861,0,3272044237,0,778878809,6421,634174224,93036,220799130,0,344790864,0,184577223,0,784974225,8879133,459787775,0,163995034,0,840403025,100696,400438865,0,194607050,0,132148673,0,2595424659,0,453528246,0,620719283,457633,217214724,0,123632312
2,2021 Jul.-Sep.,21655752901,0,1907872453,454143,364130331,735125,411803217,6078182,274859216,670295,130536738,693119,148925894,0,1869266660,0,114998529,2860,556619875,28525,560831619,750651,55301582,0,4406041173,37410,1896382126,0,532512019,8324,436848196,17897,1041592129,2020,149328792,48096,759084059,30262,465689726,0,2620093226,0,447840136,25383186,1212085510,0,2097180602,1716470,275993887,758217,714198580,0,337176079,0,247969705,0,169584468,0,187902645,0,1919576134,96418,261220074,24424,556596905,23628,114403445,0,3331893967,0,895925812,6783,731317739,89771,224132130,0,317348198,0,181757285,0,734656325,8326160,422109781,0,179183324,0,721790592,71171,286586997,0,206723817,0,107567653,0,2782038094,0,481632648,0,761673696,394165,203717176,0,127658777
2,2021 Oct.-Dec.,24052189120,0,2019943062,529545,473672570,759778,428992726,5594483,259087602,687738,143638410,599729,128162657,0,1896465213,0,133742366,2775,490115406,28651,589250293,865472,63703047,0,5619363922,38427,2206917764,0,670269608,8347,493402709,17528,1408965672,2584,239223952,48237,1053751189,30378,619703584,0,2593256174,0,518223560,26598069,1013072973,0,2324770147,1907787,339459382,843275,801431523,0,354818396,0,270585799,0,174274874,0,218977331,0,1971040353,96119,273765359,24456,594149767,23465,128358898,0,3815717356,0,1005030683,6833,834043844,91415,243363575,0,368077221,0,201951550,0,943578156,9454581,580148409,0,187070354,0,921057219,77043,329544209,0,211529509,0,280088078,0,2890575674,0,498561341,0,754802410,413372,219455850,0,144948310
2,2022 Jan.-Mar.,25282365653,0,1980065586,439880,386552831,689196,395462633,6158935,318042807,677807,144260566,574851,130001823,0,1830218860,0,142899621,2577,550577789,26850,467230001,668652,50314092,0,6343655968,38775,2419570798,0,599854591,6565,417732159,20400,1801303485,3118,289554215,47481,1205154195,30565,685298297,0,3092996724,0,522410490,32122748,1467313176,0,2396368259,1773041,337337942,863020,845353847,0,353984650,0,269899419,0,179537695,0,239763664,0,2076284789,94297,254377783,24936,682847832,24423,124019677,0,3857129409,0,994808499,6487,817350274,93869,255460920,0,362296482,0,226180716,0,916336614,9713360,566519910,0,206241263,0,773800083,69173,309110008,0,228419705,0,124189682,0,2931845975,0,499298243,0,730073929,437377,232778354,0,155345922
2,(Ratio to ST),134.7,-,127.4,96.4,124.6,103.8,124.8,105.1,152.6,102.3,118.8,100.9,120.8,-,130.7,-,208.7,107.7,123.8,102.5,141.5,93.4,116.0,-,181.0,107.6,181.7,-,142.0,82.0,140.2,87.7,167.6,97.8,148.6,102.6,263.1,105.7,255.4,-,150.1,-,139.4,131.1,166.0,-,137.3,100.0,168.1,111.6,153.4,-,120.7,-,113.5,-,117.7,-,147.3,-,110.3,104.4,107.2,84.5,101.4,101.0,114.9,-,119.8,-,147.6,110.5,150.0,96.5,115.8,-,104.6,-,126.6,-,106.8,96.0,108.8,-,108.0,-,100.0,74.2,87.4,-,107.6,-,125.0,-,111.5,-,110.2,-,105.0,95.0,111.2,-,114.6
2,2021 Apr.,6953491434,0,668034148,173378,133228399,299641,150861952,2068870,81723972,256874,48965963,262749,57080282,0,598690959,0,28088320,858,166864516,10489,153618407,313962,21784222,0,1209677492,12924,590688900,0,173510380,3037,142436945,4975,221521428,835,54318380,13242,154562048,7652,84058032,0,790136646,0,144902520,8317103,343170323,0,705404710,684014,88314211,277598,239013976,0,113198721,0,86476107,0,63675144,0,60378487,0,634641998,29229,78908782,9608,200213494,7766,35267914,0,1138769748,0,272729829,2013,226603031,31947,74382098,0,119226808,0,65097695,0,294046574,3262825,190401626,0,55952765,0,286494439,29233,110377234,0,69951597,0,60771430,0,921641294,0,148548624,0,249814254,163898,76417729,0,44635469
2,2021 May.,6473520272,0,582690516,150465,112916867,234055,119323506,1881981,77212113,225906,42386374,244779,55186473,0,543842120,0,28159386,728,155377389,8989,150790323,298524,20185303,0,1061163027,9614,431508292,0,165407300,2960,137079774,4953,236149744,804,50326475,13650,165754771,7979,93331613,0,854760430,0,152613432,7866948,405834524,0,686838697,530382,74187408,259114,263824830,0,108365713,0,79244221,0,53230830,0,57726894,0,619004232,31204,75764216,8129,188200339,7431,33617546,0,1037297668,0,245105164,2244,199196565,29164,70189950,0,108470594,0,60208009,0,238226969,2777919,130107710,0,52335887,0,279973305,34595,149855949,0,59871045,0,39117668,0,807950277,0,147077895,0,183749569,147847,69745614,0,37575607
2,2021 Jun.,6854375659,0,648053822,166568,120470187,243902,129096933,2067848,86764187,243859,44980202,265798,60479845,0,624117775,0,33257292,1040,171739062,10212,188609527,326736,23352341,0,1168112932,9905,471617093,0,177719132,3046,145670553,5707,294965719,714,45506956,13101,170443187,7446,93913720,0,813383438,0,170105740,8489654,328749317,0,712159599,563803,83635842,298801,265475197,0,110226137,0,81375818,0,58245015,0,60815633,0,652802903,30595,96424904,7775,178705934,8098,37667401,0,1095976821,0,261043816,2163,208374628,31926,76227082,0,117093462,0,59271519,0,252700682,2838389,139278439,0,55706382,0,273935281,36868,140205682,0,64784408,0,32259575,0,865833088,0,157901727,0,187155460,145888,71051381,0,41421236
2,2021 Jul.,6920182037,0,625969677,150791,122867528,246435,136543127,1834712,82144825,234041,44548043,255503,55414648,0,604613842,0,35414883,1013,180160336,9360,180941571,324435,23399353,0,1347654649,11057,551756947,0,178453343,2802,144017438,6189,344995220,662,45695061,15757,219428939,9763,132751135,0,813788698,0,142076572,8105227,360122077,0,687518420,563543,87485580,231305,230624710,0,113561997,0,82265198,0,56376611,0,63972512,0,643327432,30232,80921121,8401,186439545,8137,38389696,0,1110990637,0,284547476,2254,231638458,31728,80249978,0,111253686,0,61790707,0,251337228,2791114,143011538,0,60258881,0,214698168,26297,95298136,0,62419739,0,17654441,0,871620514,0,154583588,0,202789428,132339,66386118,0,47040343
2,2021 Aug.,7258236639,0,633231955,156752,122993583,255151,142129257,1966385,89122379,219121,42643523,225756,49472147,0,629579015,0,37997199,875,178582052,10061,197451160,214725,16048934,0,1556164602,13518,689422995,0,185951133,2888,153849647,6298,364171200,652,48731411,16136,256956406,10563,164467319,0,871018137,0,146100098,8522047,399395480,0,698591860,552590,89061536,278406,240670035,0,111694550,0,82646830,0,57008226,0,61160858,0,629911416,32148,83025116,8162,185763892,7518,37954751,0,1025272794,0,296512809,2268,241408095,28377,70757486,0,99548789,0,58391050,0,177790929,2061545,71885269,0,56121657,0,255111803,22495,98888849,0,68231342,0,50312895,0,959355057,0,163077206,0,271836316,136817,70425782,0,43127175
2,2021 Sep.,7477334225,0,648670821,146600,118269220,233539,133130833,2277085,103592012,217133,43345172,211860,44039099,0,635073803,0,41586447,971,197877487,9104,182438888,211491,15853295,0,1502221922,12836,655202184,0,168107543,2634,138981111,5410,332425709,706,54902320,16203,282698714,9937,168471272,0,935286391,0,159663466,8755912,452567953,0,711070322,600337,99446771,248506,242903835,0,111919532,0,83057677,0,56199631,0,62769275,0,646337286,34038,97273837,7861,184393468,7973,38058998,0,1195630536,0,314865527,2261,258271186,29666,73124666,0,106545723,0,61575528,0,305528168,3473501,207212974,0,62802786,0,251980621,22379,92400012,0,76072736,0,39600317,0,951062523,0,163971854,0,287047952,125009,66905276,0,37491259
2,2021 Oct.,7258244205,0,614245640,150068,132092777,250283,141898820,1762919,79273627,218674,44012248,211333,42886897,0,632275410,0,39925739,1072,184893743,9855,194998613,237932,18071753,0,1490101525,11472,618237902,0,177344390,2639,143433354,4628,317126794,758,67042314,15900,301195023,10070,183235949,0,815916165,0,155956794,8947016,323816743,0,711557058,594311,101272363,289853,242822557,0,106927238,0,85303383,0,53961850,0,69256958,0,595702686,27824,77690429,7031,182124055,6783,38586820,0,1182420946,0,311101630,2248,256378926,26470,67230003,0,106910928,0,58849156,0,319942269,3366704,207356855,0,58028500,0,279768274,20762,81737078,0,67489943,0,98146443,0,936256501,0,160450107,0,276221251,123868,66685386,0,42445800
2,2021 Nov.,8323868151,0,687787198,184482,165920589,250546,138875644,1776610,85489433,231495,48407131,196504,43543026,0,616240128,0,47790054,804,137123020,9393,201168376,300193,22242022,0,1929057762,12249,720816924,0,231548592,2859,171775266,5864,494954887,894,85853689,16474,377400557,10416,221236635,0,923792918,0,194800970,9898759,362151841,0,789872011,653757,117932251,286596,249651775,0,127133467,0,97448245,0,62490068,0,77616924,0,711520861,34704,110945682,8379,201215556,8707,47265884,0,1304778216,0,336935826,2312,280404971,34168,91856558,0,127031305,0,73671719,0,297094192,2773333,168759695,0,65646420,0,359999833,27091,123189469,0,75060806,0,130014793,0,1000819224,0,168918340,0,260588361,147576,78511831,0,53204198
2,2021 Dec.,8470076764,0,717910224,194995,175659204,258949,148218262,2054954,94324542,237569,51219031,191892,41732734,0,647949675,0,46026573,898,168098643,9404,193083304,327347,23389272,0,2200204635,14706,867862938,0,261376626,2848,178194089,7036,596883991,933,86327949,15863,375155609,9891,215231000,0,853547091,0,167465796,7752294,327104389,0,823341078,659719,120254768,266826,308957191,0,120757691,0,87834171,0,57822956,0,72103449,0,663816806,33591,85129248,9046,210810156,7975,42506194,0,1328518194,0,356993227,2273,297259947,30777,84277014,0,134134988,0,69430675,0,326541695,3314544,204031859,0,63395434,0,281289112,29190,124617662,0,68978760,0,51926842,0,953499949,0,169192894,0,217992798,141928,74258633,0,49298312
2,2022 Jan.,8531234981,0,657371973,169444,143192537,244418,138175306,1703192,83643987,231375,50338551,167192,37657394,0,626035789,0,52223729,819,184301000,9674,186338866,177837,13269573,0,2018759517,12927,744680601,0,229054643,2690,164730297,6786,556634780,948,84199668,16203,390862527,10540,220549425,0,947561499,0,177335849,9744595,388057739,0,817320171,618861,120216366,305715,263017090,0,130737074,0,96450989,0,64804856,0,83520190,0,729710876,32949,79588933,9504,247101988,8916,45307866,0,1447476593,0,344805443,2221,281301702,35047,95133066,0,136326285,0,76041975,0,408331506,4153185,252099862,0,71363948,0,272559594,29626,130838272,0,79290107,0,25975155,0,1014438969,0,170352357,0,254038549,160307,84633441,0,58644743
2,2022 Feb.,7867087144,0,600146811,124850,115702412,220979,126266850,1839087,95228835,196902,40623199,191407,41899273,0,584979058,0,43381600,848,177462676,8748,154317156,221653,16311617,0,2146156368,12915,809262338,0,199458745,2142,133374271,7108,675496801,1033,92401474,14567,362029378,9384,211480644,0,996417586,0,159552254,10071347,509471485,0,699966720,543985,103228171,233191,246129367,0,99054266,0,76512747,0,50627777,0,73674193,0,624498786,25761,88867514,7576,201277314,7363,37134410,0,1109052733,0,291958275,2004,240204387,26544,71695980,0,100602456,0,64880869,0,247565938,2484996,160270452,0,65093829,0,235092446,16965,72778708,0,68791807,0,54363586,0,870776636,0,150714559,0,212236261,125837,67371733,0,45071413
2,2022 Mar.,8884043528,0,722546802,145586,127657882,223799,131020477,2616656,139169985,249530,53298816,216252,50445156,0,619204013,0,47294292,911,188814113,8428,126573979,269162,20732902,0,2178740083,12934,865627859,0,171341203,1734,119627591,6505,569171904,1137,112953073,16711,452262290,10642,253268228,0,1149017639,0,185522387,12306806,569783952,0,879081368,610195,113893405,324114,336207390,0,124193310,0,96935683,0,64105062,0,82569281,0,722075127,35587,85921336,7857,234468530,8144,41577401,0,1300600083,0,358044781,2262,295844185,32279,88631874,0,125367741,0,85257872,0,260439170,3075179,154149596,0,69783486,0,266148043,22582,105493028,0,80337791,0,43850941,0,1046630370,0,178231327,0,263799119,151233,80773180,0,51629766
2,2022 Apr.,8918451189,0,814842969,178282,180905998,304346,185104462,1810122,102011510,276278,62049181,249195,62411024,0,672390504,0,42930581,890,211502548,10145,148463955,313416,27260476,0,2528093949,14143,1177368190,0,232637343,2195,186645388,5574,557278847,808,87994647,13450,461983181,8192,253164711,0,999776856,0,196168651,9969535,435622598,0,782986328,518839,107758506,252319,279472747,0,115468786,0,89147515,0,57496788,0,79702975,0,688044646,26715,93778713,7543,208235439,6983,39632541,0,1222240455,0,370147992,1982,315414180,28347,81669356,0,105118991,0,67442560,0,260044122,2631492,151678560,0,57587128,0,271658085,29652,133095333,0,65756481,0,41745593,0,938417397,0,163493195,0,224591963,136640,75640061,0,50216077
2,(Ratio to SM),128.3,-,122.0,102.8,135.8,101.6,122.7,87.5,124.8,107.6,126.7,94.8,109.3,-,112.3,-,152.8,103.8,126.8,96.7,96.6,99.8,125.1,-,209.0,109.4,199.3,-,134.1,72.3,131.0,112.1,251.6,96.7,162.0,101.6,298.9,107.1,301.2,-,126.5,-,135.4,119.9,126.9,-,111.0,75.9,122.0,90.9,116.9,-,102.0,-,103.1,-,90.3,-,132.0,-,108.4,91.4,118.8,78.5,104.0,89.9,112.4,-,107.3,-,135.7,98.4,139.2,88.7,109.8,-,88.2,-,103.6,-,88.4,80.7,79.7,-,102.9,-,94.8,101.4,120.6,-,94.0,-,68.7,-,101.8,-,110.1,-,89.9,83.4,99.0,-,112.5
