Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value
2,2013,81242545171,0,6473095467,2136309,1465950163,192120,223125015,2500920,1166239664,25602131,976914110,2869216,483206895,2594950,453482820,0,5357615785,0,459202126,13352,1412170989,135820,1680382959,2761813,183762808,0,27443829586,211750,14244807499,0,2705365045,27671,1780017269,87491,7058951201,12120,1072274569,191544,2307298426,108880,1175129244,0,6464171800,0,1520466094,96543271,2138231709,0,6245453160,7345540,801093632,2995262,1541232028,0,1012184656,0,849824684,0,682350615,0,743750007,0,5968882343,0,832353369,105064,1927608284,0,493542944,0,10309320357,0,2445324279,16341,1602194614,0,1185508438,23951,287814512,0,541887914,0,2678673838,0,546907787,0,2788247943,363942,1085712626,0,698142770,0,682089864,0,10191928730,0,1472625014,0,3247971034,0,675712564,0,518960454
2,2014,85909112733,0,6731849321,2095188,1524383061,167065,226202069,2614872,1335234301,24773463,883327725,2824476,504901570,2440125,476323623,0,5589611739,0,430345564,12855,1536166661,136379,1683642016,2827681,193865484,0,27692447035,200137,13873424961,0,2707456263,28522,1949852344,88506,7850895605,11669,1086471635,188409,2085513089,108949,1121257898,0,6864204432,0,1549030851,96414560,2213970611,0,6993690758,8914576,985949206,3418233,1692176630,0,1181411469,0,932335347,0,739821055,0,790764489,0,6760989093,0,970566829,102540,2121912528,0,496258135,0,11532497602,0,2871036808,18687,1764610363,0,1232362428,23880,284642537,0,629051949,0,2865193336,0,645447326,0,3056272966,356429,1162333056,0,814781029,0,726453377,0,10687549787,0,1569250742,0,3260232535,0,741395578,0,551614450
2,2015,78405535793,0,7002103079,2130814,1575287076,157368,207051224,2585254,1380786800,24009659,871060809,2727331,546739800,2405788,534245431,0,4853074995,0,395731041,12304,1380933086,130955,1124317166,3242619,206220864,0,18218145636,195499,8184754689,0,1821589137,30239,1346491033,85044,5514120576,10986,650655255,190645,1974299625,113841,1095659284,0,7747872741,0,1649859656,95377189,2924115850,0,7039003837,7681849,843638656,3085909,1682679747,0,1280547781,0,977520840,0,766609581,0,800490914,0,7068460484,0,1133952929,84544,1972705397,0,498152672,0,12014478632,0,2996219878,20544,2038879007,0,1220806572,24057,278063380,0,646100443,0,2932768944,0,711977971,0,3126260712,339547,1139760882,0,877038367,0,740346264,0,11336135677,0,1680791829,0,3415378073,0,777522249,0,589895389
2,(Ratio to PY),91.3,-,104.0,101.7,103.3,94.2,91.5,98.9,103.4,96.9,98.6,96.6,108.3,98.6,112.2,-,86.8,-,92.0,95.7,89.9,96.0,66.8,114.7,106.4,-,65.8,97.7,59.0,-,67.3,106.0,69.1,96.1,70.2,94.1,59.9,101.2,94.7,104.5,97.7,-,112.9,-,106.5,98.9,132.1,-,100.6,86.2,85.6,90.3,99.4,-,108.4,-,104.8,-,103.6,-,101.2,-,104.5,-,116.8,82.4,93.0,-,100.4,-,104.2,-,104.4,109.9,115.5,-,99.1,100.7,97.7,-,102.7,-,102.4,-,110.3,-,102.3,95.3,98.1,-,107.6,-,101.9,-,106.1,-,107.1,-,104.8,-,104.9,-,106.9
2,2012 (FY),72097764942,0,5954695134,2227941,1381846607,201543,181179488,2493105,1064334851,25970861,876591942,2966688,432040988,2713837,409392867,0,4767888510,0,335036732,13620,1339114453,131951,1460219420,2690017,153360241,0,24668246111,211021,12525528297,0,2606342237,28192,1586304468,86865,6214120485,13271,1064485169,183769,2223063479,106216,1114528566,0,6042509811,0,1436134647,95385026,2019059148,0,5526613620,7452436,767061521,3109594,1373919139,0,874402244,0,726796627,0,588475349,0,630488162,0,5106191096,0,679483623,102842,1708660264,0,430992058,0,8678790777,0,1864465476,16579,1376413108,0,1078805072,26594,253195918,0,466737012,0,2265064111,0,469982078,0,2334014339,357584,935728351,0,564889283,0,554873435,0,9018815544,0,1369128300,0,2753062641,0,574870688,0,470702853
2,2013 (FY),84612856114,0,6514051784,2104881,1486086717,190023,232853023,2502935,1185509425,25012820,930959511,2929175,499852788,2557831,462388739,0,5531141728,0,482077050,13198,1413159898,136542,1775045278,2851221,192304099,0,28413078810,214182,14826428941,0,2712320469,28157,1866689594,87731,7342443798,12004,1118504971,195589,2343458648,111451,1202299529,0,6613621548,0,1511028543,97573916,2155817821,0,6576823746,8186673,887430852,3122550,1590726606,0,1068044983,0,888932184,0,719022434,0,776729939,0,6399177664,0,899113286,112163,2067934028,0,525243082,0,10971371310,0,2684711916,17017,1710974549,0,1245245894,24394,293883621,0,576287139,0,2771234020,0,589433405,0,3019375384,375815,1165752287,0,761747741,0,743273042,0,10574214140,0,1529960268,0,3317522546,0,716271097,0,539044391
2,2014 (FY),83794784329,0,6856615801,2110144,1541112521,158007,217128518,2606547,1373055177,24547008,900476473,2739978,508285716,2433024,487840260,0,5531502795,0,413015094,12458,1559534437,136784,1584851664,2967633,202365982,0,25098826232,193548,11860470123,0,2416097513,28504,1767470044,89071,7754668183,11673,940574004,187692,2040355526,110238,1115017945,0,6982770071,0,1572386008,96676868,2278260180,0,7087353381,8372514,954648026,3459141,1753921908,0,1222665185,0,948066107,0,743234844,0,788686097,0,6785934820,0,1020435921,92772,2025936226,0,481809205,0,11608300688,0,2911042685,19121,1811017946,0,1216669444,23324,284026974,0,644448823,0,2861614284,0,659146374,0,3025798501,342825,1129050089,0,831986536,0,712433929,0,10817682040,0,1589894006,0,3324505982,0,746074937,0,556160992
2,(Ratio to PY(FY)),99.0,-,105.3,100.3,103.7,83.2,93.2,104.1,115.8,98.1,96.7,93.5,101.7,95.1,105.5,-,100.0,-,85.7,94.4,110.4,100.2,89.3,104.1,105.2,-,88.3,90.4,80.0,-,89.1,101.2,94.7,101.5,105.6,97.2,84.1,96.0,87.1,98.9,92.7,-,105.6,-,104.1,99.1,105.7,-,107.8,102.3,107.6,110.8,110.3,-,114.5,-,106.7,-,103.4,-,101.5,-,106.0,-,113.5,82.7,98.0,-,91.7,-,105.8,-,108.4,112.4,105.8,-,97.7,95.6,96.6,-,111.8,-,103.3,-,111.8,-,100.2,91.2,96.9,-,109.2,-,95.9,-,102.3,-,103.9,-,100.2,-,104.2,-,103.2
2,2014 Oct.-Dec.,22072797553,0,1783686158,576733,438986052,54223,78084766,661629,364473703,5845992,207063216,628803,126128377,541214,115138534,0,1367303985,0,95607648,3003,387702927,35039,391203257,555268,36264059,0,6658359590,49859,3158859450,0,655605888,7631,491319980,22079,2065913919,2802,234381687,46931,517130976,26620,273755738,0,1719191055,0,398871019,25422451,524206159,0,1820870054,2076891,240774443,852992,464542614,0,314223030,0,252124399,0,188611919,0,193640220,0,1718421140,0,249222514,22623,546198260,0,125154641,0,3304313039,0,748542065,4572,469983199,0,337600928,6285,82728079,0,161331599,0,1007950048,0,165495855,0,879254932,97411,332548987,0,213672814,0,243906951,0,2821397600,0,413321688,0,867180476,0,192824766,0,143960381
