Exp or Imp,Year & Month,Grand Total,FOODSTUFF,,RAW MATERIALS,,MINERAL FUELS,,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,, PLASTIC MATERIALS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, RUBBER MANUFACTURED,, PAPER & PAPER MANUFACTURES,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,, SEMICON MACHINERY ETC,, METALWORKING MACHINERY,, PUMP AND CENTRIFUGES,, CONSTRUCTION MACHINES,, MECHANICAL HANDLING EQUIP,, HEATING OR COOLING MACHINE,, TEXTILE MACHINES,, BALL OR ROLLER BEARINGS,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO & VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, (TV RECEIVER),," PARTS OF AUDIO, VISUAL APP.",, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,, ELECTRICAL APPARATUS,, BATTERIES AND ACCUMULATORS,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, (CAR),, (BUS&TRUCK),, PARTS OF MOTOR VEHICLES,," MOTORCYCLES, AUTOCYCLES",, AIRCRAFT,, SHIPS,,OTHERS,," SCIENTIFIC, OPTICAL INST",, PHOTOGRAPHIC SUPPLIES,
1,2021 Aug.,6604816287,0,83492924,0,112916565,0,93971476,0,850648347,0,153223999,3630203,57621039,477751,240502763,0,842288771,2919,346836509,121853,168512289,0,100422880,0,52778598,0,74848187,111618,70827127,187203,26213913,0,1298911177,95658,191666145,899,26052320,11191,83799088,12701,283540788,0,76334272,0,110561726,0,92673363,0,46638625,0,33537574,0,22300560,23930,39179940,0,1233188766,0,410636334,7180,284712955,4873,30581607,573,19999694,316,7811282,0,20978184,0,94181189,0,30491461,0,144883853,0,169215955,0,51828689,0,1153094291,359367,728807347,304913,633082993,50264,92594275,195059,279578044,56,22129632,0,13214541,736943,80943458,0,936303970,0,186707023,0,47106763
1,2021 Sep.,6840480055,0,84636906,0,114706659,0,123730273,0,913082014,0,173870459,4285604,79082031,502306,250918185,0,885935460,2940,364228211,130670,187602591,0,105253811,0,53442813,0,74077639,108420,72485786,199498,26769597,0,1348265624,104167,205082007,800,27608524,10231,80753847,12519,281646787,0,90459397,0,112997587,0,99645375,0,47486023,0,33975640,0,19304524,25458,42065601,0,1350904130,0,454345183,7329,313994733,7263,37874749,654,27163835,316,7510180,0,19359074,0,105442347,0,34445729,0,155052062,0,186023389,0,49563782,0,1049382102,312500,586253584,258857,481066593,49636,101397185,206363,302387942,56,22554001,0,14017371,1023883,92775259,0,969836887,0,194915908,0,50784965
1,2021 Oct.,7183225328,0,91656767,0,118402703,0,111000260,0,945094264,0,181172102,4680990,79133310,525504,268050300,0,916756581,2750,362013157,133863,185836483,0,114016948,0,61130311,0,82255634,120502,79470918,222015,29835163,0,1467803985,112477,211698083,1011,29520832,11899,88964236,12958,297291487,0,90461962,0,123741558,0,113175577,0,59390849,0,39036357,0,20857329,28455,46517926,0,1390212633,0,454376201,7305,315433884,6433,34853465,634,24687614,335,6658977,0,23141987,0,115400570,0,33532558,0,167528887,0,190326055,0,63796009,0,1102077271,345351,669240035,294001,570522248,48027,95775444,206179,295226679,58,22083864,0,10721628,855914,73684817,0,1040220864,0,209065922,0,52679734
1,2021 Nov.,7366999110,0,89903054,0,113753572,0,114392630,0,906613886,0,190529580,4411945,68152355,485266,250595387,0,891233203,2852,373733057,124640,174057874,0,100656272,0,59020519,0,76133879,121815,79587850,184663,25843750,0,1403609048,112991,230181750,854,27986026,9769,76190645,12776,305332021,0,83283768,0,113878180,0,109526547,0,57911417,0,37286678,0,22730836,25036,41718352,0,1334517184,0,439077119,6984,309312749,6957,38245226,680,28549024,344,6686317,0,21216069,0,106456428,0,38265302,0,161688067,0,174339966,0,58501121,0,1491664977,451548,1036295886,392861,913259003,54904,118711653,199875,296049505,59,24276309,0,15348827,844975,81884861,0,1021311556,0,212834507,0,52210826
1,2021 Dec.,7881158726,0,104763367,0,124402992,0,100420916,0,963934262,0,191959316,4386009,68078329,522834,276945208,0,942736498,2780,379387502,132087,181797880,0,116867478,0,66594212,0,82820943,129198,83822274,201264,29014832,0,1565412642,123051,248142754,846,28863347,11008,85165218,15162,345291566,0,88836089,0,130255683,0,120637465,0,59883746,0,41513354,0,22862884,28782,47926116,0,1463007555,0,487933682,7665,340205684,4936,38029208,768,27216997,352,6929397,0,19018609,0,117590546,0,39634880,0,174050555,0,194696216,0,64646717,0,1553313233,477805,1103112825,416953,977476747,56865,121380992,220033,321475934,61,29676429,0,10403112,500313,57206322,0,1063167261,0,225283917,0,57236720
1,2022 Jan.,6331798617,0,67204087,0,90752078,0,152807995,0,834248111,0,169068215,4713767,108994149,371795,215682221,0,759004942,2368,306896152,112698,172068368,0,86283241,0,45932864,0,66202017,92433,59147314,141370,20944062,0,1158536800,83287,179010942,564,22988244,9260,69188563,10458,259407080,0,62032749,0,92467806,0,101788491,0,44090650,0,27206377,0,17251071,19638,34354260,0,1164968815,0,400407997,6810,280629794,17748,54829290,658,21434426,204,4062223,0,13997129,0,87299251,0,27434296,0,124924522,0,151133565,0,46882442,0,1205854670,334500,781748588,290908,681805641,41358,97131581,176293,264286691,56,26779831,0,8520995,1167608,101888044,0,898421119,0,157114933,0,48598877
1,2022 Feb.,7189877688,0,75376196,0,118593341,0,144827353,0,913394984,0,179718201,5331538,84984144,479046,254702363,0,876352927,2539,344385530,124091,183085070,0,107409999,0,58022264,0,76052523,116884,76702528,213003,28594745,0,1429905377,105278,214324152,833,26488565,10571,75551304,12732,307124252,0,89937321,0,117327592,0,117577883,0,57960041,0,37368890,0,24749901,23340,41008347,0,1268552351,0,407636520,6507,279542994,18545,60689936,681,23905816,215,4925138,0,15315448,0,99465821,0,31707094,0,149837565,0,167523382,0,50475957,0,1370430432,402183,934157708,350157,823137194,48451,106287118,198607,296579040,52,22714617,0,12727338,733853,67522709,0,992444727,0,176582410,0,50566249
1,2022 Mar.,8460031126,0,92323517,0,148336461,0,157929525,0,1028283380,0,192319121,6177713,97589994,551387,291706808,0,1029710074,3109,415370060,132637,200381115,0,126202639,0,65642376,0,90413234,143234,94811367,256617,34263186,0,1737222046,119937,264961581,965,32011559,13017,95582193,14201,370004486,0,114372663,0,141579346,0,156218017,0,63618308,0,46118967,0,27380748,30020,50677112,0,1492132557,0,448085376,6706,300040195,22231,73149691,666,28519439,263,6060959,0,19967368,0,131705142,0,41609737,0,175447821,0,200057773,0,80221894,0,1578471596,431718,1010579218,369127,871898815,59082,134058585,230641,355908585,73,34710273,0,15052707,1307127,121222582,0,1195621970,0,204981780,0,54446457
1,2022 Apr.,8075670945,0,97377548,0,147865599,0,144368050,0,1036237644,0,193216588,5977867,96009146,485563,291005206,0,990147049,2696,379995305,120335,207270173,0,121207314,0,64228399,0,87803612,135074,94483185,232061,32923324,0,1546109749,114753,240426740,760,29108391,12002,92125007,13769,334736391,0,86382093,0,126555252,0,134542739,0,49946805,0,41470379,0,25829292,26327,47828839,0,1395834764,0,428084868,6571,283455695,15652,62544231,560,24879845,229,5171009,0,18009239,0,119126899,0,32978109,0,165523076,0,190156086,0,62087339,0,1535565919,420090,1039492879,359858,908234499,55562,125615985,218897,342849517,65,30413666,0,15656406,670280,73063767,0,1182164623,0,199142093,0,53648842
1,2022 May.,7252022114,0,87866835,0,152220960,0,198808742,0,943050914,0,186081183,4760427,91500306,439758,258461675,0,1025997420,2994,451550441,124268,210403194,0,104204438,0,59169591,0,83311148,119906,85285630,196913,29480469,0,1390925371,96962,209021347,825,27579873,10264,78588866,12243,294382108,0,84032104,0,110881664,0,128149708,0,52476703,0,40177319,0,24148061,21685,41459608,0,1279152633,0,440158522,6763,308360721,12848,52103210,527,22825454,188,3122930,0,15951736,0,102416650,0,24643759,0,142678675,0,164672516,0,53613836,0,1122232029,317063,694820894,266598,578972039,46507,110729284,178006,279700467,52,20939822,0,12287842,948722,73351007,0,1051767210,0,175407308,0,52740315
1,(Ratio to SM),115.8,-,118.2,-,120.9,-,504.8,-,115.5,-,120.6,141.1,143.6,94.1,115.7,-,135.0,108.7,160.2,103.7,130.4,-,104.4,-,112.4,-,119.7,111.9,128.3,94.4,111.5,-,113.3,99.6,116.1,67.3,101.0,99.7,100.9,113.9,130.1,-,105.5,-,107.4,-,127.3,-,114.2,-,118.6,-,121.9,94.2,110.1,-,111.1,-,121.1,94.5,125.8,190.8,153.1,85.9,99.5,45.4,39.7,-,107.7,-,112.3,-,77.3,-,103.6,-,104.3,-,109.3,-,94.7,83.4,92.1,81.9,88.6,91.8,113.3,90.2,100.5,92.3,87.7,-,62.1,107.1,84.1,-,119.5,-,97.6,-,112.1
