Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, INSULATED WIRE AND CABLE,, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, (TELEPHONE SETS),, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,TNO  ,Value, MT  ,Value,     ,Value,     ,Value,MNO  ,Value, MT  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value
2,2017,75379231107,0,7017645622,2161966,1649365884,,,2946970,1481338285,24592001,750079838,2913555,540167077,2487815,513961055,0,4725023181,0,385075376,11137,1380408474,126526,1082014961,3218427,173527201,0,15839991985,186731,7154940901,0,1544242323,29450,1150142161,83632,3917267800,10774,604922465,192839,2570263351,114396,1274136013,0,7566588566,0,1708478084,101149751,2644918690,0,6848806052,8088738,919920148,3491195,1735920943,0,1179530598,0,925237447,0,698448648,0,744133208,0,7213922650,,1260625719,86420,1965847573,,501603068,0,12048127414,0,2796571357,22470,2172265696,,,0,1212382659,,,0,632939151,0,3109147094,,,0,724528429,0,3170106106,359889,1306976014,0,932763274,0,565653325,0,10949019531,0,1721775125,0,3109182960,,755283561,0,589547389
2,2018,82703304395,0,7246738864,2063832,1662912007,,,3013183,1516156838,25113014,809460029,3093017,550537303,2559182,550232762,0,4991686155,0,407810263,11903,1562842015,123852,1029636818,3236413,170089931,0,19294048227,175897,8906272816,0,2073963563,30412,1521895403,82852,4738938853,10734,690892181,189320,2812123913,113547,1484836165,0,8550029456,0,1937884111,102099403,2962207820,0,7459064040,8025453,1018784782,3589573,1999722140,0,1292646951,0,967562915,0,743259636,0,792038888,0,7949974347,410036,1448730006,94602,2028952311,112963,503012019,0,12337898435,0,2816476172,20918,2214727529,369624,818306658,0,1268190676,,,0,655665782,0,3086753543,35289459,1968288791,0,785837832,0,3490417894,387547,1428371051,0,986109020,0,733499277,0,11383446977,0,1832948616,0,3306727213,1542176,778837423,0,614851768
2,2019,78599509951,0,7191580550,2080965,1609181843,,,3044202,1540079301,24767420,797346366,2959724,536864573,2578477,538632220,0,4861194870,0,357309440,11503,1377936105,119561,1188303008,3392154,167315776,0,16950647656,173864,7969046194,0,1537288379,28270,1159047474,77327,4349779154,10519,532751242,186178,2528242883,110916,1312797776,0,8163450079,0,1691145038,105028026,3091876844,0,7068411410,8316641,948006180,3308875,1750155871,0,1299844804,0,946990640,0,694374405,0,764804416,0,7582616987,366428,1231235337,108436,2210831928,124218,523988311,0,11992000195,0,2581350664,20522,2008280030,377300,824467687,0,1368556846,,,0,664102723,0,2846267281,33212294,1694305435,0,762823503,0,3560705945,364444,1408351169,0,890622323,0,905296512,0,11228902259,0,1817899232,0,3204537609,1586832,787911522,0,643708378
2,(Ratio to PY),95,-,99.2,100.8,96.8,,,101,101.6,98.6,98.5,95.7,97.5,100.8,97.9,-,97.4,-,87.6,96.6,88.2,96.5,115.4,104.8,98.4,-,87.9,98.8,89.5,-,74.1,93,76.2,93.3,91.8,98,77.1,98.3,89.9,97.7,88.4,-,95.5,-,87.3,102.9,104.4,-,94.8,103.6,93.1,92.2,87.5,-,100.6,-,97.9,-,93.4,-,96.6,-,95.4,89.4,85,114.6,109,110,104.2,-,97.2,-,91.7,98.1,90.7,102.1,100.8,-,107.9,,,-,101.3,-,92.2,94.1,86.1,-,97.1,-,102,94,98.6,-,90.3,-,123.4,-,98.6,-,99.2,-,96.9,102.9,101.2,-,104.7
2,2016 (FY),67548804311,0,6410759896,2081241,1486685188,167350,200984745,2736353,1315834453,23984379,698679484,2854174,509395367,2435250,486993511,0,4073175721,0,363065130,11596,1217795131,128425,819039772,3169269,170044904,0,13138542628,190060,6181352085,0,1182007896,26337,881187849,84749,3336013815,10565,472635342,189415,1914600273,111177,975234884,0,7130939742,0,1562191192,100039290,2702102774,0,6151975332,7835384,740684456,3237211,1426722174,0,1116646449,0,872651589,0,673313192,0,705405503,0,6421563687,,1159561215,84034,1746475759,,460470558,0,10920847403,0,2524853294,19837,1863483355,,,0,1112063729,26299,256172773,0,575466791,0,2780848701,,,0,652516603,0,3087872782,348526,1185275348,0,840253306,0,704624537,0,10213127120,0,1568368866,0,2977354505,,704788553,0,558679949
2,2017 (FY),76810476310,0,7129509429,2156843,1671588563,,,2978758,1488448656,25167475,766968849,3015482,543488688,2505390,521171841,0,4866328743,0,392980894,11185,1469574254,126822,1099107284,3194010,168078542,0,16250831279,182857,7282805522,0,1665751858,29703,1208035829,83888,4076215724,10754,621725039,191084,2553111608,114480,1305614090,0,7834473465,0,1755893908,102488941,2744242714,0,6972491396,8028277,942726584,3496347,1809687835,0,1197851320,0,925732087,0,702949287,0,751813060,0,7411490439,382283,1297601524,87052,2008998835,110651,502419191,0,12133417146,0,2791593211,22264,2193974667,347147,756307422,0,1214793668,,,0,631942088,0,3132723119,36154444,1966645497,0,740523958,0,3220286963,374601,1375705530,0,945770019,0,540416622,0,10991647450,0,1751372025,0,3100353233,1523024,759785601,0,591787399
2,2018 (FY),82318968862,0,7221944806,2081700,1669593779,,,3003745,1520438153,24775927,809981185,3004157,543421654,2549080,546582413,0,4883758303,0,396656023,11884,1473007139,121843,1032425577,3228220,168425096,0,19094368868,173477,8721300043,0,1949959525,29613,1440358040,80553,4862365822,10632,654782998,188527,2840587962,113781,1518566332,0,8524461408,0,1901102795,101468981,2968240340,0,7455488702,8260371,1031368165,3526520,1955330081,0,1305618680,0,976944840,0,740051573,0,800346892,0,7911242779,414703,1418991044,97123,2053875931,113328,505412611,0,12334460085,0,2782477864,20399,2183834970,374881,831159173,0,1302946770,,,0,661066789,0,3041162165,34602813,1923875861,0,790205500,0,3510159168,373903,1387041727,0,979643483,0,813937372,0,11383084743,0,1818903417,0,3327413992,1539508,781282265,0,619625804
2,(Ratio to PY(FY)),107.2,-,101.3,96.5,99.9,,,100.8,102.1,98.4,105.6,99.6,100,101.7,104.9,-,100.4,-,100.9,106.3,100.2,96.1,93.9,101.1,100.2,-,117.5,94.9,119.8,-,117.1,99.7,119.2,96,119.3,98.9,105.3,98.7,111.3,99.4,116.3,-,108.8,-,108.3,99,108.2,-,106.9,102.9,109.4,100.9,108,-,109,-,105.5,-,105.3,-,106.5,-,106.7,108.5,109.4,111.6,102.2,102.4,100.6,-,101.7,-,99.7,91.6,99.5,108,109.9,-,107.3,,,-,104.6,-,97.1,95.7,97.8,-,106.7,-,109,99.8,100.8,-,103.6,-,150.6,-,103.6,-,103.9,-,107.3,101.1,102.8,-,104.7
2,2018 Oct.-Dec.,22443456209,0,1912935232,586816,486453828,,,781940,400911628,6438603,210624790,761735,143682585,601271,132975047,0,1218998582,0,97712617,2995,351499908,30822,258972400,763205,37750113,0,5381049430,45639,2506148148,0,613637308,8627,456253649,20137,1301213858,2693,184504660,48532,757858114,28247,396121912,0,2259173993,0,526142486,27178946,780178529,0,1967885104,2153458,272103980,925891,508435040,0,346824672,0,270464838,0,192687884,0,211209342,0,2106547668,115115,390656027,26186,550272162,30026,137497096,0,3545332558,0,759782579,5451,596812124,100484,225438367,0,365185136,,,0,171412226,0,1023189490,11253270,712590699,0,213837087,0,956892164,100219,372635172,0,269668463,0,228961749,0,3094641478,0,495609662,0,879774837,413226,212381279,0,170776834
