2015=100
Exp or Imp,Year,Indexes Area,Commodity,,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Summary Indexes,,,,,,,,,,,,,,,,,
1,2013,WORLD," Organic Chemicals",Unit Index,111.13,104.93,110.32,112.25,113.46,114.57,112.81,108.2,111.84,110.32,113.35,109.24,112.1
1,2013,WORLD," Organic Chemicals",Quantum Index,107.14,106.77,102.82,116.48,108.64,97.48,101.99,104.25,118.62,104.82,109.03,103.75,111.14
1,2013,WORLD," Inorganic Chemicals",Value Index,90.38,81.96,80.96,97.68,93.36,86.68,89.05,96.79,100.32,85.12,90.35,87.36,94.92
1,2013,WORLD," Inorganic Chemicals",Unit Index,88.01,92.15,78.15,84.63,87.52,97.39,91.35,92.28,90.95,86.28,88.09,86,83.45
1,2013,WORLD," Inorganic Chemicals",Quantum Index,102.69,88.93,103.6,115.41,106.67,89,97.48,104.88,110.31,98.65,102.56,101.58,113.74
1,2013,WORLD," Dyeing Tanning,Colouring",Value Index,90.1,75.07,79.37,91.25,92.16,91.17,91.57,92.59,93.36,85.07,95.58,92.81,101.16
1,2013,WORLD," Dyeing Tanning,Colouring",Unit Index,95.73,101.05,96.94,89.81,95.96,94.47,92.4,96.34,97.92,97.63,95.27,95.4,96.51
1,2013,WORLD," Dyeing Tanning,Colouring",Quantum Index,94.11,74.28,81.88,101.6,96.04,96.51,99.1,96.1,95.34,87.13,100.33,97.28,104.82
1,2013,WORLD," Medical Products",Value Index,77.78,67.52,65.05,78.99,80.72,81.17,86.41,73.54,73.35,81.46,76.48,89.76,78.97
1,2013,WORLD," Medical Products",Unit Index,67.46,71.27,67.97,67.53,60.68,66.04,72.38,65.65,54.13,66.04,81.03,71.58,68.71
1,2013,WORLD," Medical Products",Quantum Index,115.31,94.73,95.71,116.96,133.01,122.91,119.38,112.01,135.49,123.35,94.38,125.38,114.93
1,2013,WORLD," Plastic Materials",Value Index,92.44,73.63,80.12,96.07,91.05,93.95,97.11,96.78,96.72,91.94,97.09,93.98,100.79
1,2013,WORLD," Plastic Materials",Unit Index,95.41,90.35,91.71,92.22,94.95,98.29,98.48,95.91,97.77,96.52,96.13,94.89,97.09
1,2013,WORLD," Plastic Materials",Quantum Index,96.88,81.49,87.36,104.17,95.9,95.59,98.61,100.9,98.93,95.25,100.99,99.03,103.8
1,2013,WORLD,"Non-Mtl.Min.Manufs",Value Index,98.79,87.66,88.31,107.08,98.38,97.3,105.28,100.7,103.72,99.28,98.37,97.4,102
1,2013,WORLD,"Non-Mtl.Min.Manufs",Unit Index,101.11,99.36,101.04,97.37,102.61,97.74,101.05,99.45,101.88,102.6,102.48,105.73,102.06
1,2013,WORLD,"Non-Mtl.Min.Manufs",Quantum Index,97.7,88.22,87.4,109.96,95.87,99.54,104.19,101.25,101.8,96.75,95.99,92.11,99.93
1,2013,WORLD," Glass & Glassware",Value Index,137.79,142.56,130.17,155.63,139.16,141.63,140.8,140.98,150.13,128.65,132.82,120.4,130.57
1,2013,WORLD," Glass & Glassware",Unit Index,114.25,111.3,114.54,109.35,114.76,107.28,111.1,112.52,116.15,116.07,119.52,119.88,120.13
1,2013,WORLD," Glass & Glassware",Quantum Index,120.6,128.08,113.64,142.31,121.25,132.02,126.73,125.28,129.25,110.84,111.13,100.43,108.68
1,2013,WORLD,"Metals",Value Index,100.59,85.73,95.15,113.4,101.47,103.34,104.73,101.61,102.46,98.55,99.7,95.47,105.46
1,2013,WORLD,"Metals",Unit Index,97.83,90.98,94.47,97.36,99.36,100.36,100.92,97.92,98.46,96.86,98.79,98.08,99.98
1,2013,WORLD,"Metals",Quantum Index,102.82,94.23,100.72,116.47,102.12,102.97,103.77,103.77,104.06,101.74,100.92,97.34,105.48
1,2013,WORLD," Iron & Steel & Products",Value Index,103.4,87.35,95.67,113.79,104.32,107.8,109.29,106.23,106.17,99.85,101.3,98.73,110.26
1,2013,WORLD," Iron & Steel & Products",Unit Index,98.38,89.28,92.53,96.7,99.93,101.05,102.08,99.63,99.83,98.02,100.5,99.25,101.43
1,2013,WORLD," Iron & Steel & Products",Quantum Index,105.1,97.84,103.39,117.67,104.39,106.68,107.06,106.62,106.35,101.86,100.79,99.47,108.7
1,2013,WORLD," Iron & Steel wire bars,rods,shapes & sections",Value Index,88.53,68.34,79.28,93.22,87.18,93.67,95.75,97.01,91.15,91.45,88.26,89.28,87.81
1,2013,WORLD," Iron & Steel wire bars,rods,shapes & sections",Unit Index,94.07,87.81,90.7,92.93,93.42,95.91,96.76,95.75,95.77,92.98,95.58,94.82,95.59
1,2013,WORLD," Iron & Steel wire bars,rods,shapes & sections",Quantum Index,94.11,77.81,87.4,100.3,93.31,97.66,98.96,101.31,95.18,98.35,92.33,94.15,91.86
1,2013,WORLD," Flat-rolled products of iron on steel",Value Index,100.58,86.15,92.36,110.56,103.93,111.22,107.59,100.98,103.32,95.03,96.63,95.96,103.22
1,2013,WORLD," Flat-rolled products of iron on steel",Unit Index,97.6,88.18,91.22,95.31,99.17,101.89,103.19,98.43,98.74,97.48,99.07,97.67,100.63
1,2013,WORLD," Flat-rolled products of iron on steel",Quantum Index,103.04,97.7,101.24,116,104.79,109.14,104.26,102.58,104.63,97.48,97.53,98.25,102.57
1,2013,WORLD," Those of other Alloy Steel",Value Index,89.06,70.15,83.63,92.09,85.76,95.59,92.98,85.91,93.07,86.93,89.38,96.69,96.51
1,2013,WORLD," Those of other Alloy Steel",Unit Index,90.83,84.85,84.49,88.06,93.02,92.8,94.97,91.63,92.02,90.86,92.95,90.13,93.84
1,2013,WORLD," Those of other Alloy Steel",Quantum Index,98.05,82.66,98.98,104.57,92.2,103.01,97.9,93.75,101.13,95.66,96.16,107.28,102.84
1,2013,WORLD," Clad,Plated or Coated",Value Index,114.73,96.51,98.34,121.46,120.68,129.85,120.63,117.57,122.22,108.85,119.28,108.46,112.95
1,2013,WORLD," Clad,Plated or Coated",Unit Index,91.98,83.02,86.5,89.81,90.99,94.08,96.27,93.93,94.95,92.4,94.24,91.61,95.42
1,2013,WORLD," Clad,Plated or Coated",Quantum Index,124.73,116.25,113.69,135.24,132.63,138.01,125.29,125.15,128.71,117.8,126.57,118.39,118.38
1,2013,WORLD," Plated with Zinc",Value Index,131.89,109.16,113.45,142.82,140.1,156.05,137.9,135.68,145.3,120.44,140.25,120.38,121.2
1,2013,WORLD," Plated with Zinc",Unit Index,90.93,83.1,86.48,89.07,89.98,93.18,95.41,91.46,92.74,91.21,92.41,92.11,93.4
1,2013,WORLD," Plated with Zinc",Quantum Index,145.05,131.35,131.18,160.33,155.7,167.45,144.53,148.35,156.67,132.04,151.75,130.69,129.76
1,2013,WORLD," Thickness of less than 3mm",Value Index,104.35,89.98,104.29,117.61,109.26,124.67,111.51,103.56,107.4,95.89,96.78,87.85,103.35
1,2013,WORLD," Thickness of less than 3mm",Unit Index,107.69,95.86,100.17,105.68,110.25,114.68,115.3,108.42,107.16,106.22,109.22,108.34,110.97
