Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value
2,2011,68111187178,0,5854222060,2254535,1349681364,209949,185401152,2535947,1067205812,26216228,885026602,2919847,395121918,2703687,375590205,0,5270347292,0,347053373,11724,1338015067,128399,1707935796,2830773,144318024,0,21816149808,208872,11414740691,0,2226140582,28641,1533044007,78532,4787162723,12474,891531692,175239,2459154834,101184,1111052000,0,6097637754,0,1429507067,92262336,1725018841,0,6069199809,7975517,944570333,3387844,1812672539,0,819029421,0,727399482,0,572445335,0,642963769,0,4969742215,0,626703768,108149,1611602855,0,444538160,0,7988833365,0,1762236132,16162,1419189064,0,1452747972,28715,310965549,0,494433503,0,1575949151,0,431325772,0,1737576596,291306,735183094,0,471703294,0,289542063,0,8307478279,0,1279889373,0,2597568990,0,504742917,0,410282681
2,2012,70688631840,0,5852258718,2282761,1400214120,205315,180806912,2521845,1059887148,25622319,819894493,3054700,421607194,2780638,401926752,0,4768019558,0,323446299,13474,1292962684,131097,1526250979,2727341,144549876,0,24088213847,213018,12247216292,0,2461758127,27520,1487246574,87314,6003679569,13200,1021699902,185152,2320585633,107658,1147627242,0,5926316078,0,1397671522,95977753,1940705081,0,5507608243,7706984,806554885,3265042,1369541907,0,845117648,0,714389908,0,573804207,0,620639630,0,5003890618,0,674420671,105003,1648484092,0,430948075,0,8437813917,0,1779208929,16878,1379895143,0,1108761912,27139,251243239,0,461530049,0,2148743081,0,461175681,0,2311814541,352073,908210599,0,554910660,0,573814965,0,8792696320,0,1345718706,0,2680422551,0,560114451,0,458537000
2,2013,81242545171,0,6473095467,2136309,1465950163,192120,223125015,2500920,1166239664,25602131,976914110,2869216,483206895,2594950,453482820,0,5357615785,0,459202126,13352,1412170989,135820,1680382959,2761813,183762808,0,27443829586,211750,14244807499,0,2705365045,27671,1780017269,87491,7058951201,12120,1072274569,191544,2307298426,108880,1175129244,0,6464171800,0,1520466094,96543271,2138231709,0,6245453160,7345540,801093632,2995262,1541232028,0,1012184656,0,849824684,0,682350615,0,743750007,0,5968882343,0,832353369,105064,1927608284,0,493542944,0,10309320357,0,2445324279,16341,1602194614,0,1185508438,23951,287814512,0,541887914,0,2678673838,0,546907787,0,2788247943,363942,1085712626,0,698142770,0,682089864,0,10191928730,0,1472625014,0,3247971034,0,675712564,0,518960454
2,(Ratio to PY),114.9,-,110.6,93.6,104.7,93.6,123.4,99.2,110.0,99.9,119.2,93.9,114.6,93.3,112.8,-,112.4,-,142.0,99.1,109.2,103.6,110.1,101.3,127.1,-,113.9,99.4,116.3,-,109.9,100.6,119.7,100.2,117.6,91.8,105.0,103.5,99.4,101.1,102.4,-,109.1,-,108.8,100.6,110.2,-,113.4,95.3,99.3,91.7,112.5,-,119.8,-,119.0,-,118.9,-,119.8,-,119.3,-,123.4,100.1,116.9,-,114.5,-,122.2,-,137.4,96.8,116.1,-,106.9,88.3,114.6,-,117.4,-,124.7,-,118.6,-,120.6,103.4,119.5,-,125.8,-,118.9,-,115.9,-,109.4,-,121.2,-,120.6,-,113.2
2,2010 (FY),62456703759,0,5313864494,2239785,1285871396,211585,183827619,2419522,997697428,26182879,731996637,2779796,377586136,2686396,357299400,0,5053078792,0,339226486,13588,1488040160,133626,1513215451,3344420,158249075,0,18143792414,215013,9755883197,0,1707225502,28197,1290023399,70562,3549215813,12525,828348421,186637,2261523292,105012,1030958520,0,5465305021,0,1339825429,87617718,1523954309,0,5555382943,7271703,811382877,3289886,1673583523,0,773258259,0,647565554,0,551146475,0,595703820,0,4897092171,0,659182760,116758,1570347863,0,551873522,0,8208597048,0,2093028113,16797,1723166850,0,1676939434,29423,337126693,0,446936872,0,1344163999,0,411275856,0,1724317270,272658,642609576,0,487331676,0,359667401,0,8095273606,0,1273349278,0,2397536032,0,492300378,0,409229288
2,2011 (FY),69710574402,0,5948993108,2315747,1393504372,209178,186111376,2562550,1080264543,26453132,891608947,2940743,396427364,2723823,382141810,0,5208431356,0,346995254,12009,1293959952,128232,1745957333,2795171,138718573,0,23132072959,209839,11893779541,0,2347305043,27767,1504109303,83183,5404383719,12695,928013561,175379,2525025987,101723,1152934077,0,6117303288,0,1445726487,93455934,1769875074,0,6011432801,8093786,951644621,3401225,1708616745,0,821526781,0,730150765,0,568904248,0,654701277,0,4998046707,0,632724657,107258,1631956645,0,429378536,0,8033588782,0,1721605286,16059,1382484742,0,1338838531,27778,291847034,0,495117945,0,1716607364,0,443441862,0,1890111873,301357,781937136,0,488873861,0,372333447,0,8370593528,0,1275372181,0,2628895859,0,516662875,0,419375933
2,2012 (FY),72097764942,0,5954695134,2227941,1381846607,201543,181179488,2493105,1064334851,25970861,876591942,2966688,432040988,2713837,409392867,0,4767888510,0,335036732,13620,1339114453,131951,1460219420,2690017,153360241,0,24668246111,211021,12525528297,0,2606342237,28192,1586304468,86865,6214120485,13271,1064485169,183769,2223063479,106216,1114528566,0,6042509811,0,1436134647,95385026,2019059148,0,5526613620,7452436,767061521,3109594,1373919139,0,874402244,0,726796627,0,588475349,0,630488162,0,5106191096,0,679483623,102842,1708660264,0,430992058,0,8678790777,0,1864465476,16579,1376413108,0,1078805072,26594,253195918,0,466737012,0,2265064111,0,469982078,0,2334014339,357584,935728351,0,564889283,0,554873435,0,9018815544,0,1369128300,0,2753062641,0,574870688,0,470702853
2,(Ratio to PY(FY)),103.4,-,100.1,96.2,99.2,96.4,97.4,97.3,98.5,98.2,98.3,100.9,109.0,99.6,107.1,-,91.5,-,96.6,113.4,103.5,102.9,83.6,96.2,110.6,-,106.6,100.6,105.3,-,111.0,101.5,105.5,104.4,115.0,104.5,114.7,104.8,88.0,104.4,96.7,-,98.8,-,99.3,102.1,114.1,-,91.9,92.1,80.6,91.4,80.4,-,106.4,-,99.5,-,103.4,-,96.3,-,102.2,-,107.4,95.9,104.7,-,100.4,-,108.0,-,108.3,103.2,99.6,-,80.6,95.7,86.8,-,94.3,-,132.0,-,106.0,-,123.5,118.7,119.7,-,115.5,-,149.0,-,107.7,-,107.4,-,104.7,-,111.3,-,112.2
2,2012 Oct.-Dec.,17588721962,0,1516856082,597878,364225467,64536,56069280,646017,273151093,6437833,218678389,749640,110198070,608213,91786705,0,1158942258,0,81929326,3444,318310538,33037,351999870,690056,40877013,0,5565677967,48435,2793211847,0,637401449,7403,404478560,21035,1357972135,2956,254071502,45893,515831111,27579,271038164,0,1510714388,0,337781238,24841837,534092690,0,1372852861,2035212,192136069,785600,328920993,0,219824466,0,187013503,0,150290337,0,155980153,0,1257238111,0,168837812,26493,433643402,0,108488628,0,2282508426,0,468486046,4702,344212462,0,275719935,8390,64350914,0,114768244,0,662218607,0,121229319,0,590366703,96723,246997108,0,143547317,0,120809733,0,2333565166,0,345697684,0,705493452,0,152579634,0,122854707
