Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, INSULATED WIRE AND CABLE,, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, (TELEPHONE SETS),, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,TNO  ,Value, MT  ,Value,     ,Value,     ,Value,MNO  ,Value, MT  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value
2,2019,78599509951,0,7191580550,2080965,1609181843,,,3044202,1540079301,24767420,797346366,2959724,536864573,2578477,538632220,0,4861194870,0,357309440,11503,1377936105,119561,1188303008,3392154,167315776,0,16950647656,173864,7969046194,0,1537288379,28270,1159047474,77327,4349779154,10519,532751242,186178,2528242883,110916,1312797776,0,8163450079,0,1691145038,105028026,3091876844,0,7068411410,8316641,948006180,3308875,1750155871,0,1299844804,0,946990640,0,694374405,0,764804416,0,7582616987,366428,1231235337,108436,2210831928,124218,523988311,0,11992000195,0,2581350664,20522,2008280030,377300,824467687,0,1368556846,,,0,664102723,0,2846267281,33212294,1694305435,0,762823503,0,3560705945,364444,1408351169,0,890622323,0,905296512,0,11228902259,0,1817899232,0,3204537609,1586832,787911522,0,643708378
2,2020,68010831589,0,6679373581,1902081,1368622117,,,2879048,1431065975,24562265,766126094,2765319,504026557,2609971,536853003,0,4681567658,0,278948906,10130,1504852204,99433,1034363333,3163360,159160006,0,11254098773,146026,4646424381,0,1245152973,31253,974555732,74464,3205056053,9796,430480587,173730,1707597618,104847,906343539,0,7858764463,0,1668801660,103550519,3197263742,0,6563542894,6573272,705979060,2630492,1723276440,0,1135830489,0,1245822525,0,570299215,0,617168418,0,7042543979,300885,897201678,108825,2406227691,94537,413027878,0,11354354517,0,2505843229,24525,1990530197,337336,749139628,0,1276892625,,,0,604766057,0,2850319263,34534967,1603579115,0,638168613,0,2599763047,310020,1165325800,0,674701582,0,441281897,0,9976822677,0,1711686783,0,2723661938,1660243,747969616,0,506252972
2,2021,84760729549,0,7380319083,1930438,1514579654,,,2936697,1556907056,23551335,988063938,2747545,531891736,2636108,557445942,0,6932314212,0,406713784,10654,1985472974,113074,1973253818,3271214,227701164,0,16969353117,144310,6928774656,0,2141789954,33717,1653457485,74316,4277887697,10144,733587358,182604,2761597285,112639,1625060776,0,9732000230,0,1808544686,101163701,4186652297,0,8272195047,7175845,1062221513,3210500,2834994967,0,1316944825,0,1003526075,0,671612344,0,748558089,0,7679884519,373926,1023365348,103900,2391454805,94577,457283777,0,13639296646,0,3353974070,25910,2744544196,371538,908927930,0,1376458397,,,0,746891874,0,3320850499,36773886,1982507493,0,721261679,0,3256880341,342114,1370391960,0,825173746,0,619171695,0,10898486354,0,1886908345,0,2832817603,1725670,849784175,0,531746090
2,(Ratio to PY),124.6,-,110.5,101.5,110.7,,,102,108.8,95.9,129,99.4,105.5,101,103.8,-,148.1,-,145.8,105.2,131.9,113.7,190.8,103.4,143.1,-,150.8,98.8,149.1,-,172,107.9,169.7,99.8,133.5,103.6,170.4,105.1,161.7,107.4,179.3,-,123.8,-,108.4,97.7,130.9,-,126,109.2,150.5,122,164.5,-,115.9,-,80.6,-,117.8,-,121.3,-,109,124.3,114.1,95.5,99.4,100,110.7,-,120.1,-,133.8,105.6,137.9,110.1,121.3,-,107.8,,,-,123.5,-,116.5,106.5,123.6,-,113,-,125.3,110.4,117.6,-,122.3,-,140.3,-,109.2,-,110.2,-,104,103.9,113.6,-,105
2,2018 (FY),82318968862,0,7221944806,2081700,1669593779,,,3003745,1520438153,24775927,809981185,3004157,543421654,2549080,546582413,0,4883758303,0,396656023,11884,1473007139,121843,1032425577,3228220,168425096,0,19094368868,173477,8721300043,0,1949959525,29613,1440358040,80553,4862365822,10632,654782998,188527,2840587962,113781,1518566332,0,8524461408,0,1901102795,101468981,2968240340,0,7455488702,8260371,1031368165,3526520,1955330081,0,1305618680,0,976944840,0,740051573,0,800346892,0,7911242779,414703,1418991044,97123,2053875931,113328,505412611,0,12334460085,0,2782477864,20399,2183834970,374881,831159173,0,1302946770,,,0,661066789,0,3041162165,34602813,1923875861,0,790205500,0,3510159168,373903,1387041727,0,979643483,0,813937372,0,11383084743,0,1818903417,0,3327413992,1539508,781282265,0,619625804
2,2019 (FY),77172426785,0,7141364040,2040493,1551635897,,,3046491,1551481051,25035615,801944156,2914988,533205192,2591222,542830422,0,4878595829,0,343218035,11486,1360378320,117804,1230133363,3359311,166371105,0,16565508135,172033,7980390210,0,1569217538,28913,1209081616,76498,4094721209,10444,523970994,186875,2367444667,109968,1211649033,0,8078320936,0,1652080871,104234953,3158154074,0,6907096707,7910819,893571939,3247885,1770216428,0,1260845781,0,926472586,0,666229086,0,736831261,0,7350288441,347298,1176290365,105832,2148036625,119780,502937201,0,11762290083,0,2580043291,21864,2017129807,370331,813808444,0,1337922940,,,0,645799011,0,2782306147,31954428,1621216737,0,743287207,0,3485274803,363008,1416869289,0,854437676,0,858559004,0,11003687811,0,1812091573,0,3122487357,1555828,768307313,0,632113792
2,2020 (FY),68469328157,0,6606957350,1921144,1359539281,,,2864266,1397839691,24043354,766170657,2737706,500425086,2598615,526036170,0,4924035025,0,270526072,9727,1626351308,98705,1075352547,3138814,164294801,0,10587808659,140532,4057163140,0,1221720082,31764,949451938,76357,3150139566,10103,477539773,172999,1642655410,105165,888847257,0,7903384030,0,1635398260,103852893,3254034956,0,6702887753,6542830,706230168,2659446,1820849827,0,1151393912,0,1273585152,0,574803236,0,608928445,0,7221478935,311094,878349325,115057,2563425280,93097,411739107,0,11802040664,0,2548401649,24513,2037891475,347352,773457662,0,1317258348,,,0,640208696,0,3053040456,36955292,1753278101,0,646399612,0,2640705865,325213,1205841199,0,692993212,0,395309772,0,10080029876,0,1738961835,0,2710386842,1745123,778814640,0,492298328
2,(Ratio to PY(FY)),88.7,-,92.5,94.2,87.6,,,94,90.1,96,95.5,93.9,93.9,100.3,96.9,-,100.9,-,78.8,84.7,119.6,83.8,87.4,93.4,98.8,-,63.9,81.7,50.8,-,77.9,109.9,78.5,99.8,76.9,96.7,91.1,92.6,69.4,95.6,73.4,-,97.8,-,99,99.6,103,-,97,82.7,79,81.9,102.9,-,91.3,-,137.5,-,86.3,-,82.6,-,98.2,89.6,74.7,108.7,119.3,77.7,81.9,-,100.3,-,98.8,112.1,101,93.8,95,-,98.5,,,-,99.1,-,109.7,115.6,108.1,-,87,-,75.8,89.6,85.1,-,81.1,-,46,-,91.6,-,96,-,86.8,112.2,101.4,-,77.9
2,2020 Oct.-Dec.,17509341832,0,1678190281,531084,387483631,,,721633,347102318,5980828,178147460,673501,126299980,615653,119382806,0,1260672750,0,58428099,2232,397477845,27750,307053176,679426,35118234,0,2565371076,36552,1056006766,0,306141496,8165,242748033,19683,696961788,2331,107362092,44532,391456386,26678,205701947,0,1864387871,0,394389950,24831275,766200111,0,1633022283,1661399,167160161,674927,470868018,0,283540721,0,273672196,0,144946988,0,149130315,0,1816367371,81546,232684909,29426,631422690,22766,97041336,0,3300267275,0,643585114,6219,512932976,96166,215388196,0,376225907,,,0,161358021,0,995317262,11754586,644752408,0,167285189,0,733047693,97216,347257100,0,196290313,0,101468979,0,2658015232,0,455518714,0,695477230,452076,202792018,0,137252132
