Exp or Imp,Year & Month,Grand Total,FOODSTUFF,,RAW MATERIALS,,MINERAL FUELS,,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,, PLASTIC MATERIALS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, RUBBER MANUFACTURED,, PAPER & PAPER MANUFACTURES,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,, METALWORKING MACHINERY,, PUMP AND CENTRIFUGES,, CONSTRUCTION MACHINES,, MECHANICAL HANDLING EQUIP,, HEATING OR COOLING MACHINE,, TEXTILE MACHINES,, BALL OR ROLLER BEARINGS,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, (TV RECEIVER),, AUDIO APPARATUS,," PARTS OF AUDIO, VISUAL APP.",, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,, ELECTRICAL APPARATUS,, BATTERIES AND ACCUMULATORS,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, (CAR),, (BUS&TRUCK),, PARTS OF MOTOR VEHICLES,," MOTORCYCLES, AUTOCYCLES",, SHIPS,,OTHERS,," SCIENTIFIC, OPTICAL INST",, PHOTOGRAPHIC SUPPLIES,, BLANK/RECORDED MEDIA,
,,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value,TMT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value, NO  ,Value, NO  ,Value, MT  ,Value,TNO  ,Value, GT  ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value
1,2010,67399626696,0,406115426,0,946147441,0,1104977282,0,6925266118,0,1872787681,0,378738075,6891035,2335967093,0,8784805107,42995,3675434906,1467142,1335279135,0,981793760,0,610032847,0,947586789,0,916236089,1856981,300596105,0,13316635390,0,2327483419,14777,446946907,0,1275307959,0,905987827,0,1160581894,0,875341813,0,595547172,0,446701482,0,223377403,0,406921965,0,12650452199,0,4152825636,61844,2736780838,38309,927773605,33289,831778202,5020,95995403,176269,48688719,0,552661641,0,760429672,0,611987881,0,1123637043,0,1747989872,0,339032367,0,15258136059,5768839,9174074877,5011078,7898017334,691024,1181410598,2893436,3083283826,826,274292443,19614099,2242260293,0,8007091674,0,2013537452,0,410454485,1130732,283585760
1,2011,65546474948,0,359055859,0,971581774,0,1247066026,0,6798023258,0,1907991005,0,358987405,6280636,2187820812,0,8786145775,40852,3709150672,1267769,1294607937,0,993383954,0,630512226,0,920656825,0,966664594,1330924,254316691,0,13803298135,0,2316523730,15029,377196194,0,1126202442,0,1199910217,0,1199795304,0,1001324593,0,658738879,0,438334823,0,245033487,0,453820325,0,11600075378,0,3564780065,57252,2320559978,32161,777597687,27155,689725133,5006,87872554,154680,37872163,0,433116619,0,762880445,0,518343354,0,1205477111,0,1680083577,0,313747702,0,14033416277,5362242,8204173185,4650676,6940332843,649319,1166308894,2814618,2997168362,840,265958670,19030402,2046345950,0,7947812466,0,2108861663,0,394933169,909594,226707929
1,2012,63747572215,0,355401445,0,1059693116,0,1025553562,0,6364577386,0,1818292875,0,320393108,5775450,2042907882,0,8442118754,42110,3495549951,1365621,1261540266,0,1048343270,0,614603384,0,856144470,0,950380046,1094570,198934066,0,12842847786,0,2261207743,17143,338157717,0,1051746641,0,1331609291,0,1094319099,0,977800654,0,577493873,0,381473710,0,189802629,0,406386749,0,11405136972,0,3339409612,57720,2229268883,25184,844971882,20973,759349796,4211,85622086,121025,43087846,0,411843634,0,799457166,0,471404074,0,1240481022,0,1624742792,0,342314534,0,14994563853,5843807,9224988145,5042971,7764773984,719497,1315551825,2947301,3205057022,818,249290556,16992701,1716019205,0,7257679341,0,2084459724,0,382364475,608033,202051842
1,(Ratio to PY),97.3,-,99.0,-,109.1,-,82.2,-,93.6,-,95.3,-,89.2,92.0,93.4,-,96.1,103.1,94.2,107.7,97.4,-,105.5,-,97.5,-,93.0,-,98.3,82.2,78.2,-,93.0,-,97.6,114.1,89.7,-,93.4,-,111.0,-,91.2,-,97.7,-,87.7,-,87.0,-,77.5,-,89.5,-,98.3,-,93.7,100.8,96.1,78.3,108.7,77.2,110.1,84.1,97.4,78.2,113.8,-,95.1,-,104.8,-,90.9,-,102.9,-,96.7,-,109.1,-,106.8,109.0,112.4,108.4,111.9,110.8,112.8,104.7,106.9,97.3,93.7,89.3,83.9,-,91.3,-,98.8,-,96.8,66.8,89.1
1,2009 (FY),59007878982,0,387814817,0,903808116,0,996688521,0,6377323871,0,1845623314,0,383390953,6733657,2096429293,0,7535487265,38667,3032471918,1485656,1180743859,0,847334507,0,576659504,0,815971034,0,801360732,1580457,263760880,0,10385124173,0,1997008572,13853,444010782,0,1269145434,0,576057309,0,994797433,0,578498191,0,471242475,0,438450442,0,141860616,0,302823350,0,11695912373,0,3822332852,53069,2543802315,40491,985773535,35417,896582489,5074,89191046,187942,48801029,0,551065235,0,748975532,0,690554913,0,902631986,0,1489704887,0,344943706,0,13287634030,4915822,7745080028,4266545,6757386488,599392,916069110,2468593,2665239631,767,263348946,18691327,2105165213,0,7438085816,0,1766001620,0,383640819,1293985,311077664
1,2010 (FY),67788837683,0,406941012,0,952970205,0,1180723322,0,7025015592,0,1912567171,0,379192745,6854310,2342329602,0,8922111772,43228,3791914680,1396274,1325328390,0,997753714,0,615771186,0,949571458,0,926611825,1821482,297411068,0,13781396318,0,2360305495,14520,428536598,0,1242874929,0,995498806,0,1178353978,0,936851257,0,633897948,0,442756565,0,241686039,0,426375491,0,12544055602,0,4069848648,62543,2674839057,36482,906166131,31774,806859354,4708,99306777,172140,45839751,0,529400627,0,764477544,0,595924933,0,1159963862,0,1758359251,0,330836495,0,15022594742,5735582,9035906988,4995393,7781600737,672746,1160006989,2899486,3086380402,829,268124530,18952815,2147099982,0,7953029118,0,2034534328,0,408833246,1072379,267434751
1,2011 (FY),65288486576,0,341660375,0,979487693,0,1154695550,0,6555701652,0,1840996684,0,346150259,6027176,2109243000,0,8668084542,39608,3623702975,1304654,1287099436,0,1002195096,0,632556490,0,896302456,0,978458495,1147151,230911449,0,13760020894,0,2326133005,16027,376971862,0,1102153361,0,1264164509,0,1182050284,0,1041322283,0,642090173,0,435003700,0,229578630,0,443220934,0,11546289481,0,3472186033,56065,2276109326,31956,802710825,26948,713051063,5008,89659762,143788,39473994,0,421723364,0,776465543,0,517108825,0,1221618723,0,1665272515,0,320300942,0,14385799992,5547212,8547919407,4807177,7187142358,676235,1259660040,2857917,3049490542,861,267993518,18932126,1992037933,0,7896746397,0,2112537728,0,392783173,864053,228035333
1,(Ratio to PY(FY)),96.3,-,84.0,-,102.8,-,97.8,-,93.3,-,96.3,-,91.3,87.9,90.0,-,97.2,91.6,95.6,93.4,97.1,-,100.4,-,102.7,-,94.4,-,105.6,63.0,77.6,-,99.8,-,98.6,110.4,88.0,-,88.7,-,127.0,-,100.3,-,111.2,-,101.3,-,98.2,-,95.0,-,104.0,-,92.0,-,85.3,89.6,85.1,87.6,88.6,84.8,88.4,106.4,90.3,83.5,86.1,-,79.7,-,101.6,-,86.8,-,105.3,-,94.7,-,96.8,-,95.8,96.7,94.6,96.2,92.4,100.5,108.6,98.6,98.8,103.8,100.0,99.9,92.8,-,99.3,-,103.8,-,96.1,80.6,85.3
1,2011 Oct.-Dec.,16326983140,0,98394852,0,238137927,0,269633245,0,1578970184,0,440691687,0,84673809,1507878,508268562,0,2109084918,9485,862887377,344615,301704946,0,259839141,0,168258212,0,207422245,0,245890793,280315,58217344,0,3387916236,0,590664024,4203,95027721,0,269231606,0,326962471,0,299745120,0,268973978,0,163119151,0,98668859,0,55090022,0,110081859,0,2827408011,0,827026367,13104,552924135,7119,174512040,5866,153224647,1252,21287393,38667,10021750,0,91478992,0,198990041,0,126757958,0,307553730,0,422414743,0,74986610,0,3832442389,1619857,2423265779,1405357,2032697205,195871,359495104,763381,809337287,228,73763188,3841842,398357229,0,1984995378,0,542056141,0,97024639,224324,59099716
