Exp or Imp,Year & Month,Grand Total,FOODSTUFF,, FISH AND FISH PREPARATION,," (SHRIMPS, PRAWNS, LOBSTERS)",, MEAT AND MEAT PREPARATION,," CEREALS, CEREAL PREPARATION",, VEGETABLES,, FRUITS,,RAW MATERIALS,, WOOD,, ORE OF NONFERROUS,, IRON ORE AND CONCENTRATES,, SOY BEANS,,MINERAL FUELS,, PETROLEUM,, PETROLEUM PRODUCTS,, (PETROLEUM SPIRITS),, LNG,, LPG,, COAL,, (COAL N.E.S),,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, WOOD & CORK MANUFACTURED,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO AND VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, PARTS OF MOTOR VEHICLES,, AIRCRAFT,,OTHERS,," SCIENTIFIC, OPTICAL INST",, CLOTHING AND ACCESSORIES,, FURNITURE,, BAGS,
,,Value,     ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,TMT  ,Value,TMT  ,Value, MT  ,Value,     ,Value,TKL  ,Value,     ,Value,TKL  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,TMT  ,Value,     ,Value,     ,Value, KG  ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,MNO  ,Value,     ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value
2,2009,51499377779,0,4999394466,2169250,1207670665,202646,172007272,2150402,893856836,26014085,734673557,2357730,334620488,2702441,350729917,0,3395106904,0,282461127,12001,1051455575,105471,810964172,3390080,163314533,0,14201601552,213000,7563768382,0,1145132945,24959,880853813,64552,2827247628,12248,591568076,161811,2056908542,91796,931196532,0,4582629904,0,1230233759,84296453,1328600717,0,4344552474,4393415,497117540,2324195,1012683960,0,725431496,0,624454430,0,489300519,0,519655130,0,4224793128,0,672191496,107886,1307236285,0,483522682,0,6508730957,0,1758219033,12658,1509813671,0,1127965907,23651,269216740,0,380091586,0,1006598269,0,345772334,0,1500661921,158603,454948288,0,369594567,0,447682243,0,7741906473,0,1115701933,0,2358346702,0,461939346,0,401658719
2,2010,60764956840,0,5199419836,2250378,1260182267,210308,181259628,2358775,966252027,26614831,721507530,2654098,368261993,2656430,350712660,0,4765880172,0,326779400,13975,1470412661,134317,1356576512,3455633,160581615,0,17397958076,214618,9405875538,0,1592852394,27950,1244332964,70008,3471846720,12144,779654285,184560,2110698929,101614,955635755,0,5379439398,0,1349574309,86949575,1522579493,0,5378596487,6925617,761758928,3254009,1606178963,0,761354171,0,623375349,0,540261001,0,579731142,0,4825707888,0,653339163,119724,1548034406,0,569821633,0,8101043018,0,2136035121,16649,1773224900,0,1626979036,29168,342879830,0,435701031,0,1252876528,0,415936392,0,1681355181,245857,595754569,0,487859182,0,367081541,0,8035556784,0,1281600596,0,2328311267,0,487464605,0,404235079
2,2011,68111187178,0,5854222060,2254535,1349681364,209949,185401152,2535947,1067205812,26216228,885026602,2919847,395121918,2703687,375590205,0,5270347292,0,347053373,11724,1338015067,128399,1707935796,2830773,144318024,0,21816149808,208872,11414740691,0,2226140582,28641,1533044007,78532,4787162723,12474,891531692,175239,2459154834,101184,1111052000,0,6097637754,0,1429507067,92262336,1725018841,0,6069199809,7975517,944570333,3387844,1812672539,0,819029421,0,727399482,0,572445335,0,642963769,0,4969742215,0,626703768,108149,1611602855,0,444538160,0,7988833365,0,1762236132,16162,1419189064,0,1452747972,28715,310965549,0,494433503,0,1575949151,0,431325772,0,1737576596,291306,735183094,0,471703294,0,289542063,0,8307478279,0,1279889373,0,2597568990,0,504742917,0,410282681
2,(Ratio to PY),112.1,-,112.6,100.2,107.1,99.8,102.3,107.5,110.4,98.5,122.7,110.0,107.3,101.8,107.1,-,110.6,-,106.2,83.9,91.0,95.6,125.9,81.9,89.9,-,125.4,97.3,121.4,-,139.8,102.5,123.2,112.2,137.9,102.7,114.3,94.9,116.5,99.6,116.3,-,113.4,-,105.9,106.1,113.3,-,112.8,115.2,124.0,104.1,112.9,-,107.6,-,116.7,-,106.0,-,110.9,-,103.0,-,95.9,90.3,104.1,-,78.0,-,98.6,-,82.5,97.1,80.0,-,89.3,98.4,90.7,-,113.5,-,125.8,-,103.7,-,103.3,118.5,123.4,-,96.7,-,78.9,-,103.4,-,99.9,-,111.6,-,103.5,-,101.5
2,2008 (FY),71910441654,0,5991819718,2255445,1386299124,202688,193339329,2320810,1070579963,26001869,1113155017,2397188,357088712,2691323,390815222,0,5037255012,0,415153386,13527,1421958401,128445,1327799894,3628635,226309054,0,24482197857,232989,13639520230,0,2001379495,23331,1383660468,68135,4498022756,13243,994144771,185514,3255192871,96509,1324199090,0,5408045697,0,1424337662,85491574,1177162711,0,6688242527,7017592,1121766914,3312485,2147252362,0,914467048,0,682983887,0,625597325,0,680134506,0,5540237033,0,832122120,117495,1636595577,0,574017865,0,7738278811,0,2132821528,14415,1828175404,0,1236243420,23168,285345502,0,518704628,0,1044433410,0,458089808,0,2038691027,227810,658571155,0,558727588,0,534772188,0,8985673972,0,1354657755,0,2624401117,0,540159361,0,463811748
2,2009 (FY),53820851871,0,4973817711,2166606,1197598626,203990,171826430,2140213,876080721,26542161,734626556,2427390,345309543,2669356,346905363,0,3588866194,0,269692590,12560,1180645311,115194,812476389,3362097,163420045,0,15259513207,212698,8587446574,0,1337014965,26850,1064784166,66354,2855171701,11805,643803660,164775,1815794255,90946,828172953,0,4826022407,0,1280301428,84762391,1419444402,0,4521496572,4839940,500362206,2518151,1146086470,0,721798497,0,630990800,0,502482861,0,528552774,0,4316726104,0,667668310,114519,1352767485,0,514022385,0,7003653213,0,1919182012,14124,1638060006,0,1267016404,25966,303391383,0,388133924,0,1050267736,0,370111610,0,1502349441,163904,467136907,0,413379625,0,402468170,0,7828407022,0,1191729090,0,2296158533,0,466883161,0,390626424
2,2010 (FY),62456703759,0,5313864494,2239785,1285871396,211585,183827619,2419522,997697428,26182879,731996637,2779796,377586136,2686396,357299400,0,5053078792,0,339226486,13588,1488040160,133626,1513215451,3344420,158249075,0,18143792414,215013,9755883197,0,1707225502,28197,1290023399,70562,3549215813,12525,828348421,186637,2261523292,105012,1030958520,0,5465305021,0,1339825429,87617718,1523954309,0,5555382943,7271703,811382877,3289886,1673583523,0,773258259,0,647565554,0,551146475,0,595703820,0,4897092171,0,659182760,116758,1570347863,0,551873522,0,8208597048,0,2093028113,16797,1723166850,0,1676939434,29423,337126693,0,446936872,0,1344163999,0,411275856,0,1724317270,272658,642609576,0,487331676,0,359667401,0,8095273606,0,1273349278,0,2397536032,0,492300378,0,409229288
2,(Ratio to PY(FY)),116.0,-,106.8,103.4,107.4,103.7,107.0,113.1,113.9,98.6,99.6,114.5,109.3,100.6,103.0,-,140.8,-,125.8,108.2,126.0,116.0,186.2,99.5,96.8,-,118.9,101.1,113.6,-,127.7,105.0,121.2,106.3,124.3,106.1,128.7,113.3,124.5,115.5,124.5,-,113.2,-,104.6,103.4,107.4,-,122.9,150.2,162.2,130.6,146.0,-,107.1,-,102.6,-,109.7,-,112.7,-,113.4,-,98.7,102.0,116.1,-,107.4,-,117.2,-,109.1,118.9,105.2,-,132.4,113.3,111.1,-,115.2,-,128.0,-,111.1,-,114.8,166.4,137.6,-,117.9,-,89.4,-,103.4,-,106.8,-,104.4,-,105.4,-,104.8
2,2010 Oct.-Dec.,15584495089,0,1295075120,644980,351784356,62008,54609107,599765,241173233,6460640,167826750,705341,95052162,633787,84544646,0,1317562641,0,82060216,3830,392643801,34602,428507740,811551,36353052,0,4393051178,55806,2389427046,0,431287480,7775,337078201,17296,815370886,2975,191634277,46959,558503938,26615,251758742,0,1326676079,0,315443098,22055218,379144026,0,1368047189,1791638,207639708,775680,390930674,0,194687584,0,166514388,0,139149246,0,145756134,0,1194153856,0,152061709,30208,390604652,0,135006741,0,2148706179,0,512994604,4202,420626271,0,499577443,8456,101205104,0,112104841,0,345087543,0,106171374,0,457020988,71243,169658035,0,124454485,0,101797628,0,2084201859,0,327900838,0,625649662,0,126794011,0,105202630
