File or Sheet,base year,last updated
Hourly wage rate indice for labourers - All non-agricultural sectors,2017Q2,2022-04-01
All households - France - Services,2015,2022-04-01
Price index of second-hand dwellings - Metropolitan France - All items,2015,2022-04-01
Industrial production index,2015,2022-04-01
Industrial producer and import price indices,2015,2022-04-01
Consumer price index,2015,2022-04-01
Turnover index in wholesale and retail trade,2015,2022-04-01
