Date;2947 - Exports (Fob) - Primary products - US$;2974 - Exports (Fob) - Semimanufactured products - US$;3001 - Exports (Fob) - Manufactured products - US$;3546 - International reserves - Total - monthly - US$ (million);3695 - Exchange rate - Free - United States dollar (purchase) - end of period - 3695 - c.m.u./US$;3698 - Exchange rate - Free - United States dollar (sale) - period average - 3698 - c.m.u./US$
01/1953;-;-;-;-;18.3800 ;18.7200
02/1953;-;-;-;-;36.5000 ;38.0000
03/1953;-;-;-;-;41.0000 ;38.2581
04/1953;-;-;-;-;39.0000 ;41.9333
05/1953;-;-;-;-;43.0000 ;40.2581
06/1953;-;-;-;-;43.7000 ;44.0700
07/1953;-;-;-;-;39.9000 ;44.3800
08/1953;-;-;-;-;37.5000 ;40.6677
09/1953;-;-;-;-;37.1000 ;38.4867
10/1953;-;-;-;-;37.1000 ;38.1000
11/1953;-;-;-;-;51.0000 ;38.5967
12/1953;-;-;-;-;54.5000 ;53.0968
01/1954;-;-;-;-;53.0000 ;56.3700
02/1954;-;-;-;-;58.5000 ;54.8929
03/1954;-;-;-;-;56.6000 ;59.9452
04/1954;-;-;-;-;50.5000 ;58.0900
05/1954;-;-;-;-;55.0000 ;52.1452
06/1954;-;-;-;-;56.0000 ;56.5333
07/1954;-;-;-;-;58.5000 ;57.6613
08/1954;-;-;-;-;59.8000 ;60.0419
09/1954;-;-;-;-;61.8000 ;61.3667
10/1954;-;-;-;-;64.0000 ;63.5129
11/1954;-;-;-;-;69.5000 ;65.6833
12/1954;-;-;-;-;72.0000 ;71.1613
01/1955;-;-;-;-;70.0000 ;73.4355
02/1955;-;-;-;-;71.0000 ;71.5357
03/1955;-;-;-;-;73.5000 ;72.5806
04/1955;-;-;-;-;74.0000 ;75.0333
05/1955;-;-;-;-;74.0000 ;75.5000
06/1955;-;-;-;-;73.0000 ;75.4667
07/1955;-;-;-;-;69.5000 ;74.2100
08/1955;-;-;-;-;68.5000 ;71.4677
09/1955;-;-;-;-;65.0000 ;70.3833
10/1955;-;-;-;-;63.0000 ;66.9355
11/1955;-;-;-;-;63.5000 ;65.0167
12/1955;-;-;-;-;64.5000 ;65.5645
01/1956;-;-;-;-;67.0000 ;66.5806
02/1956;-;-;-;-;66.5000 ;68.9828
03/1956;-;-;-;-;68.0000 ;68.6935
04/1956;-;-;-;-;70.0000 ;70.0667
05/1956;-;-;-;-;76.0000 ;72.3871
06/1956;-;-;-;-;76.0000 ;78.0000
07/1956;-;-;-;-;70.0000 ;77.6129
08/1956;-;-;-;-;70.0000 ;72.0000
09/1956;-;-;-;-;65.0000 ;71.5000
10/1956;-;-;-;-;65.0000 ;67.0000
11/1956;-;-;-;-;63.0000 ;66.9333
12/1956;-;-;-;-;63.5000 ;65.0645
01/1957;-;-;-;-;63.5000 ;65.5000
02/1957;-;-;-;-;64.3000 ;65.5286
03/1957;-;-;-;-;63.3000 ;66.2000
04/1957;-;-;-;-;66.5000 ;65.4067
05/1957;-;-;-;-;71.5000 ;68.6613
06/1957;-;-;-;-;69.0000 ;73.2500
07/1957;-;-;-;-;72.0000 ;71.0871
08/1957;-;-;-;-;77.3000 ;74.0419
09/1957;-;-;-;-;80.3000 ;79.1000
10/1957;-;-;-;-;84.3000 ;82.2581
11/1957;-;-;-;-;91.3000 ;86.4900
12/1957;-;-;-;-;88.8000 ;93.2194
01/1958;-;-;-;-;96.3000 ;92.8742
02/1958;-;-;-;-;96.8000 ;99.5679
03/1958;-;-;-;-;106.3000 ;103.2194
04/1958;-;-;-;-;120.3000 ;113.1333
05/1958;-;-;-;-;122.5000 ;130.4258
06/1958;-;-;-;-;130.3000 ;131.0333
07/1958;-;-;-;-;132.3000 ;134.6548
08/1958;-;-;-;-;152.3000 ;138.9290
09/1958;-;-;-;-;154.3000 ;157.6167
10/1958;-;-;-;-;139.8000 ;146.7677
11/1958;-;-;-;-;135.3000 ;141.8833
12/1958;-;-;-;-;137.8000 ;138.2194
