Date;23467 - Balance on goods - Balance of Payments - annual - net - US$ (million)
1995;-4,571.0
1996;-6,636.2
1997;-7,750.6
1998;-7,627.6
1999;-2,062.3
2000;-1,788.8
2001;1,536.7
2002;12,003.8
2003;23,576.3
2004;32,284.0
2005;43,721.6
2006;45,177.7
2007;38,498.3
2008;23,507.0
2009;24,790.3
2010;18,357.9
2011;27,525.1
2012;16,908.4
2013;369.0
2014;-6,738.9
2015;17,445.0
2016;44,543.6
2017;57,325.0
2018;43,375.6
2019;26,546.7
2020;32,369.6
2021;36,363.4
Source;BCB-DSTAT
