Exp or Imp,Year & Month,Grand Total,FOODSTUFF,,RAW MATERIALS,,MINERAL FUELS,,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,, PLASTIC MATERIALS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, RUBBER MANUFACTURED,, PAPER & PAPER MANUFACTURES,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,, SEMICON MACHINERY ETC,, METALWORKING MACHINERY,, PUMP AND CENTRIFUGES,, CONSTRUCTION MACHINES,, MECHANICAL HANDLING EQUIP,, HEATING OR COOLING MACHINE,, TEXTILE MACHINES,, BALL OR ROLLER BEARINGS,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO & VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, (TV RECEIVER),," PARTS OF AUDIO, VISUAL APP.",, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,, ELECTRICAL APPARATUS,, BATTERIES AND ACCUMULATORS,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, (CAR),, (BUS&TRUCK),, PARTS OF MOTOR VEHICLES,," MOTORCYCLES, AUTOCYCLES",, AIRCRAFT,, SHIPS,,OTHERS,," SCIENTIFIC, OPTICAL INST",, PHOTOGRAPHIC SUPPLIES,
1,2021 May.,6260587223,0,74309014,0,125917651,0,39382452,0,816282721,0,154332823,3373040,63740864,467406,223330656,0,759910216,2754,281887703,119869,161402845,0,99804108,0,52620209,0,69618970,107122,66452867,208536,26444221,0,1227132041,97339,180093547,1227,27309246,10292,77870386,10749,226201822,0,79669741,0,103267429,0,100649876,0,45962288,0,33884710,0,19802016,23029,37643191,0,1151547774,0,363430930,7159,245190740,6733,34037181,614,22931366,415,7864361,0,14814042,0,91197555,0,31877671,0,137783597,0,157925769,0,49035969,0,1185606045,380291,754117489,325559,653271590,50667,97725035,197374,278358651,56,23885784,0,19799192,885684,87229186,0,880499309,0,179769778,0,47041059
1,2021 Jun.,7223759368,0,79476966,0,135153264,0,48651413,0,885152214,0,159594284,3761462,68134968,495259,248726356,0,863598101,3056,333840647,124313,177951977,0,110111620,0,59020725,0,73679527,125839,78776748,221319,27992386,0,1427037693,111572,207611789,1278,28977747,11082,85016438,12400,278572177,0,86105853,0,120153579,0,137344094,0,50451483,0,37956723,0,21576015,27170,43787050,0,1284828709,0,396642019,7484,258004946,6402,32175519,667,21587555,366,7242070,0,19274497,0,98348505,0,38882689,0,157315987,0,180103172,0,58470015,0,1502103265,471762,1043339310,408929,916948972,58268,121939763,216518,309060690,64,26020796,0,17219686,840207,78278751,0,997757743,0,198146277,0,49255137
1,2021 Jul.,7354679267,0,82457708,0,115389164,0,83331300,0,877561253,0,151559552,4086390,75427141,497401,253219102,0,879165864,3024,350714732,127169,178020182,0,112872926,0,56749068,0,76965237,116118,75108998,195848,26606754,0,1417033145,111683,215385276,1244,30057255,11084,89426459,13326,285052443,0,86172218,0,128965325,0,114501122,0,48065662,0,38372100,0,20082989,26373,43348429,0,1357562102,0,429433835,7521,290229071,6548,34041703,578,22402992,366,8163077,0,30093512,0,109170822,0,35395600,0,169186719,0,185234081,0,57975961,0,1566957150,484447,1091061579,417888,959964489,62157,127559598,227012,324208134,65,25389743,0,14137519,872230,86774594,0,975221581,0,195863323,0,53937567
1,2021 Aug.,6604816287,0,83492924,0,112916565,0,93971476,0,850648347,0,153223999,3630203,57621039,477751,240502763,0,842288771,2919,346836509,121853,168512289,0,100422880,0,52778598,0,74848187,111618,70827127,187203,26213913,0,1298911177,95658,191666145,899,26052320,11191,83799088,12701,283540788,0,76334272,0,110561726,0,92673363,0,46638625,0,33537574,0,22300560,23930,39179940,0,1233188766,0,410636334,7180,284712955,4873,30581607,573,19999694,316,7811282,0,20978184,0,94181189,0,30491461,0,144883853,0,169215955,0,51828689,0,1153094291,359367,728807347,304913,633082993,50264,92594275,195059,279578044,56,22129632,0,13214541,736943,80943458,0,936303970,0,186707023,0,47106763
1,2021 Sep.,6840480055,0,84636906,0,114706659,0,123730273,0,913082014,0,173870459,4285604,79082031,502306,250918185,0,885935460,2940,364228211,130670,187602591,0,105253811,0,53442813,0,74077639,108420,72485786,199498,26769597,0,1348265624,104167,205082007,800,27608524,10231,80753847,12519,281646787,0,90459397,0,112997587,0,99645375,0,47486023,0,33975640,0,19304524,25458,42065601,0,1350904130,0,454345183,7329,313994733,7263,37874749,654,27163835,316,7510180,0,19359074,0,105442347,0,34445729,0,155052062,0,186023389,0,49563782,0,1049382102,312500,586253584,258857,481066593,49636,101397185,206363,302387942,56,22554001,0,14017371,1023883,92775259,0,969836887,0,194915908,0,50784965
1,2021 Oct.,7183225328,0,91656767,0,118402703,0,111000260,0,945094264,0,181172102,4680990,79133310,525504,268050300,0,916756581,2750,362013157,133863,185836483,0,114016948,0,61130311,0,82255634,120502,79470918,222015,29835163,0,1467803985,112477,211698083,1011,29520832,11899,88964236,12958,297291487,0,90461962,0,123741558,0,113175577,0,59390849,0,39036357,0,20857329,28455,46517926,0,1390212633,0,454376201,7305,315433884,6433,34853465,634,24687614,335,6658977,0,23141987,0,115400570,0,33532558,0,167528887,0,190326055,0,63796009,0,1102077271,345351,669240035,294001,570522248,48027,95775444,206179,295226679,58,22083864,0,10721628,855914,73684817,0,1040220864,0,209065922,0,52679734
1,2021 Nov.,7366999110,0,89903054,0,113753572,0,114392630,0,906613886,0,190529580,4411945,68152355,485266,250595387,0,891233203,2852,373733057,124640,174057874,0,100656272,0,59020519,0,76133879,121815,79587850,184663,25843750,0,1403609048,112991,230181750,854,27986026,9769,76190645,12776,305332021,0,83283768,0,113878180,0,109526547,0,57911417,0,37286678,0,22730836,25036,41718352,0,1334517184,0,439077119,6984,309312749,6957,38245226,680,28549024,344,6686317,0,21216069,0,106456428,0,38265302,0,161688067,0,174339966,0,58501121,0,1491664977,451548,1036295886,392861,913259003,54904,118711653,199875,296049505,59,24276309,0,15348827,844975,81884861,0,1021311556,0,212834507,0,52210826
1,2021 Dec.,7881158726,0,104763367,0,124402992,0,100420916,0,963934262,0,191959316,4386009,68078329,522834,276945208,0,942736498,2780,379387502,132087,181797880,0,116867478,0,66594212,0,82820943,129198,83822274,201264,29014832,0,1565412642,123051,248142754,846,28863347,11008,85165218,15162,345291566,0,88836089,0,130255683,0,120637465,0,59883746,0,41513354,0,22862884,28782,47926116,0,1463007555,0,487933682,7665,340205684,4936,38029208,768,27216997,352,6929397,0,19018609,0,117590546,0,39634880,0,174050555,0,194696216,0,64646717,0,1553313233,477805,1103112825,416953,977476747,56865,121380992,220033,321475934,61,29676429,0,10403112,500313,57206322,0,1063167261,0,225283917,0,57236720
1,2022 Jan.,6331798617,0,67204087,0,90752078,0,152807995,0,834248111,0,169068215,4713767,108994149,371795,215682221,0,759004942,2368,306896152,112698,172068368,0,86283241,0,45932864,0,66202017,92433,59147314,141370,20944062,0,1158536800,83287,179010942,564,22988244,9260,69188563,10458,259407080,0,62032749,0,92467806,0,101788491,0,44090650,0,27206377,0,17251071,19638,34354260,0,1164968815,0,400407997,6810,280629794,17748,54829290,658,21434426,204,4062223,0,13997129,0,87299251,0,27434296,0,124924522,0,151133565,0,46882442,0,1205854670,334500,781748588,290908,681805641,41358,97131581,176293,264286691,56,26779831,0,8520995,1167608,101888044,0,898421119,0,157114933,0,48598877
1,2022 Feb.,7189877688,0,75376196,0,118593341,0,144827353,0,913394984,0,179718201,5331538,84984144,479046,254702363,0,876352927,2539,344385530,124091,183085070,0,107409999,0,58022264,0,76052523,116884,76702528,213003,28594745,0,1429905377,105278,214324152,833,26488565,10571,75551304,12732,307124252,0,89937321,0,117327592,0,117577883,0,57960041,0,37368890,0,24749901,23340,41008347,0,1268552351,0,407636520,6507,279542994,18545,60689936,681,23905816,215,4925138,0,15315448,0,99465821,0,31707094,0,149837565,0,167523382,0,50475957,0,1370430432,402183,934157708,350157,823137194,48451,106287118,198607,296579040,52,22714617,0,12727338,733853,67522709,0,992444727,0,176582410,0,50566249
1,(Ratio to SM),119.1,-,118.3,-,113.6,-,239.3,-,119.8,-,132.3,162.2,120.9,104.5,117.4,-,131.1,94.9,145.5,101.3,132.5,-,113.7,-,123.4,-,126.1,105.5,116.1,106.0,119.7,-,119.7,98.7,107.4,70.5,110.6,98.7,98.4,113.6,128.0,-,138.4,-,113.4,-,124.9,-,138.5,-,129.0,-,140.1,99.8,113.5,-,116.0,-,121.4,96.3,123.4,314.8,168.8,113.1,101.3,52.3,56.9,-,108.7,-,107.9,-,106.8,-,114.1,-,111.8,-,102.4,-,104.3,94.5,108.3,94.6,108.2,92.5,108.3,93.8,103.2,83.3,82.6,-,77.1,66.2,69.8,-,127.8,-,106.2,-,116.5
