Exp or Imp,Year & Month,Grand Total,FOODSTUFF,,RAW MATERIALS,,MINERAL FUELS,,CHEMICALS,, ORGANIC CHEMICALS,, MEDICAL PRODUCTS,, PLASTIC MATERIALS,,MANUFACTURED GOODS,, IRON AND STEEL PRODUCTS,, NONFERROUS METALS,, MANUFACTURES OF METALS,," TEXTILE YARN, FABRICS",, NON-METALLIC MINERAL WARE,, RUBBER MANUFACTURED,, PAPER & PAPER MANUFACTURES,,MACHINERY,, POWER GENERATING MACHINE,, COMPUTERS AND UNITS,, PARTS OF COMPUTER,, SEMICON MACHINERY ETC,, METALWORKING MACHINERY,, PUMP AND CENTRIFUGES,, CONSTRUCTION MACHINES,, MECHANICAL HANDLING EQUIP,, HEATING OR COOLING MACHINE,, TEXTILE MACHINES,, BALL OR ROLLER BEARINGS,,ELECTRICAL MACHINERY,, SEMICONDUCTORS ETC,, (IC),, AUDIO & VISUAL APPARATUS,, (VIDEO REC OR REPRO APP),, (TV RECEIVER),," PARTS OF AUDIO, VISUAL APP.",, ELECTRICAL POWER MACHINERY,," TELEPHONY, TELEGRAPHY",, ELECTRICAL MEASURING,, ELECTRICAL APPARATUS,, BATTERIES AND ACCUMULATORS,,TRANSPORT EQUIPMENT,, MOTOR VEHICLES,, (CAR),, (BUS&TRUCK),, PARTS OF MOTOR VEHICLES,," MOTORCYCLES, AUTOCYCLES",, AIRCRAFT,, SHIPS,,OTHERS,," SCIENTIFIC, OPTICAL INST",, PHOTOGRAPHIC SUPPLIES,
,,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, KG  ,Value, MT  ,Value,     ,Value,TMT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value, MT  ,Value,     ,Value, MT  ,Value,TNO  ,Value, MT  ,Value, MT  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, MT  ,Value,     ,Value,     ,Value,MNO  ,Value,TNO  ,Value,TNO  ,Value,TNO  ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value,     ,Value, NO  ,Value, NO  ,Value, NO  ,Value, MT  ,Value,TNO  ,Value,     ,Value, GT  ,Value,     ,Value,     ,Value,     ,Value
1,2019,76931664915,0,754266770,0,1033551971,0,1382973487,0,8739096352,0,1907102664,42463537,733105490,5838554,2429667622,0,8407008622,33419,3074011235,1343935,1368403702,0,1216583342,0,704869566,0,857308108,1478418,882526355,1874929,280022729,0,15121618007,1433315,2727906305,13534,360599346,155546,966695664,130326,2467042434,0,1065209545,0,1229504740,0,1139679690,0,645734998,0,423588373,0,224935867,312137,464597778,0,13207674637,0,4005965405,63713,2836056793,88296,450892350,9801,301233242,4984,105062341,0,228185686,0,943691611,0,447169851,0,1626786813,0,1851516334,0,543182577,0,18118039901,6102517,11971189498,5395022,10682017265,649799,1222822098,2706113,3601667228,822,267425319,0,494563824,15270605,1492840571,0,10167435168,0,2129712395,0,527609618
1,2020,68399121047,0,790111486,0,1019845123,0,722807011,0,8533621792,0,1555589226,43378754,835974639,5833797,2419779183,0,7503626803,31824,2573732546,1589662,1589479908,0,1040724353,0,590944244,0,729996184,1186979,702471741,2112345,257548357,0,13140305706,1148387,2169161668,14246,305357136,124965,868183566,135830,2517183314,0,777109752,0,1173229804,0,896519682,0,497891121,0,369950117,0,181156512,235029,368784904,0,12898112476,0,4155313784,73094,2905390832,65414,379262513,8631,258490755,3859,81003057,0,189300457,0,992254499,0,376883540,0,1530338895,0,1741031800,0,519122361,0,14456212742,4837815,9579635253,4284376,8633384134,506004,901599256,2144417,2912362836,687,224579414,0,324391284,14164950,1142045698,0,9334477908,0,1968031618,0,499730719
1,2021,83091371793,0,992428579,0,1439455078,0,992891468,0,10553510802,0,1981900149,47618867,861121911,6034252,2976468521,0,9926876108,34013,3814318483,1547898,2047855816,0,1276953399,0,670631487,0,886335983,1397731,885206983,2445191,321748093,0,16382266455,1312058,2505458830,13099,328828328,132191,1005119093,152197,3352919370,0,981700113,0,1396593807,0,1309367136,0,598371690,0,425660696,0,239176070,308892,501385347,0,15309365314,0,4899549607,86924,3346083054,75343,426573838,7918,292437480,4361,92618385,0,238061861,0,1225193884,0,413690666,0,1848591342,0,2093969584,0,663949004,0,16192157242,5064159,10722197496,4371362,9385959970,645901,1291879668,2530837,3600021077,730,307422926,0,179489974,10765497,1049827391,0,11302420747,0,2322208868,0,596178218
1,(Ratio to PY),121.5,-,125.6,-,141.1,-,137.4,-,123.7,-,127.4,109.8,103.0,103.4,123.0,-,132.3,106.9,148.2,97.4,128.8,-,122.7,-,113.5,-,121.4,117.8,126.0,115.8,124.9,-,124.7,114.3,115.5,91.9,107.7,105.8,115.8,112.0,133.2,-,126.3,-,119.0,-,146.1,-,120.2,-,115.1,-,132.0,131.4,136.0,-,118.7,-,117.9,118.9,115.2,115.2,112.5,91.7,113.1,113.0,114.3,-,125.8,-,123.5,-,109.8,-,120.8,-,120.3,-,127.9,-,112.0,104.7,111.9,102.0,108.7,127.6,143.3,118.0,123.6,106.2,136.9,-,55.3,76.0,91.9,-,121.1,-,118.0,-,119.3
1,2018 (FY),80709886575,0,754395651,0,1137772872,0,1361083168,0,8928450340,0,2034633730,44533102,645147118,5817290,2529098471,0,8972857687,34284,3337515248,1410100,1459059183,0,1294600721,0,727606070,0,902774019,1465827,907585965,2230966,320365295,0,16314390062,1554901,2942127373,13374,377483531,162990,1041512593,150537,2640872743,0,1178105634,0,1287618690,0,1248487874,0,718941711,0,450896220,0,250565951,333640,498170528,0,13936234666,0,4080695972,66089,2854764774,89203,499774531,7709,345590304,5365,107396849,0,242438976,0,943193519,0,547075658,0,1734372690,0,2023164132,0,599861092,0,18781845292,6144181,12266795358,5420971,10911400535,661083,1278062433,2938888,3938189759,872,313419187,0,471370312,13384804,1429649292,0,10522856837,0,2246508910,0,537860061
1,2019 (FY),75878791946,0,744472198,0,1042783651,0,1348716341,0,8690698486,0,1836481810,41644618,765869722,5796513,2430504632,0,8407735122,35129,3105098361,1381075,1412165023,0,1195516954,0,701057853,0,823020754,1466638,871308211,1922166,277261844,0,14624765927,1384402,2648611833,14243,352034766,152474,957592885,123040,2407186425,0,990595182,0,1215699568,0,1057270747,0,607602063,0,408127767,0,218248408,296994,443855505,0,13253714097,0,4092322548,66631,2897551887,85447,440197026,10415,295052076,4832,100508765,0,227204745,0,957405844,0,428029017,0,1616671275,0,1842585880,0,536908350,0,17709585403,5997741,11744035965,5292934,10472254060,646736,1207473907,2638822,3519179922,813,270293900,0,486285554,15756802,1412222541,0,10056320721,0,2123300191,0,534769035
1,2020 (FY),69485418845,0,840300331,0,1090384845,0,613542330,0,8861218117,0,1562493293,43958506,854953428,5966536,2544809870,0,7601008888,30839,2542116224,1625758,1682911318,0,1068209069,0,578311364,0,744307830,1180195,702544729,2187950,263414715,0,13479932504,1155133,2139061774,14257,294903307,123270,889026079,143610,2659866505,0,787944142,0,1206694684,0,950847079,0,495687580,0,373151392,0,182069532,241859,383503544,0,13196186094,0,4256417251,77454,2958614622,66762,389070974,8159,267669976,3912,81269212,0,188306746,0,1039400505,0,374160514,0,1559864360,0,1793584357,0,539343691,0,14317396286,4745371,9511082863,4191761,8552333918,509076,917422514,2162049,2947406786,670,222634064,0,251994624,12854647,1096853265,0,9485449450,0,2010166022,0,503971916
1,(Ratio to PY(FY)),91.6,-,112.9,-,104.6,-,45.5,-,102.0,-,85.1,105.6,111.6,102.9,104.7,-,90.4,87.8,81.9,117.7,119.2,-,89.4,-,82.5,-,90.4,80.5,80.6,113.8,95.0,-,92.2,83.4,80.8,100.1,83.8,80.8,92.8,116.7,110.5,-,79.5,-,99.3,-,89.9,-,81.6,-,91.4,-,83.4,81.4,86.4,-,99.6,-,104.0,116.2,102.1,78.1,88.4,78.3,90.7,81.0,80.9,-,82.9,-,108.6,-,87.4,-,96.5,-,97.3,-,100.5,-,80.8,79.1,81.0,79.2,81.7,78.7,76.0,81.9,83.8,82.4,82.4,-,51.8,81.6,77.7,-,94.3,-,94.7,-,94.2
1,2020 Oct.-Dec.,19384326718,0,240469329,0,301162635,0,133273931,0,2389205055,0,407841255,11309407,212285729,1698242,708359613,0,1981365561,7395,616727314,409025,434740986,0,301689145,0,161845867,0,202629882,315702,187363095,621011,70688724,0,3670565598,336193,623039852,3926,82442126,35539,256961553,37095,705029424,0,198767886,0,342123696,0,245620762,0,137108634,0,96178498,0,44811229,66145,103086447,0,3698555283,0,1145753786,21034,803380322,19716,128710642,2676,93918453,1083,22129586,0,57469923,0,292423481,0,106531514,0,428769982,0,507010810,0,156496196,0,4386407995,1498098,2991236605,1333437,2714970365,151836,265495228,687083,934039349,190,69783667,0,64255074,3029763,244152424,0,2583321331,0,547774273,0,130995950
1,2021 Jan.-Mar.,19195414042,0,216331717,0,336700312,0,215779221,0,2439800817,0,442950478,10757277,217386616,1517258,703102448,0,2148857492,8234,744610047,411878,468761888,0,304628686,0,150760747,0,198832267,334627,201434250,610578,74856263,0,3776985314,324448,604179576,3684,73108988,33376,244976622,34437,728763181,0,223963133,0,329416090,0,300258953,0,138497153,0,95538048,0,51323710,73138,114609851,0,3459805699,0,1073218822,21008,728276378,18499,107430322,2012,72073037,1134,24769024,0,47191336,0,281802649,0,94685705,0,421895754,0,479902804,0,152322588,0,4123448456,1308430,2717705792,1141875,2407872499,156216,298600700,627158,860588095,191,83935175,0,44905091,3404134,343494052,0,2477705014,0,531172292,0,136091796
1,2021 Apr.-Jun.,20664598978,0,239186136,0,403183111,0,150265392,0,2656775959,0,496634663,11380449,216241090,1505932,733135128,0,2419902239,8515,892795268,365738,503266629,0,322234398,0,170155219,0,220402197,355433,222469780,644122,82607821,0,4104245520,327583,599123239,3762,85631036,33633,255842978,38318,826001097,0,242189274,0,346777658,0,358948734,0,140498215,0,106400945,0,59713238,77720,126019132,0,3720167245,0,1150528431,21933,763917600,19836,105517558,2020,70344287,1198,24090131,0,57063090,0,295149333,0,107239431,0,454305445,0,514231118,0,165314137,0,4152219762,1324711,2789720448,1144014,2442715398,167832,335859821,649156,920506744,183,77377773,0,56741885,2527105,233064028,0,2818653614,0,566365976,0,146129847
1,2021 Jul.-Sep.,20799975609,0,250587538,0,343012388,0,301033049,0,2641291614,0,478654010,12002197,212130211,1477458,744640050,0,2607390095,8883,1061779452,379692,534135062,0,318549617,0,162970479,0,225891063,336156,218421911,582549,79590264,0,4064209946,311508,612133428,2943,83718099,32506,253979394,38545,850240018,0,252965887,0,352524638,0,306819860,0,142190310,0,105885314,0,61688073,75761,124593970,0,3941654998,0,1294415352,22030,888936759,18683,102498059,1805,69566521,998,23484539,0,70430770,0,308794358,0,100332790,0,469122634,0,540473425,0,159368432,0,3769433543,1156314,2406122510,981658,2074114075,162057,321551058,628435,906174120,177,70073376,0,41369431,2633056,260493311,0,2881362438,0,577486254,0,151829295
1,2021 Oct.-Dec.,22431383164,0,286323188,0,356559267,0,325813806,0,2815642412,0,563660998,13478944,215363994,1533604,795590895,0,2750726282,8382,1115133716,390590,541692237,0,331540698,0,186745042,0,241210456,371515,242881042,607942,84693745,0,4436825675,348520,690022587,2711,86370205,32676,250320099,40896,947915074,0,262581819,0,367875421,0,343339589,0,177186012,0,117836389,0,66451049,82273,136162394,0,4187737372,0,1381387002,21954,964952317,18326,111127899,2082,80453635,1030,20274691,0,63376665,0,339447544,0,111432740,0,503267509,0,559362237,0,186943847,0,4147055481,1274704,2808648746,1103815,2461257998,159796,335868089,626087,912752118,178,76036602,0,36473567,2201202,212776000,0,3124699681,0,647184346,0,162127280
1,(Ratio to ST),115.7,-,119.1,-,118.4,-,244.5,-,117.8,-,138.2,119.2,101.5,90.3,112.3,-,138.8,113.3,180.8,95.5,124.6,-,109.9,-,115.4,-,119.0,117.7,129.6,97.9,119.8,-,120.9,103.7,110.8,69.0,104.8,91.9,97.4,110.2,134.5,-,132.1,-,107.5,-,139.8,-,129.2,-,122.5,-,148.3,124.4,132.1,-,113.2,-,120.6,104.4,120.1,92.9,86.3,77.8,85.7,95.1,91.6,-,110.3,-,116.1,-,104.6,-,117.4,-,110.3,-,119.5,-,94.5,85.1,93.9,82.8,90.7,105.2,126.5,91.1,97.7,93.9,109.0,-,56.8,72.7,87.1,-,121.0,-,118.1,-,123.8
1,2021 Feb.,6038346917,0,63721675,0,104379077,0,60515006,0,762663389,0,135859123,3287578,70303648,458422,216945981,0,668258230,2677,236705138,122512,138209525,0,94432345,0,47004742,0,60334855,110834,66051944,200856,23884021,0,1194442798,106637,199507540,1182,23957169,10706,76767195,11204,239883270,0,64970188,0,103439946,0,94133327,0,41844250,0,28968821,0,17664315,23383,36119370,0,1093974357,0,335685229,6755,226593519,5890,35952822,602,23592184,411,8657165,0,14094889,0,92207503,0,29674783,0,131368310,0,149824145,0,49277529,0,1313583916,425693,862609596,370220,761096668,52392,98155174,211637,287302245,62,27495786,0,16502101,1109043,96681486,0,776808469,0,166203817,0,43416542
1,2021 Mar.,7377560808,0,86848932,0,140982496,0,82921543,0,888519815,0,167728319,4343583,61377602,590332,261401563,0,848254272,3120,299181141,163310,184676438,0,116078751,0,60152561,0,76373627,132598,79853697,251068,29929379,0,1500571883,127766,241800292,1485,27463226,11665,89319669,12476,253776872,0,101218102,0,132244892,0,126367212,0,58828675,0,39174178,0,21940965,30109,47289467,0,1290777117,0,386423698,7393,257746367,6675,41343245,768,28791240,361,8587072,0,17666529,0,108124965,0,35744681,0,163361729,0,180976692,0,59707268,0,1597738596,503999,1065691125,436703,939813856,62608,121108721,229331,318298632,74,31882549,0,14815305,1172952,138242887,0,940946154,0,204006922,0,48663775
1,2021 Apr.,7180252387,0,85400156,0,142112196,0,62231527,0,955341024,0,182707556,4245947,84365258,543267,261078116,0,796393922,2704,277066918,121556,163911807,0,112318670,0,58514285,0,77103700,122472,77240165,214267,28171214,0,1450075786,118672,211417903,1257,29344043,12259,92956154,15169,321227098,0,76413680,0,123356650,0,120954764,0,44084444,0,34559512,0,18335207,27521,44588891,0,1283790762,0,390455482,7290,260721914,6701,39304858,739,25825366,417,8983700,0,22974551,0,105603273,0,36479071,0,159205861,0,176202177,0,57808153,0,1464510452,472658,992263649,409526,872494836,58897,116195023,235265,333087403,63,27471193,0,19723007,801214,67556091,0,940396562,0,188449921,0,49833651
