2015=100
Exp or Imp,Year,Indexes Area,Commodity,,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Summary Indexes,,,,,,,,,,,,,,,,,
1,2017,WORLD,"Total",Value Index,103.53,86.03,100.72,114.7,100.46,92.86,104.86,103.07,99.64,108.08,106.21,109.82,115.91
1,2017,WORLD,"Total",Unit Index,97.79,99.06,97.08,98.08,96.47,96.88,95.86,97.46,96.43,97.51,98.59,100.16,99.86
1,2017,WORLD,"Total",Quantum Index,105.86,86.84,103.75,116.94,104.13,95.85,109.39,105.75,103.32,110.83,107.73,109.64,116.06
1,2017,WORLD,"*Raw Materials",Value Index,99.13,85.18,100.8,111.88,99.17,92.07,98.88,94.27,96.76,97.77,96.54,100.9,115.28
1,2017,WORLD,"*Raw Materials",Unit Index,104.25,98.65,99.47,104.54,106.66,103.53,105.02,103.83,106.46,104.09,102.73,106.77,108.71
1,2017,WORLD,"*Raw Materials",Quantum Index,95.08,86.34,101.33,107.01,92.97,88.93,94.15,90.79,90.88,93.93,93.97,94.5,106.04
1,2017,WORLD,"*Manufs",Value Index,103.38,86.11,100.81,115.07,100.94,92.45,104.74,102.97,98.35,108.35,106.18,109.14,115.43
1,2017,WORLD,"*Manufs",Unit Index,97.7,98.97,97.05,98.01,96.35,96.88,95.82,97.54,96.38,97.46,98.46,99.94,99.52
1,2017,WORLD,"*Manufs",Quantum Index,105.8,87,103.87,117.39,104.76,95.43,109.3,105.57,102.03,111.16,107.84,109.2,115.98
1,2017,WORLD,"Food-stuff",Value Index,107.63,75.02,100.77,117.01,102.9,93.75,102.28,98.39,98.96,106.82,118.74,123.07,153.83
1,2017,WORLD,"Food-stuff",Unit Index,110.2,116.18,106.39,103.91,103.77,107.83,104.53,108.2,109.59,112.41,115.57,116.7,116.52
1,2017,WORLD,"Food-stuff",Quantum Index,97.66,64.57,94.72,112.6,99.16,86.94,97.85,90.93,90.29,95.02,102.73,105.45,132.02
1,2017,WORLD," Fish & Shellfish",Value Index,98.86,63.15,91.95,122.16,101.86,87.69,96.11,81.71,90.34,82.08,100.63,109.72,158.91
1,2017,WORLD," Fish & Shellfish",Unit Index,115.34,131.53,105.74,100.02,101.96,101.79,104.15,108.01,118.25,123.62,130.32,130.5,131.78
1,2017,WORLD," Fish & Shellfish",Quantum Index,85.71,48.01,86.95,122.13,99.9,86.14,92.28,75.65,76.39,66.39,77.22,84.07,120.59
1,2017,WORLD,"Textiles",Value Index,89.96,66.68,85.66,95.76,91.85,84.7,92.3,90.92,84.63,91.07,94.45,94.36,107.16
1,2017,WORLD,"Textiles",Unit Index,94.36,96.28,93.83,93.4,92.93,93.33,93.32,95.46,95.11,93.45,92.7,97.03,95.72
1,2017,WORLD,"Textiles",Quantum Index,95.33,69.25,91.28,102.53,98.83,90.75,98.9,95.24,88.97,97.44,101.89,97.25,111.95
1,2017,WORLD," Textile Materials",Value Index,53.91,43.56,51.44,62.06,53.82,53.57,53.85,52.77,53.9,58.31,57.94,48.14,57.54
