"",BBEE1.M.I8.AAA.XZE012.A.AABAN.M00,BBEE1.M.I8.AAA.XZE012.A.AABAN.M00_FLAGS,BBEE1.M.I8.AAA.XZE012.S.AACPE.M00,BBEE1.M.I8.AAA.XZE012.S.AACPE.M00_FLAGS,BBEE1.M.I8.AAA.XZE022.A.AABAN.M00,BBEE1.M.I8.AAA.XZE022.A.AABAN.M00_FLAGS,BBEE1.M.I8.AAA.XZE022.S.AACPE.M00,BBEE1.M.I8.AAA.XZE022.S.AACPE.M00_FLAGS
"",Nominal effective exchange rate of the euro vis-à-vis the currencies of the EER-19 group,,"Real effective exchange rate of the Euro vis-à-vis the currencies of the EER-19 group, based on consumer price indices",,Nominal effective exchange rate of the euro vis-à-vis the currencies of the EER-42 group,,"Real effective exchange rate of the euro vis-à-vis the currencies of the EER-42 group, based on consumer price indices",
unit,1Q99=100,,1Q99=100,,1Q99=100,,1Q99=100,
unit multiplier,one,,one,,one,,one,
last update,2021-12-15 16:13:43,,2021-12-15 16:13:44,,2021-12-15 16:13:44,,2021-12-15 16:13:45,
1993-01,98.7957,,112.2950,,74.0632,,113.1463,
1993-02,98.2868,,111.3823,,74.3211,,112.1880,
1993-03,97.3032,,109.7662,,74.2548,,110.6252,
1993-04,98.2387,,110.3537,,75.9067,,111.6769,
1993-05,98.0951,,109.7162,,76.4562,,111.1396,
1993-06,96.6262,,107.8279,,75.9626,,109.2672,
1993-07,94.0562,,104.6876,,74.1536,,105.3238,
1993-08,93.7655,,103.9306,,74.1762,,103.7995,
1993-09,96.7415,,106.8306,,76.9766,,106.1747,
1993-10,96.5414,,106.2885,,77.3972,,105.3697,
1993-11,94.7206,,104.0610,,76.3230,,102.7086,
1993-12,94.5241,,103.4256,,76.7982,,102.1239,
1994-01,95.0985,,104.1027,,77.5852,,102.1915,
1994-02,95.2686,,104.0714,,78.6459,,102.4830,
1994-03,96.7706,,105.3913,,80.6864,,104.0141,
1994-04,96.9467,,105.4107,,82.0883,,104.4644,
1994-05,98.3057,,106.8196,,83.9253,,105.8024,
1994-06,99.0159,,107.2553,,84.8951,,105.9766,
1994-07,100.8778,,109.1075,,87.2475,,108.3719,
1994-08,101.1745,,109.1041,,87.5591,,108.0369,
1994-09,101.3607,,109.0841,,88.0778,,107.9411,
1994-10,102.1426,,109.8526,,89.6049,,109.0685,
1994-11,101.3302,,108.7082,,89.2561,,107.7544,
1994-12,100.2902,,107.3920,,88.5502,,106.1619,
1995-01,101.6185,,108.4838,,90.4426,,107.4290,
1995-02,102.6780,,109.4675,,91.7354,,108.3553,
1995-03,104.3425,,111.0824,,94.0120,,110.4694,
1995-04,104.7123,,111.3067,,94.6116,,110.5192,
1995-05,104.3453,,110.6244,,94.2112,,109.3603,
1995-06,104.8216,,111.0817,,94.6453,,109.5141,
1995-07,106.1944,,112.4041,,95.8814,,110.5248,
1995-08,105.2150,,111.3712,,94.9501,,109.1682,
1995-09,104.8363,,110.8585,,94.6517,,108.3926,
1995-10,106.2175,,112.2756,,96.1785,,109.7799,
1995-11,106.7336,,112.7737,,96.8492,,110.1918,
1995-12,106.1550,,112.0435,,96.3996,,109.3392,
1996-01,106.1136,,111.8361,,96.4065,,108.8306,
1996-02,105.9987,,111.6343,,96.4312,,108.5257,
1996-03,105.7001,,111.1931,,96.3544,,108.1086,
1996-04,104.9773,,110.2319,,95.8138,,107.0533,
1996-05,104.1670,,109.2693,,95.2423,,106.1041,
1996-06,104.5604,,109.4160,,95.7794,,106.3237,
1996-07,105.6902,,110.3415,,96.9723,,107.3414,
1996-08,106.5236,,111.0169,,97.9231,,108.0112,
1996-09,105.7782,,110.0535,,97.3440,,107.0937,
1996-10,104.9029,,109.0443,,96.7314,,106.1580,
1996-11,104.9889,,108.9275,,97.1412,,106.2377,
1996-12,103.8857,,107.5881,,96.1187,,104.8112,
1997-01,102.3963,,105.8767,,94.6617,,102.9017,
1997-02,100.5558,,103.2653,,92.6640,,99.9484,
1997-03,99.8925,,102.3185,,92.0402,,98.8834,
1997-04,99.3907,,101.4026,,91.7117,,98.0094,
1997-05,99.0124,,101.0193,,91.5781,,97.7481,
1997-06,97.6890,,99.4073,,90.4496,,96.1982,
1997-07,95.0302,,96.5484,,88.3739,,93.6879,
1997-08,94.2438,,95.7578,,87.7364,,92.8991,
1997-09,96.6163,,98.0757,,90.3826,,95.4856,
1997-10,97.5636,,98.9319,,91.8218,,96.7206,
1997-11,98.6501,,100.0050,,93.3160,,98.1020,
1997-12,98.6322,,99.8433,,93.6097,,98.0823,
1998-01,97.8211,,98.5913,,93.5794,,97.3398,
1998-02,97.2393,,97.8140,,92.9183,,96.3174,
1998-03,96.3650,,96.8299,,92.1937,,95.2775,
1998-04,96.8669,,97.3866,,92.7268,,95.7386,
1998-05,99.3098,,99.7855,,95.2582,,98.1464,
1998-06,99.1052,,99.6522,,95.5230,,98.3435,
1998-07,98.8280,,99.2428,,95.5066,,98.0503,
1998-08,100.0602,,100.5386,,96.8845,,99.2984,
1998-09,102.7120,,103.1062,,101.0504,,102.6507,
1998-10,104.3093,,104.5632,,103.1716,,104.3774,
1998-11,102.5102,,102.7096,,101.2215,,102.1073,
1998-12,102.7170,,102.8543,,101.9159,,102.4572,
1999-01,101.7851,,101.7075,,101.6029,,101.6598,
1999-02,99.9700,,99.8869,,100.0424,,99.9530,
1999-03,98.4738,,98.4057,,98.5694,,98.3872,
1999-04,97.3277,,97.3491,,97.3446,,97.1440,
1999-05,96.7731,,96.7090,,96.7431,,96.3333,
1999-06,95.0001,,94.9180,,94.9847,,94.4557,
1999-07,95.0137,,94.9232,,95.0189,,94.3711,
1999-08,95.9668,,95.8471,,96.4546,,95.6549,
1999-09,94.5962,,94.2946,,95.3989,,94.3033,
1999-10,95.5586,,95.2402,,96.6053,,95.3070,
1999-11,93.3914,,93.1255,,94.2997,,92.9604,
1999-12,91.5813,,91.4039,,92.5550,,91.1697,
2000-01,91.6070,,91.3419,,92.6728,,91.0375,
2000-02,90.3627,,89.9895,,91.2767,,89.4780,
2000-03,88.9854,,88.6448,,89.8374,,88.0401,
2000-04,87.6055,,87.3020,,88.5381,,86.6981,
2000-05,86.0435,,85.7501,,86.8568,,84.9773,
2000-06,88.9315,,88.6415,,90.0118,,88.0563,
2000-07,88.3323,,87.8811,,89.4132,,87.2441,
2000-08,86.0349,,85.7361,,86.9689,,84.9220,
2000-09,84.3788,,84.1196,,85.2212,,83.1940,
2000-10,83.1913,,82.8923,,84.1848,,82.0331,
2000-11,83.7589,,83.4793,,84.8307,,82.5910,
2000-12,86.4864,,86.0238,,87.8107,,85.2340,
2001-01,89.7959,,88.9476,,91.2914,,88.1776,
2001-02,88.9211,,88.2759,,90.5266,,87.5535,
2001-03,88.6798,,88.0872,,90.7148,,87.6525,
2001-04,87.7114,,87.2275,,90.2041,,87.0495,
2001-05,86.1557,,85.6629,,88.5228,,85.3194,
2001-06,84.7746,,84.2871,,87.2233,,83.9728,
2001-07,85.4871,,85.0492,,88.2186,,84.9031,
2001-08,88.0315,,87.6114,,91.0767,,87.6058,
2001-09,88.4628,,88.1330,,91.9033,,88.3699,
2001-10,88.2474,,88.0094,,91.9397,,88.3237,
2001-11,86.9783,,86.7464,,90.3995,,86.7168,
2001-12,87.4314,,87.3320,,90.8210,,87.1415,
2002-01,87.0981,,87.3264,,90.4955,,86.9770,
2002-02,86.3163,,86.5407,,89.6839,,86.1133,
2002-03,86.4417,,86.7363,,89.8945,,86.3242,
2002-04,86.7207,,87.0426,,90.2686,,86.6289,
2002-05,88.3813,,88.7199,,92.3711,,88.5910,
2002-06,90.5005,,90.8442,,95.1515,,91.1976,
2002-07,91.8872,,92.3353,,97.1597,,93.1581,
2002-08,91.3520,,91.8190,,96.6016,,92.5961,
2002-09,91.3366,,91.9026,,96.8268,,92.8093,
2002-10,91.6046,,92.1689,,97.2681,,93.1231,
2002-11,92.4405,,92.8940,,98.0976,,93.6636,
2002-12,93.4364,,93.9031,,99.1806,,94.6256,
2003-01,95.7699,,96.3908,,101.9803,,97.3246,
2003-02,97.0773,,97.7462,,103.3869,,98.6646,
2003-03,97.8986,,98.6157,,104.0948,,99.3028,
2003-04,98.4477,,99.2293,,104.2953,,99.4488,
2003-05,102.1656,,103.0928,,108.2803,,103.2859,
2003-06,102.6038,,103.7524,,108.6324,,103.8208,
2003-07,101.4541,,102.6044,,107.0552,,102.3467,
2003-08,100.3377,,101.4486,,105.8248,,101.1614,
2003-09,100.2693,,101.3798,,105.7818,,101.1038,
2003-10,101.9482,,103.0464,,107.9378,,103.0852,
2003-11,101.9398,,102.9360,,107.9556,,102.9542,
2003-12,104.7460,,105.6280,,111.1644,,105.8334,
2004-01,105.9194,,106.7778,,112.4013,,106.9285,
2004-02,105.7958,,106.7982,,112.2932,,106.8941,
2004-03,103.9560,,104.9851,,110.0604,,104.7700,
2004-04,102.3124,,103.4149,,108.2679,,103.1133,
2004-05,102.8767,,103.9560,,109.4150,,104.1582,
2004-06,102.7334,,103.7638,,109.4852,,104.1458,
2004-07,103.1600,,104.1770,,109.9070,,104.4613,
2004-08,102.9664,,104.0751,,109.7412,,104.3507,
2004-09,103.3169,,104.3199,,110.0828,,104.5088,
2004-10,104.3929,,105.3518,,111.3257,,105.5627,
2004-11,105.6703,,106.4618,,112.8883,,106.7993,
2004-12,106.8741,,107.7878,,114.1570,,108.0241,
2005-01,105.7784,,106.6925,,112.6695,,106.4819,
2005-02,104.9629,,105.7846,,111.6097,,105.3733,
2005-03,105.6539,,106.6655,,112.4993,,106.3037,
2005-04,104.8365,,105.8787,,111.5172,,105.3572,
2005-05,103.9027,,104.9773,,110.2652,,104.1460,
2005-06,101.2516,,102.4593,,107.2760,,101.4493,
2005-07,101.7156,,102.8355,,107.4590,,101.5208,
2005-08,102.0890,,103.2224,,108.1099,,102.1220,
2005-09,101.5177,,102.5690,,107.5658,,101.5383,
2005-10,101.1671,,102.1902,,107.0177,,100.8704,
2005-11,100.4488,,101.4189,,106.0607,,99.7953,
2005-12,100.4344,,101.4551,,106.0819,,99.7972,
2006-01,101.1310,,102.1133,,106.7793,,100.3245,
2006-02,100.3936,,101.4623,,105.7745,,99.4111,
2006-03,101.1947,,102.3608,,106.6369,,100.2256,
2006-04,102.2269,,103.4344,,107.8289,,101.3374,
2006-05,103.1840,,104.3541,,109.6610,,102.9397,
2006-06,103.3727,,104.5645,,110.2739,,103.5072,
2006-07,103.6647,,104.8954,,110.4092,,103.6452,
2006-08,103.6906,,104.6958,,110.3619,,103.4336,
2006-09,103.5339,,104.4099,,110.1726,,103.0419,
2006-10,102.9590,,103.8959,,109.4704,,102.3249,
2006-11,103.5063,,104.4052,,110.1593,,102.8571,
2006-12,104.4835,,105.1824,,111.2866,,103.6676,
2007-01,103.8630,,104.7562,,110.4285,,102.9345,
2007-02,104.3301,,105.1565,,110.7771,,103.1434,
2007-03,105.0331,,105.6722,,111.6310,,103.7627,
2007-04,105.9071,,106.7812,,112.3983,,104.6394,
2007-05,105.9226,,106.6764,,112.1454,,104.2734,
2007-06,105.5073,,106.1217,,111.6181,,103.6088,
2007-07,106.0573,,106.5957,,112.2650,,104.0972,
2007-08,105.7729,,106.0719,,112.2376,,103.8220,
2007-09,106.7610,,107.0375,,113.2220,,104.6161,
2007-10,107.7600,,107.9652,,114.0196,,105.1614,
2007-11,109.2409,,109.4163,,115.8206,,106.7471,
2007-12,109.2793,,109.2823,,115.6433,,106.3432,
2008-01,109.8423,,109.8236,,116.2599,,106.7938,
2008-02,109.5216,,109.0736,,116.0554,,106.1097,
2008-03,112.1398,,111.9322,,119.4145,,109.2579,
2008-04,113.2170,,112.9077,,120.6975,,110.1774,
2008-05,112.6176,,112.4210,,119.9104,,109.4656,
2008-06,112.3399,,112.0160,,119.6967,,109.0956,
2008-07,112.4416,,111.9203,,119.9371,,109.0657,
2008-08,110.3154,,109.5626,,117.1361,,106.2370,
2008-09,108.7211,,107.9789,,115.7624,,104.9095,
2008-10,105.4630,,104.7562,,113.1992,,102.3905,
2008-11,104.7870,,104.2798,,112.5606,,101.8217,
2008-12,110.0283,,109.5371,,118.5274,,107.1435,
2009-01,109.8519,,109.3203,,118.5565,,107.0404,
2009-02,108.7961,,108.2916,,117.6441,,106.1904,
2009-03,111.0540,,110.2635,,120.1756,,108.0849,
2009-04,110.1944,,109.5287,,118.9323,,107.0091,
2009-05,110.7612,,109.9302,,119.4279,,107.2879,
2009-06,111.8360,,110.9438,,120.6125,,108.3033,
2009-07,111.5293,,110.2847,,120.4652,,107.6901,
2009-08,111.4915,,110.3010,,120.5591,,107.8001,
2009-09,112.7676,,111.4297,,121.9482,,108.8439,
2009-10,114.0502,,112.5696,,122.9439,,109.5266,
2009-11,113.8712,,112.2763,,122.8819,,109.2928,
2009-12,112.8165,,111.1417,,121.6397,,108.0314,
2010-01,110.6367,,108.9025,,119.0020,,105.4574,
2010-02,107.8984,,106.0799,,116.0095,,102.5994,
2010-03,107.1572,,105.5521,,114.8497,,101.7093,
2010-04,105.8368,,104.3709,,113.0812,,100.2621,
2010-05,102.5945,,101.1101,,109.4478,,96.9509,
2010-06,100.4603,,99.0950,,107.2353,,95.0487,
2010-07,102.2805,,100.8580,,109.5705,,97.0420,
2010-08,101.9656,,100.3900,,109.2824,,96.6239,
2010-09,102.2848,,100.6706,,109.6882,,96.8521,
2010-10,105.8850,,103.9983,,113.6288,,100.0720,
2010-11,104.6111,,102.5094,,112.3271,,98.6729,
2010-12,102.3992,,100.3518,,109.8134,,96.4249,
2011-01,102.1991,,100.1910,,109.8315,,96.3701,
2011-02,103.2872,,101.1669,,111.2096,,97.4897,
2011-03,104.9877,,102.7761,,112.9965,,99.0001,
2011-04,106.7283,,104.5452,,114.7618,,100.5833,
2011-05,105.6981,,103.3083,,113.8950,,99.5303,
2011-06,105.7560,,103.2831,,114.0556,,99.5835,
2011-07,104.7809,,102.3270,,113.0023,,98.6735,
2011-08,104.5267,,102.0879,,113.4350,,99.0191,
2011-09,103.5257,,101.1376,,112.5581,,98.2563,
2011-10,103.7649,,101.4575,,113.1063,,98.7047,
2011-11,103.3161,,101.0744,,112.5644,,98.1971,
2011-12,101.5162,,99.2639,,110.7405,,96.5187,
2012-01,99.6550,,97.4417,,108.4054,,94.4733,
2012-02,100.3861,,98.3817,,108.8516,,95.0273,
2012-03,100.5233,,98.4492,,109.0876,,95.1504,
2012-04,100.1200,,98.1811,,108.8841,,95.0105,
2012-05,98.6878,,96.6874,,107.6535,,93.8017,
2012-06,97.8223,,95.9418,,106.9691,,93.2363,
2012-07,96.0020,,94.3122,,104.8330,,91.4436,
2012-08,95.8850,,94.2048,,104.8241,,91.4173,
2012-09,97.8981,,96.1687,,107.1644,,93.4059,
2012-10,98.4979,,96.7151,,107.7644,,93.8160,
2012-11,97.9152,,96.0428,,107.2028,,93.1863,
2012-12,99.3407,,97.3756,,108.7722,,94.4282,
2013-01,100.9632,,98.9111,,110.2811,,95.6041,
2013-02,102.1560,,99.8830,,111.4065,,96.3696,
2013-03,100.6639,,98.5947,,109.6154,,94.9191,
2013-04,100.7986,,98.6408,,109.7958,,94.9387,
2013-05,100.8609,,98.7274,,109.9777,,95.0703,
