"",BBNZ1.Q.DE.S.H.0931.A,BBNZ1.Q.DE.S.H.0931.A_FLAGS,BBNZ1.Q.DE.S.H.0933.A,BBNZ1.Q.DE.S.H.0933.A_FLAGS,BBNZ1.Q.DE.S.H.0934.A,BBNZ1.Q.DE.S.H.0934.A_FLAGS,BBNZ1.Q.DE.S.H.0948.A,BBNZ1.Q.DE.S.H.0948.A_FLAGS,BBNZ1.Q.DE.S.H.0939.A,BBNZ1.Q.DE.S.H.0939.A_FLAGS,BBNZ1.Q.DE.S.H.0940.A,BBNZ1.Q.DE.S.H.0940.A_FLAGS,BBNZ1.Q.DE.S.H.0938.A,BBNZ1.Q.DE.S.H.0938.A_FLAGS,BBNZ1.Q.DE.S.H.0949.A,BBNZ1.Q.DE.S.H.0949.A_FLAGS
2015-04,100.98,,100.37,,100.65,,99.88,,100.07,,97.93,,99.37,,100.38,
2015-07,99.30,,100.39,,99.58,,100.27,,100.69,,100.69,,100.69,,99.86,
2015-10,99.13,,99.67,,100.65,,99.39,,101.56,,99.03,,101.35,,100.12,
2016-01,99.42,,101.66,,102.04,,101.35,,104.72,,105.11,,100.94,,101.13,
2016-04,95.64,,97.35,,100.76,,100.33,,106.56,,102.14,,99.34,,98.96,
2016-07,98.32,,101.53,,101.90,,99.56,,106.40,,103.64,,100.36,,100.61,
2016-10,98.94,,102.98,,102.89,,102.25,,103.85,,105.80,,102.45,,101.67,
2017-01,96.53,,102.22,,101.59,,99.98,,97.75,,105.73,,103.78,,100.23,
2017-04,97.51,,103.88,,102.96,,101.40,,96.60,,111.22,,105.14,,101.38,
2017-07,96.70,,104.30,,102.81,,101.43,,95.52,,108.17,,105.44,,101.07,
2017-10,96.48,,105.34,,103.67,,101.29,,99.86,,110.95,,105.80,,101.66,
2018-01,97.63,,105.11,,104.00,,99.28,,102.62,,111.53,,105.93,,102.18,
2018-04,97.84,,105.17,,104.59,,100.35,,104.25,,112.53,,106.13,,102.67,
2018-07,100.81,,106.95,,106.99,,102.46,,106.16,,117.27,,109.08,,105.25,
2018-10,101.32,,107.34,,106.43,,101.98,,104.42,,118.89,,108.80,,105.22,
2019-01,101.65,,107.83,,104.98,,104.24,,104.93,,117.31,,109.27,,105.30,
2019-04,103.74,,111.34,,106.21,,105.16,,105.24,,118.93,,112.52,,107.21,
2019-07,106.10,,109.57,,105.92,,105.91,,104.72,,117.68,,112.18,,107.88,
2019-10,104.81,,113.30,,107.65,,105.62,,104.52,,117.63,,113.18,,108.08,
2020-01,106.56,,105.43,,104.96,,107.88,,105.45,,119.65,,114.28,,107.81,
2020-04,120.59,,108.94,,113.11,,109.07,,103.19,,115.73,,121.48,,113.94,
2020-07,110.41,,114.52,,104.17,,107.72,,103.38,,119.97,,117.92,,109.52,
2020-10,103.17,,102.96,,105.71,,107.84,,105.76,,120.76,,119.15,,107.02,
2021-01,106.51,,112.88,,105.42,,111.57,,106.74,,125.84,,120.74,,109.31,
2021-04,104.84,,111.32,,106.54,,115.25,,104.42,,123.49,,119.69,,109.01,
2021-07,111.45,,113.79,,104.95,,114.44,,105.06,,129.33,,118.22,,111.25,
"",Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,,Source: Seasonal adjustment based on data provided by the Federal Statistical Office,
