"",BBK01.OU0115,BBK01.OU0115_FLAGS,BBK01.OU0116,BBK01.OU0116_FLAGS,BBK01.OU0123,BBK01.OU0123_FLAGS,BBK01.OU0175,BBK01.OU0175_FLAGS,BBK01.OU0176,BBK01.OU0176_FLAGS,BBK01.OU0355,BBK01.OU0355_FLAGS,BBK01.OU0138,BBK01.OU0138_FLAGS,BBK01.OU0139,BBK01.OU0139_FLAGS,BBK01.OU0142,BBK01.OU0142_FLAGS,BBK01.OUA185,BBK01.OUA185_FLAGS,BBK01.OUA186,BBK01.OUA186_FLAGS,BBK01.OV0115,BBK01.OV0115_FLAGS,BBK01.OV0116,BBK01.OV0116_FLAGS,BBK01.OV0123,BBK01.OV0123_FLAGS,BBK01.OV0175,BBK01.OV0175_FLAGS,BBK01.OV0176,BBK01.OV0176_FLAGS,BBK01.OV0355,BBK01.OV0355_FLAGS,BBK01.OV0138,BBK01.OV0138_FLAGS,BBK01.OV0139,BBK01.OV0139_FLAGS,BBK01.OV0142,BBK01.OV0142_FLAGS,BBK01.OVA185,BBK01.OVA185_FLAGS,BBK01.OVA186,BBK01.OVA186_FLAGS,BBK01.OUA187,BBK01.OUA187_FLAGS,BBK01.OU0184,BBK01.OU0184_FLAGS,BBK01.OU0178,BBK01.OU0178_FLAGS,BBK01.OUA188,BBK01.OUA188_FLAGS,BBK01.OU0179,BBK01.OU0179_FLAGS,BBK01.OUA189,BBK01.OUA189_FLAGS,BBK01.OUA190,BBK01.OUA190_FLAGS,BBK01.OU0144,BBK01.OU0144_FLAGS,BBK01.OU0149,BBK01.OU0149_FLAGS,BBK01.OU0337,BBK01.OU0337_FLAGS,BBK01.OU0307,BBK01.OU0307_FLAGS,BBK01.OU0150,BBK01.OU0150_FLAGS,BBK01.OVA187,BBK01.OVA187_FLAGS,BBK01.OV0184,BBK01.OV0184_FLAGS,BBK01.OV0178,BBK01.OV0178_FLAGS,BBK01.OVA188,BBK01.OVA188_FLAGS,BBK01.OV0179,BBK01.OV0179_FLAGS,BBK01.OVA189,BBK01.OVA189_FLAGS,BBK01.OVA190,BBK01.OVA190_FLAGS,BBK01.OV0144,BBK01.OV0144_FLAGS,BBK01.OV0149,BBK01.OV0149_FLAGS,BBK01.OV0337,BBK01.OV0337_FLAGS,BBK01.OV0307,BBK01.OV0307_FLAGS,BBK01.OV0150,BBK01.OV0150_FLAGS
"",Assets and liabilities of banks (MFIs) in Germany vis-á-vis residents / Lendings to domestic non-banks (non-MFIs) / Total / All categories of banks,,"Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Total / excluding negotiable money market paper, securities, equalisation claims / All categories of banks",,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / Total / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / to enterprises and households / Total / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / to enterprises and households / Loans and bills / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / to enterprises and households / Negotiable money market paper / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / to general government / Total / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings to general government / Loans / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings to general government / Treasury bills / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / Total / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to enterprises and households / Total / All categories of banks,,Changes to the time series: Assets and liabilities of banks (MFIs) in Germany vis-á-vis residents / Lendings to domestic non-banks (non-MFIs) / Total / All categories of banks,,"Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Total / excluding negotiable money market paper, securities, equalisation claims / All categories of banks",,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / Total / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / to enterprises and households / Total / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / to enterprises and households / Loans and bills / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / to enterprises and households / Negotiable money market paper / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / to general government / Total / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / to general government / Loans / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Short-term lendings / to general government / Treasury bills / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term Lendings / Total / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term Lendings / to enterprises and households / Total / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to enterprises and households / Loans / Total / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to enterprises and households / Loans / Medium-term / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to enterprises and households / Loans / Long-term / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to enterprises and households / Securities / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to enterprises and households / Memo item: Fiduciary loans / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to general government / Total / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to general government / Loans / Total / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to general government / Loans / Medium-term / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings to general government / Loans / Long-term / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to general government / Securities / All categories of banks,,Assets and liabilities of banks (MFIs) in Germany vis-á-vis residents / Lendings to domestic non-banks (non-MFIs) / Equalisation claims / All categories of banks,,Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings to general government / Memo item: Fiduciary loans / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term Lendings / to enterprises and households / Loans / Total / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to enterprises and households / Loans / medium-term / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to enterprises and households / Loans / Long-term / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term Lendings / to enterprises and households / Securities / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to enterprises and households / Memo item: Fiduciary loans / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term Lendings / to general government / Total / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term Lendings / to general government / Loans / Total / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to general government / Loans / medium-term / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to general government / Loans / long-term / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to general government / Securities / All categories of banks,,Changes to the time series: Assets and liabilities of banks (MFIs) in Germany vis-á-vis residents / Lendings to domestic non-banks (non-MFIs) / Equalisation claims / All categories of banks,,Changes to the time series: Lendings by banks (MFIs) in Germany to domestic non-banks (MFIs) / Medium and long-term lendings / to general government / Memo item: fiduciary loans / All categories of banks,
unit,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,
unit multiplier,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,
last update,2021-12-16 07:49:09,,2021-12-16 07:49:09,,2021-12-16 07:49:09,,2021-12-16 07:49:20,,2021-12-16 07:49:20,,2021-12-16 07:49:21,,2021-12-16 07:49:10,,2021-12-16 07:49:10,,2021-12-16 07:49:10,,2021-12-16 07:53:33,,2021-12-16 07:53:33,,2021-12-16 09:55:55,,2021-12-16 09:55:55,,2021-12-16 09:55:55,,2021-12-16 09:56:07,,2021-12-16 09:56:07,,2021-12-16 09:56:07,,2021-12-16 09:55:56,,2021-12-16 09:55:56,,2021-12-16 09:55:56,,2021-12-16 10:00:41,,2021-12-16 10:00:41,,2021-12-16 07:53:33,,2021-12-16 07:49:20,,2021-12-16 07:49:20,,2021-12-16 07:53:33,,2021-12-16 07:49:20,,2021-12-16 07:53:33,,2021-12-16 07:53:33,,2021-12-16 07:49:10,,2021-12-16 07:49:10,,2021-12-16 10:10:53,,2021-12-16 07:49:20,,2021-12-16 07:49:10,,2021-12-16 10:00:41,,2021-12-16 09:56:07,,2021-12-16 09:56:07,,2021-12-16 10:00:42,,2021-12-16 09:56:07,,2021-12-16 10:00:42,,2021-12-16 10:00:42,,2021-12-16 09:55:56,,2021-12-16 09:55:56,,2021-12-16 10:06:23,,2021-12-16 09:56:07,,2021-12-16 09:55:56,
1948-12,9.388,,5.158,,4.728,,4.664,,4.636,,0.028,Estimated value,0.064,,0.049,,0.015,Estimated value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.187,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-01,10.331,,5.594,,4.977,,4.908,,4.832,,0.076,Estimated value,0.069,,0.056,,0.013,Estimated value,,,,,0.525,,0.345,,0.203,,0.198,,0.196,,0.002,,0.005,,0.007,,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,4.648,,,,,,,,,,,,,,,,,,,,,,,,0.180,,,
1949-02,10.731,,5.988,,5.341,,5.278,,5.198,,0.080,Estimated value,0.063,,0.053,,0.010,Estimated value,,,,,0.400,,0.394,,0.364,,0.370,,0.366,,0.004,,-0.006,,-0.003,,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,4.653,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,
1949-03,11.157,,6.327,,5.617,,5.540,,5.464,,0.076,Estimated value,0.077,,0.067,,0.010,Estimated value,,,,,0.426,,0.339,,0.276,,0.262,,0.266,,-0.004,,0.014,,0.014,,-,Nothing exists,,,,,,,,,,,,,,,,,,,,,,,,,4.744,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,
1949-04,11.630,,6.729,,5.954,,5.879,,5.805,,0.074,Estimated value,0.075,,0.065,,0.010,Estimated value,,,,,0.473,,0.402,,0.337,,0.339,,0.341,,-0.002,,-0.002,,-0.002,,-,Nothing exists,,,,,,,,,,,,,,,,,,,,,,,,,4.817,,,,,,,,,,,,,,,,,,,,,,,,0.073,,,
1949-05,12.070,,7.103,,6.180,,6.090,,6.027,,0.063,Estimated value,0.090,,0.082,,0.008,Estimated value,,,,,0.440,,0.374,,0.226,,0.211,,0.222,,-0.011,,0.015,,0.017,,-0.002,,,,,,,,,,,,,,,,,,,,,,,,,,4.896,,,,,,,,,,,,,,,,,,,,,,,,0.079,,,
