"",BBFI1.M.N.DE.W1.S121.S1.LE.A.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA._T.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F._Z.X1._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F._Z.X1._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F11._Z.XAU.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F11._Z.XAU.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1N.LE.A.FA.R.F12.T.XDR.M.N,BBFI1.M.N.DE.W1.S121.S1N.LE.A.FA.R.F12.T.XDR.M.N_FLAGS,BBFI1.M.N.DE.1C.S121.S121.LE.A.FA.R.FK._Z.XDR.M.N,BBFI1.M.N.DE.1C.S121.S121.LE.A.FA.R.FK._Z.XDR.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F2.T.X1.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S122.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S122.LE.A.FA.R.F2.T.X1.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.FR1._Z.X1.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.FR1._Z.X1.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F3.L.X1.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.F3.L.X1.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F519._Z._T.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F519._Z._T.M.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F519._Z._T.M.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F519._Z._T.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F2_F4.T._T.N.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.O.F2_F4.T._T.N.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.L._T.N.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.L._T.N.N_FLAGS,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.S._T.N.N,BBFI1.M.N.DE.4F.S121.S1.LE.A.FA.O.F2.S._T.N.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.P.F.T._T.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.P.F.T._T.M.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.L.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.L.FA._T.F._Z._T._X.N_FLAGS,BBFI1.M.N.DE.U4.S121.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.M.N.DE.U4.S121.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F21___F221C.S.EUR.N.N,BBFI1.M.N.DE.U2.S121.S1.LE.L.FA.O.F21___F221C.S.EUR.N.N_FLAGS,BBFI1.M.N.DE.W1.S1.S1N.LE.L.FA.O.F12.T._T._X.N,BBFI1.M.N.DE.W1.S1.S1N.LE.L.FA.O.F12.T._T._X.N_FLAGS,BBFI1.M.N.DE.W1.S121.S1.LE.N.FA._T.F._Z._T._X.N,BBFI1.M.N.DE.W1.S121.S1.LE.N.FA._T.F._Z._T._X.N_FLAGS
2003-02,95491,,83685,,35721,,1788,,6219,,11309,,10624,,28647,,26902,,11315,,1237,,1225,,10078,,12247,,-2470,,492,,67556,,9635,,56382,,56348,,1539,,27935,
2003-03,98240,,82530,,34100,,1728,,6620,,12273,,11670,,27810,,26013,,15222,,1237,,1225,,13985,,12247,,1436,,488,,68916,,10587,,56802,,56789,,1527,,29324,
2003-04,93702,,79453,,33442,,1596,,6527,,11177,,10604,,26710,,24941,,13809,,1237,,1225,,12572,,12247,,24,,440,,68600,,9077,,58018,,57968,,1505,,25102,
2003-05,70456,,78904,,34252,,1566,,6306,,11211,,10599,,25570,,23648,,-8901,,1237,,1225,,-10138,,12247,,-22687,,453,,71886,,9809,,60623,,60614,,1454,,-1430,
2003-06,73550,,78425,,33435,,1598,,6694,,11043,,10465,,25655,,23676,,-5349,,1237,,1225,,-6586,,12247,,-19134,,474,,73558,,10527,,61547,,61538,,1484,,-8,
2003-07,90714,,79218,,34759,,1603,,6686,,11320,,10677,,24851,,22962,,11024,,1237,,1225,,9787,,12247,,-2761,,472,,74118,,10367,,62262,,62254,,1489,,16596,
2003-08,98605,,84197,,37546,,1667,,6916,,11335,,10679,,26733,,25045,,13906,,1237,,1225,,12669,,12247,,120,,502,,76963,,11053,,64384,,64377,,1526,,21642,
2003-09,91894,,81206,,36491,,1620,,6871,,11086,,10403,,25137,,23624,,10216,,1237,,1225,,8979,,12247,,-3569,,472,,77713,,10871,,65359,,65351,,1483,,14181,
2003-10,113947,,81401,,36595,,1630,,6910,,10725,,10029,,25542,,24034,,32120,,1237,,1225,,30883,,12247,,18323,,427,,80567,,11310,,67765,,67756,,1492,,33380,
2003-11,97130,,79624,,36705,,1621,,6753,,9877,,9204,,24668,,23227,,17056,,1237,,1225,,15819,,12247,,3270,,451,,81963,,10509,,69991,,69982,,1463,,15167,
2003-12,95394,,76680,,36533,,1540,,6069,,9664,,8920,,22875,,21500,,18259,,1237,,1225,,17022,,12247,,4474,,454,,83329,,10434,,71469,,71460,,1426,,12065,
2004-01,89895,,76992,,35834,,1564,,6163,,9736,,9165,,23696,,22368,,12448,,1182,,1170,,11266,,11702,,-738,,455,,84934,,10513,,72973,,72964,,1448,,4961,
2004-02,87987,,76089,,34930,,1581,,6155,,9631,,9006,,23793,,22463,,11454,,1182,,1170,,10272,,11702,,-1732,,444,,83554,,10072,,72039,,72033,,1443,,4433,
2004-03,104464,,79717,,38266,,1606,,6004,,10216,,9509,,23624,,22716,,24294,,1182,,1170,,23112,,11702,,11108,,453,,82246,,9536,,71244,,71235,,1466,,22218,
2004-04,102021,,78143,,35849,,1612,,6268,,10398,,9739,,24016,,23089,,23447,,1182,,1170,,22265,,11702,,10262,,431,,84651,,9687,,73493,,73485,,1471,,17370,
2004-05,89877,,76473,,35705,,1612,,6073,,9363,,8732,,23720,,22708,,12955,,1195,,1183,,11760,,11762,,-304,,449,,84900,,8531,,74917,,74911,,1452,,4977,
2004-06,69837,,76996,,35793,,1602,,5788,,12220,,11569,,21593,,20042,,-7634,,1195,,1183,,-8829,,11762,,-20896,,475,,86331,,8989,,75882,,75869,,1460,,-16494,
2004-07,70865,,76076,,35721,,1608,,5787,,10617,,9992,,22342,,20853,,-5693,,1195,,1183,,-6888,,11762,,-18954,,482,,86817,,8531,,76820,,76805,,1466,,-15952,
2004-08,87570,,77171,,37195,,1618,,5777,,10180,,9602,,22401,,20471,,9769,,1195,,1183,,8574,,11762,,-3490,,630,,88212,,7749,,79003,,78997,,1460,,-642,
2004-09,100176,,75729,,36680,,1584,,5412,,10248,,9605,,21806,,19809,,23797,,1195,,1183,,22602,,11762,,10535,,650,,89614,,7610,,80566,,80552,,1438,,10562,
2004-10,76043,,74334,,36935,,1568,,5321,,10156,,9540,,20354,,17890,,1056,,1195,,1183,,-139,,11762,,-12204,,652,,91358,,7116,,82817,,82805,,1425,,-15315,
2004-11,85702,,73506,,37527,,1534,,5152,,9170,,8523,,20123,,17942,,11548,,1195,,1183,,10353,,11762,,-1712,,647,,92884,,6929,,84556,,84548,,1399,,-7182,
2004-12,93110,,71335,,35495,,1512,,5036,,9807,,7563,,19485,,17598,,21110,,1195,,1183,,19915,,11762,,7851,,665,,95014,,7923,,85711,,85699,,1380,,-1904,
2005-01,94895,,73556,,35888,,1548,,5087,,9667,,8667,,21367,,20259,,20648,,1195,,1183,,19453,,11762,,7382,,690,,94508,,6301,,86795,,86781,,1412,,387,
2005-02,75603,,72794,,36348,,1558,,4979,,9447,,8824,,20460,,19358,,2125,,1195,,1183,,930,,11762,,-11136,,684,,94960,,5537,,88024,,88019,,1399,,-19357,
2005-03,100452,,73813,,36399,,1550,,4593,,10425,,9793,,20846,,19720,,25943,,1195,,1183,,24748,,11762,,12683,,696,,97787,,6293,,90083,,90055,,1411,,2665,
2005-04,87967,,74123,,36905,,1556,,4540,,10395,,9301,,20728,,19679,,13098,,1195,,1183,,11903,,11762,,-163,,746,,99824,,6109,,92298,,92284,,1417,,-11857,
2005-05,107063,,76431,,37282,,1615,,4725,,10428,,9422,,22380,,21274,,29805,,1233,,1183,,28572,,11762,,16507,,827,,103809,,6268,,96093,,96070,,1448,,3254,
2005-06,90055,,78700,,39816,,1601,,4229,,10591,,9149,,22463,,21416,,10495,,1233,,1183,,9262,,11762,,-2804,,861,,105408,,5805,,98143,,98125,,1460,,-15353,
2005-07,90752,,77205,,38927,,1593,,3414,,10177,,9521,,23093,,22050,,12651,,1233,,1183,,11418,,11762,,-654,,897,,106963,,6485,,99024,,99018,,1454,,-16211,
2005-08,109966,,76342,,39121,,1587,,3403,,8819,,8121,,23412,,20902,,32750,,1233,,1183,,31517,,11762,,19452,,875,,107788,,5449,,100890,,100883,,1449,,2178,
2005-09,103805,,82825,,43325,,1596,,3398,,11521,,10949,,22985,,20855,,20102,,1233,,1183,,18869,,11762,,6803,,878,,112532,,7570,,103505,,103495,,1457,,-8727,
2005-10,111515,,82506,,43325,,1595,,3384,,10863,,10253,,23339,,21239,,28131,,1233,,1183,,26898,,11762,,14832,,878,,114162,,7366,,105340,,105332,,1456,,-2647,
2005-11,127813,,85143,,46240,,1607,,3406,,9806,,9209,,24084,,21827,,41774,,1233,,1183,,40541,,11762,,28476,,897,,114915,,6402,,107048,,107039,,1465,,12898,
2005-12,130268,,86181,,47924,,1601,,2948,,9894,,8419,,23813,,22349,,43184,,1233,,1183,,41951,,11762,,29886,,902,,115377,,6272,,107640,,107627,,1465,,14891,
2006-01,104778,,89064,,51820,,1579,,2899,,9900,,9225,,22866,,22069,,14853,,1233,,1183,,13620,,11762,,1555,,861,,116067,,6302,,108321,,108316,,1444,,-11289,
2006-02,109677,,88029,,51646,,1620,,2209,,8151,,7558,,24402,,23319,,20803,,1233,,1183,,19570,,11762,,7506,,844,,117460,,5657,,110340,,110334,,1463,,-7783,
2006-03,105884,,89157,,53173,,1597,,2158,,9684,,9152,,22545,,20813,,15896,,1233,,1183,,14663,,11762,,2599,,831,,118555,,6269,,110844,,110826,,1442,,-12671,
2006-04,100233,,89433,,56106,,1573,,2111,,7062,,6619,,22581,,21432,,9959,,1233,,1183,,8726,,11762,,-3339,,841,,118517,,4621,,112475,,112464,,1421,,-18284,
2006-05,120684,,89520,,55979,,1571,,1785,,8029,,7623,,22156,,21118,,30302,,1233,,1183,,29069,,11762,,17005,,863,,121940,,6063,,114471,,114464,,1406,,-1256,
2006-06,88241,,85905,,51983,,1561,,2078,,8339,,7204,,21945,,20635,,1474,,1233,,1183,,241,,11762,,-11824,,862,,123993,,5801,,116783,,116744,,1409,,-35752,
2006-07,102264,,89167,,54918,,1547,,1919,,8760,,8365,,22023,,21026,,12206,,1233,,1183,,10973,,11762,,-1092,,891,,125543,,6176,,117960,,117953,,1407,,-23279,
2006-08,124938,,86736,,53253,,1556,,1945,,7216,,6794,,22765,,21748,,37293,,1233,,1183,,36060,,11762,,23995,,909,,127953,,5367,,121184,,121177,,1402,,-3015,
2006-09,115371,,85854,,52302,,1558,,1882,,6836,,6363,,23275,,22226,,28607,,1233,,1183,,27374,,11762,,15310,,911,,130134,,4971,,123752,,123744,,1411,,-14763,
2006-10,110016,,85341,,52080,,1558,,1539,,6694,,6301,,23469,,22455,,23766,,1233,,1183,,22533,,11762,,10469,,909,,132882,,5034,,126437,,126427,,1411,,-22866,
2006-11,114116,,85307,,53218,,1540,,1508,,6352,,5954,,22689,,21713,,27898,,1233,,1183,,26665,,11762,,14601,,911,,135038,,5267,,128388,,128382,,1383,,-20922,
2006-12,104389,,84765,,53114,,1525,,1486,,6229,,5707,,22411,,21381,,18696,,1233,,1183,,17463,,11762,,5399,,928,,134697,,4807,,128508,,128496,,1382,,-30308,
2007-01,114714,,87385,,54853,,1537,,1461,,6038,,5591,,23496,,22498,,26362,,1239,,1189,,25123,,11821,,13000,,968,,136713,,5399,,129921,,129905,,1393,,-21999,
2007-02,121019,,87962,,56389,,1533,,1201,,5984,,5515,,22855,,21932,,32067,,1239,,1189,,30828,,11821,,18704,,991,,137530,,4883,,131268,,131260,,1379,,-16511,
2007-03,121457,,86120,,54820,,1527,,1097,,5837,,5357,,22838,,22311,,34310,,1246,,1196,,33064,,11821,,20940,,1027,,139056,,5148,,132535,,132525,,1373,,-17599,
2007-04,110112,,86731,,54837,,1508,,1070,,6035,,5664,,23280,,22749,,22454,,1246,,1196,,21208,,11821,,9084,,928,,142190,,6286,,134548,,134534,,1356,,-32078,
2007-05,125859,,86364,,53675,,1522,,1149,,6484,,6080,,23533,,23025,,38593,,1246,,1196,,37347,,11821,,25224,,901,,147775,,6993,,139420,,139409,,1362,,-21916,
2007-06,116754,,84846,,52809,,1519,,1147,,5847,,5450,,23523,,23020,,30967,,1246,,1196,,29721,,11821,,17598,,941,,150088,,6124,,142605,,142593,,1359,,-33334,
2007-07,120334,,85125,,53446,,1512,,1082,,6639,,6226,,22446,,22012,,33958,,1246,,1196,,32712,,11821,,20588,,1251,,152117,,6315,,144449,,144439,,1353,,-31783,
2007-08,144630,,85469,,53554,,1522,,1071,,6452,,6050,,22869,,22431,,57499,,1246,,1196,,56253,,11821,,44130,,1662,,155692,,6250,,148088,,148081,,1354,,-11062,
2007-09,151300,,88592,,57168,,1494,,1035,,6729,,6305,,22165,,21753,,60832,,1246,,1196,,59586,,11821,,47462,,1876,,160538,,8004,,151205,,151196,,1329,,-9238,
2007-10,171237,,90168,,59549,,1481,,994,,6221,,5843,,21923,,21507,,78825,,1246,,1196,,77579,,11821,,65455,,2244,,165603,,10152,,154134,,154126,,1317,,5634,
2007-11,177674,,89233,,59157,,1474,,952,,6123,,5718,,21528,,21074,,85976,,1246,,1196,,84730,,11821,,72607,,2464,,171144,,13060,,156780,,156772,,1304,,6530,
2007-12,179492,,92545,,62433,,1469,,949,,6499,,5708,,21194,,20719,,84420,,1246,,1196,,83174,,11821,,71046,,2527,,176569,,15996,,159273,,159265,,1300,,2923,
2008-01,208663,,99028,,68255,,1468,,930,,7191,,6269,,21185,,20599,,107058,,1246,,1196,,105812,,11821,,93688,,2577,,183678,,21019,,161360,,161347,,1299,,24985,
2008-02,226761,,100879,,70196,,1458,,919,,7693,,6404,,20613,,20088,,123276,,1246,,1196,,122030,,11821,,109907,,2606,,188498,,22377,,164835,,164830,,1286,,38263,
2008-03,198070,,95103,,65126,,1469,,866,,6878,,6360,,20763,,20241,,100383,,1246,,1196,,99137,,11821,,87011,,2584,,193728,,24913,,167556,,167550,,1259,,4342,
2008-04,198225,,92633,,61352,,1475,,870,,6920,,6593,,22015,,21505,,103034,,1246,,1196,,101788,,11821,,89665,,2558,,197053,,25580,,170208,,170202,,1265,,1172,
2008-05,200042,,92387,,62311,,1480,,1038,,5634,,5304,,21924,,21401,,105130,,1246,,1196,,103884,,11821,,91759,,2524,,200255,,24433,,174557,,174540,,1265,,-213,
2008-06,206618,,95220,,64930,,1466,,1028,,8238,,7177,,19558,,19080,,108906,,1246,,1196,,107660,,11821,,95535,,2492,,202425,,23491,,177680,,177673,,1254,,4193,
2008-07,203949,,93722,,64108,,1470,,998,,8039,,7239,,19107,,18695,,107611,,1246,,1196,,106365,,11821,,94241,,2615,,205847,,25105,,179485,,179469,,1257,,-1898,
2008-08,217137,,93048,,62296,,1515,,1024,,7858,,7501,,20355,,19946,,121456,,1246,,1196,,120210,,11821,,108085,,2633,,211391,,26637,,183464,,183460,,1290,,5746,
2008-09,215889,,99936,,68808,,1548,,1076,,7207,,5392,,21297,,20430,,113328,,1246,,1196,,112082,,11821,,99958,,2625,,215212,,26743,,187151,,187138,,1318,,677,
2008-10,183398,,97415,,62655,,1659,,1114,,7497,,5558,,24490,,22908,,83566,,1246,,1196,,82320,,11821,,70196,,2417,,237750,,25893,,210444,,197740,,1413,,-54352,
2008-11,213908,,104612,,70131,,1668,,1808,,5977,,4658,,25028,,23712,,106748,,1246,,1196,,105502,,11821,,93377,,2547,,237362,,19511,,216435,,202168,,1416,,-23454,
2008-12,230775,,99185,,68194,,1576,,1709,,3077,,1488,,24629,,21664,,129020,,1246,,1196,,127774,,11821,,115650,,2570,,237893,,11766,,224789,,206386,,1338,,-7118,
2009-01,258620,,109963,,78633,,1661,,1801,,1035,,400,,26834,,22732,,146059,,1155,,1105,,144904,,10909,,133692,,2598,,242778,,7114,,234255,,219381,,1409,,15842,
2009-02,275770,,113507,,81893,,1660,,1795,,1511,,899,,26648,,23380,,159672,,1155,,1105,,158517,,10909,,147304,,2591,,234819,,7841,,225573,,216430,,1405,,40951,
2009-03,274458,,107809,,75726,,1605,,1859,,3373,,7,,25248,,22455,,164033,,1141,,1091,,162892,,10909,,151681,,2616,,220532,,7521,,211652,,211646,,1359,,53926,
2009-04,272318,,105577,,73476,,1613,,1869,,3728,,213,,24890,,22641,,164128,,1141,,1091,,162987,,10909,,151774,,2614,,223882,,8534,,213982,,213978,,1366,,48436,
2009-05,261878,,107375,,75646,,1572,,3027,,3637,,497,,23492,,21920,,152017,,1141,,1091,,150876,,10909,,139664,,2487,,225900,,9171,,215400,,215396,,1329,,35978,
2009-06,290738,,104691,,72955,,1463,,3029,,5330,,783,,21914,,20720,,183405,,1141,,1091,,182264,,10909,,171052,,2642,,227518,,10117,,216070,,216066,,1331,,63220,
2009-07,282460,,104931,,72586,,1463,,3231,,5889,,1405,,21763,,20320,,174309,,1141,,1091,,173168,,10909,,161956,,3219,,226255,,7896,,217029,,217025,,1330,,56205,
2009-08,291882,,115309,,72998,,12045,,3141,,7045,,927,,20080,,18800,,172071,,1141,,1091,,170930,,10909,,159719,,4503,,240588,,8970,,219708,,219705,,11910,,51294,
2009-09,314396,,116785,,74913,,13173,,3095,,7004,,90,,18600,,16958,,191387,,1141,,1091,,190246,,10909,,179035,,6225,,244009,,8638,,222331,,222328,,13040,,70387,
2009-10,292775,,119584,,77320,,13087,,3414,,8115,,600,,17647,,15818,,166694,,1141,,1091,,165553,,10909,,154341,,6497,,246263,,9034,,224274,,224271,,12955,,46512,
2009-11,306623,,126129,,85449,,13059,,2664,,7433,,282,,17524,,15522,,173131,,1141,,1091,,171990,,10909,,160779,,7364,,247175,,9272,,224978,,224976,,12925,,59448,
2009-12,323286,,125541,,83939,,13263,,2705,,7540,,28,,18094,,16386,,190288,,1141,,1091,,189147,,10909,,177935,,7458,,247645,,9124,,225394,,225392,,13127,,75641,
2010-01,326161,,127966,,84917,,13559,,2791,,8428,,2728,,18271,,16724,,190112,,1141,,1091,,188971,,10909,,177759,,8083,,250193,,10064,,226709,,226707,,13420,,75968,
2010-02,352969,,134669,,89796,,13762,,3565,,8131,,6078,,19415,,17676,,209534,,1141,,1091,,208393,,10909,,197481,,8767,,252555,,9571,,229364,,229362,,13620,,100414,
2010-03,364072,,134826,,90158,,13727,,3450,,5935,,533,,21557,,19934,,219469,,1141,,1091,,218328,,10909,,207417,,9778,,253478,,9418,,230476,,230473,,13584,,110594,
2010-04,377729,,142021,,96677,,13829,,3460,,6954,,1430,,21100,,19589,,225729,,1141,,1091,,224588,,10909,,213677,,9980,,258369,,11830,,232853,,232851,,13686,,119360,
2010-05,444480,,157385,,108045,,14509,,4346,,7344,,6783,,23143,,21137,,267517,,1141,,1091,,266376,,10909,,255464,,19578,,262334,,13022,,234955,,234953,,14357,,182146,
2010-06,444756,,160629,,110727,,14681,,4358,,7549,,3699,,23314,,20835,,261469,,1141,,1091,,260328,,10909,,249416,,22659,,261402,,11217,,235658,,235656,,14527,,183354,
2010-07,452125,,145637,,98074,,14205,,4302,,6978,,5984,,22078,,19824,,283275,,1141,,1091,,282134,,10909,,271223,,23213,,261766,,11554,,236156,,236153,,14056,,190359,
2010-08,473073,,155245,,106417,,14505,,4293,,7166,,6219,,22865,,20845,,294650,,1141,,1091,,293509,,10909,,282597,,23178,,263598,,10908,,238340,,238338,,14350,,209475,
2010-09,496333,,150758,,105059,,13895,,4293,,6147,,3691,,21365,,19445,,322032,,1141,,1091,,320891,,10909,,309979,,23544,,265888,,10993,,241148,,241146,,13747,,230445,
2010-10,472762,,150481,,105507,,13821,,4150,,6191,,5117,,20811,,18709,,298714,,1141,,1091,,297573,,10909,,286661,,23566,,269163,,12727,,242757,,242755,,13679,,203599,
2010-11,497807,,162835,,115698,,14306,,4090,,6385,,5145,,22354,,20215,,311497,,1141,,1091,,310356,,10909,,299444,,23476,,268867,,11279,,243432,,243430,,14156,,228940,
2010-12,524695,,162100,,115403,,14104,,4636,,5820,,3608,,22136,,19785,,337921,,1456,,1407,,336465,,10909,,325553,,24674,,273241,,14618,,244668,,244666,,13955,,251454,
2011-01,492995,,152428,,106493,,13903,,4764,,5087,,3473,,22182,,19986,,314996,,1456,,1407,,313540,,10909,,302628,,25571,,273015,,12348,,246910,,245539,,13757,,219980,
2011-02,515777,,156964,,111426,,13862,,4670,,5438,,2985,,21567,,19975,,333061,,1456,,1407,,331605,,10909,,320694,,25752,,272586,,12098,,246776,,246774,,13712,,243191,
2011-03,516360,,155718,,110136,,13171,,6082,,5558,,4786,,20770,,19407,,335595,,1456,,1407,,334139,,10909,,323228,,25046,,274559,,13567,,247533,,247531,,13459,,241801,
2011-04,502690,,157344,,112655,,12873,,5944,,5506,,4846,,20366,,19031,,321473,,1456,,1407,,320017,,10909,,309106,,23873,,275118,,12008,,249956,,249954,,13154,,227572,
2011-05,522888,,162854,,116831,,13138,,6064,,5597,,5047,,21224,,19884,,336007,,1456,,1407,,334551,,10909,,323640,,24026,,278165,,11564,,253182,,253180,,13419,,244723,
2011-06,531716,,159745,,114087,,13066,,6031,,5058,,4344,,21502,,20252,,348906,,1456,,1407,,347450,,10909,,336539,,23065,,280467,,10612,,256509,,256421,,13346,,251249,
2011-07,549738,,170639,,123740,,13379,,6522,,5642,,5120,,21357,,20239,,356029,,1456,,1407,,354573,,10909,,343662,,23070,,285042,,12073,,259447,,259443,,13522,,264696,
2011-08,622802,,184687,,138174,,13296,,6478,,4531,,3794,,22208,,21163,,402790,,1456,,1407,,401334,,10909,,390423,,35325,,292078,,15376,,263271,,263267,,13431,,330724,
2011-09,686659,,181430,,131912,,13806,,7057,,5196,,4600,,23460,,22334,,461979,,1456,,1407,,460523,,10909,,449611,,43250,,295454,,13805,,267703,,267699,,13946,,391205,
2011-10,704976,,181946,,133987,,13522,,6912,,4298,,3812,,23227,,22112,,477882,,1456,,1407,,476426,,10909,,465515,,45148,,296364,,13143,,269561,,269556,,13660,,408612,
2011-11,746357,,187984,,138669,,13757,,7094,,5254,,4369,,23211,,22236,,507531,,1456,,1407,,506075,,10909,,495164,,50841,,298933,,13510,,271479,,271472,,13944,,447424,
2011-12,714662,,184603,,132874,,14118,,8178,,4496,,3818,,24937,,22722,,475994,,1772,,1722,,474222,,10909,,463311,,54065,,333730,,46552,,272867,,272863,,14311,,380932,
2012-01,763406,,195056,,144034,,14003,,8112,,4274,,3781,,24633,,22485,,510816,,1772,,1722,,509044,,10909,,498131,,57535,,299331,,11926,,273209,,273195,,14196,,464075,
2012-02,814053,,195654,,145234,,13681,,8392,,2643,,2131,,25703,,23543,,559730,,1772,,1722,,557958,,10909,,547047,,58670,,301581,,11957,,275666,,274163,,13958,,512472,
2012-03,875780,,186628,,135777,,13719,,8459,,3005,,2355,,25668,,23527,,628275,,1772,,1722,,626503,,10909,,615592,,60877,,308744,,16067,,278680,,277183,,13997,,567036,
2012-04,909192,,189556,,137380,,13868,,8756,,5010,,4502,,24541,,22486,,656866,,1772,,1722,,655094,,10909,,644182,,62771,,310427,,14598,,281679,,280965,,14150,,598765,
2012-05,964557,,193057,,138000,,14313,,9087,,4778,,4250,,26880,,24789,,711251,,1772,,1722,,709479,,10909,,698567,,60249,,352926,,52443,,285799,,284293,,14684,,611631,
2012-06,992341,,190248,,136094,,14172,,9149,,4213,,3636,,26621,,24794,,741250,,1772,,1722,,739478,,10909,,728567,,60842,,387106,,83330,,289237,,287688,,14539,,605235,
2012-07,1000019,,199419,,144217,,14432,,9337,,5121,,4352,,26313,,24555,,739889,,1772,,1722,,738117,,10909,,727206,,60711,,407625,,90854,,301964,,291143,,14807,,592394,
2012-08,1023617,,197776,,143507,,14028,,9492,,5900,,4902,,24850,,23020,,764133,,1772,,1722,,762361,,10909,,751449,,61709,,411063,,90166,,306343,,295015,,14554,,612554,
2012-09,974478,,203337,,150373,,13868,,9427,,6052,,4759,,23617,,21869,,708142,,1772,,1722,,706370,,10909,,695458,,62999,,408527,,86314,,307825,,298382,,14388,,565951,
2012-10,991439,,196910,,144172,,13814,,9339,,6074,,3340,,23510,,21766,,732036,,1772,,1722,,730264,,10909,,719352,,62494,,438493,,82229,,341966,,300408,,14298,,552946,
2012-11,988534,,197486,,145110,,13772,,8999,,4905,,3592,,24700,,22723,,727807,,1772,,1722,,726035,,10909,,715124,,63240,,428639,,82030,,332356,,302196,,14253,,559895,
2012-12,921002,,188630,,137513,,13583,,8760,,4397,,3397,,24377,,22026,,668672,,2087,,2038,,666585,,10909,,655670,,63700,,424999,,83360,,327581,,304445,,14058,,496003,
2013-01,878587,,184947,,134745,,13251,,8701,,4751,,2713,,23498,,21242,,629935,,2087,,2038,,627848,,10909,,616937,,63705,,420929,,83492,,323720,,303313,,13717,,457658,
2013-02,871508,,183222,,132131,,13375,,8637,,5471,,5015,,23608,,21176,,625570,,2087,,2038,,623483,,10909,,612572,,62715,,415251,,75155,,326182,,305037,,13914,,456257,
2013-03,852611,,188447,,136454,,13526,,8877,,5027,,4121,,24563,,22281,,601719,,2087,,2038,,599632,,10909,,588722,,62445,,401562,,70739,,316716,,307114,,14107,,451049,
2013-04,857433,,173980,,122844,,13336,,8760,,4459,,3816,,24581,,22381,,620862,,2087,,2038,,618775,,10909,,607866,,62590,,416859,,68487,,334451,,308456,,13921,,440574,
2013-05,832746,,169105,,118228,,13272,,8712,,4439,,3793,,24455,,22342,,602185,,2087,,2038,,600098,,10909,,589189,,61455,,409082,,64068,,331117,,312404,,13897,,423664,
2013-06,798888,,150825,,100280,,13236,,8690,,4341,,3084,,24277,,22967,,588473,,2087,,2038,,586386,,10909,,575477,,59589,,397738,,62170,,321693,,314718,,13875,,401150,
2013-07,807165,,158611,,109338,,12960,,8690,,4201,,451,,23421,,22395,,589421,,2080,,2031,,587341,,10872,,576469,,59133,,402781,,59832,,329203,,317929,,13746,,404384,
2013-08,808649,,164477,,114714,,13018,,8416,,3572,,914,,24758,,23862,,586580,,2080,,2031,,584500,,10872,,573628,,57590,,404149,,59589,,330753,,321253,,13807,,404500,
2013-09,796646,,156452,,107819,,12920,,8375,,3404,,2529,,23933,,22661,,583320,,2080,,2031,,581240,,10872,,570368,,56873,,404069,,54910,,335456,,324417,,13703,,392577,
